#漢字	音標	解釋#('wuu_th_shj_shcs', '上海川沙話', '上海川沙', '#8B0000', None, None, '來源：<u>鶩高赭紗匕</u>', '53 1 1a 陰平 ꜀,213 2 1b 陽平 ꜁,44 3 2a 陰上 ꜂,213 4 2b 陽上 ꜃,35 5 3a 陰去 ꜄,13 6 3b 陽去 ꜅,5 7 4a 陰入 ꜆,23 8 4b 陽入 ꜇', None, None)
㑚	nɑ6	第二人称复数
綱	kɒ̃1	
網	mɒ̃4	
綵	tsʰe3	张灯结～；剪～
綻	zɛ6	
綽	tsʰɑk7	【文读】
綾	lin2	
綿	mi2	
緄	kuəŋ3	
緊	tɕin3	
緖	zy4	
線	si5	
緝	tsʰiɪʔ7	
緞	dø4	
緣	ɦyø2	
編	ɓi1	
緩	βe3	
緬	mi4	
緯	ɦy4	【白读】～线；～纱
緯	βe4	【文读】经～；～度
緲	miɔ3	
練	li6	
緹	di2	
緻	tsɿ5	标～
縉	tsin5	
縛	bɒk8	
縣	ɦyø6	
縫	ɦoŋ2	裁～
縫	ɦoŋ6	一条～
縮	sɒk7	
縱	tsoŋ5	
縴	tɕʰi1	～夫；～绳；～道
縷	ly4	
縹	pʰiɔ3	
總	tsoŋ3	
績	tsiɪʔ7	
繁	βɛ2	
繃	ɓã1	
繆	miɔ6	姓
繆	mɤ2	未雨绸～
織	tsʌk7	
繞	ȵiɔ6	
繡	siɤ5	
繩	zəŋ2	
繪	βe6	
繭	tɕi3	
繮	tɕiã1	
繰	tsʰiɔ1	
繳	kɔ1	【白读】～费
繳	tɕiɔ1	【文读】～枪
繹	ɦiʌk8	
繼	tɕi5	
繽	ɓin1	
續	zok8	
纏	ze2	
纓	iʌŋ1	
纖	si1	～细；～维
纜	lɛ6	
紿	de4	
絳	tɕiã5	【文读】
綺	tɕʰi3	
缸	kɒ̃1	
缺	tɕʰyœʔ7	
罄	tɕʰiʌŋ5	
罅	hɑ5	
罈	de2	～子；酒～
罌	ã1	【白读】～粟花
罐	kue5	
罩	tsɔ5	
罪	zø4	【文读】犯～
罪	ze4	【白读】～过（可怜）
置	tsɿ5	
罰	βæʔ8	
署	zy6	
罵	mo6	
罷	bɑ4	
羅	lu2	
羊	ɦiã2	
羌	tɕʰiã1	
羌	tɕʰiɒ̃1	姓，源自于“匡”；～巷，～家村（上海宝山地名）
美	me3	
羔	kɔ1	
羚	lin2	
羞	siɤ1	
羣	dʑyn2	
羨	zi6	
義	ȵi6	
羲	ɕi1	
羹	kã1	【白读】～饭
羹	kəŋ1	【文读】
羽	ɦy4	
羿	ȵi6	
翁	oŋ1	
翅	tsʰɿ5	
翊	ɦiʌk8	
翎	lin2	
習	ziɪʔ8	
翟	zɑk8	
翟	diɪʔ8	
翟	di2	诸～（本名“紫堤”，上海闵行地名）
翠	tsʰø5	
翡	ɸi1	
翰	ɦø6	
翹	tɕʰiɔ5	～尾巴；～辫子；～舌
翹	dʑiɔ2	～首以盼。变得不平：木头～脱
翻	ɸɛ1	
翼	ɦiʌk8	
耀	ɦiɔ6	
老	lɔ4	
老	lɔ1	【文读】～师；～兄
考	kʰɔ3	
者	tse3	【文读】作～；知乎～也；或～
而	əl2	【文读】
耍	sɑ3	
耐	ne6	
耕	kã1	【白读】～田
耕	kəŋ1	【文读】农～
耗	hɔ5	
耘	ɦyn2	
耙	bo2	
耦	ŋɤ4	
耳	ȵi4	【白读】～朵；木～
耳	əl4	【文读】洗～恭听
耶	ɦiɑ2	
聳	soŋ3	
耽	ɗe1	
耿	kã3	【白读】姓
耿	kəŋ3	【文读】～直
聊	liɔ2	
聖	səŋ5	
聘	pʰin5	
聚	zy4	
聞	məŋ2	【白读】
聞	βəŋ2	【文读】
聯	li2	
聰	tsʰoŋ1	
聲	sã1	【白读】响一～
聲	səŋ1	【文读】～音
聶	ȵiɪʔ8	
職	tsʌk7	
聽	tʰin1	
聽	tʰin5	
聾	loŋ2	
肄	ɦi6	
肅	sok7	
肆	sɿ5	
肇	zɔ4	
肉	ȵiok8	
肋	lʌk8	
肌	tɕi1	
肏	tsʰɒk7	摩擦：～屄（性交）；～气（讨厌）；～火（发怒）；～祭（吃，带有贬义）。本字为“错”
肏	tsʰɔ5	
肖	sɔ5	生～
肖	siɔ5	
肖	siɔ1	“萧”的讹写
肘	tsɤ3	
肚	ɗu3	胃：牛～；猪～
肚	du4	腹部：～皮
肛	kɒ̃1	
肝	kø1	
股	ku3	
肢	tsɿ1	
肥	βi2	
肥	bi2	～皂
肩	tɕi1	
肪	ɸɒ̃1	
肫	tsəŋ1	
肮	ɒ̃1	
肯	kʰəŋ3	
肱	koŋ1	
育	ɦiok8	
育	ȵiok8	养～巷（江苏苏州地名）
肴	ɦiɔ2	
肺	ɸi5	
胃	βe6	
背	ɓe5	～心
背	be6	～书
胎	tʰe1	
胖	pʰɒ̃5	
胗	tsəŋ1	
胚	pʰe1	
胛	kæʔ7	
胝	tsɿ1	
胞	ɓɔ1	
胡	βu2	
胥	si1	伍子～；～门（苏州城门）
胥	sy1	～口（江苏苏州地名）
胭	i1	
胯	kʰuo5	
胱	kuɒ̃1	
胳	kɒk7	
胸	ɕioŋ1	
胼	bi2	
能	nəŋ2	
脂	tsɿ1	
脅	ɕiɪʔ7	
脆	tsʰø5	
脈	mɑk8	
脊	tsiɪʔ7	
脗	miŋ4	
脘	kue3	
脝	hã1	
脫	tʰœʔ7	动词：～衣裳
脫	tʰəʔ7	助词，用在动词后表示动作完成，相当于“掉”：做～；坏～
脬	pʰɔ1	
脯	ɸu3	
脹	tsã5	
脾	bi2	
腆	tʰi3	
腈	tsin1	
腋	ɦiɪʔ8	
腎	zəŋ4	
腐	βu4	
腑	ɸu3	
腔	tɕʰiã1	【白读】～调
腔	tɕʰiã1	【文读】口～
腕	βe5	
腚	di6	
腥	sin1	
腦	nɔ4	
腩	ne2	
腫	tsoŋ3	
腮	se1	
腰	iɔ1	
腱	dʑi2	
腳	tɕiɑk7	
腸	zã2	
腹	hok7	
靦	mi4	
腿	tʰe3	
膀	ɓɒ̃3	肩～
膀	bɒ̃2	～胱
膊	ɓɒk7	
膏	kɔ1	
膘	ɓiɔ1	
膚	ɸu1	
膜	mɒk8	
膝	siɪʔ7	
膠	kɔ1	【白读】～水
膠	tɕiɔ1	【文读】～州（山东地名）
膦	lin4	
膨	bã2	
膩	ȵi6	
膯	ɗəŋ1	
膳	ze6	
膽	ɗɛ3	
膿	noŋ2	
臀	dəŋ2	
臂	ɓi5	
臃	ioŋ3	
臆	iʌk7	
臉	li4	
臊	sɔ5	
臍	zi2	
臏	bin4	
臕	ɓiɔ1	
臘	læʔ8	
臟	zɒ̃6	内～
臣	zəŋ2	
臥	ŋu6	
臧	tsɒ̃1	
臨	lin2	
臨	ləŋ2	～顿路
自	zɿ6	
臭	tsʰɤ5	
至	tsɿ5	
致	tsɿ5	导～
臺	de2	戏～；电视～；～湾
臻	tsəŋ1	
臼	dʑiɤ4	
臿	tsʰæʔ7	
舀	ɦiɔ4	
舂	tsʰoŋ1	
舅	dʑiɤ4	
與	ɦy4	～众不同
與	ɦy6	参～
興	ɕiʌŋ1	
舉	tɕy3	
舊	dʑiɤ6	
舌	zəʔ8	
舍	siɔ5	【白读】
舍	se5	【文读】宿～
舍	se5	杨～（亦作“杨扇”，上海青浦地名）。可能是“舍”的儿化音
舒	sy1	
舔	tʰi3	
舜	səŋ5	
舞	βu4	
舟	tsɤ1	
航	ɦɒ̃2	
舫	ɸɒ̃3	
般	ɓe1	
般	ɓɛ1	【文读】一～
舵	du4	
舶	pʰɑk7	
船	ze2	
艇	tʰin3	
艘	sɤ1	
艙	tsʰɒ̃1	
艦	kʰɛ3	
艮	kəŋ5	
良	liã2	
艱	tɕi1	【文读】
色	sʌk7	
艷	ɦiɛ6	
艾	ŋe6	
芊	tsʰi1	
芋	ɦy4	
芍	zɑk8	【文读】
芒	mɒ̃2	
芙	βu2	
芝	tsɿ1	
芥	kɑ5	
芬	ɸəŋ1	
芭	ɓo1	【白读】～蕉
芭	ɓɑ1	【文读】～蕾
芮	zø6	
芯	sin1	
花	ɸo1	
芳	ɸɒ̃1	
芷	tsɿ3	
芸	ɦyn2	
芹	dʑin2	
芻	tsʰu1	
芽	ŋɑ2	
苓	lin2	
苔	tʰe1	青～；～藓；舌～
苔	de2	芸～；韭～
苕	diɔ2	～溪
苕	zɔ2	红～
苗	miɔ2	
苛	kʰu1	
苞	ɓɔ1	
苟	kɤ3	
苡	i3	
苣	tɕy3	莴～笋
若	zɑk8	【文读】
苦	kʰu3	
苧	zɿ4	
苫	se1	草～；～布。名词
苫	se5	遮，盖。动词
苯	ɓəŋ3	
英	iʌŋ1	
苹	bin2	呦呦鹿鸣食野之～
茂	mɤ6	
茄	ɡɑ2	～子；番～
茄	dʑiɑ2	～克衫
茅	mɔ2	
茆	mɔ4	白～（江苏常熟地名）；白～塘（江苏常熟境内的一条河流）
茉	məʔ8	
茗	min2	
茜	tsʰi5	
茜	si1	用于音译外语人名
茨	zɿ2	
茫	mɒ̃2	
茭	kɔ1	
茯	ɦok8	
茱	tsy1	
茴	βe2	
茵	in1	
茶	ziɔ2	
茸	ȵioŋ2	【白读】
茸	zoŋ2	【文读】
茹	zy2	
茼	doŋ2	
荀	zin2	
荃	tsʰi1	
荇	ɦã4	【白读】
荇	ɦiʌŋ4	【文读】
草	tsʰɔ3	
荊	tɕiʌŋ1	
荒	ɸɒ̃1	
荔	li6	
荳	dɤ6	
荷	βu2	～花
荷	ɸu5	薄～
荷	βu4	负～；～载；电～
荻	diɪʔ8	
莅	li6	
莆	pʰu3	
莉	li6	
莊	tsɒ̃1	
莒	tɕy3	
莓	me2	
莖	tɕiʌŋ1	
莘	səŋ1	～～学子；～县（山东地名）；～塔（江苏吴江地名）
莘	sin1	～庄（上海闵行地名）
莜	ɦiɤ2	
莠	ɦiɤ4	
莢	tɕiɪʔ7	
莧	hɛ5	
莪	ŋu2	
莫	mɒk8	
莽	mɒ̃4	
菅	tɕi1	
菇	ku1	
菉	lok8	
菊	tɕiok7	
菌	tɕyn1	
菖	tsʰɒ̃1	
菜	tsʰe5	
菠	ɓu1	
菡	ɦe4	
菢	bɔ6	
菩	bu2	
華	βo2	
華	ɸo1	龙～，法～（上海徐汇地名）；法～桥（上海奉贤地名）
菰	ku1	
菱	lin2	
菲	ɸi1	芳～；～律宾
菲	ɸi5	～薄
萁	dʑi2	
萃	zø6	
萄	dɔ2	
萊	le2	
萋	tsʰi1	
萌	mã2	【白读】
萌	məŋ2	【文读】
萍	bin2	
萎	βe3	
萬	mɛ6	【白读】麻将中的“万”
萬	βɛ6	【文读】
萱	ɕi1	
萵	βu1	
萸	ɦy2	
萼	ŋɒk8	
落	lɒk8	
葉	ɦiɪʔ8	树～
葑	ɸu1	～门（苏州城门）
葑	hoŋ1	
著	tsy5	
著	tsɑk7	
葛	kœʔ7	
葡	bəʔ8	
董	ɗoŋ3	
葦	βe4	
葫	βu2	
葬	tsɒ̃5	
葭	kɑ1	【白读】菉～浜（江苏昆山地名）；菉～巷（江苏苏州地名）
葭	tɕiɑ1	【文读】
葵	ɡue2	
葷	ɸəŋ1	
葺	tsʰiɪʔ7	
蒂	ɗi5	
蒓	zəŋ2	
蒔	zɿ2	～秧（插秧）
蒙	moŋ2	
蒜	sø5	
蒡	ɓɒ̃5	
蒲	bu2	
蒸	tsəŋ1	
蒹	tɕi1	
蒼	tsʰɒ̃1	
蒿	hɔ1	
蓄	ɕiok7	
蓉	ɦioŋ2	
蓋	ke3	
蓑	su1	
蓓	be4	
蓖	ɓi1	
蓬	boŋ2	
蓮	li2	
蔑	miɪʔ8	
蔔	bok8	萝～
蔗	tsiɔ5	
蔘	səŋ1	人～
蔚	βe5	
蔚	y5	～县（河北地名）
蔞	lɤ2	
蔡	tsʰɑ5	
蔣	tsiã3	
蔥	tsʰoŋ1	
蔫	i1	
蔬	su1	
蔭	in1	树～
蔭	in5	～庇；～凉
蔻	kʰɤ5	
蕁	zi2	
蕉	tsiɔ1	
蕊	zø4	
蕎	dʑiɔ2	
蕨	tɕyœʔ7	
蕩	dɒ̃6	
蕪	βu2	
蕭	siɔ1	
蕹	oŋ1	
蕻	hoŋ5	符合《集韵》呼贡切
蕻	ɦoŋ6	符合《集韵》胡贡切
蕾	le2	
薀	βəŋ1	～藻，～草（水草）
薄	bɒk8	
薅	hɔ1	
薇	bi2	【白读】蔷～花
薇	βi2	【文读】紫～
薑	tɕiã1	
薛	siɪʔ7	
薦	tsi5	
薩	sæʔ7	
薪	sin1	
薯	zy6	
薰	ɕyn1	
薸	biɔ2	
薺	zi2	荸～
薺	zi4	～菜
藁	kɔ3	
藉	ziɪʔ8	
藍	lɛ2	
藏	zɒ̃2	～书
藏	zɒ̃6	西～
藐	miɔ4	
蘚	si3	
藕	ŋɤ4	
藜	li2	
藝	ȵi6	
藤	dəŋ2	
藥	ɦiɑk8	
藹	e5	
藺	lin6	
藻	tsɔ3	水～
藻	tsʰɔ3	蕰～浜
蘆	lu2	
蘇	su1	
蘊	ɦyn6	
蘋	bin2	～果；浮～
蘑	mo2	
蘭	lɛ2	
蘸	tsɛ5	
蘿	lu2	藤～；菠～
蘿	lɔ2	～卜
虎	ɸu3	
虐	ȵiɑk8	
處	tsʰy3	
處	tsʰy5	
虛	he1	～肿
虛	ɕy1	
虜	lu4	
虞	ȵy2	
號	ɦɔ2	
號	ɦɔ6	
虢	kuɑk7	
虧	tɕʰy1	【白读】幸～；吃～
虧	kʰue1	【文读】～本；～损
虩	ɕiɪʔ7	
虬	dʑiɤ2	
虱	səʔ7	
虹	ɦoŋ2	
虹	kɒ̃5	
虻	mã2	
蚊	məŋ2	【白读】～子
蚌	bã4	
蚍	bi2	
蚓	ɦin4	
蚜	ŋɑ2	
蚝	ɦɔ2	
蚣	koŋ1	
蚤	tsɔ3	
蚩	tsʰɿ1	
蚯	tɕʰiɤ1	
蚱	tsiɔ5	
蛀	tsy5	
蛆	tsʰi1	
蛇	ziɔ2	
蛋	dɛ4	
蛐	tɕʰiok7	
蛛	tsy1	
蛟	tɕiɔ1	
蛭	tsəʔ7	
蛸	sɔ1	
蛹	ɦioŋ4	
蛻	tʰø5	
蛾	ŋu2	
蜂	hoŋ1	
蜆	ɕi3	
蜇	tsəʔ7	
蜈	ŋu2	
蜉	βɤ2	
蜍	zy2	
蜒	ɦi2	
蜓	din2	
蝸	ku1	
蜘	tsɿ1	
蜜	miɪʔ8	
蜞	dʑi2	
蜢	mã4	
蜥	siɪʔ7	
蜴	ɦiʌk8	
蜻	sin1	
蜿	βe1	
蝕	zʌk8	
蝗	βɒ̃2	
蝙	ɓi1	
蝠	hok7	
蝣	ɦiɤ2	
蝦	hø1	
蝴	βu2	
蝶	diɪʔ8	
螂	lɒ̃2	
螃	bɒ̃2	
螄	sɿ1	
融	ɦioŋ2	
螟	min2	
螢	ɦioŋ2	
螳	dɒ̃2	
螺	lu2	
蟀	sʮœʔ7	
蟑	tsɒ̃1	
蟒	mɒ̃4	
蟛	bã2	
蟬	ze2	
蟲	zoŋ2	
蟶	tsʰəŋ1	
蟹	hɑ3	
蟻	ȵi4	
蟾	ze2	
蠅	ɦiʌŋ2	
蠕	zy2	
蠟	læʔ8	
蠢	tsʰəŋ3	
蠱	ku3	
蠶	ze2	
蠹	ɗu5	
蠻	mɛ2	
血	ɕyœʔ7	
衊	miɪʔ8	
行	ɦɒ̃2	～业；银～
行	ɦã2	【白读】～船；～车；～星
行	ɦiʌŋ2	【文读】～为；～动
衍	ɦi4	
術	zəʔ8	技～；～语
街	kɑ1	
衙	ŋɑ2	
衛	βe6	
衝	tsʰoŋ1	
衡	ɦəŋ2	
衢	dʑy2	
衣	i1	
表	ɓiɔ3	～面
衫	sɛ1	
衰	se1	
衰	tsʰe1	乡音无改鬓毛～
衷	tsoŋ1	
衽	zəŋ6	
袁	ɦyø2	
褘	ɸe1	
袋	de6	
袍	bɔ2	
袖	ziɤ6	
袢	pʰɛ5	
被	bi4	～头；～单
被	be6	～动；～告
袱	ɦok8	
袴	kʰu5	
裁	ze2	
裂	liɪʔ8	
裊	ȵiɔ3	
裔	ɦi6	
裕	ɦy6	
裘	dʑiɤ2	
裙	dʑyn2	
補	ɓu3	
裝	tsɒ̃1	
裡	li4	
裱	ɓiɔ3	
裳	zɒ̃2	
裴	be2	
裸	lu4	
裹	ku3	
製	tsɿ5	
裾	ke1	
褂	kuo5	
複	hok7	重～
褐	ɦœʔ8	
褒	ɓɔ1	
褙	ɓe5	
褚	tsʰɿ3	
褥	ȵiok8	
褪	tʰe5	
褯	ziɪʔ8	
褲	kʰu3	
褶	tsəʔ7	
褸	ly4	
襄	ɕiã1	
襖	ɔ3	
襟	tɕin1	
襠	ɗɒ̃1	
襤	lɛ2	
襪	mæʔ8	
襯	tsʰəŋ5	
襲	ziɪʔ8	
襻	pʰɛ5	
西	si1	
要	iɔ1	～求
要	iɔ5	重～
覃	de2	
覃	zin2	姓
覅	βiɔ5	不要。“弗”、“要”的合音
覆	hok7	
見	tɕi5	
見	tɕyø5	看～
規	kue1	
覓	miɪʔ8	
視	zɿ6	
覦	ɦy2	
親	tsʰin1	
覬	tɕi5	
覷	tsʰi5	迷～眼（近视）
覺	kɒk7	【白读】～得；～着
覺	tɕiɑk7	【文读】感～；～悟
覺	kɔ5	【白读】困～
覺	tɕiɔ5	【文读】睡～
覽	lɛ4	
觀	kue1	～察；～看
觀	kue5	楼～；玄妙～，～前街（江苏苏州地名）
角	kɒk7	
角	tɕiɑk7	【杭州文读】～色
觕	tsʰu1	
解	kɑ3	【白读】
解	tɕiɑ3	【文读】～放
解	kɑ5	押～
解	ɦɑ6	姓
解	ɡɑ4	～开；～鞋带；～山河
觥	koŋ1	
觴	sɒ̃1	
觸	tsʰok7	
言	ɦi2	
訂	ɗin5	
訇	hoŋ1	
計	tɕi5	
訊	sin5	
討	tʰɔ3	
訓	ɕyn5	
記	tɕi5	
訛	ŋu2	
訝	iɑ5	
訟	zoŋ6	
訣	tɕyœʔ7	
訥	nəʔ8	
訪	ɸɒ̃3	
設	səʔ7	
許	he3	许诺，答应。～愿
許	hɛ3	东～（东边）
許	hɔ3	场～（地方）；几～（多少）
許	ɕy3	姓。允～
訴	su5	
訶	kʰu1	
診	tsəŋ3	
訾	tsɿ1	
詐	tsiɔ5	
評	bin2	
詛	tsu5	
詛	tsu3	
詞	zɿ2	
詠	ioŋ3	
詡	ɕy3	
詢	sin1	
試	sɿ5	
詩	sɿ1	
詫	tsʰiɔ5	
詬	kɤ5	
詭	kue3	
詮	tsʰi1	
話	βo6	
該	ke1	
詳	ziã2	
詹	tse1	
詼	kʰue1	
誅	tsy1	
誇	kʰuo1	
認	ȵin6	【白读】～得；～真
認	zəŋ6	【文读】
誏	lɒ̃1	
誓	zɿ6	
誕	dɛ4	
誘	ɦiɤ6	
語	ȵy4	
誠	zəŋ2	
誣	βu2	
誤	ŋu6	
誦	zoŋ6	
說	sʮœʔ7	
誰	zø2	
課	kʰu5	
誼	ȵi6	
調	diɔ2	
調	diɔ6	
諄	tsəŋ1	
談	dɛ2	
請	tsʰin3	
諏	tsɤ1	
諏	tsy1	
諒	liã6	
論	ləŋ2	～语
論	ləŋ6	讨～
諛	ɦy2	
諜	diɪʔ8	
諦	ɗi5	
諧	ɦiɛ2	【文读】
諫	kɛ5	【白读】
諫	tɕi5	【文读】
諭	ɦy6	
諮	tsɿ1	
諱	ɸe5	
諳	e1	
諷	hoŋ5	
諸	tsy1	【文读】符合《广韵》章鱼切
諸	tsɿ1	【白读】～翟（上海闵行地名）。符合《广韵》章鱼切
諸	tsiɔ1	～溇（浙江湖州地名）。符合《广韵》正奢切
諺	ȵi6	
諾	nɒk8	
謀	mɤ2	
謂	βe6	
謄	dəŋ2	
謅	tsɤ1	
謇	tɕi3	
謊	ɸɒ̃3	
謎	mi6	
謎	me6	猜～～子
謔	ɕiɑk7	
謙	tɕʰi1	
講	kɒ̃3	【白读】
講	tɕiã3	【文读】
謝	ziɑ6	
謠	ɦiɔ2	
謨	mu2	
謬	miɔ6	
謳	ɤ1	
證	tsəŋ5	
譏	tɕi1	
識	sʌk7	
譚	de2	
譜	ɓu3	
警	tɕiʌŋ3	
譯	ɦiʌk8	
議	ȵi6	
譴	tɕʰi5	
護	βu6	
譽	ɦy6	
讀	dok8	～书
讀	dɤ6	句～
變	ɓi5	
讒	zɛ2	
讓	ȵiã6	
讓	ɦiã6	泰～桥（江苏苏州地名）
讞	ȵi4	
訕	sɛ5	
谷	kok7	山～
谷	ɦiok8	吐～浑
豁	ɸæʔ7	
豆	dɤ6	
豇	kɒ̃1	
豈	tɕʰi3	
豉	zɿ6	
豌	βe1	
豎	zy4	
豐	hoŋ1	
豐	ɦoŋ2	兆～花园（上海市中山公园的口语说法）
豕	sɿ3	
豚	dəŋ2	
象	ziã4	
豪	ɦɔ2	
豫	ɦy6	
豬	tsɿ1	
豹	ɓɔ5	
豺	zɑ2	
貂	ɗiɔ1	
貉	ɦɒk8	
貊	mɑk8	
貌	mɔ6	
貓	mɔ2	
貓	mã2	“猫”的儿化音
貝	ɓe5	
貞	tsəŋ1	
負	βɤ4	
財	ze2	
貢	koŋ5	
貧	bin2	
貨	ɸu5	
販	ɸɛ5	
貪	tʰe1	
貫	kue5	
責	tsʌk7	【文读】
貯	zy4	
貳	ȵi6	【白读】
貳	əl6	【文读】
貶	ɓi3	
買	mɑ4	
貸	de6	
費	ɸi5	～用
費	ɓi5	～县（山东地名）
費	βi6	姓
貼	tʰiɪʔ7	
貽	ɦi2	
貿	mɤ6	
賀	βu6	
賂	lu6	
賃	ȵin6	
賄	ɸe5	
資	tsɿ1	
賈	kɑ3	【白读】姓
賈	tɕiɑ3	【文读】姓
賈	ku3	商～
賊	zʌk8	
賒	siɔ1	
賓	ɓin1	
賞	sɒ̃3	
賠	be2	
賢	ɦi2	
賣	mɑ6	
賤	zi6	
質	tsəʔ7	
賬	tsã5	
賭	ɗu3	
賴	lɑ6	
賺	zɛ6	
購	kɤ3	
賽	sø5	
贅	tsø5	
贈	zəŋ6	
贊	tsɛ5	
贏	ɦiʌŋ2	
贓	tsɒ̃1	
贖	zok8	
贗	ɦi6	【文读】
賁	ɓəŋ1	
贛	ke5	
赤	tsʰɑk7	
赦	siɔ5	
赫	hɑk7	【白读】
赫	hʌk7	【文读】
赭	tsiɔ3	
走	tsɤ3	
赴	ɸu5	
起	tɕʰi3	
趁	tsʰəŋ5	～车；～客。俗写作“乘”
超	tsʰɔ1	
越	ɦyœʔ8	
趑	tsʰɿ1	
趕	kø3	
趙	zɔ4	
趟	tʰɒ̃5	
趣	tsʰy5	
趤	dɒ̃6	
趨	tsʰy1	
足	tsok7	
趴	pʰɑ1	北语俗字
趼	tɕi3	
趾	tsɿ3	
跌	ɗiɪʔ7	
跑	bɔ2	
跛	ɓu3	
距	dʑy6	
跟	kəŋ1	
跡	tsiɪʔ7	
跤	kɔ1	
跨	kʰuo5	
跪	dʑy4	【白读】
跪	ɡue4	【文读】
路	lu6	
跳	tʰiɔ5	
跺	ɗu5	
跽	dʑi4	
踏	dæʔ8	
踐	zi4	
踞	tɕy5	
踢	tʰiɪʔ7	
踩	tsʰe3	
蹤	tsoŋ1	
踮	ɗi1	
踱	dɒk8	
踴	ioŋ3	
踵	tsoŋ3	
踺	dʑi6	
蹂	zɤ2	【文读】
蹄	di2	
蹈	dɔ6	
蹊	ɦi2	
蹩	ɓiɪʔ7	
蹭	tsʰəŋ5	
蹲	ɗəŋ1	
蹶	tɕyœʔ7	
蹺	tɕʰiɔ1	
蹼	pʰok7	
躥	tsʰø1	
躁	tsʰɔ5	脾气～
躁	tsɔ5	际～（烦躁）
躇	zy2	
躊	zɤ2	
躡	ȵiɪʔ8	
躪	lin6	
身	səŋ1	
躬	koŋ1	
躺	tʰɒ̃3	
車	tsʰiɔ1	
車	tsʰø1	“车”的儿化音
車	tɕy1	象棋棋子
軋	ɡæʔ8	压，挤（动词、形容词）：～闹猛。结交：～朋友，～姘头
軌	kue3	
軍	tɕyn1	
軛	ŋʌk8	
軟	ȵyø4	
軲	ku1	
軸	dʑiok8	
軾	sʌk7	
較	tɕiɔ5	
載	tse5	～重
載	ze6	满～
輔	βu4	
輔	ɸu3	
輕	tɕʰiʌŋ1	
輝	ɸe1	
輥	kuəŋ3	
輦	li4	
輩	ɓe5	
輪	ləŋ2	
輯	tsʰiɪʔ7	
輸	sy5	
輸	sy1	
輻	hok7	
輿	ɦy2	
轄	ɸæʔ7	
轆	lok8	
轉	tse3	
轍	zəʔ8	
轎	dʑiɔ6	
轟	hoŋ1	【文读】
轟	ɸã1	【白读】
辛	sin1	
辜	ku1	
辣	læʔ8	
辦	bɛ6	
辨	bi4	
辭	zɿ2	
辮	bi4	
辯	bi4	
辰	zəŋ2	
辱	zok8	
農	noŋ2	
迂	y1	
迅	sin5	
迆	ɦi2	
迆	ɦi4	
迎	ȵiʌŋ2	
近	dʑin4	
迓	iɑ3	
迤	ɦi2	
迤	ɦi4	
迥	tɕioŋ3	
迫	pʰɑk7	
迮	tsɑk7	
述	zəʔ8	
迴	βe2	～避
迷	mi2	
迸	ɓã5	
追	tsø1	
退	tʰe5	
送	soŋ5	
逃	dɔ2	
逆	ȵiʌk8	
逋	ɓu1	
逍	siɔ1	
透	tʰɤ5	
逐	zok8	
逑	dʑiɤ2	
途	du2	
逗	dɤ6	
通	tʰoŋ1	
逝	zɿ6	
逞	tsʰəŋ3	
速	sok7	
造	zɔ4	
逢	ɦoŋ2	
連	li2	
邐	li4	
週	tsɤ1	
進	tsin5	
逵	ɡue2	
逸	ɦiɪʔ8	
逼	ɓiɪʔ7	
逾	ɦy2	
遂	zø6	
遇	ȵy6	
遊	ɦiɤ2	
運	ɦyn2	
遍	ɓi5	一～
遍	pʰi5	普～；～地
過	ku5	
遐	iɑ1	
遑	βɒ̃2	
道	dɔ4	
達	dæʔ8	
違	βe2	
遜	səŋ5	
遝	dəʔ8	
遠	ɦyø4	
遢	tʰæʔ7	
遣	tɕʰi3	
適	sʌk7	
遭	tsɔ1	
遮	tsiɔ1	
遮	tsɑ1	奢～（聪明）
遲	zɿ2	
遵	tsəŋ1	
遷	tsʰi1	
選	si3	
遺	ɦi2	
遼	liɔ2	
避	bi6	
邀	iɔ1	
邁	mɛ6	
邃	sø5	
還	βɛ2	
邇	əl4	
邊	ɓi1	
邋	læʔ8	
邑	iɪʔ7	
邕	ioŋ1	
邡	ɸɒ̃1	
那	nɑ1	
邦	ɓɒ̃1	
邨	tsʰəŋ1	同“村”。常特指社区，区别传统意义的“村”
邪	ziɑ2	
邪	ɦiɑ2	莫～
邰	tʰe1	
邱	tɕʰiɤ1	
邳	pʰi1	
邵	zɔ6	
邸	ɗi3	
郁	iok7	姓
郇	sin1	
郊	tɕiɔ1	【文读】～区
郎	lɒ̃2	
郝	hʌk7	
郞	lɒ̃2	
郟	kæʔ7	
郡	dʑyn6	
部	bu4	
郭	kuɒk7	
郯	dɛ2	
郵	ɦiɤ2	
都	ɗu1	
鄂	ŋɒk8	
鄉	ɕiã1	
鄒	tsɤ1	
鄔	βu1	
鄜	ɸu1	
鄞	ȵin2	
鄢	i1	
鄧	dəŋ6	
鄭	zəŋ2	
鄰	lin2	
鄱	bu2	
鄺	kuɒ̃5	
酉	ɦiɤ4	
酊	ɗin1	～剂
酊	ɗin3	酩～
酋	ziɤ2	
酌	tsɑk7	【文读】
配	pʰe5	
酒	tsiɤ3	
酚	ɸəŋ1	
酣	he1	
酥	su1	
酩	min4	
酪	lɒk8	
酬	zɤ2	
酵	kɔ5	【白读】发～
酵	tɕiɔ5	【文读】～素
酷	kʰok7	
酸	sø1	
醃	i1	
醇	zəŋ2	
醉	tsø5	
醋	tsʰu5	
