#漢字	音標	解釋#('wuu_th_shj_sz_ltc', '淸末蘇州話', '淸末蘇州', '#0000FF,#4D4D4D', None, None, '版本：2.0(2022-01-03)<br>來源：樛木整理自《一百年前的蘇州話》、《蘇州同音字彙1892》、《鄉音字類》<br>說明：加*的漢字表示[ʐ][dʐ]歸屬、陽上陽去歸屬缺乏直接資料，以區分這兩者的蘇州行政區劃內的方吳語爲基準。', '44 1 1a 陰平 ꜀,223 2 1b 陽平 ꜁,51 3 2a 陰上 ꜂,31 4 2b 陽上 ꜃,523 5 3a 陰去 ꜄,312 6 3b 陽去 ꜅,4 7 4a 陰入 ꜆,23 8 4b 陽入 ꜇')
昇	ʂən1	
昉	fɑ̃3	
昊	ɦæ4	
昊	ɦæ6	
昌	tʂʰã1	
明	miɪn2	
昏	huən1	黄～時候
易	ɦi6	容～
易	ɦiəʔ8	交～
昔	siəʔ7	
昕	ɕiən1	
昚	ʐən6	
星	siɪn1	
映	iã5	
映	iɪn5	
春	tʂʰən1	
昧	mᴇ3	
昧	məʔ8	
昨	zo2	聲調據《中州音韻》：慈搔切
昨	zoʔ8	白讀：～日
昬	huən1	俗字
昭	tʂæ1	
昭	æ5	
是	zɿ6	
是	zɿ4	
昱	ioʔ7	
昳	diəʔ8	
昴	mæ4	
昵	ȵiəʔ8	
時	ʐʯ2	
晃	huɑ̃3	
晉	tsiən5	
晏	iɛ5	姓
晒	so5	
晚	ɛ3	可能爲“晏”
晚	vɛ4	
晝	tʂ𐞢ʏ5	～夜
晞	ɕi1	
晟	dʐən2	
晡	bu2	
晢	tʂʯ5	
晤	ŋᵊu6	
晦	huᴇ3	
晦	huᴇ5	
晨	ʐən2	朝～
晬	zᴇ6	
普	pʰu3	～及教育
景	tɕiɪn3	
晰	siəʔ7	
晴	dziɪn2	
晴	ziɪn2	
晶	tsiɪn1	水～
晷	kuᴇ3	
晸	tʂən3	
智	tʂʯ5	
晻	iɛ1	
晻	iɛ3	
晻	ø5	
晾	lɑ̃6	白讀：～衣裳
暀	uɑ̃3	
暄	ɕiø1	
暇	io3	
暈	ɦyən6	頭～
暉	huᴇ1	
暋	miɪn4	聲調的陰陽存疑
暌	ɡuᴇ2	
暍	iəʔ7	
暑	ʂʯ3	處～
暓	moŋ2	
暖	nø4	
暗	ø5	
暘	ɦiã2	
暢	tʂʰã5	
暨	tɕi5	
暫	dzɛ6	
暫	zɛ6	～時去一歇歇
暫	zɛ6	
暬	siəʔ7	
暮	mo6	
暱	ȵiəʔ8	親～
暴	bæ6	
暵	hø1	
暵	hø5	
暹	siɛ1	
暼	pʰiəʔ7	一～
暾	tʰən1	温～水
曀	i5	
曄	ɦiəʔ8	
曆	liəʔ8	～本
曇	dø2	
曉	ɕiæ3	
曏	ɕiã3	
曏	ɕiã5	
曖	ᴇ3	
曚	moŋ2	
曛	ɕyən1	
曜	ɦiæ6	
曝	boʔ8	～光
曠	kʰuɑ̃5	
曦	ɕi1	
曨	loŋ2	
曩	nɑ̃4	
曬	so5	白讀：日～夜露
曬	sᴇ5	文讀
曰	ɦyəʔ8	
曰	ɦyaʔ8	子～子～个老先生
曲	tɕʰioʔ7	唱～子
曳	ɦi6	
更	kã1	白讀：敲～个
更	kən1	
更	kən5	
曷	əʔ7	
書	ʂʯ1	讀～
曹	dzæ2	
曹	zæ2	姓
曼	mɛ6	
曾	dzən2	
曾	zən2	～經
曾	tsən1	～孫
替	tʰi5	
最	tsᴇ5	～好
會	kuᴇ5	白讀：～計
會	ɦuᴇ6	開～
會	uᴇ5	說～話
朅	tɕiəʔ7	
朆	fən1	～吃飯唻
月	ŋəʔ8	白讀：～亮
月	ȵyəʔ8	白讀：～日
月	ɦyəʔ8	文讀
有	iʏ3	
有	ɦiʏ4	
朋	bən2	
朋	bã2	～友
朌	pɛ1	
服	voʔ8	
朏	fi3	
朐	dʑy2	
朒	ʐoʔ8	
朒	ȵioʔ8	縮～
朓	tʰiæ5	
朓	diæ4	
朔	ʂoʔ7	～望
朔	soʔ7	
朕	dʐən4	
朗	lɑ̃4	
望	mɑ̃6	
望	vɑ̃6	
朝	tʂæ1	今～
朝	dʐæ2	
朞	tɕi1	
期	dʑi2	
朦	moŋ2	～藥
朧	loŋ2	
木	moʔ8	
未	vi6	
末	məʔ8	著～
本	pən3	
札	tsɑʔ7	
札	tsaʔ7	信～
朮	dʐəʔ8	
朱	tʂʯ1	姓
朴	pʰoʔ7	厚～
朵	tᵊu3	
朹	dʑiʏ2	
机	tɕi3	
朻	tɕiæ3	
朽	ɕiʏ3	～腐
杅	y1	
杆	kø1	
杇	ᵊu1	
杈	tsʰo5	
杈	tsʰo1	
杉	sɛ1	～木
杉	sᴇ1	
杌	ŋəʔ8	～子
李	li4	～子
杏	ɦiɪn4	
杏	ɦã4	白讀：～子
杏	ɦã6	
材	dzᴇ2	
材	zᴇ2	
村	tsʰən1	～荘
杓	piæ1	
杕	di6	
杖	dʐã4	
杗	mɑ̃2	
杙	ɦiəʔ8	
杜	dᵊu4	姓
杝	ɦi2	
杞	tɕʰi3	
束	tʂʰoʔ7	一～柴
束	ʂoʔ7	
杠	kɑ̃1	
杪	miæ4	
杬	ȵiø2	
杭	ɦɑ̃2	～州
杯	pᴇ1	
東	toŋ1	
杲	kæ3	
杳	iæ3	
杳	iæ5	～～冥冥
杵	tʂʰʯ3	
杶	tʂən1	
杶	tʂʰən1	
杷	bo2	枇～
杻	ȵiʏ4	
松	soŋ1	
板	pɛ3	
枇	bi2	
枇	biəʔ8	白讀
枉	uɑ̃3	冤～
枋	piɪn5	
枌	vən2	
枏	nø2	
析	siəʔ7	分～
枑	ŋᵊu6	
枒	iɑ1	
枓	t𐞢ʏ3	
枕	tʂən3	
林	liɪn2	～林
林	liɪn2	樹～
枘	zᴇ6	
枚	mᴇ2	
枝	tʂʯ1	
枯	kʰᵊu1	
枰	biɪn2	
枲	si3	
枳	tʂʯ3	～實
枵	ɕiæ1	空虛；布的絲縷稀而薄
架	kɑ5	白讀
架	tɕiɑ5	文讀
枷	kɑ1	白讀
枸	tɕy3	
枹	fv̩1	
枻	ɦi6	
枿	ȵiəʔ8	
柂	ɦi2	
柄	piɪn5	
柅	ȵi2	
柅	ȵi4	
柈	bø2	
柎	vv̩6	
柏	pɑʔ7	～樹
柏	pəʔ7	
某	m𐞢ʏ4	
柑	kø1	金～
柒	tsʰiəʔ7	
染	ȵiɛ4	
染	ȵiɛ4	～坊
染	ʐø4	
柔	dʐ𐞢ʏ2	
柘	tʂɑ5=	(書)
柙	ɦiaʔ8	
柚	z𐞢ʏ6	～子。該讀音來源不明
柚	ɦiʏ6	
柛	ʂən1	
柜	dʑy4	白讀：～枱
柜	tɕy3	
柝	tʰoʔ7	
柞	tsəʔ7	
柟	nø2	
柢	ti3	
柤	tʂɑ1=	(書)
查	dzo2	
查	zo2	調～
柧	kᵊu1	
柩	dʑiʏ6	
柩	dʑiʏ4	
柩	dʑiʏ6	靈～
柬	kɛ3	
柬	tɕiɛ3	書～
柮	tʂəʔ7	
柰	nᴇ6	即蘋果
柱	dʐʯ4	
柱	dʐʯ6	
柲	pi5	
柳	l𐞢ʏ1	楊～
柳	l𐞢ʏ4	
柴	zɑ2	①席～，指亂七八糟，忙乱。②姓
柴	zᴇ2	
柵	saʔ7	
柶	sɿ5	
柷	tʂoʔ7	
柺	kuɑ3	
柿	zɿ4	～子
柵	sɑʔ7	開～
栔	siəʔ7	
栖	si1	
栗	liəʔ8	～子
栘	ɦi2	
栝	kuaʔ7	
栞	kʰø1	
栟	piɪn1	
校	tɕiæ5	
校	ɦiæ6	學～
栩	ɕy3	
株	tʂʯ1	
栱	koŋ3	
栲	kʰəʔ7	～栳
栲	kʰæ3	
栳	læ4	
核	ŋəʔ8	
核	ɦuəʔ8	白讀：桃～
根	kən1	
格	kɑʔ7	白讀：～子
格	kəʔ7	
栽	tsᴇ1	～培
桀	dʑiəʔ8	
桁	ɦən2	
桂	kuᴇ5	～花
桃	dæ2	～子
桄	kuɑ̃1	
桅	ɦuᴇ2	
桅	ŋuᴇ2	～竿
框	kʰuɑ̃1	鏡～子
案	ø5	
桋	ɦi2	
桌	tʂoʔ7	半～
桎	tʂəʔ7	
桐	doŋ2	梧～
桑	sɑ̃1	～葉
桓	ɦuø2	
桔	tɕiəʔ7	
桕	dʑiʏ4	～油
槳	tsiã3	
桯	tʰiɪn1	
桴	fv̩1	
桶	tʰoŋ3	
桶	doŋ4	飯～
桷	tɕioʔ7	
桹	lɑ̃2	
桼	tsʰiəʔ7	
桿	kø1	
桿	kø3	槍～子
梁	liã2	
梃	tʰiɪn3	
梄	ɦiʏ4	
梅	mᴇ2	
梆	pɑ̃1	敲～
梏	koʔ7	
梓	tsɿ3	
梔	tʂʯ1	
梗	kã3	白讀：桔～
梗	kən3	
梜	tɕiaʔ7	
條	tʰæ1	
條	diæ2	
梟	ɕiæ1	鹽～
梡	kʰuø3	
梢	sæ1	掮木～
梧	ŋᵊu2	
梨	li2	～膏
梩	li2	
梭	sᵊu1	～子
梮	tɕioʔ7	
梯	tʰi1	
械	ɦiɛ6	軍～
械	ɦiɑ6	
梱	kʰuən3	
梳	sᵊu1	
梳	sɿ1	～頭
梵	vɛ6	
梲	tʂəʔ7	
棄	tɕʰi5	
棉	miɛ2	～花
棊	dʑi2	
棋	dʑi2	着～
棍	kuən1	
棐	fi3	
棒	bɑ̃6	
棕	tsoŋ1	～墊
棖	zən2	
棗	tsæ3	～子
棘	tɕiəʔ7	
棚	poŋ1	
棚	bən2	
棚	bã2	白讀：牛～
棜	y5	
棟	toŋ5	
棠	dɑ̃2	海～
棣	di6	
棦	tsən1	
棧	dzɛ6	
棧	zɛ4	
棨	tɕʰi3	
棫	ɦyəʔ8	
棬	tɕʰiø1	
森	sən1	
棱	lən2	
棱	liɪn2	
棲	tsʰi1	
棵	kʰᵊu1	
棺	kuø1	～材
棼	vən2	
椅	i3	
椅	i1	
椇	dʑy4	
植	dʐəʔ8	種～
椎	tsᴇ1	
椏	uo1	～杈，用來擱置晾衣竹竿的椏
椐	tɕy1	
椑	bi2	
椒	tsiæ1	花～
椓	tʂoʔ7	
椔	tsɿ1	
樿	ʐø6	
椰	iɑ1	
椶	tsoŋ1	
椷	tɕiɛ1	
椸	ɦi2	
椽	dʐø2	～子
椿	tʂʰən1	香～頭
楂	tso1	～糕
楂	zo2	
楄	biɛ4	
楅	foʔ7	
楅	piəʔ7	
楊	ɦiã2	姓
楎	huᴇ1	
楓	foŋ1	
楔	siəʔ7	
楖	tsiəʔ7	
楗	dʑiɛ4	
楘	moʔ8	
楙	m𐞢ʏ4	
楚	tsʰᵊu3	清～
楛	ɦᵊu4	
楝	liɛ6	
楞	lən2	
楠	nø2	
楣	mᴇ2	
楦	ɕiø1	
楦	ɕiø5	～頭
楨	tʂən1	
楩	biɛ4	
楫	tsʰiəʔ7	
楬	tɕiəʔ7	
業	ȵiəʔ8	
楮	tʂʰʯ3	
楯	dən4	
楰	ɦy2	
楳	mᴇ2	
楴	tʰi5	
極	dʑiəʔ8	發～
楷	tɕʰiɑ1	
楷	kʰɑ3	白讀：小～
楷	tɕʰiɑ3	
楸	tsʰ𐞢ʏ1	
楹	ɦiɪn2	
概	kᴇ5	
榆	ɦy2	～樹
榎	tɕiɑ3	
榑	vv̩2	
榔	lɑ̃2	
榕	ɦioŋ2	
榘	tɕy3	
榛	tsən1	～子
榜	pɑ̃3	
榤	dʑiəʔ8	木樁
榦	kø5	
榧	fi3	
榨	tsɑʔ7	
榨	tso5	～床
榫	ʂən3	鑲～头
榭	dziɑ6	
榮	ɦioŋ2	
榰	tʂʯ1	
榱	tsʰᴇ1	
榴	l𐞢ʏ2	石～
榷	tɕʰioʔ7	
榹	sɿ1	
榻	tʰɑʔ7	
榻	tʰaʔ7	竹～
榼	ɦəʔ8	
榾	kuəʔ7	
榿	tɕʰi1	
槀	kæ3	
槁	kæ3	
槃	bø2	
槄	tʰæ1	
槅	kɑʔ7	～子
構	k𐞢ʏ5	～造
槌	tᴇ1	《洪武正韻》：都回切
槍	tsʰiã1	
槎	zo2	
槐	ɦuɑ2	白讀：～樹
槐	ɦuᴇ2	
槓	kɑ̃5	～棒
槔	kæ1	
槧	zɛ6	
槨	kuoʔ7	棺～
槩	kᴇ5	
槱	ɦiʏ4	
槲	ɦoʔ8	
槳	tsiã3	划～
槷	ȵiəʔ8	
槸	ȵi6	
槹	kæ1	
槽	dzæ2	
槽	zæ2	馬～
槿	dʑiən4	木～
樁	tʂʰoŋ1	
樁	tʂɑ̃1	打～
樂	loʔ8	快～
樂	ɦioʔ8	文讀：音～
樊	vɛ2	
樏	lᴇ2	
樑	liã2	
樓	l𐞢ʏ2	～房
樔	zæ2	
樕	soʔ7	
樗	tʂʰʯ1	
標	piæ5	
標	piæ1	
樛	tɕiʏ1	
樜	tso5	
樝	tʂɑ1=	(書)
樞	tʂʰʯ1	
樞	tɕʰy1	
樟	tʂã1	文讀
樟	tsɑ̃1	白讀
樠	mən2	
模	mo2	
樣	ɦiã6	
樨	si1	木～
横	ɦuən2	縱～
横	ɦuã2	強～覇道
樲	əl6	
樴	tʂəʔ7	
樵	dziæ2	
樵	ziæ2	漁～耕讀
樸	boʔ8	
樸	pʰoʔ7	簡～
樹	ʐʯ6	
樽	tsən1	
樾	ɦyəʔ8	
橄	kɛ3	
橅	mo2	
橇	tɕʰiæ1	
橈	næ2	
橋	dʑiæ2	
橐	tʰoʔ7	
橑	liæ2	
橕	tsʰən1	
橘	tɕyəʔ7	福～
橙	dzã2	白讀
橙	zã2	白讀：～子
橙	zən2	文讀
橛	tɕyəʔ7	
橛	dʑyəʔ8	一～～
機	tɕi1	織～
橡	ziã4	～皮
橢	dᵊu6	
橭	kʰᵊu1	
檀	dɛ2	～香
檄	ɦiəʔ8	
檇	tsᴇ1	
檉	tʂʰən1	
檍	iəʔ7	
檎	dʑiən2	
檔	tɑ̃5	
檗	pəʔ7	
檛	tsuo1	
檜	kuᴇ5	
檝	tsʰiəʔ7	
檞	ziɑ6	
檟	tɕiɑ3	
檠	dʑiɪn2	
檢	tɕiɛ3	～點
檣	dziã2	
檣	ziã2	
檬	moŋ2	檸～
檮	dæ2	
檯	dᴇ2	～子
檳	piɪn1	～榔
檴	ɦoʔ8	
檻	kʰɛ3	門～
檻	tɕʰiɛ3	
檿	iɛ3	
櫂	zæ6	
櫃	ɡuᴇ6	文讀
櫋	piɛ3	屋檐板
櫌	iʏ3	
櫐	lᴇ4	
櫓	lᵊu4	搖～
櫖	tʂʰʯ1	
櫚	li2	
櫛	tʂəʔ7	
櫛	tsiəʔ7	
櫜	kæ1	
櫝	doʔ8	
櫞	ɦiø2	香～
櫟	liəʔ8	
櫥	dʐʯ2	
櫨	lᵊu2	
櫪	liəʔ8	
櫬	tsʰən5	
櫱	ȵiəʔ8	
櫳	loŋ2	
櫸	tɕy3	
櫻	iən1	
櫻	ã1	白讀：～桃
櫽	iən3	
欃	zɛ2	
欄	lɛ2	～幹
欇	ʂəʔ7	
權	dʑiø2	～力
欑	zø2	
欒	lø2	
欖	lɛ4	橄～
欙	lᴇ2	
欛	po5	～柄
欞	liɪn2	
欠	tɕʰiɛ5	～債
次	tsʰɿ5	
欣	ɕiən1	～喜
欬	kʰəʔ7	
欬	kʰᴇ5	
欲	ɦioʔ8	
欳	kʰuᴇ5	
欵	kʰuø3	
欷	ɕi1	
欸	ᴇ1	
欺	tɕʰi1	～瞞
欽	tɕʰiən1	
款	kʰuø3	～子
欿	kʰø3	
歂	dʐø2	
歃	tsʰaʔ7	
歅	iɪn1	
歆	ɕiən1	
歇	ɕiəʔ7	等一～～
歈	ɦy2	
歉	tɕʰiɛ3	
歉	tɕʰiəʔ7	白讀：抱～
歊	ɕiæ1	
歌	kᵊu1	唱山～
歎	tʰɛ5	
歐	𐞢ʏ1	
歔	ɕy1	
歗	siæ5	
歙	ɕiəʔ7	
歜	tʂʰoʔ7	
歝	ɦiəʔ8	
歟	ɦy2	
歠	tʂʰəʔ7	
歡	huø1	～喜
止	tʂʯ3	
正	tʂən5	
此	tsʰɿ3	
步	bu6	
武	vv̩4	
歧	dʑi2	
歪	huɑ1	～有理
歪	uɑ1	～嬲。聲調類推
歲	sᴇ5	
歷	liəʔ8	
歸	kuᴇ1	
歸	tɕy1	接大～
歹	tᴇ3	弗得知好～
死	si3	白讀
死	sɿ3	
歾	məʔ8	
歿	məʔ8	
殀	iæ3	
殀	iæ1	
殁	məʔ8	
殃	iã1	遭～
殄	diɛ4	
殆	dᴇ6	
殆	dᴇ4	
殈	siəʔ7	
殉	siɪn5	
殊	dʐʯ2	
殍	pʰiæ3	餓～
殖	dʐəʔ8	
殘	dzɛ2	
殘	zɛ2	
殛	tɕiəʔ7	
殞	yən3	
殞	yən5	
殤	ʂã1	
殪	i5	
殫	tɛ1	
殮	liɛ6	
殯	piɪn5	出～
殰	doʔ8	
殲	siɛ1	
殳	ʐʯ2	
殳	dʐʯ2	
段	dø6	姓
殷	ɛ3	紫青綠～
殺	saʔ7	
殻	kʰoʔ7	
殼	kʰoʔ7	
殽	ɦiæ2	
殿	diɛ6	
毁	huᴇ3	
轂	koʔ7	
毄	tɕiəʔ7	
毅	ȵi6	
毆	𐞢ʏ3	
毋	vv̩2	
母	mu4	
母	mo4	
每	mᴇ3	
毒	doʔ8	
毓	ioʔ7	
比	pi1	
毖	pi5	
毗	bi2	
毘	bi2	
毚	zɛ2	
毛	mæ2	
毡	tʂø1	～帽
毨	siɛ3	
毫	ɦæ2	一絲一～
毬	dʑiʏ2	
毯	tʰɛ3	～子
毳	tsʰᴇ5	
毿	sᴇ1	
毹	ɦy2	
毼	əʔ7	
毽	tɕiɛ5	踢～子，即踢絹踢
氂	mæ2	
氄	ʐoŋ4	
氅	tʂʰã3	鶴～
氈	tʂø1	
氉	sæ5	
氏	ʐʯ4	
氏	zɿ6	
氐	ti3	
氐	ti1	
民	miɪn2	～權
氓	mən2	
氓	mɑ̃2	流～
氛	fən1	
氛	vən2	
氣	tɕʰi5	一團和～
氤	iɪn1	
氳	yən1	
水	ʂʯ3	
水	sᴇ3	文读
永	ioŋ3	
氽	tʰən3	～辣水面浪
氾	fɛ5	
氿	kuᴇ3	
汀	tiɪn1	
汀	tʰiɪn1	
汁	tʂəʔ7	
求	dʑiʏ2	～人不如～己
汆	tʰən3	應寫作“氽”
汆	tsʰø1	白讀：～糟魚
汊	tsʰo5	～港
汋	tʂɑʔ7	
汍	ɦuø2	
汎	fɛ5	
汏	dɑ6	～衣裳
汐	ziəʔ8	
汔	ɕiəʔ7	
汕	sɛ5	
汗	ɦø6	
汙	ᵊu1	
汛	siən5	
汜	zɿ4	
汞	ɦoŋ4	
江	tɕiɑ̃1	
江	kɑ̃1	白讀
池	dʐʯ2	魚～
汧	tɕʰiɛ1	
汩	kuəʔ7	
汪	uɑ̃1	姓
汭	zᴇ6	
汰	tʰᴇ5	淘～
汲	tɕiəʔ7	
汳	biɛ6	
汴	biɛ6	
汶	vən6	
汹	ɕioŋ1	
決	tɕyəʔ7	～計
汽	tɕʰi5	～水。
汾	vən2	
沁	siɪn5	
沂	ȵi2	
沃	uoʔ7	～土
沃	oʔ7	
沄	ɦyən2	
沅	ȵiø2	
沆	ɑ̃1	
沈	ʂən1	
沈	ʂən3	姓
沉	dʐən2	～下去
沋	ɦiʏ2	
沌	dən6	
沌	dən4	
沐	moʔ8	
沒	məʔ8	
沓	dɑʔ8	
沓	dəʔ8	
沖	tʂʰoŋ1	～開水
沙	so1	～灘
沚	tʂʯ3	
沛	pʰᴇ5	
没	məʔ8	沉～
沫	mo2	
沫	mᴇ6	
沫	məʔ8	吐～
沭	ʐoʔ8	
沮	tsi1	
沰	toʔ7	滴～
沱	dᵊu2	
河	ɦᵊu2	
沴	li6	
沸	fəʔ7	可能爲誤讀
沸	fi5	
油	ɦiʏ2	
沺	diɛ2	
治	dʐʯ6	
沼	tʂæ3	
沼	tʂæ5	
沽	kᵊu1	
沾	tʂø1	
沿	ɦiɛ2	
況	huɑ̃5	～且
泂	tɕioŋ3	
泄	ɦi6	
泅	z𐞢ʏ2	～水
泆	ɦiəʔ8	
泉	dziɛ2	
泉	ziɛ2	～水
泊	pʰoʔ7	
泊	boʔ8	
泌	pi5	
泐	ləʔ8	
泓	ɦoŋ2	
泔	kø1	米～水
法	fɑʔ7	
法	faʔ7	
泖	mæ4	
泗	sɿ5	
泚	tsʰɿ3	
泛	fɛ5	
泝	sᵊu5	
泠	liɪn2	
泡	pʰæ5	飯～粥
泡	pʰæ1	
波	pu1	
泣	tɕʰiəʔ7	哭～
泥	ȵi2	爛～
泫	ȵiø4	
泭	fv̩1	
泮	pʰø5	
泯	miɪn4	
泰	tʰɑ5	～伯廟橋
泰	tʰᴇ5	文讀
泱	iã1	
泲	tsi3	
泲	tsi5	
泳	ioŋ5	游～
洄	ɦuᴇ2	
洊	tsiɛ5	
洋	ɦiã2	
洌	liəʔ8	
洎	tɕi5	
洏	əl2	
洑	voʔ8	
洒	sɑ3	
洒	sᴇ3	
洗	siɛ3	
洗	si3	
洙	tʂʯ1	
洚	tɕiɑ̃5	
洛	loʔ8	
洞	doŋ6	
洟	ɦi2	
津	tsiən1	天～
洧	uᴇ3	
洩	siəʔ7	～漏
洪	ɦoŋ2	姓
洫	ɕyəʔ7	
洮	tʰæ1	
洲	tʂ𐞢ʏ1	
洳	ʐʯ2	
洴	biɛ4	
洴	biɪn2	
洵	siɪn1	
洶	ɕioŋ1	聲勢～～
洸	kuɑ̃1	
活	ɦuəʔ8	
洽	ɦiəʔ8	接～
派	pʰɑ5	～一個人去
派	pʰᴇ5	
洿	ᵊu1	
流	l𐞢ʏ2	
浄	ziɪn6	乾～
浙	tʂəʔ7	～江
浚	tsiɪn5	
浜	pã1	
浞	tʂoʔ7	
浡	bəʔ8	
浣	ɦuø4	
浣	uø3	
浥	iəʔ7	
浦	pʰu3	姓
浩	ɦæ4	用途～繁
浩	ɦæ6	據《集韻》：居號切
浪	lɑ̃6	～頭
浮	v𐞢ʏ2	～泡泡
浴	ɦioʔ8	
海	hɛ3	
海	hᴇ3	～貨
海	hᴇ3	
浸	tsiɪn5	
浹	tsiəʔ7	
浼	mᴇ3	
涄	pʰiɪn1	
涅	ȵiəʔ8	
涇	tɕiɪn1	
消	siæ1	～化
涉	dʐəʔ8	幹～
涊	ȵiɛ4	
涌	ioŋ3	
涎	dzɛ2	
涑	soʔ7	
涒	tʰən1	
涓	tɕiø1	
涔	zən2	
涕	tʰi5	
涖	li6	
涪	b𐞢ʏ2	
涯	ɦiɑ2	
涯	iɑ1	
液	ɦiəʔ8	津～
涴	ɦuɛ4	
涵	ɦø2	包～
涸	hoʔ7	乾～～
涼	liã2	風～
涿	tʂoʔ7	
淄	tsɿ1	
淅	siəʔ7	
淆	ɦiæ2	
淇	dʑi2	
淋	liɪn2	
淌	tʰɑ̃3	
淑	ʐoʔ8	
淒	tsʰi1	～涼
淘	dæ2	～米
淙	tsɑ̃1	
淚	li6	白讀：眼～
淚	lᴇ6	
淛	tʂəʔ7	
淜	pʰən1	
淝	vi2	
淞	soŋ1	吳～
淟	tʰiɛ3	
淠	pʰi5	
淡	dɛ4	
淢	ɦyəʔ8	
淥	loʔ8	
淦	kø5	
淨	dziɪn6	乾～
淨	ziɪn4	
淩	liɪn2	
淪	lən2	
淫	ɦiɪn2	
淮	ɦuɑ2	白讀：～上
淮	ɦuᴇ2	
淰	ʂən3	
深	ʂən1	
淴	huəʔ7	～浴
淵	iø1	
混	huən5	～日腳
混	ɦuən4	
淹	iɛ1	
淺	tsʰiɛ3	
添	tʰiɛ1	
清	tsʰiɪn1	～爽；～潔
漬	tsɿ5	
渙	huø5	～散
渚	tʂʯ3	
渚	tʂʰʯ3	
減	kɛ3	
減	tɕiɛ3	
渝	ɦy2	
渟	diɪn2	
渠	dʑy2	
渡	dᵊu6	
渢	fɛ5	
渢	voŋ2	
渣	tso1	
渤	bəʔ8	
渥	oʔ7	
渦	ᵊu1	旋～
渫	siəʔ7	
測	tsʰɑʔ7	
測	tsʰəʔ7	～量
渭	ɦuᴇ6	
港	tɕiɑ̃3=	(書)
港	kɑ̃3	
渰	iɛ3	
渲	ɕiø5	～染
渴	kʰəʔ7	口～
游	ɦiʏ2	
渺	miæ6	
渺	miæ4	
渼	mᴇ3	
渾	ɦuən2	
湃	pʰᴇ5	
湄	mᴇ2	
湉	diɛ2	
湊	tsʰ𐞢ʏ5	～巧
湍	tʰø1	
湎	miɛ6	
湑	si3	
湔	tsiɛ1	
湖	ɦᵊu2	太～
湘	siã1	～妃竹
湛	dʐən2	
湜	dʐəʔ8	
湢	piəʔ7	
湣	miɪn4	古同“閔”。聲調的陰陽存疑
湧	ioŋ3	
湫	tsʰiæ1	
湮	ɦiɛ2	
湯	tʰɑ̃1	
湲	ɦiø2	
漵	zi4	
溈	kuᴇ1	
溉	kᴇ5	灌～
溏	dɑ̃2	
源	ȵiø2	～頭上
溘	ɦəʔ8	
溜	l𐞢ʏ6	
溝	k𐞢ʏ1	開～
溞	sæ1	
溟	miɪn2	
溠	tso5	
溢	iəʔ7	
溥	pʰu3	
溧	liəʔ8	
溪	tɕʰi1	
溫	uən1	姓
溯	sᵊu5	
溱	tsən1	
溲	s𐞢ʏ1	
溲	s𐞢ʏ3	～粉
溶	ɦioŋ2	
溷	ɦuən6	
溺	ȵiəʔ8	沈～
溽	ʐoʔ8	
滁	dʐʯ2	
滂	pʰɑ̃1	
滂	bɑ̃2	
滃	oŋ3	
滄	tsʰɑ̃1	～浪亭
滅	miəʔ8	
滇	diɛ2	
滉	huɑ̃3	
滋	tsɿ1	～潤
滌	diəʔ8	
滎	ɦioŋ2	
滑	ɦuaʔ8	～石
滓	tsɿ3	渣～
滔	tʰæ1	～～不絕
滕	dən2	
滙	ɦuᴇ2	
滫	s𐞢ʏ3	
滬	ɦᵊu4	指上海
滯	dʐʯ6	
滲	sən5	～漏
滴	tiəʔ7	
滷	lᵊu4	咸菜～
滸	hᵊu3	水～
滸	ɕy3	～墅關
滹	hᵊu1	
滾	kuən3	～水
滾	kuən1	
滿	mø4	
漁	ɦy2	
漂	pʰiæ1	
漂	pʰiæ3	
漆	tsʰiəʔ7	～匠
漈	tsi5	
漉	toʔ7	
漉	loʔ8	
漏	l𐞢ʏ6	
漓	li2	
演	iɛ3	～戲
漕	dzæ2	
漕	zæ2	～糧
漕	zæ6	～糧
漘	ʐən2	
漙	dø2	
漚	𐞢ʏ5	
漚	𐞢ʏ1	
漠	moʔ8	
漢	hø5	好～
漣	liɛ2	
漦	ʐʯ2	
漦	li2	
漪	i1	
漫	mø6	水～金山
漯	tʰaʔ7	
漱	s𐞢ʏ5	～口
漲	tʂã3	水～船高
漲	tʂã5	
漳	tʂã1	
漶	ɦuɛ6	
漸	dziɛ6	
漸	tsiɛ1	
漸	ziɛ4	
漾	ɦioŋ2	
漾	ɦiã6	
漿	tsiã1	
潁	iɪn3	
潏	tɕyəʔ7	
潑	pʰəʔ7	～水
潔	tɕiəʔ7	
潕	vv̩4	
潘	pʰø1	姓
潛	dziɛ2	
潝	ɕiəʔ7	
潞	lᵊu6	
潠	sən5	
潢	ɦuɑ̃2	
潤	ʐən6	
潦	læ4	
潨	zoŋ2	
潭	dø2	
潮	dʐæ2	～水
潯	ziɪn2	南～
潰	ɡuᴇ6	～兵
潺	zɛ2	水聲～～
潼	doŋ2	
澀	səʔ7	
澂	dʐən2	
澄	dzã2	白讀
澄	zã2	白讀：洋～湖
澄	dʐən2	
澆	tɕiæ1	～菜
澈	tʂʰəʔ7	清～
澌	si1	
澍	tʂʯ5	
澎	pʰən1	
澒	ɦoŋ4	
澗	kɛ5	山～水
澗	tɕiɛ3	
澗	tɕiɛ5	
