#漢字	音標	解釋
#簡稱	/	江門墟頂
#全稱	/	江門市區話（墟頂）
#聲母	/	
#韻母	/	
#聲調	/	23 1 1a 陰平陰去 ꜀,45 3 2 陰上 ꜂,,21 2 1b 陽平陽上 ꜁,,32 6 3 陽去 ꜅,45 7a 4a 上陰入 ꜆,23 7b 4b 下陰入 ꜀,32 8a 4c 陽入 ꜇,21 8b 4d 變入 ꜁
#版本	/	2022-02-13
#錄入人	/	Kwíngiem Chan
#參考資料	/	
#說明	/	
季	kwuɐi1	
孤	ku1	
孩	hai4	習讀音應爲官話影響導致
孫	sin1	
孰	sʊk9	
孵	fu1	
學	hɔk9	
孺	ji4	
它	ha1	
宅	tsɐk9	
宇	ji4	
守	sɐu2	
安	ŋɔn1	
宋	sʊŋ1	
完	jin4	
宏	wɐŋ4	
宕	tɔŋ6	
宗	tsʊŋ1	
官	kun1	
宙	tsɐu6	
定	tiɐŋ6	落定
定	tɪŋ6	安定
宛	jin2	宛然
宛	jin1	大宛
宜	ji4	
客	hɐk7	
宣	sin1	
室	sɐt7	
宮	kʊŋ1	
宰	tsɔi2	
害	hɔi6	
宴	jin1	
宵	siu1	
家	ka1	家人
家	ku1	曹大家
宸	sɐn4	
容	jʊŋ4	
宿	sɐu1	星宿
宿	sʊk7	住宿
寂	tsɪk9	
寄	kei1	
寅	jɐn4	
密	mɐt9	
寇	kʰɐu1	
富	fu1	
寐	mei6	
寒	hɔn4	
寓	ji6	
寞	mɔk9	
察	tsʰat8	
寡	kwua2	
寢	tsʰɐm2	
寤	ŋ6	
寥	liu4	
實	sɐt9	
寧	nɪŋ4	
寨	tsai6	
審	sɐm2	
寫	sɛ2	
寬	fun1	
寮	liu4	
寰	wan4	
寵	tsʰʊŋ2	
寶	pou2	
寸	tsʰin1	
寺	tsi6	
封	fʊŋ1	
射	jɛ6	僕射
射	jɪk9	無射
射	sɛ6	發射
射	sɪk9	放箭使中目標物
將	tsiɔŋ1	將來
將	tsiɔŋ1	將領
專	tsin1	
尉	wɐi1	
尉	wɐt7	
尊	tsin1	
尋	tsʰɐm4	
對	tui1	
導	tou6	
小	siu2	
少	siu2	多少
少	siu1	年少
尖	tsim1	
尚	siɔŋ6	
尤	jɐu4	
尬	kai1	
就	tsɐu6	
就	ʔɐ2	語流變讀
尷	kam1	
尹	wɐn2	
尺	tsʰiɐk8	
尼	nei4	拘泥
尾	mei2	
尿	niu6	
局	kʊk9	
屁	pʰei1	
居	kui1	
屆	kai1	
屈	wɐt7	
屋	ŋʊk7	
屍	si1	
屎	si2	
屏	pɪŋ2	屏除
屏	pʰɪŋ4	屏幕
屑	sit8	
展	tsin2	
屜	hɐi1	
屠	hou4	
屢	lui1	習讀音應爲官話影響導致
層	tsʰɐŋ4	
履	lui4	
屬	sʊk9	屬於
屬	tsʊk9	屬文
屯	hin4	
屯	tsɐn1	
山	san1	
屹	ŋɐt9	
岌	kʰɐp7	
岔	tsʰa1	
岡	kɔŋ1	
岩	ŋam4	
岱	tɔi6	
岳	ŋɔk9	
岷	mɐn4	
岸	ŋɔn6	
峇	pa1	
峙	si6	
峨	ŋɔ4	
峪	jʊk9	
峭	tsʰiu1	
峯	fʊŋ1	
