#漢字	音標	解釋#('hsn_ls_qlcl', '晴隆長流話', '晴隆長流', '#8B0000', None, None, '來源：吴伟军.贵州晴隆长流“喇叭苗”土话音系[J].方言,2019(4):446-462.', '44 1 1a 陰平 ꜀,21 2 1b 陽平 ꜁,41 3 2 上 ꜂,,35 5 3 去 ꜄,,13 7 4 入 ꜆', None, None)
㖿	iai2	叹词，反驳别人的意见
議	i5	
訊	ɕin5	
記	tɕi5	(文)～录]纪[(文)～律]既忌[(文)～妒
諱	ɦuei5	
許	ɕi3	
訛	o7	～诈
論	len2	～语]伦纶轮[(文)～流]睖[～眼睛：瞪眼
論	len5	议～]楞愣令[(白)～牌]另[(白)
諷	hʌŋ3	
訣	tɕiai7	
证	tʂen5	
評	bin2	(白)～分
詛	tsu3	
識	ʂʅ7	
詐	tsɑ5	
訴	su5	
診	tʂen1	
詔	tʂɔ5	
譯	i2	
詩	ʂʅ1	
話	uɑ5	
誕	dã5	
詭	kuei3	
詢	ɕin2	
該	kai1	
詳	tɕʰiõ2	(文)周～]祥[(文)慈～]强[(文)～大
詳	dʑiõ2	(白)～细]祥[(白)吉～]晴[(白)(1)天～
誣	vu1	
誤	vu5	
誥	kɔ5	
誘	iɯ5	
誨	huei3	
說	ʂo7	
請	tɕʰiõ3	(白)～客
請	tɕʰin3	(文)～求
諸	tʂu1	
諾	no7	
讀	tʰu5	(白)～书
誹	huei3	
課	kʰʉ5	(白)
誰	sei2	
調	tʰiɔ2	～解
調	diɯ5	(白)～动
調	tiɔ5	(文)音～；～摆：安排，分配
諒	liõ5	
誼	i2	
謀	mu2	
諜	tiai7	
諧	ɕiai7	
謂	uei5	
諳	ŋã2	(1)估计；估量：～倒点
諳	ŋã3	(2)
諺	iɛ̃5	
諦	ti5	
謎	mei5	(白)～～：谜语
謎	mi7	(文)～语
謝	ɕi5	(文)(2)多～]絮[(2)]序叙绪婿碎[(白)捏～
謝	ɕiɑ5	(白)(1)～媒
謝	ɕiai5	(文)姓]麝[～香]赦舍[宿～
謠	iɔ2	
謾	mã5	
謬	miɯ5	
譚	dã2	姓]谈痰檀坛掸[(白)～灰]弹[～琴
譜	pʰu3	
谷	ku1	(白)稻类作物植株
谷	ku7	(文)～雨
豁	ho1	
豆	dɯ3	(白)～仔
豆	dɯ5	(白)～瓣酱
豉	ʂʅ5	豆～]示视柿[(文)～子]试寺[(2)
豌	uõ1	～豆
豚	tʰen2	
象	ɕiõ5	
豪	ɦɔ2	
豫	i5	
豹	pɔ5	
貂	tiɔ1	
貌	mɔ5	
貝	pei5	
貞	tʂen1	
貢	kʌŋ5	祭奠
責	tsai7	
賢	ʐã2	
敗	bai5	
貨	hʉ5	
質	tʂʅ7	
販	huã5	
貪	tʰã1	
貧	pʰin2	(文)]频[(文)]凭[(文)～证
貧	bin2	(白)]频[(白)]凭[(白)～白无故
貶	pĩ3	(白)～打：贬低；看轻
貶	piɛ̃3	(文)～义
購	kiɯ5	
貫	kõ5	
貳	ʌɤ5	～心
賤	dʑĩ5	
貴	kuei5	
貸	tai5	
貿	mu5	
費	huei5	
賀	ɦʉ5	(白)道～
賀	ho5	(文)祝～；姓]霍[姓]藿[(文)～香
賊	tsei2	(文)～眉鼠眼
賈	tʂɑ3	姓
賄	huei5	
賃	lin5	
賂	lu5	
資	tsɿ1	
賒	ʂai1	(文)
賭	tu3	
贖	ʂɯ5	
賜	tsʰɿ5	
賠	bei2	
賴	lai5	
贅	tsei5	
賺	dʐuen5	
賽	sai5	
赞	tsã5	
贈	tsen5	
贏	iõ2	(文)输～
赤	tʰiɑ1	(白)打～脚
赤	tsʰɿ2	(文)～脚医生
赫	hai7	～～有名]核[～查]黑[(文)～板
走	tsɯ3	
趙	dʐɔ5	
趕	kã3	(文)～快
趕	kõ3	(白)～场]管馆岗[～位]广讲[(白)～话
起	tʂʰʅ3	
趁	tʂʰen5	
超	tʂʰɔ1	
越	iai7	
趟	tʰõ5	
趣	tɕʰi5	
足	tsu7	
趴	pʰɑ1	
躉	tei3	整买
趼	tɕĩ3	
趾	tsɿ3	
趿	sɑ7	披鞋～袜]撒[失落：抛～]杀[(文)自～
躍	iɔ5	
跍	ɡu2	蹲
跑	pʰɔ3	
跛	pai1	瘸：～脚
跛	pʉ3	(白)～脚
跛	po3	(文)～落货：劣质品
跛	piɑ5	(训读)～脚
距	tɕi5	
跟	ken1	
跨	tʂʰɑ5	(白)步～河：地名
跨	kʰuɑ5	(文)～栏
跪	kʰuei3	(文)～～拜拜
跪	ɡuei3	(白)～倒
路	lu5	
跳	tʰiɯ5	
踐	tɕʰiɛ̃3	
躂	tɑ7	摔
蹺	tɕʰiɔ1	(文)
跺	dʉ3	～脚
踏	tʰɑ7	
踔	tsʰo7	走到；钻营：～得张票
踢	tʰiɑ1	(白)(旧读)～长猫：民间体育游戏
踢	tʰi7	(文)～腿
踩	tsʰai3	
蹤	tsʌŋ1	
踮	tiɛ̃1	
蹄	di2	
蹈	dɔ5	
蹉	tsʰo1	～跎
蹋	tʰɑ7	
蹦	pʌŋ5	
蹩	piai5	崴；扭
蹬	ten1	
蹭	tsen5	磨～
躁	tsʰɔ5	
身	ʂen1	
躲	tʉ3	(白)
躲	to3	(文)
躴	lõ1	单薄
躺	tʰõ3	
車	tɕi1	～马炮]拘驹奇[～数]饥肌幾[～乎
車	tʂʰɑ1	(白)纺～
車	tɕʰiai1	(文)火～
軌	kuei3	
軒	ɕiɛ̃1	
轉	tʂuã3	～眼
轉	tĩ5	(白)～回来
轉	tʂuã5	(文)(1)地～～：一种植物]卷[一～书]圈[猪～
轉	tʂõ5	(文)(2)～动]帐账胀[(文)(2)～气]仗障瘴[～气
軟	ʐuen3	
轟	hʌŋ1	
輕	tʂʰõ1	～重
載	tsai5	装：～东西
載	tsai5	三年五～
轎	dʐɯ5	(白)抬～
轎	dʐɔ5	(1)～夫子：抬轿的人
輔	hu3	
輩	bei5	
輝	huei1	
輸	su1	
輸	ʂu1	～赢
轄	ʂɑ7	
辛	ɕin1	
辟	pʰi5	开～
辨	piɛ̃5	
辯	bĩ5	(白)～输赢
辯	piɛ̃5	(文)～论
辮	bĩ5	
辰	ʐen2	
辱	ʐu3	
邊	pĩ1	(白)～～
邊	piɛ̃1	(文)～远
遼	liɔ2	
达	tɑ7	
迁	tɕʰiɛ̃1	(文)搬～]牵[(文)～引]铅[(文)
迂	i2	
過	ku5	(2)
邁	mai5	
迎	in2	
運	in5	
近	dʐen5	(白)～路]澄[～干净]郑菌[(白)(2)～子
返	huã3	
還	ɑ2	(白)～冇有到
還	ɦai2	(文)～有
進	tɕin5	
遠	ĩ3	
違	uei2	
連	lĩ2	(白)～忙
連	liɛ̃2	(文)～队
迥	tɕiʌŋ3	～然毋同
迫	pʰai7	
述	su7	
迷	mi2	(文)～惑]弥糜[(文)～烂]靡[风～
迷	min2	(白)～信]民鸣明[(文)光～]名[(文)～声
迸	pen5	～裂
迹	tɕi7	
追	lei1	(白)～倒]腊[(白)～肉]蜡[(白)～渣：蜂蜡
追	tʂuei1	(文)～求]蕨[(文)～苔]砖[(白)特指土法制作，用黏土烧制成的砖
退	tʰei5	
送	sʌŋ1	做补语：拿～我
送	sʌŋ5	～礼]宋诵颂讼[诉～]餸[～饭：下饭
適	ʂʅ7	
逃	tʰɔ2	(文)～避]淘[(文)～宝]陶[(文)姓
逆	ȵi2	
選	ɕiɛ̃3	(文)～择
逍	ɕiɔ1	
透	tʰɯ5	
遞	di5	
途	tʰu2	(文)中～]涂[(文)～料]秃[(文)光～～
逗	tɯ1	
通	tʰʌŋ1	
逛	kõ5	～街
逞	tʂʰen3	～能
速	su7	
逮	tai3	
逵	kʰuei2	
逸	i2	安～
逼	pi7	
逾	i2	
遁	den5	
遂	suei5	
遇	i5	
遍	pʰĩ5	读一～
遍	pʰiɛ̃5	～地
道	dɔ5	
遺	i2	
遣	tɕʰiɛ̃3	
遨	ŋɔ2	
遭	tsɔ1	
遮	tsai1	(2)
遮	tɕiai1	(1)]皆[(文)]阶[(文)～级
遵	tsen1	
邀	iɔ1	
邓	den5	
邢	ɕin2	姓
那	ɑ1	(白)(1)表特指
那	nɑ5	(文)
那	ɑ5	(白)(2)表特指
邦	põ1	
邪	ɕiɑ2	(白)～气]斜[(白)日头～]淆[混～
邪	ɕiai2	(文)歪门～道
郵	iɯ2	
邵	ʂɔ5	
邹	tʂɯ1	姓
郁	iɯ1	
郊	tɕiɔ1	
郎	lõ2	
郝	hɔ3	姓
部	bu5	
都	tu1	～市
都	tu1	(1)副词，～来
都	tɯ1	(2)副词，～是
都	dei1	(训读)～是一样
鄂	o7	
鄙	pʰi3	
酉	iɯ3	
酌	tʂo7	
配	pʰei5	
酒	tɕiɯ3	
酣	hã1	
酥	su1	
酪	lo5	
酬	dʐɯ2	
醬	tɕiõ5	
酵	ʂɔ5	(文)發～]校[～对；学～；上～]孝效少[～年
酷	kʰu7	
酸	sõ1	
釀	ȵiõ1	
醇	ʂuen2	
醋	tsʰu5	
醒	ɕiõ3	(白)～来
采	tsʰai3	
釋	ʂʅ7	
重	dʐʌŋ2	(白)～阳
重	dʐʌŋ3	(白)～锭锭
重	dʐʌŋ5	(文)～量
量	liõ2	～长短
量	liõ5	数～
金	tʂen1	(白)～银]襟[大～]珍真[(文)
金	tɕin1	(文)～鱼
釜	hu3	
鉴	tɕiɛ̃5	
鏨	dzã1	(白)～下子
鏨	dzã5	(文)～花
鏾	ʑĩ5	(文)～鸡
鏾	ʐen5	(白)～鸡
鐾	pei3	～刀布
针	tʂen1	
釘	tin1	～子]盯[(2)]疔砧[～板
釣	tiɯ5	
釵	tsʰai1	
鈍	din5	
鈔	tsʰɔ1	
钟	tʂʌŋ1	
鋼	kõ1	
鑰	io7	
欽	tɕʰin1	
鈞	tɕin1	
鉤	kiɯ1	
錢	dʑĩ2	
鉗	dʑĩ2	
鉢	po7	
鑽	tsã1	动词，～头觅缝
鐵	tʰi1	(白)～锤
鐵	tʰiai7	(文)电烙～
鉛	tɕʰĩ1	(白)
鉚	mɔ3	～钉
鉋	bɔ5	
鐃	ʐɔ2	～钵
鋁	lei3	
鍘	tʂɑ7	
銘	min2	
铲	tsʰã3	
铲	tʂʰo7	(训读)铲；阴谋夺取：～渣渣
銃	tʂʰʌŋ1	放～]冲[～锋]舂[～米
銀	in2	
鑄	tʂu5	
鋪	pʰu1	～路]潽[满溢]覆[(白)～水坛：坛檐可蓄水的坛子
鋪	pʰu5	～子]扑[～过去]伏[(白)～起：倒扣
銷	ɕiɔ1	
鎖	sʉ3	
鋤	dzu2	
鍋	kʉ1	
鏽	ɕiɯ5	
銼	tsʰʉ5	
鋒	hʌŋ1	
銳	ʐuei5	
鋃	lõ2	
錯	tsʰʉ5	
錨	mɔ2	抛～
錫	ɕi7	
鑼	lʉ2	
錘	dʐuei2	(文)～头鼓：拳头
錘	dʐu7	(白)石～
錐	tʂu1	
錦	tɕin3	
錠	din5	
鍵	tɕiɛ̃5	
鋸	kiɯ5	
鍬	tɕʰiɯ1	洋～]跷悄秋[～天；～～：秋千]楸湫鳅丘邱蚯黢[黑～～
鍛	dõ5	～炼
鍍	du5	
鎮	tʂen5	
鑷	ȵiai7	
鎬	kɔ3	
鎔	iʌŋ2	
鏡	tʂen5	
鐲	tso7	～子
镰	lĩ2	
鑱	dzã2	(用针)扎：～银针(针灸)]残缠[(文)纠～]禅[坐～
鑲	ɕiõ1	
長	tʂõ3	(文)成～]涨[(文)～潮]讲[(文)～究
長	tiõ3	(文)～大
門	men2	
閃	ɕĩ3	(白)火～：闪电]癣显[(白)～眼，明～]选[(白)～一个
閃	ʂã3	(文)～亮
問	uen5	
闖	tʂʰõ3	
間	kã1	(白)中～
間	kã5	隔开
間	tɕiɛ̃5	～谍]谏建[(文)～设]犍[～子
悶	men1	～包(不爱说话的人)
悶	men5	烦闷：～叨叨
閘	tʂɑ7	～门；～刀]炸[油～粑]夹[(文)～板，～衣
鬧	nɔ5	
閨	kuei1	
聞	uen2	
鬮	tɕiɯ1	抓～
閱	iai7	
閻	ȵiɛ̃2	
闡	ʂã2	～明
闊	kʰuai7	
隊	tei5	
阮	ʐuã3	
防	ɦõ2	
陽	iõ2	
陰	in1	
陣	dʐen5	
階	kai1	(白)～段
阻	tsu3	
阿	ɑ3	～爹
陀	dʉ7	转～：陀螺]砣坨[(白)～～盐：粗盐]㾃[身体上的疙瘩
陸	lu2	
陳	tʂʰen2	(文)～述；姓]沉[(文)～重]臣娠诚承[(文)～担
陳	dʐen2	(白)～年旧账]晨[(白)(2)早～]尘[(文)灰～
陋	lɯ5	
限	ɕiɛ̃5	
陝	ʂã3	
陡	tɯ3	
院	ĩ5	(白)
院	iɛ̃5	(文)医～
除	tʂʰu2	(文)～法
除	dʐu2	(白)～开]厨[(白)(2)～师，下～]槌[舂；捶打
險	ɕiɛ̃3	
陪	bei2	
陵	lin2	
陶	dɔ2	(白)～瓷
陷	ɦã5	
隆	lʌŋ2	
隋	suei2	
隨	sei2	
隱	in3	
隔	kai7	
隘	ŋai5	
隶	di5	
難	nã2	困～
難	nã5	灾～
雀	tɕʰiɔ7	泛指鸟类
雁	ŋã5	(白)～鹅：大雁
雁	iɛ̃5	(文)大～
雄	ʐʌŋ2	(白)
雄	ɕiʌŋ2	(文)
雅	iɑ3	
雇	ku5	
雌	tsɿ3	
雍	iʌŋ1	
雕	tiɯ1	(白)～章]着[(白)衣]竹[(白)金～
雕	tiɔ1	(文)～花绣朵
雪	ɕi1	(白)落～
雪	ɕiai7	(文)雨～]设穴[～地：墓地]恤血[(文)～管
雷	lei2	
雹	pʰɔ5	～崽：冰雹
霧	vu5	
霄	ɕiɔ1	
震	dʐen1	(白)
震	tʰen3	(训读)颠簸；震动；被硬物搕着：～倒牙子
震	dʐen5	
霉	mei2	
霜	sõ1	
霞	ɕiɑ7	(文)早～]侠狭[(文)～隘]峡[(文)三～
露	lu5	
霸	pɑ5	
靜	dʑin5	
靛	din3	～叶：一种染料
非	huei1	
靠	kʰɔ5	
面	mĩ5	(白)～～(粉状物)，～子
面	miɛ̃5	(文)～条；～熟
革	ki5	作重叠词缀：老～～]割[(训读)切割：～一刀]叽[(训读)～嘎：拟声词，鸭、鹅等的叫声，常指代此类动物
革	kai7	(文)皮～
靴	ɕiai1	
靶	pɑ3	
鞋	ɦai2	
鞍	ŋã1	
鞘	tɕʰiɔ5	
鞠	tʂu7	
鞭	pĩ1	(白)马～
鞭	piɛ̃1	(文)几～子
韓	ɦã2	
韭	tʂɯ3	
韵	in5	
韶	ʂɔ5	
頁	i5	
頂	tin3	
項	ɦõ5	
须	ɕi1	必～]鬚[鬍～]西栖溪[(文)
頑	uã2	
顧	ku5	
頓	ten5	(文)停～]炖沌[混～]吨凳敦[放置：～是高底
頓	tin5	(白)吃一～]钉[～鞋]订[～书
頒	pã1	
預	i5	
領	lin3	(文)～导
頗	pʰo1	
頸	tɕiõ3	(白)～根
頸	tɕin3	(文)
穎	in3	
顆	kʰo1	
題	tʰi2	(文)～目
題	di2	(白)一个～
額	ŋɑ1	(白)～头
額	ŋai7	(文)名～
顛	tĩ1	(白)～～：顶端
顛	tiɛ̃1	(文)～倒
顫	tsã5	
風	hʌŋ1	
颼	sɯ1	
飄	pʰiɯ1	
飛	huei1	
食	ʂʅ5	(白)猪～
食	ʂʅ7	(文)～品
餐	tsʰã1	
飯	uã5	
飲	in3	
飾	ʂʅ5	
飽	pɔ3	
飼	sɿ5	
餌	ʌɤ3	
饒	ʐɔ2	
餃	tɕiɔ3	
餅	pin3	
餓	vʉ5	
餿	sɯ1	
饞	dzã2	
饃	mo2	
餾	liɯ1	
饅	mã2	～头
首	ʂɯ3	
馨	ɕin1	
騲	tsʰɔ3	～鸡
馬	mɑ3	
馱	tʰo2	(文)～起来
駁	po7	
驢	li1	
駛	ʂʅ3	
駐	dʐu5	
駝	dʉ2	(白)～背]驮[动词]坨[(文)一～
駝	tʰo2	(文)骆～
罵	mɑ5	
驕	tɕiɔ1	
駱	lo2	
駭	ɦai5	
駿	tɕin5	
騎	dʐʅ2	
騙	pʰĩ5	
騷	sɔ1	
驟	tsɯ5	
骨	kuei1	(白)～头
骨	ku2	(文)(2)～肚鱼：蝌蚪
骨	ku7	(文)(1)筋～
髏	lɯ2	额～：额头
髈	pʰõ3	整腿的猪肉，现指酒席中最体面的一道菜
髓	suei2	
高	kɔ1	
髻	tɕi5	
鬃	tsʌŋ1	马～
鬢	pin1	～角
鬥	tɯ5	争～；拼凑：～钱
鬼	kuei3	
魁	kʰuei1	
魂	ɦuen2	～魄
魄	pʰai7	魂～
魏	uei5	
魔	mo2	(文)妖～鬼怪
魔	mo7	(白)～鬼]模[～范]蘑末沫茉没[沉～
魚	i2	
魯	lu3	
鮓	tsɑ3	浸渍：～盐菜
鮑	pɔ5	
鮑	bɔ5	
鮮	ɕiɛ̃1	(文)～艳]先[(文)～进]仙[(文)神～
鰱	miɛ̃2	～鱼
鯽	tɕi7	
鯨	tɕin1	
鰥	kõ1	～寡
鰾	biɔ5	滑～～
鱉	piai1	
鱖	kuei5	～鱼
鳥	ȵiɔ3	
鳩	tʂʉ1	斑～：斑鸠
雞	tʂʅ1	
鴉	iɑ1	
鴨	iɑ7	
鴕	tʰo2	
鴰	uɑ5	
鴿	ko7	
鴻	ɦʌŋ2	
鵑	tɕiɛ̃1	杜～
鵝	vʉ2	
鵡	vu3	
鵲	tɕʰiɔ7	
鷂	ʐɯ5	～子：一种凶猛的鸟
鶴	ho7	
鸚	in1	～鹉
鷹	in1	(文)
鷹	n̩1	(白)岩～：老鹰
鹿	lu2	
麥	mɑ5	(白)叶～：小麦
麩	hu1	
麻	mɑ2	(文)～痹
麻	mɑ7	(白)～篮
黃	uõ2	
黎	li2	
黏	ȵiɑ2	(文)～革革
黏	ȵiɑ7	(白)～起来
黑	hei1	(白)
黔	tɕʰiɛ̃2	
鼎	tin3	
鼠	ʂu3	
鼻	bi7	
鼾	hã1	打扑～
齁	hɯ1	
齆	ʌŋ5	～声～气
齊	tɕʰi2	(文)姓]奇[(文)～怪]芪歧杞[～人忧天
齊	dʑi2	(白)一～路：一起
齒	tsʰɿ3	
齙	pɔ5	牙齿突出且不整齐
齪	tsʰʉ1	
齷	vʉ1	
龍	lʌŋ2	
龔	kʌŋ1	
龕	kʰã3	神～
龜	kuei1	
𠢠	lei1	刺儿
𠻞	kʰõ3	咳嗽
𡎺	tsu7	～～：塞子
𢛔	tʌŋ1	癫～：糊涂
𢫨	nõ7	推：～开
𣗺	kʰu1	榨油剩下的渣滓：油～
𤆵	pʰɑ1	软
𨃅	pai1	瘸：～脚
