#漢字	音標	解釋
筋	tɕiɔŋ1	
答	təʔ7	
簡	ke3	
簡	kai3	
箍	kʰɔ1	
算	sø5	
管	kue3	
管	kø3	
籮	lu2	
箭	tɕi5	
箱	ɕiɔ̃1	
箸	dʑy6	
篇	pʰi1	
籃	le2	
篷	bɔŋ2	
篾	miəʔ8	
簟	dai6	
簪	tsai1	
簸	po5	
簿	bu6	
米	mi3	名
粉	fᴀŋ2	
粒	ləʔ8	
粗	tsʰɿ1	
粗	tsʰu1	
糶	tʰieu5	
粟	tɕʰy5	
粟	səʔ7	
粥	tsəʔ7	
糞	fᴀŋ5	
糧	liɔ̃2	
糉	tsɔŋ5	
精	tɕieŋ1	
糊	ɡu2	
糍	zɿ2	
糕	kɑu1	
糕	kɔ1	
糖	dɔ̃2	
糟	tsɑu1	
糟	tsɔ1	
糯	no6	
素	sɿ5	
素	su5	
索	səʔ7	
緊	tɕieŋ3	
紫	tsɿ3	
紅	ɔŋ2	
約	iəʔ7	
紀	tsɿ3	
納	nəʔ8	
紙	tsɿ3	
紡	fɔ̃3	
紐	ȵiɑu3	
線	ɕi5	
組	tsu3	
細	sai5	小
織	tɕiəʔ7	
終	tsɔŋ1	
經	tɕieŋ1	
經	kã1	~布
絨	iɔŋ2	
絨	zɔŋ2	
結	tɕiəʔ7	
絶	ʑiəʔ8	
繩	ʑieŋ2	
綠	ly6	
縛	bu6	
縫	bɔŋ2	动
縫	vɔŋ2	动
縫	hɔŋ2	~衣服
縫	hɔŋ6	门~
纏	di2	~脚
纏	dʑi2	
縮	səʔ7	
缸	kɔ̃1	
缺	tɕʰiəʔ7	
网	mɔ̃3	
网	mɔŋ6	
羅	lu2	
罰	fəʔ8	
罩	tsɔ5	
罪	zø6	
翠	tsʰai5	
翰	he6	
翻	fe1	
翼	ȵiəʔ8	
老	lo3	
耕	kã1	
耙	bo6	犁~
耳	ȵi3	~朵
耽	te1	
聶	ȵiəʔ8	
肉	ȵiəʔ8	
肌	tsɿ1	
肝	ke1	
腸	dʑiã2	
肥	bai2	
肩	tɕi1	
肯	kʰᴀŋ3	
肯	kʰai3	
育	iəʔ7	
肺	fi5	
腫	tsɔŋ3	
膽	te3	
胎	tʰø1	
胡	vu2	
胸	ɕiɔŋ1	
能	nᴀŋ2	
脂	tsɿ1	
脉	mã6	
脊	tɕi3	
臍	dza2	
腦	nɔ3	
膿	nɔŋ2	
脱	tʰəʔ7	
腔	tɕʰiɔ̃1	
腔	tɕʰiã1	
腹	pəʔ7	
腹	fəʔ7	
腿	tʰa3	
臀	dø2	
臭	tsʰɔ5	
舀	ieu3	
舂	tsɔŋ1	
舅	ɡu6	
舅	dʑiɑu6	
舌	ʑiəʔ8	
舌	iəʔ8	
舞	vu3	
舵	dɑu6	
船	ʑiɔŋ2	
色	səʔ7	
藝	ȵi6	
艾	ŋe6	植物
節	tsəʔ7	
節	tɕiəʔ7	
芋	vu6	
芥	ka5	~菜
花	ho1	
芳	fɔ̃3	
苏	su1	
苗	mieu2	
范	ve3	姓
茄	dʑy2	
茄	ɡa2	
莖	tɕieŋ1	
茶	dzo2	
草	tsʰɔ3	
榮	iɔŋ2	
藥	iəʔ8	
荷	vu2	
蓮	li2	
获	vəʔ8	
鶯	ieŋ1	
菊	tɕiəʔ7	
菜	tsʰa5	
菱	lieŋ2	
營	iɔŋ2	
蕭	ɕieu1	
薩	səʔ7	
落	ləʔ8	
葉	iəʔ8	叶子
著	ty5	~衣
著	dy6	睏~
葛	kəʔ7	
葬	tsɔ̃5	
葱	tsʰɔŋ1	
蒸	tɕieŋ1	
蓆	y6	草~,原文记作席
蔡	tsʰa5	
蔬	su1	
薄	bɑu6	厚~
薛	ɕiəʔ7	
薸	bieu2	浮萍
藕	ŋau3	
藤	dᴀŋ2	
藤	dai2	
藿	hɔ3	
蘸	tse5	
虎	fu3	
虚	ɕy1	
蟲	dɔŋ2	
蟲	dʑiɔŋ2	
虱	səʔ7	
蝦	ho2	
蟻	ȵi3	
蚊	vᴀŋ2	~虫
蠶	ze2	
蛇	zo2	
蠻	mai2	
蠻	me2	
