#漢字	音標	解釋#('wuu_th_shj_csts', '常熟唐市話', '常熟唐市', '#8B0000', None, None, '來源：<u>鶩高赭紗匕</u>', '53 1 1a 陰平 ꜀,24 2 1b 陽平 ꜁,44 3 2a 陰上 ꜂,31 4 2b 陽上 ꜃,423 5 3a 陰去 ꜄,213 6 3b 陽去 ꜅,5 7 4a 陰入 ꜆,23 8 4b 陽入 ꜇', None, None)
賠	bᴇ2	
賢	ɦie2	
賣	mɑ6	
賤	zie6	
質	tsᴇʔ7	
賬	tsã5	
賭	tɯ3	
賴	lɑ6	
賺	dzæ6	
購	kᴇ3	
賽	sᴇ5	
贅	tsᴇ5	
贈	dzᴇ̃6	
贊	tsæ5	
贏	ɦiŋ2	
贓	tsɒ̃1	
贖	zoʔ8	
贗	ɦie6	【文读】
賁	pᴇ̃1	
贛	kᴇ̃5	
赤	tsʰɑʔ7	
赦	su5	
赫	hɑʔ7	【白读】
赫	hᴇʔ7	【文读】
赭	tsu3	
走	tsᴇ3	
赴	fu5	
起	tɕʰi3	
趁	tsʰᴇ̃5	～车；～客。俗写作“乘”
超	tsʰɔ1	
越	ɦioʔ8	
趑	tsʰɿ1	
趕	kɤ3	
趙	dzɔ4	
趟	tʰɒ̃5	
趣	tsʰi5	
趤	dɒ̃6	
趨	tsʰi1	
足	tsoʔ7	
趴	pʰɑ1	北语俗字
趼	tɕie3	
趾	tsɿ3	
跌	tiɪʔ7	
跑	bɔ2	
跛	pu3	
距	dʑi6	
跟	kᴇ̃1	
跡	tsiɪʔ7	
跤	kɔ1	
跨	kʰu5	
跪	dʑi4	【白读】
跪	ɡuᴇ4	【文读】
路	lɯ6	
跳	tʰiɔ5	
跺	tɯ5	
跽	dʑi4	
踏	daʔ8	
踐	dzie4	
踞	tɕi5	
踢	tʰiɪʔ7	
踩	tsʰæ3	
蹤	tsoŋ1	
踮	tie1	
踱	dɔʔ8	
踴	ioŋ3	
踵	tsoŋ3	
踺	dʑie6	
蹂	dzɯ2	【文读】
蹄	di2	
蹈	dɔ6	
蹊	ɦi2	
蹩	piɪʔ7	
蹭	tsʰᴇ̃5	
蹲	tᴇ̃1	
蹶	tɕioʔ7	
蹺	tɕʰiɔ1	
蹼	pʰoʔ7	
躥	tsʰɤ1	
躁	tsʰɔ5	脾气～
躁	tsɔ5	际～（烦躁）
躇	dzɿ2	
躊	dzɯ2	
躡	ȵiɪʔ8	
躪	liŋ6	
身	sᴇ̃1	
躬	koŋ1	
躺	tʰɒ̃3	
車	tsʰu1	
車	tɕi1	象棋棋子
軋	ɡaʔ8	压，挤（动词、形容词）：～闹猛。结交：～朋友，～姘头
軌	kuᴇ3	
軍	tɕioŋ1	
軛	ŋᴇʔ8	
軟	ŋᴇ̃4	
軲	ku1	
軸	dʑioʔ8	
軾	sᴇʔ7	
較	tɕiɔ5	
載	tsæ5	～重
載	dzæ6	满～
輔	vu4	
輔	fu3	
輕	tɕʰiŋ1	
輝	huᴇ1	
輥	kuᴇ̃3	
輦	lie4	
輩	pᴇ5	
輪	lᴇ̃2	
輯	tsʰiɪʔ7	
輸	sɿ5	
輸	sɿ1	
輻	foʔ7	
輿	ɦi2	
轄	huaʔ7	
轆	loʔ8	
轉	tsᴇ3	
轍	dzᴇʔ8	
轎	dʑiɔ6	
轟	hoŋ1	【文读】
轟	huã1	【白读】
辛	siŋ1	
辜	ku1	
辣	laʔ8	
辦	bæ6	
辨	bie4	
辭	dzɿ2	
辮	bie4	
辯	bie4	
辰	zᴇ̃2	
辱	zoʔ8	
農	noŋ2	
迂	i1	
迅	siŋ5	
迆	ɦi2	
迆	ɦi4	
迎	ȵiŋ2	
近	dʑiŋ4	
迓	iɑ3	
迤	ɦi2	
迤	ɦi4	
迥	tɕioŋ3	
迫	pʰɑʔ7	
迮	tsɑʔ7	
述	dzᴇʔ8	
迴	ɦuᴇ2	～避
迷	mi2	
迸	pã5	
追	tsᴇ1	
退	tʰᴇ5	
送	soŋ5	
逃	dɔ2	
逆	ȵiɪʔ8	
逋	pu1	
逍	siɔ1	
透	tʰᴇ5	
逐	dzoʔ8	
逑	dʑiɯ2	
途	dɯ2	
逗	dᴇ6	
通	tʰoŋ1	
逝	zɿ6	
逞	tsʰᴇ̃3	
速	soʔ7	
造	zɔ4	
逢	voŋ2	
連	lie2	
邐	li4	
週	tsɯ1	
進	tsiŋ5	
逵	ɡuᴇ2	
逸	ɦiɪʔ8	
逼	piɪʔ7	
逾	ɦi2	
遂	dzᴇ6	
遇	ȵi6	
遊	ɦiɯ2	
運	ɦioŋ2	
遍	pie5	一～
遍	pʰie5	普～；～地
過	kɯ5	
遐	io1	
遑	ɦuɒ̃2	
道	dɔ4	
達	daʔ8	
違	ɦuᴇ2	
遜	sᴇ̃5	
遝	dᴇʔ8	
遠	ɦiɤ4	
遢	tʰaʔ7	
遣	tɕʰie3	
適	sᴇʔ7	
遭	tsɔ1	
遮	tsu1	
遮	tsɑ1	奢～（聪明）
遲	dzɿ2	
遵	tsᴇ̃1	
遷	tsʰie1	
選	sie3	
遺	ɦi2	
遼	liɔ2	
避	bi6	
邀	iɔ1	
邁	mæ6	
邃	sᴇ5	
還	ɦuæ2	
邇	əl4	
邊	pie1	
邋	laʔ8	
邑	iɪʔ7	
邕	ioŋ1	
邡	fɒ̃1	
那	nɑ1	
邦	pɒ̃1	
邨	tsʰᴇ̃1	同“村”。常特指社区，区别传统意义的“村”
邪	ziɑ2	
邪	ɦiɑ2	莫～
邰	tʰæ1	
邱	tɕʰiɯ1	
邳	pʰi1	
邵	zɔ6	
邸	ti3	
郁	ioʔ7	姓
郇	siŋ1	
郊	tɕiɔ1	【文读】～区
郎	lɒ̃2	
郝	hᴇʔ7	
郞	lɒ̃2	
郟	kaʔ7	
郡	dʑioŋ6	
部	bu4	
郭	kuɔʔ7	
郯	dæ2	
郵	ɦiɯ2	
都	tɯ1	
鄂	ŋɔʔ8	
鄉	ɕiã1	
鄒	tsᴇ1	
鄔	u1	
鄜	fu1	
鄞	ȵiŋ2	
鄢	ie1	
鄧	dᴇ̃6	
鄭	dzᴇ̃2	
鄰	liŋ2	
鄱	bu2	
鄺	kuɒ̃5	
酉	ɦiɯ4	
酊	tiŋ1	～剂
酊	tiŋ3	酩～
酋	dziɯ2	
酌	tsɑʔ7	【文读】
配	pʰᴇ5	
酒	tsiɯ3	
酚	fᴇ̃1	
酣	hᴇ̃1	
酥	sɯ1	
酩	miŋ4	
酪	lɔʔ8	
酬	dzɯ2	
酵	kɔ5	【白读】发～
酵	tɕiɔ5	【文读】～素
酷	kʰoʔ7	
酸	sɤ1	
醃	ie1	
醇	zᴇ̃2	
醉	tsᴇ5	
醋	tsʰɯ5	
醒	siŋ3	
醚	mi2	
醜	tsʰɯ3	
醪	lɔ2	
醫	i1	
醬	tsiã5	
釀	ȵiã6	
釁	ɕiŋ5	
釃	sɑ1	倒：～酒
釃	sɿ1	
釅	ȵie6	
釉	ɦiɯ6	
釋	sᴇʔ7	
重	dzoŋ6	～量
重	dzoŋ2	～复
野	ɦiɑ4	
野	zɿ4	别～
量	liã2	
量	liã6	
金	tɕiŋ1	
釗	tsɔ1	
釘	tiŋ1	
釙	pʰoʔ7	
釜	vu4	
針	tsᴇ̃1	
釣	tiɔ5	
釤	sæ1	
釵	tsʰu1	
鈀	pu3	化学元素Pd
鈀	bu2	
鈉	nᴇʔ8	
鈍	dᴇ̃6	
鈔	tsʰɔ1	现～
鈔	tsʰɔ3	～票
鈕	ȵiɯ4	
鈞	tɕioŋ1	
鈣	kæ5	
鈳	kʰɯ1	
鈴	liŋ2	
鈵	piŋ5	
鈸	boʔ8	
鈹	bi2	
鈺	ȵioʔ8	
鈾	ɦiɯ2	
鈿	die2	钱，硬币：铜～；洋～；车～；几～。此为“钱”字的一种通俗写法
鈿	die6	饰物：宝～；螺～；金～；翠～
鉀	tɕiaʔ7	
鉅	dʑi4	
鉈	tʰɑ1	化学元素Tl
鉈	dɯ2	秤～
鉍	piɪʔ7	
鉗	dʑie2	
鉚	mɔ4	
鉛	ɦie2	～山（江西地名）
鉛	kʰæ1	～笔
鉢	poʔ7	
鉤	kᴇ1	
銀	ȵiŋ2	
銃	tsʰoŋ5	
銅	doŋ2	
銓	tsʰie1	
銖	tsɿ1	
銘	miŋ2	
銜	ɦæ2	含在嘴里
銜	ŋæ2	～头（头衔）
銥	i1	
銨	ɤ3	
銪	ɦiɯ4	
銬	kʰɔ5	
銳	sᴇ5	
銷	siɔ1	
銹	siɯ5	
銼	tsʰɔʔ7	
鋁	li4	
鋇	pᴇ5	
鋒	foŋ1	
鋤	zɿ2	～头
鋥	dzã6	
鋪	pʰu1	
鋮	dzᴇ̃2	
鋰	li4	
鋸	kᴇ5	～子
鋼	kɒ̃1	
錄	loʔ8	
錐	tsɿ1	【白读】尖头工具：～钻
錐	tsᴇ1	【文读】～体
錙	tsɿ1	
錛	pᴇ̃1	
錠	die6	
錢	zie2	姓
錢	die2	铜～，洋～（钱）；几～（多少钱）。俗写作“钿”
錦	tɕiŋ3	
錨	mɔ2	
錫	siɪʔ7	
錮	ku5	
錯	tsʰɯ5	
錯	tsʰu1	本字或为“差”
錯	tsʰɔʔ7	摩擦：～屄（性交）；～气（讨厌）；～火（发怒）；～祭（吃，带有贬义）。俗作“肏”
錶	piɔ1	手～
鍋	kɯ1	
鍍	dɯ6	
鍘	zaʔ8	
鍛	tɤ5	
鍥	tɕʰiɪʔ7	
鍬	tsʰiɔ1	
鎂	mᴇ3	
鎖	sɯ3	
鎚	dzɿ2	【白读】流星～
鎢	u1	
鎧	kʰæ3	
鎬	ɦɔ4	～京（古都名，在今陕西西安）
鎬	kɔ3	挖土的工具：洋～
鎮	tsᴇ̃5	
鏈	lie6	
鏊	ŋɔ6	
鏍	lɯ2	
鏐	liɯ2	
鏓	tsʰoŋ1	
鏗	kʰᴇ̃1	
鏘	tsʰiã1	
鏟	tsʰæ3	
鏡	tɕiŋ5	
鏢	piɔ1	
鏵	ɦu2	
鐐	liɔ2	
鐐	liɔ6	
鐘	tsoŋ1	
鐧	kæ5	
鐮	lie2	
鐲	dzɔʔ8	
鐵	tʰiɪʔ7	
鐸	dɔʔ8	
鑄	tsɿ5	
鑊	ɦuɔʔ8	
鑊	tɕiɔʔ7	
鑑	kæ5	【白读】
鑑	tɕie5	【文读】
鑠	zɑʔ8	【文读】
鑫	ɕiŋ1	
鑰	ɦiɑʔ8	
鑲	siã1	
鑲	ɕiã1	
鑷	ȵiɪʔ8	
鑼	lɯ2	
鑽	tsɤ1	～洞
鑽	tsɤ5	～石；～头
鑽	tsʰɤ5	～子
鑿	zɔʔ8	
長	tsã3	生～
長	dzã2	与短、矮相对：～短
門	mᴇ̃2	
閂	sᴇ1	
閃	sᴇ3	
閃	ɕie3	霍～（闪电）
閆	ɦie2	
閉	pi5	
開	kʰæ1	
閏	ȵiŋ6	【白读】～月
閏	zᴇ̃6	【文读】
閒	ɦæ2	【白读】～话
閒	ɦie2	【文读】休～
間	kæ1	【白读】房～
間	tɕie1	【文读】空～
間	kæ3	【白读】间隔
間	tɕie3	【文读】～断
閘	zaʔ8	
閣	kɔʔ7	
閨	kuᴇ1	
閩	miŋ4	
閬	lɒ̃6	
閭	li2	【白读】阖～（古地名）
閱	ɦioʔ8	
閹	ie1	
閻	ȵie2	
閿	vᴇ̃2	
闊	kʰuoʔ7	
闌	læ2	
闔	ɦᴇʔ8	
闖	tsʰɒ̃3	
關	kuæ1	
闢	pʰiɪʔ7	
闥	daʔ8	窗～（上为窗，下为闼）
閔	miŋ4	
阪	pæ3	
阮	ȵiɤ4	
防	bɒ̃2	
阻	tsɯ3	
阿	ɯ1	～胶；～弥陀佛
阿	ɑ1	人称前缀：～姨
阿	aʔ7	人称前缀：～姐；～哥；～叔；～三
陀	dɯ2	
陂	pi1	池塘，水岸，山坡
陂	bi2	黄～（湖北地名）
陂	pʰu1	～陀
附	vu6	
陋	lᴇ6	
陌	mɑʔ8	
降	kɒ̃5	【白读】～落
降	tɕiɒ̃5	【文读】～落
降	ɦɒ̃2	投～
限	ɦæ4	
陝	sᴇ3	
陡	tᴇ3	
院	ɦiɤ6	
陣	dzᴇ̃6	
除	dzɿ2	
陪	bᴇ2	
陰	iŋ1	
陳	dzᴇ̃2	
陳	dzɿ2	～墓（江苏昆山地名）
陵	liŋ2	
陶	dɔ2	
陷	ɦæ6	【白读】
陷	ɦie6	【文读】
陸	loʔ8	
陽	ɦiã2	
隄	di2	
隅	ȵi2	
隆	loŋ2	
隊	dᴇ6	
隋	dzᴇ2	
隍	ɦuɒ̃2	
階	tɕiɑ1	【文读】～段
階	kɑ1	【白读】
隑	ɡæ6	倚靠
隔	kɑʔ7	
隘	æ5	
隘	kɑ5	多见于宁波地名
際	tsi5	
障	tsɒ̃5	
隧	dzᴇ6	
隨	dzᴇ2	
險	ɕie3	
隰	dziɪʔ8	
隱	iŋ3	
隴	loŋ4	
隸	di6	
隻	tsɑʔ7	量词
隽	dzie4	～永
隽	tsiŋ5	～秀
雀	tsiɑʔ7	麻～
雀	tsiã1	“雀”的儿化音：麻～
雁	ŋæ6	【白读】
雁	ɦie6	【文读】
雄	ɦioŋ2	
雅	io3	【文读】
集	dziɪʔ8	
雌	tsʰɿ1	
雍	ioŋ3	
雛	dzɯ2	
雕	tiɔ1	
雖	sᴇ1	
雙	sɒ̃1	
雜	dzᴇʔ8	
雞	tɕi1	
離	li2	
難	næ2	
雨	ɦi4	
雪	siɪʔ7	
雯	vᴇ̃2	
雲	ɦioŋ2	～朵；～彩
零	liŋ2	
雷	lᴇ2	
雹	bɔʔ8	
電	die6	
需	si1	
霄	siɔ1	
震	tsᴇ̃5	
震	tsiŋ5	～泽（太湖的别称，江苏吴江地名）
霉	mᴇ2	
霍	huɔʔ7	
霎	saʔ7	
霏	fi1	
霜	sɒ̃1	
霞	io1	【文读】
霧	vu6	
露	lɯ6	
霸	pu5	
霹	pʰiɪʔ7	
霽	tsi5	
霾	mɑ2	【白读】
霾	mæ2	【文读】
靂	liɪʔ8	
靈	liŋ2	
青	tsʰiŋ1	
靖	dziŋ4	
靚	dziŋ6	～妆
靚	liã6	～妹。粤语俗字
靜	dziŋ4	
非	fi1	
靠	kʰɔ5	
靡	mi4	
面	mie6	
面	mie6	～孔
靨	iɪʔ7	
革	kɑʔ7	【白读】～职。调节仪器，转台
革	kᴇʔ7	【文读】～命
靴	ɕio1	
靶	pu3	
鞋	ɦɑ2	
鞍	ɤ1	
鞏	koŋ3	
鞠	tɕioʔ7	
鞭	pie1	
韁	tɕiã1	
韌	ȵiŋ6	【白读】不脆，常指糕、饼等食物受潮
韌	zᴇ̃6	【文读】～带
韓	ɦɤ2	
韭	tɕiɯ3	
音	iŋ1	
韶	zɔ2	
響	ɕiã3	
頁	ɦiɪʔ8	
頂	tiŋ3	
頃	tɕʰiŋ3	
項	ɦɒ̃4	
順	zᴇ̃6	
須	si1	【文读】
須	siɯ1	【白读】
頌	zoŋ6	
預	ɦi6	
頑	ɦuæ2	
頒	pæ1	
頓	tᴇ̃5	
頔	diɪʔ8	
頗	pʰu1	
領	liŋ4	
頭	dᴇ2	
頸	tɕiŋ3	
頹	dᴇ2	
頻	biŋ2	
顆	kʰɯ1	
題	di2	
額	ŋɑʔ8	
顎	ŋɔʔ8	
顏	ŋæ2	
願	ȵiɤ6	
顛	tie1	
類	lᴇ6	
顥	ɦɔ4	
顧	ku5	
顫	tsᴇ5	
顯	ɕie3	
顱	lɯ2	
顴	dʑiɤ2	
風	foŋ1	
颱	dæ2	～风
颼	sᴇ1	
飄	pʰiɔ1	
飆	piɔ1	
飛	fi1	
食	zᴇʔ8	
飢	tɕi1	
飩	dᴇ̃2	
飪	zᴇ̃6	
飯	væ6	
飲	iŋ3	
飴	dziŋ2	～糖
飴	ɦi2	
飼	dzɿ6	
飽	pɔ3	
餃	tɕiɔ3	
餅	piŋ3	
餉	ɕiã5	
養	ɦiã4	
餐	tsʰɤ1	
餑	boʔ8	
餓	ŋɯ6	
餘	ɦi2	剩～
餛	ɦuᴇ̃2	
餜	kɯ3	
餡	ɦæ4	【白读】
餡	ɦie4	【文读】
館	kuɤ3	
餮	tʰiɪʔ7	
餵	i5	【白读】～饭
餵	uᴇ5	【文读】～养；叹词
餿	sᴇ1	
饃	mu2	
饅	mɤ2	
饊	sæ3	油～子
饋	ɡuᴇ6	
饌	dzᴇ6	
饒	ȵiɔ2	
饕	tʰɔ1	
饞	zæ2	
饢	nɒ̃2	
首	sɯ3	
馗	dʑi2	【白读】钟～
香	ɕiã1	
馥	voʔ8	
馬	mu4	【白读】
馬	mɑ4	【文读】
馬	mɑ1	【文读】～虎
馭	ȵi6	
馮	voŋ2	
馱	dɯ2	
馳	dzɿ2	
馴	dziŋ2	
駁	pɔʔ7	
駐	tsɿ5	
駒	tɕi1	
駕	kɑ5	【白读】接～；接～桥（江苏苏州地名）；腾～桥（上海浦东地名）
駕	tɕiɑ5	【文读】～驶
駛	sɿ3	
駝	dɯ2	
駟	sɿ5	
駭	ɦæ4	
駿	tsiŋ5	
騁	tsʰᴇ̃3	
騎	dʑi2	～马
騎	dʑi6	坐～
騏	dʑi2	
騷	sɔ1	
騖	vu6	
騙	pʰie5	
騫	tɕʰie1	
騰	dᴇ̃2	
騾	lɯ2	
驅	tɕʰi1	
驍	ɕiɔ1	
驐	tᴇ̃1	
驗	ȵie6	
驚	tɕiŋ1	
驛	ɦiɪʔ8	
驟	dzᴇ6	
驢	lɯ2	
驢	li2	
驥	tɕi5	
驪	li2	
骨	kuoʔ7	
骯	ɒ̃1	～三（品质差，令人不快或失望）
骰	dᴇ2	
骷	kʰu1	
骼	kɑʔ7	
髈	pʰɒ̃3	蹄～
髏	lᴇ2	
髒	tsɒ̃1	肮～
體	tʰi3	
髕	biŋ4	
髖	kʰuɤ1	
高	kɔ1	
髮	faʔ7	
鬆	soŋ1	～紧；放～；肉～
鬟	ɡuæ2	
鬢	piŋ5	
鬥	tᴇ5	
鬧	nɔ6	
鬮	tɕiɯ1	
鬱	ioʔ7	忧～；～闷；～～葱葱
鬹	kuᴇ1	
鬼	tɕi3	【白读】
鬼	kuᴇ3	【文读】装神弄～；～迷心窍
魁	kʰuᴇ1	
魂	ɦuᴇ̃2	
魄	pʰɑʔ7	
魅	mᴇ6	
魍	mɒ̃4	
魎	liã4	
魏	ɦuᴇ6	
魑	tsʰɿ1	
魔	mu2	
魘	ie5	
魚	ŋᴇ2	【白读】
魚	ɦi2	【文读】木～
魨	dᴇ̃2	
魯	lɯ4	
魷	ɦiɯ2	
鮁	poʔ7	
鮁	baʔ8	
鮎	ȵiæ2	
鮑	bɔ4	
鮫	kɔ1	
鮮	sie1	
鯉	li4	
鯊	su1	
鯗	siã3	
鯤	kʰuᴇ̃1	
鯧	tsʰɒ̃1	
鯨	dʑiŋ2	
鯪	liŋ2	
鯰	ȵiæ2	
鯽	tsiɪʔ7	
鰍	tsʰiɯ1	
鰓	sæ1	
鰣	zɿ2	
鰥	kuæ1	
鰭	dʑi2	
鰲	ŋɔ2	
鰻	mɤ2	
鰾	biɔ4	
鱉	piɪʔ7	
鱔	zᴇ4	
鱗	liŋ2	
鱟	hᴇ5	虹
鱷	ŋɔʔ8	
鱸	lɯ2	
鳥	tiɔ3	
鳥	ȵiɔ3	模仿北方官话的发音
鳩	tɕiɯ1	
鳳	voŋ6	
鳳	boŋ6	～仙花
鳴	miŋ1	
鴉	u1	【白读】老～；水老～；～鹊
鴉	iɑ1	【文读】～片；涂～
鴕	dɯ2	
鴨	aʔ7	
鴻	ɦoŋ2	【文读】
鴻	ŋ̍2	【白读】
鴿	kᴇʔ7	
鵑	tɕiɤ1	
鵝	ŋɯ2	
鵠	ɦoʔ8	
鵡	vu4	
鵪	ᴇ̃1	
鵬	bã2	
鵮	kʰæ1	
鵲	tsʰiɑʔ7	
鶉	ʐᴇ̃2	
鶥	mᴇ2	
鶩	vu6	
鶯	iŋ1	【文读】
鶴	ŋɔʔ8	
鶴	ɦu2	白～江（上海青浦地名）
鶻	ɦuoʔ8	
鷂	ɦiɔ6	
鷗	ᴇ1	
鷯	liɔ2	
鷲	dziɯ6	
鷹	iŋ1	
鷺	lɯ6	
鸚	ã1	【白读】～哥（鹦鹉）
鸚	iŋ1	【文读】～鹉
鸞	lɤ2	
鹵	lɯ4	
鹹	ɦæ2	～味
鹼	kæ3	
鹽	ɦie2	
鹿	loʔ8	
麒	dʑi2	
麓	loʔ8	
麗	li6	
麗	li2	～水（浙江地名）
麝	zu6	
麟	liŋ2	
麥	mɑʔ8	
麧	ɦᴇʔ8	
麴	tɕʰioʔ7	
麵	mie6	～食
麩	fu1	
麻	mu2	
麼	iɔ1	
麼	mu4	
黃	ɦuɒ̃2	
黃	huɒ̃1	蛋～
黎	li2	
黏	ȵie1	
黑	hᴇʔ7	
黔	dʑie2	
默	mᴇʔ8	
點	tie3	
黟	i1	
黢	tsʰᴇʔ7	很黑，很暗：～黑；墨～黑；～～黑
黨	tɒ̃5	
黯	ᴇ̃5	
鼎	tiŋ3	
鼓	ku3	
鼠	tsʰɿ3	
鼬	ɦiɯ6	
鼴	ie3	
鼻	bᴇʔ8	
齊	zi2	
齋	tsɑ1	
齒	tsʰɿ3	
齣	tsʰᴇʔ7	一～戏
齦	ȵiŋ2	
齦	kʰᴇ̃5	
齪	tsʰɔʔ7	
齲	tɕʰi3	
齶	ŋɔʔ8	
齷	oʔ7	
齡	liŋ2	
龍	loŋ2	
龐	bɒ̃2	
龜	tɕi1	【白读】乌～
龜	kuᴇ1	【文读】李～年
龜	tɕioŋ1	
龠	ɦiɑʔ8	
𡰪	toʔ7	女阴
𢶍	sᴇʔ7	俗作“圾”
