#漢字	音標	解釋
恃	ʂʅ5	
戀	liã5	
恐	kʰoŋ3	
恆	xeŋ2	
恕	ʂu5	
恢	xuəi1	
恤	ɕy5	
恨	xen5	
恩	en1	
恭	koŋ1	
息	ɕi1	
恰	tɕʰiɔ5	
懇	kʰen3	
恶	ɤ5	善惡
恶	u5	恨,可惡
惱	nao3	
悄	tɕʰiao1	静悄悄
悉	ɕiəʔ7	
悔	xuəi3	
悟	u5	
悠	iəu1	悠悠
患	xuã5	
悦	yɤ5	
懸	ɕyã2	
憫	miən3	
悲	pei1	
情	tɕʰiŋ2	
驚	tɕiŋ1	
惑	xuɤ5	
惜	ɕiəʔ7	
惟	vei2	
惠	xuəi5	
懼	tɕy5	
慘	tsʰã3	
懲	tʂʰeŋ3	
慚	tsʰã2	
慣	kuã5	
惰	tuɤ5	
想	ɕiaŋ3	
惹	ʐɤ3	
愁	tʂʰou2	
愈	y5	愈好,病愈
愉	y2	
意	i5	
愚	y2	
感	kã3	
憤	fen5	
愧	kʰuəi5	
願	yã5	
慈	tsʰɿ2	
慌	xuaŋ1	
慎	ʂen5	
慕	mu5	
慢	mã5	
慧	xuəi5	
慨	kʰai3	慷慨,感慨
慰	vei5	
慷	kʰaŋ1	慷慨
憋	piəʔ7	
憎	tseŋ5	
憠	tɕyɤ5	脾氣憠
憨	xã1	癡
憾	xã5	
懂	toŋ3	
懈	ɕiɤ5	
懊	ao5	懊惱
懊	ao5	懊悔
懶	lã3	
懵	meŋ1	懵懂
戈	kəʔ7	
戊	u1	
戌	ɕy1	
戍	ʂu5	
戎	ʐoŋ2	
戲	ɕi5	
成	tʂʰeŋ2	
我	uɤ3	
戒	tɕiɤ5	
或	xuɤ1	
戰	tʂã5	
戚	tɕʰiən1	
戟	tɕi3	
截	tɕiɤ2	
戳	tʂʰuəʔ7	
戴	tai5	
戶	xu5	
戽	xu5	戽水
房	faŋ2	
所	suɤ3	
扁	piã3	
扇	ʂã5	
手	ʂou3	
才	tsʰai2	
扎	tʂɔ1	
扎	iɔ5	用針劄
扑	pʰəʔ7	
打	tɔ3	
扔	ʐeŋ1	
托	tʰuɤ1	
托	tʰuɤ1	手承物
扛	kʰaŋ2	
扣	kʰou5	扣住
執	tʂəʔ7	
擴	kʰuəʔ7	擴充
掃	sao3	掃地
掃	sao3	掃帚
揚	iaŋ2	
扭	niəu3	
扮	pã5	
扯	tʂʰɤ3	
擾	ʐao3	
扳	pã1	
扶	fu2	
批	pʰi1	
扼	ɤ5	
扽	tuən5	
找	tʂao3	
承	tʂʰeŋ2	
技	tɕi5	
抄	tʂʰao1	略取,抄寫
把	pɔ3	把握,把守,一把
把	pɔ3	柄
抑	i5	
抓	tʂuəʔ7	
投	tʰou2	
抖	tou3	
抗	kʰaŋ5	
折	ʂɤ2	弄折了
折	tʂɤ2	折斷
撫	fu2	
抛	pʰao1	
摳	kʰou1	
搶	tɕʰiaŋ1	
護	xu5	
報	pao5	
披	pʰi1	
抬	tʰai2	
抱	pao5	
抵	ti3	
抹	mɤ3	
抹	mɤ3	抹布,抹桌子
押	iəʔ7	
抽	tʂʰou1	
抿	miən3	
拄	tʂu3	拄柺杖
擔	tã5	挑擔
擔	tã1	擔任
