#漢字	音標	解釋
#簡稱	/	湖州
#全稱	/	湖州話
#聲母	/	
#韻母	/	
#聲調	/	44 1 1a 陰平 ꜀,12 2 1b 陽平 ꜁,42 3 2a 陰上 ꜂,31 4 2b 陽上 ꜃,35 5 3a 陰去 ꜄,24 6 3b 陽去 ꜅,5 7 4a 陰入 ꜆,23 8 4b 陽入 ꜇
#版本	/	2022-01-05
#錄入人	/	Vô Danh
#參考資料	/	
#說明	/	
宙	dʑiʏ6	
定	din6	
宛	ʔi3	
宜	ȵɦiᶽ2	
客	kʰaʔ7	
宣	ɕi1	
室	səʔ7	
宦	ʔuᴇ5	
宮	koŋ1	
宰	tsei3	
害	ʔei5	
宴	ʔi5	
宵	ɕiɔ1	
家	ka1	白
家	tɕia1	文
容	ɦioŋ2	
宿	soʔ7	
寂	ʑiəʔ8	
寄	tɕiᶽ5	
寅	ɦin2	
密	mɦiəʔ8	
寇	kʰøʏ5	
富	fu5	
寐	mei5	
寒	ɦᴇ2	
寓	ȵiᶽ5	
寞	moʔ8	
察	tsʰaʔ7	
寡	ko3	
寢	tɕʰin3	
寥	lɦiɔ2	
實	zəʔ8	
寧	ȵin5	～可
寧	ȵɦin2	安～
審	sən3	
寫	ɕia3	
寬	kʰuᴇ1	
寵	tsʰoŋ3	
寶	pɔ3	
寸	tsʰən5	
寺	zɿ6	
封	foŋ1	
射	zei6	
將	tɕiã1	～来
將	tɕiã5	～军
專	tsᴇ1	
尊	tsən1	
尋	ʑin2	
對	tei5	
導	dɔ4	
小	ɕiɔ3	
少	sɔ3	
尖	tɕi1	
尚	zɔ̃6	
尤	ɦiʏ2	
就	ʑiʏ6	
尷	kᴇ1	
尹	ʔin1	
尺	tsʰaʔ7	
尼	ȵɦiᶽ2	
尾	viᶽ4	文讀：結～
尾	n̩4	白
尿	sɿ1	
尿	sei1	文
尿	ȵiɔ3	
局	dʑioʔ8	
屁	pʰiᶽ5	
屄	piᶽ1	
居	tɕiᶽ1	
屈	tɕʰiəʔ7	
屆	ka5	白
屆	tɕia5	文
屋	ʔoʔ7	
屍	sɿ1	
屎	sɿ3	
屏	pin5	
屏	bin2	
屐	dʑiᶽ2	
屑	ɕiəʔ7	
展	tsᴇ3	
屠	dəu2	
屢	løʏ3	
層	dzən2	
履	liᶽ3	
屬	zoʔ8	
屯	dən4	
山	sᴇ1	
岐	dʑiᶽ2	
岔	tsʰo5	
岡	kɔ̃1	
岳	ŋɦoʔ8	白
岳	ȵɦioʔ8	文
岸	ʔᴇ5	
峯	foŋ1	
峯	foŋ1	
島	tɔ3	
峽	tɕiaʔ7	
崇	dzoŋ2	
崑	kʰuən1	
崔	tsʰei1	
崗	kɔ̃1	
崙	lɦən2	
崩	pən1	山～
崩	pən5	～斷。文
崩	pã5	～开来
嵌	kʰᴇ5	
嵩	soŋ1	
嶺	lin3	
嶽	ŋɦoʔ8	白
嶽	ȵɦioʔ8	文
巖	ŋɦᴇ2	
巖	ȵɦi2	
川	tsʰᴇ1	
州	tɕiʏ1	
巡	ʑin2	
巢	dʑiɔ2	
工	koŋ1	
左	tsəu3	
巧	tɕʰiɔ3	
巨	dʑiᶽ2	
巫	vu2	
差	tsʰɿ1	參～
差	tsʰa1	出～
差	tsʰo1	白
己	tɕiᶽ3	
已	ʔiᶽ3	
巳	zɿ4	
巴	po1	
巷	ʔuɔ̃5	
巾	tɕin1	
市	zɿ4	
布	pu5	
帆	vᴇ2	
希	ɕiᶽ1	
帕	pʰo5	手～
帕	pʰaʔ7	
帖	tʰiəʔ7	一～药：一剂药
帚	tɕiʏ3	
帛	bəʔ8	
帝	tiᶽ5	
帥	sei5	
師	sɿ1	
席	ʑiəʔ8	
帳	tsã5	
帶	ta5	
常	dzɔ̃2	
帽	mɔ5	
幅	foʔ7	
幔	mᴇ5	
幣	biᶽ2	
幫	pɔ̃1	
干	kᴇ1	
平	bin2	
年	ȵɦi2	
幸	ʔin5	
幹	kᴇ3	～部
幺	ʔiɔ1	
幻	ʔuᴇ5	
幼	ʔiʏ5	
幽	ʔiʏ1	
幾	tɕiᶽ1	～乎
幾	tɕiᶽ3	～個
庇	biᶽ6	
序	ʑiᶽ4	
