#漢字	音標	解釋
#簡稱	/	建德壽昌
#全稱	/	建德壽昌話
#聲母	/	
#韻母	/	
#聲調	/	112 1 1a 陰平 ꜀,52 2 1b 陽平 ꜁,324 3 2a 陰上 ꜂,53 4 2b 陽上 ꜃,334 5 3 去 ꜄,,55 7a 4a 上陰入 ꜆,12 8a 4c 陽入 ꜇,3 7b 4b 下陰入 ꜀,,334 1b 1c 陰平 ꜀,112 2b 1d 陽平 ꜁,55 3b 2b 上 ꜂,,,324 6 3b 去 ꜄,5 7c 4d 陰入 ꜆,13 8b 4e 陽入 ꜇
#版本	/	2021-10-14
#錄入人	/	淸竮塵
#參考資料	/	《徽語嚴州方言研究》
#說明	/	說明：文白讀調值不同
讒	tsʰæ̃12=	
諺	iɛ̃12=	
謎	mi12=	
謝	ɕiᴇ5	多～
謝	ɕɤ̞5	～～
謠	iɑ12=	
謗	pɑ̃13=	
謙	tɕʰiɛ̃11=	
謹	tɕieɲ13=	
謬	miɑ16=	
譚	tʰæ̃12=	
譜	pʊ3	
谷	kɔʔ9	姓
豁	xuə7	
豆	tʰəɯ5	
豇	kɑ̃1	
豌	uæ̃11=	
豚	tʰᴇɲ12=	
象	ɕiɑ̃4	
豪	xɑ12=	
豫	y16=	
豹	pəɯ11=	
豺	sɑ5	
貂	tɤ̞1	
貌	məɯ5	相～
貌	mɑ16=	礼～
貝	piɛ5	
貞	tsᴇɲ1	
負	fʊ5	欺～
負	fəɯ16=	～责
貢	kɔm13=	
財	ɕiɛ2	
責	tsəʔ17=	
賢	ɕiɛ̃12=	
敗	pʰɑ5	
賬	tsɑ̃5	
貨	xʊ5	
質	ləʔ9	
販	fɤ̞5	
貪	tʰiɛ1	
貧	pʰieɲ2	
貶	pieɲ13=	
購	kəɯ5	
貫	kuæ̃13=	
賤	ɕi5	
貼	tʰiᴇ7	
貴	kuei5	
貸	tɛ16=	
貿	məɯ16=	
費	fi5	
賀	xʊ5	
賊	tsʰəʔ8	
賈	kuə3	
賄	xuei13=	
賃	lᴇɲ16=	
賂	lɔʔ18=	
贓	tsɑ̃11=	
資	tsɿ11=	
賦	fʊ13=	
賭	tʊ3	
贖	ɕiɔʔ8	
賞	sɑ̃3	
賜	tsʰɿ11=	
賠	pʰiɛ2	
賠	pʰei12=	
賴	lɑ5	
賺	tɕʰyə4	
賽	sɛ13=	
赞	tsæ̃13=	
贈	tsᴇɲ11=	
贏	ieɲ2	
赤	tsəʔ9	
赦	ɕiᴇ5	
赫	xəʔ17=	
走	tsəɯ13=	
赴	fʊ5	
趙	tsɑ16=	
趕	kiᴇ3	
起	tɕʰi3	
趁	tsʰᴇɲ12=	
超	tsʰɑ11=	
越	yəʔ18=	
趨	tɕʰy13=	
趟	tʰɑ̃7	一～
趣	tɕʰy13=	
足	tsɔʔ9	
趼	tɕi7	
趾	tsɿ3	
躍	iɑ16=	
跌	tiᴇ7	
跑	pʰɑ12=	
距	tɕy16=	
跟	kᴇɲ1	
跨	kʰuɑ13=	
跪	kʰuei4	
路	lʊ5	
跳	tʰɤ̞5	
踐	tɕiɛ̃16=	
蹺	tɕʰɤ̞1	～子：瘸子
踉	lɑ̃5	
踏	tʰuə7	踢
踏	təʔ18=	脚～车：自行车
踢	tʰiəʔ9	
踩	tsʰɑ3	
蹤	tsɔm13=	
蹄	tʰi2	
蹲	tᴇɲ1	
躁	tsɤ̞5	
躁	tsʰɤ̞5	
身	sᴇɲ1	
躬	kɔm1	
躲	tʊ3	
躺	tʰɑ̃3	
車	tɕy1	～马炮
車	tɕʰyə1	汽～
軌	kuei2	
軒	ɕiɛ̃12=	
轉	tɕyei3	～身
轉	tɕyɛ̃13=	～动
軛	əʔ9	
輪	lᴇɲ2	
軟	ȵyei4	
轟	xɔm12=	
軸	tɕiɔʔ18=	
輕	tɕʰieɲ1	
載	tɕiɛ5	～重
載	tsɛ13=	年～
載	tsɛ13=	满～
轎	tɕʰɤ̞5	
較	tɕiɑ13=	
輔	fʊ12=	
輛	liɑ̃4	
輩	piɛ5	
輝	xuei11=	
輯	tɕʰiəʔ17=	
輸	ɕy1	～赢
輸	ɕy11=	运～
轅	yɛ̃12=	
轄	xəʔ18=	
辛	ɕieɲ1	
辭	tsʰɿ12=	
辟	pʰiəʔ17=	
辣	luə3	
辣	ləʔ18=	
辨	piɛ̃16=	
辯	piɛ̃16=	
辮	pʰi4	
辰	sᴇɲ2	
辱	ȵiɔʔ18=	
邊	pi1	
遼	liɑ12=	
达	tʰəʔ8	
迁	tɕʰiɛ̃11=	
迅	ɕieɲ13=	
過	kʊ5	
邁	mæ̃16=	
迎	ȵieɲ2	～灯：舞龙灯
迎	ȵi12=	欢～
運	yɛ̃5	
近	tɕʰieɲ4	
還	ŋuə2	动词
還	uə2	副词
進	tɕieɲ5	
遠	uei4	
違	uei12=	
連	li2	
連	liɛ̃12=	
遲	tsʰɿ2	
迫	pʰəʔ17=	
述	ɕyəʔ18=	
迷	mi12=	
迸	pɑ̃5	
迹	tɕiəʔ9	
追	tɕyei1	
退	tʰiɛ5	
送	sɔm5	
適	səʔ17=	
逃	tʰɤ̞2	
逆	ȵiəʔ18=	
選	ɕiɛ̃13=	
遜	sᴇɲ13=	
透	tʰəɯ5	
逐	tɕiɔʔ18=	
遞	tʰi5	
途	tʰʊ12=	
逗	təɯ13=	
通	tʰɔm1	
逛	kʰuɑ̃12=	
逝	ɕi16=	
逞	tsʰᴇɲ1	
速	sɔʔ17=	
造	sɤ̞4	
逢	fɔm12=	
逵	kʰuei11=	
逸	iəʔ17=	
逼	piəʔ9	
逾	y12=	
遁	tʰᴇɲ5	
遂	suei16=	
遇	ȵy16=	
遍	pi5	一～
遐	ɕiɑ12=	
道	tʰɤ̞4	
遺	i12=	
遣	tɕʰiɛ̃11=	
遭	tsɑ11=	
遮	tɕyə1	
避	pʰi5	
邀	iɑ16=	
邓	tʰᴇɲ5	～家：地名
邓	tᴇɲ16=	姓
邓	tᴇɲ16=	
那	nɑ13=	
邦	pɑ̃11=	
邪	ɕiᴇ12=	
郵	iəɯ12=	
邵	sɤ̞5	
邹	tsəɯ1	
鄰	lieɲ2	
郁	y11=	
郊	tɕiɑ11=	
郎	lɑ̃2	
鄭	tsʰᴇɲ5	～家：地名
鄭	tsᴇɲ16=	姓
郝	xəʔ17=	
郡	tɕʰyei5	
郡	tɕʰyɛ̃5	
部	pʰʊ7	量词
部	pʊ16=	干～
郭	kɔʔ9	
都	tʊ3	～是
鄂	ŋɔʔ18=	
鄙	pi13=	
酉	iəɯ13=	
酌	sɔʔ18=	
配	pʰiɛ5	
酒	tɕiəɯ3	
酣	xæ̃16=	
酪	lɔʔ18=	
酬	tsʰəɯ2	
醬	tɕiɑ̃5	
酵	kɤ̞5	
酷	kʰɔʔ17=	
酸	ɕiɛ1	
醉	tɕi5	
醋	tsʰʊ5	
醒	ɕieɲ3	
醜	tsʰəɯ3	
采	tsʰɛ13=	
釉	iəɯ5	
釋	səʔ17=	
里	li4	一～路
重	tɕʰyɑ̃2	摞
重	tɕʰiɔm4	轻～
重	tɕʰiɔm12=	～发
野	iɑ4	
量	liɑ̃2	动词
量	liɑ̃16=	数～
金	tɕieɲ1	
釜	fʊ13=	
鉴	tɕiɛ̃13=	
錶	pɤ̞3	
鏨	ɕiɛ4	
鏾	ɕi5	～鸡：阉鸡
鐘	tɕiɔm1	
鐾	pʰi7	
针	tsᴇɲ1	
釘	tieɲ1	名词
釘	tieɲ5	动词
釣	tɤ̞5	
釵	tsʰɑ11=	
鈍	tᴇɲ16=	
鈔	tsʰɤ̞3	
钟	tɕiɔm1	
鋼	kɑ̃1	
鑰	iɔʔ18=	
欽	tɕʰiɛ̃12=	
鈞	tɕyɛ̃11=	
鉤	kəɯ1	
鈀	pʰɤ̞2	
錢	tʰi2	一～
錢	tɕʰiɛ̃12=	姓
鉗	tɕʰi2	
鉗	tɕʰiɛ̃12=	
鉢	piɛ7	
鑽	tɕiɛ1	动词
鑽	tɕiɛ5	名词
鈿	tʰi2	
鐵	tʰiᴇ7	
鉑	mieɲ12=	
鈴	lieɲ2	
鉛	kʰæ̃11=	
鉛	tɕʰiɛ̃11=	
銅	tʰɔm2	
鍘	ɕyə3	
铲	tɕʰyə3	
銃	tɕʰiɔm1	
銀	ȵieɲ2	
鑄	tɕy5	
鋪	pʰʊ1	动词
鋪	pʰʊ5	名词
链	liɛ̃16=	
銷	ɕɤ̞1	
鎖	sʊ3	
鋤	sɿ2	
鍋	kʊ11=	
鏽	ɕiəɯ5	
銼	tsʰʊ5	
鋒	fɔm1	
銳	luei16=	
錯	tsʰʊ5	
錨	mɤ̞2	
錫	ɕiəʔ9	
鑼	lʊ2	
錘	tɕʰyei2	
錦	tɕieɲ13=	
錠	tieɲ16=	
鍵	tɕiɛ̃16=	
鋸	kəɯ5	
鍬	tɕʰɤ̞1	
鍾	tɕiɔm1	
鍛	tuæ̃16=	
鍍	tʊ16=	
鎮	tsᴇɲ5	
鎮	tsᴇɲ13=	乡～
鏢	pɤ̞1	
鏡	tɕieɲ5	
鑊	ɔʔ8	
鐲	tɕʰiɔʔ8	
镰	li2	
鑲	ɕiɑ̃1	
長	tsʰɑ̃2	～短
長	tsɑ̃3	队～
門	mᴇɲ2	
閂	ɕyei1	
閃	ɕi5	
閉	pi5	
問	miɛ5	
問	uᴇɲ16=	
闖	tɕʰyɑ̃5	
閏	lᴇɲ5	
闲	ɕiɛ̃12=	
間	kuə1	房～
悶	mᴇɲ5	
閘	ɕyə3	
鬧	nɤ̞5	
閨	kuei13=	
聞	uᴇɲ12=	
閩	mi13=	
閣	kɔʔ9	
鬮	tɕiəɯ1	
閱	yəʔ18=	
閻	ȵi2	～老王：阎王
閻	iɛ̃12=	姓
闊	kʰuə7	
阜	fəɯ16=	
隊	tuei16=	
阢	yɛ̃12=	
防	fɑ̃2	
陽	iɑ̃2	
陰	ieɲ1	
陣	tsʰᴇɲ5	
陣	tsʰᴇɲ16=	
階	tɕiɛ11=	
阻	tsʊ3	
阿	əʔ9	
陀	tʰʊ2	
附	fʊ2	
際	tɕi13=	
陸	lɔʔ8	
隴	lɔm13=	
陳	tsʰᴇɲ2	
陌	məʔ8	
降	xɑ̃2	投～
降	kɑ̃5	下～
限	ɕiɛ̃16=	
陝	ɕyə3	
陛	pi13=	
院	uei5	
除	tɕʰy2	
險	ɕiɛ̃13=	
陪	pʰiɛ2	
陵	lieɲ12=	
陶	tʰɤ̞2	
陷	iɛ̃16=	
隆	lɔm12=	
隍	uɑ̃2	
隨	ɕi2	
隱	ieɲ3	
隔	səʔ9	
隘	iəʔ17=	
障	tsɑ̃5	
隧	suei16=	
隶	ti16=	
隻	ləʔ9	
難	nuə2	形容词
難	nuə5	名词
雀	tɕiəʔ9	阴茎
雁	iɛ̃13=	
雄	iɔm2	
雅	iɑ13=	
集	ɕiəʔ8	收拾
集	tɕiəʔ18=	～体
雇	kʊ5	
雉	tsʰɿ4	
雌	tsʰɿ1	
雍	iɔm13=	
雕	tɤ̞1	
雨	y4	
雪	ɕi7	
雲	yɛ̃2	
零	lieɲ2	
雷	liɛ3	
雹	pʰəɯ7	冰～
雹	pɑ16=	
霧	ʊ5	
需	ɕy11=	
霄	ɕɤ̞1	
震	tsᴇɲ5	
霉	miɛ2	
霍	xɔʔ9	～闪：闪电
霍	xɔʔ18=	
霜	ɕyɑ̃1	
霞	ɕiɑ12=	
露	lʊ5	
霸	pɑ13=	
青	tɕʰieɲ1	
靖	tɕieɲ13=	
靜	ɕieɲ4	
非	fi11=	
靠	kʰɤ̞5	
面	mi5	脸
靨	i7	
革	kəʔ17=	
靴	ɕyei1	
鞋	xɑ2	
鞍	iᴇ1	
鞘	ɕiɑ11=	
鞠	tɕiɔʔ9	
鞭	pi1	
韌	ȵieɲ5	
韓	xæ̃12=	
韭	tɕiəɯ3	
音	ieɲ1	
韵	yɛ̃16=	
韶	sɑ12=	
頁	i3	
頂	tieɲ3	
頃	tɕʰieɲ13=	
項	xɑ̃16=	
順	ɕyɛ̃5	
须	ɕy11=	必～
頑	uæ̃16=	
顧	kʊ5	
頓	tiɛ5	一～饭
頓	tᴇɲ16=	停～
頒	pæ̃11=	
頌	tɕiɔm13=	
預	y16=	
領	lieɲ4	领子
領	lieɲ5	畦
頗	pʰəɯ11=	
頸	tɕieɲ3	
頻	pʰieɲ12=	
穎	ieɲ13=	
顆	kʰʊ11=	
題	tʰi12=	
顏	ŋuə2	
額	kʰəʔ8	
顛	tiɛ̃11=	
顫	tsæ̃13=	
顴	tɕʰyɛ̃12=	
風	fɔm1	
颼	ɕiəɯ1	凉～～：凉快
飄	pʰɤ̞1	
飛	fi1	
食	tsʰəʔ8	
飢	tɕi1	
餐	tɕʰyə1	量词，指被动物咬一口
餐	tsʰæ̃11=	
饑	tɕi1	
飩	tʰᴇɲ2	
飯	fɤ̞5	
飲	ieɲ13=	
飾	səʔ17=	
飽	pəɯ3	
飼	sɿ5	
饒	ȵɤ̞2	
餉	ɕiɑ̃3	
餃	tɕɤ̞3	
餅	pieɲ3	
餓	ŋʊ5	
餘	y2	
餜	kʊ3	
餛	uᴇɲ2	
餡	xuə4	
館	kuə3	
餿	səɯ1	
饞	tsʰæ̃12=	
餾	liəɯ5	
饅	miɛ2	
首	səɯ3	
香	ɕiɑ̃1	
馬	mɤ̞4	
馬	mɑ13=	
馱	tʰʊ2	抱
馴	ɕyɛ̃2	
馳	sɿ11=	
驅	tɕʰy11=	
駁	pɔʔ17=	
驢	li2	～狗子：驴
驢	lʊ2	
駛	sɿ13=	
駒	tɕy1	
駐	tɕy16=	
駝	tʰʊ2	
駕	kuə5	
罵	mɑ16=	
驕	tɕiɑ11=	
駱	lɔʔ8	
駭	xəʔ18=	
驗	ȵiɛ̃16=	
騎	tɕʰi2	
騙	pʰi5	
騷	sɤ̞1	
騾	lʊ2	
驟	tɕy16=	
骨	kuəʔ9	
髎	lɤ̞2	～子：阴茎
髓	ɕi7	
高	kɤ̞1	
髮	fɤ̞7	
髻	tɕi5	
鬃	tsɔm1	
鬆	sɔm1	
鬍	ʊ2	
鬢	pieɲ5	
鬚	sʊ1	
鬥	təɯ5	
鬼	kuei3	
魁	kʰuei11=	
魂	uᴇɲ2	
魄	pʰəʔ17=	
魏	uei5	
魔	məɯ11=	
魚	ȵy2	
魯	lʊ13=	
鮑	pɑ11=	
鱟	xəɯ5	虹
鮮	ɕi1	新～
鮮	ɕiɛ̃11=	朝～
鯗	ɕiɑ̃3	
鯉	li4	
鯽	tɕiəʔ9	
鯨	tɕʰieɲ12=	
鰓	ɕiɛ1	
鱉	pi7	
鱔	ɕi4	
鱗	lieɲ12=	
鳥	tɤ̞2	动物名
鳩	tɕiəɯ11=	
雞	tɕi1	
鳴	mieɲ12=	
鴉	uə1	
鸕	lʊ12=	
鴨	uə7	
鴿	kiᴇ7	
鸞	læ̃12=	
鴻	xɔm12=	
鵓	pʰɔʔ8	
鵑	tɕyɛ̃11=	
鵝	ŋʊ2	
鵡	ʊ13=	
鷂	ɤ̞5	
鶴	xɔʔ8	
鸚	ieɲ11=	
鷹	ieɲ1	
鹹	xuə2	
鹿	lɔʔ8	
麝	ɕyə5	
麥	məʔ8	
麯	tɕʰiɔʔ9	
麵	mi5	
麩	fʊ1	
麻	mɤ̞2	苎～
麻	mɤ̞2	
麻	mɑ12=	～烦
黃	uɑ̃2	
黎	li2	
黏	ȵi1	
黑	xəʔ9	
默	məʔ18=	
鼎	tieɲ11=	
鼓	kʊ3	
鼠	tsɿ3	
鼠	tɕʰy13=	
鼻	pʰiəʔ9	
鼾	xæ̃16=	
齊	ɕi2	
齒	tsʰɿ13=	
齪	tɕʰiɔʔ9	龌～：脏
齷	uɔʔ9	～龊：脏
龍	lɔm2	
龜	kuei1	
𢈈	kʰuə7	压
