#漢字	音標	解釋
#簡稱	/	淸末溫州
#全稱	/	淸末溫州話
#聲母	/	
#韻母	/	
#聲調	/	44 1 1a 陰平 ꜀,331 2 1b 陽平 ꜁,45 3 2a 陰上 ꜂,34 4 2b 陽上 ꜃,42 5 3a 陰去 ꜄,22 6 3b 陽去 ꜅,223 7 4a 陰入 ꜆,112 8 4b 陽入 ꜇
#版本	/	2021-10-21
#錄入人	/	阿纓
#參考資料	/	《淸末溫州方言音系研究》《溫州方言入門》
#說明	/	
茛	kø5	
茜	tsʰie5	
茨	zɿ2	
茫	mɔ2	
茬	dzo2	
茭	kɔ1	
茯	vu8	
茱	tɕiɿ1	
茲	tsɿ1	
茲	zɿ2	龜～：古國名
茳	kɔ1	
茴	ɦʋai2	
茴	vai2	
茵	ʔjiaŋ1	
茶	dzo2	
茸	zʊŋ2	
茹	ʑiɿ2	
荀	ɕyʊŋ1	
荃	tɕʰye1	
荄	ke1	
草	tsʰɜ3	
草	tsʰɜ1	潦～
荊	tɕiaŋ1	
荍	dʑiɛ2	
荏	zaŋ6	
荑	di2	
荒	hɔ1	
荔	li6	
荡	dɔ6	浪～
榮	jyʊŋ2	
荫	ʔjiaŋ1	
藥	jia8	
荳	diu6	
荷	hu5	薄～
荷	ɡa4	反手背人
荷	fu5	薄～
荷	vu2	
荷	vu6	負～
荻	di8	
荼	du2	
荽	ɕiɿ1	
莆	bu2	
莉	li6	
莊	tsɔ1	
莊	tɕyɔ1	地名用字；賭博做～
莎	so1	
莒	tɕy3	
莓	mai2	
莖	tɕiaŋ1	
莝	tsʰo5	～草
莞	ʔʋa3	
莞	kye1	
莠	jiau4	
莢	ka7	
莧	sie5	
莨	lɔ6	
莩	biɛ4	
莫	mo8	
莫	mu8	
蓮	lie2	
莽	mɔ2	～撞，魯莽
莽	mɔ4	
菁	tsiŋ1	
菅	ka1	
菇	ku1	
菊	tɕiu7	
菌	dʑyʊŋ4	
菔	vu8	
菖	tsʰie1	
菜	tsʰe5	
菝	bo8	
菟	dʉ2	
菠	pa1	～薐菜
菠	pu1	～菜
菡	ɦa2	
菢	bu6	
菩	bu2	
菪	dɔ6	
華	ɦo2	
華	ɦo6	姓
菰	ku1	
菱	liŋ2	
菲	fi3	～薄
菲	fi1	
菼	tʰa3	
菽	ʑiu8	
萁	tɕiɿ1	
萃	zai6	
萄	dɜ2	
萆	pai1	
萊	le2	
萋	tsʰi1	
萌	mɛ2	
萍	biŋ2	
萎	ʔy3	
萏	da4	
萑	ɡʋaŋ2	竹萑：貓頭鷹
蘿	lu2	
營	jyʊŋ2	
薩	sa7	
萬	ma6	
萬	va6	
萱	ɕye1	
萵	ʔu1	
萸	ɦy2	
萼	ŋo8	
落	lo8	下: ～船;下去:放～乐～园
葆	pɜ3	
葉	si7	～公，姓
葉	jie8	
葖	dø8	
著	tɕia7	著衣裳
著	dʑia8	～重
著	dza8	～色
著	tsi5	盛物
著	tsɿ5	
著	ʑiɿ4	～搭：在這兒
葚	zaŋ4	
葛	kye7	
葡	bʉ2	
董	tʊŋ3	
葦	ɦy2	
葩	po1	
葩	pʰo1	
葫	vu2	
葬	tsɔ5	
葭	ko1	
葳	ʔy1	
葵	dʑy2	
葷	hye1	
葸	sɿ3	
葺	tsʰai7	
蒔	zɿ2	
蒙	mʊŋ2	～恩
蒙	ʔmʊŋ1	蒙細
蒜	sø5	
蒞	li6	
蒡	bɔ2	
蒯	kʋʰa5	
蒱	bu2	
蒲	bʉ2	～桃：葡萄
蒲	bu2	
蒴	ɕyo7	
蒸	tsiŋ1	
蒹	tɕie1	
蒺	zai8	
蒻	ʑia8	
蒼	tsʰɔ1	
蒽	ʔø1	
蒿	hɜ1	
蒿	hɛ1	～菜
蓀	sø1	
蓄	ɕiu7	
蓉	jyʊŋ2	
蓉	jyɔ2	芙～
蓋	kai5	～頭紗；腦～髓
蓋	ke5	
蓋	kye7	姓
蓍	dʑiɿ2	
蓐	ʑiu8	
蓑	so1	
蓓	bai4	
蓬	bʊŋ2	
蓮	lie2	
蓴	zʊŋ2	
蓼	liɛ4	
蓽	pie7	
蓿	ɕiu7	
蔀	bu4	
蔑	mie8	
蔓	ma2	～菁
蔓	ma6	瓜～
蔔	pu7	
蔔	bu8	
蔗	tsi5	
蔘	saŋ1	人～
蔚	ʔy5	
蔞	lau2	
蔡	tsʰa5	
蔣	tsie3	
蔥	tsʰʊŋ1	
蔦	ȵia4	
蔧	ɦy6	～贈
蔫	ʔie1	
蔬	su1	
蔭	ʔjiaŋ1	
蔭	ʔjiaŋ5	墳～
蔻	kʰau5	
蔽	pi5	
蕃	va2	
蕈	zaŋ4	
蕉	tɕiɛ1	
蕊	ʑiɿ4	
蕊	ȵy6	花蕾
蕎	dʑiɛ2	
蕒	ma4	
蕕	jiau2	
蕖	dʑy2	
蕘	jiɛ2	
蕙	ɦy6	
蕢	dʑy6	
蕤	ʑiɿ2	
蕨	tɕye7	
蕩	dɔ6	
蕪	vu2	
蕭	ɕiɛ1	
蕻	hʊŋ5	
蕾	lai2	
薄	bu2	～荷
薄	po7	日～西山
薄	bo8	單～
薅	hɜ1	
薆	ʔe5	
薇	vi2	
薊	tɕiɿ5	
薏	ʔi5	
薐	laŋ2	菠～菜
薑	tɕie1	
薛	si7	
薤	ɦa6	
薦	tsie5	
薧	kʰau5	小魚幹
薨	hʊŋ1	
薩	sa7	
薪	saŋ1	
薯	zi2	
薷	ʑiɿ2	
薸	biɛ2	浮萍
薹	de2	
藉	zi8	
藉	zi4	
藍	la2	
藏	zɔ2	动词
藏	tsɔ1	～藍色
藏	zɔ6	西～
藐	miɛ4	
藕	ŋau4	
藜	li2	
藝	ȵi6	
藤	daŋ2	
藥	jia8	
藨	piɛ1	
藩	fa1	
藩	va2	
藪	sau3	
藭	dʑyʊŋ2	
藴	ʔjyʊŋ5	
藶	li8	
藹	ʔe3	
藺	liŋ6	
藻	tsɜ3	
藿	ho7	
蘀	tʰo7	
蘅	ɦa2	
蘆	lʉ2	
蘇	sʉ1	
蘋	biŋ2	
蘖	ȵie8	
蘚	sie3	
蘧	dʑy2	
蘩	va2	
蘭	la2	
蘸	tsa5	
蘺	li2	
蘿	lo2	～蔔
蘿	lu2	
虎	fu3	
虐	ȵia8	
虔	dʑie2	
處	tɕʰiɿ3	～理
處	tɕʰiɿ5	辦事～
虛	ɕy1	
虛	ɕy1	
虜	lu4	
虞	ȵy2	
號	ɦɜ2	叫
號	ɦɜ6	～角；記～
虡	dʑy4	
虢	kʋa7	
虧	kʋʰai1	
虧	tɕʰy1	～你
蟲	dʑyʊŋ2	
虯	dʑiau2	
虱	sai7	
虹	ɦʊŋ2	
虻	mɛ2	
虻	mɔ2	
雖	ɕiɿ1	
蚊	maŋ2	
蚊	vaŋ2	
蚋	zai6	
蚌	bɛ4	
蚓	jiaŋ4	
蚜	ŋo2	
蚣	kʊŋ1	
蚤	tsɜ3	
蚧	ka5	
蚩	tsʰɿ1	
蚪	tau3	
蚯	tɕʰiau1	
蚰	jiau2	
蚱	tso5	
蚴	ʔjiau1	
蚶	hø1	
蚻	za8	膠～，蟑螂
蛀	tɕiɿ5	
蛄	ku1	
蛆	tsʰi1	～蟲：孑孓
蛆	tsɿ1	
蛇	zi2	
蛇	ji2	委～
蛉	liŋ2	
蛋	da6	
蛐	tɕʰyo7	
蛑	mɜ2	
蛑	mʊŋ2	
蛓	tsʰi5	毛～辣：毛蟲
蛔	vai2	
蛙	ʔo1	
蛛	tɕiɿ1	
蛞	ko7	
蛟	ka1	～尾巴，地名
蛟	kɔ1	
蛤	kø7	
蠻	ba2	
蛸	ɕiɛ1	
蛸	sɔ1	
蛹	dʊŋ4	
蛹	ʔjyɔ3	
蛺	ka7	
蛻	tʰai5	
蛾	ŋ2	
蛾	mai2	燈蛾
蜀	dʑyo8	
蜂	fʊŋ1	
蜂	hʊŋ1	
蜉	vɜ2	
蜉	fu1	
蜍	dʑiɿ2	
蜒	jie2	
蜓	daŋ2	蜻～
蜓	diŋ2	
蜘	tsɿ1	
蜚	fi1	
蜜	mie8	
蜞	dʑiɿ2	
蜢	mɛ4	
蜥	si7	
蜩	diɛ2	
蜮	jye8	
蜴	jiai8	
蜷	dʑye2	
蜻	tsʰiŋ1	
蜿	ʔye3	
蝌	kʰu1	
蝎	ɕie7	
蝕	zi8	
蝗	ɦɔ2	
蝙	pie1	
蝣	jiau2	
蝤	jiau2	～蠓，青蟹
蝥	mɔ2	
蝦	ho1	
蝦	ɦo2	～蟆
蝰	kʋʰai1	
蝴	vu2	
蝶	die8	
蝸	ʔy1	
蝻	nø2	
螂	lɔ2	
螃	bɔ2	
融	jyʊŋ2	
螗	dɔ2	
螞	mo4	
螟	miŋ2	
螠	ʔa7	～兒，小蟹，見《六書故》
螢	jiaŋ2	火～光光
螢	jyʊŋ2	
螣	de8	
螫	si7	
螬	zɜ2	
螭	tsʰɿ1	
螯	ŋɜ2	
螳	dɔ2	
螵	pʰiɛ1	
螺	lu2	
螻	lau2	
螽	tɕyʊŋ1	
蟀	sai7	
蟄	dzi8	
蟆	mo2	
蟈	kʋai7	
蟊	mɔ2	
蟎	mø4	
蟒	mɔ4	
蟛	bɛ2	～蜞，蟹名
蟟	liɛ2	
蟠	bø2	
蟢	ɕiɿ1	
蟣	tɕiɿ3	
蟪	ɦy6	
蟬	zie2	
蟯	ʔȵia1	蠕動
蟲	dʑyʊŋ2	
蟶	tsʰiŋ1	
蟹	ha3	
蟻	ŋa4	
蟻	ȵi4	
蟾	zie2	
蠅	ʔjiaŋ1	蒼蠅
蠅	jiaŋ2	小飛蚋
蠉	va6	
蠋	dʑyo8	
蠍	ɕie7	
蠐	zi2	
蠓	mʊŋ2	
蠔	ɦɜ2	
蠕	ʑiɿ2	
蠖	ɦo8	
蠚	ho7	
蠟	la8	
蠡	li4	
蠢	tɕʰyʊŋ3	
蠣	li6	
蠨	ɕiɛ1	
蠱	ku3	
蠱	ku1	
蠲	tɕye1	
蠹	tʉ5	
蠻	ma2	
蠻	ʔma1	～好
血	ɕye7	
行	ɦɛ2	～走
行	ɦɔ2	同～
行	ɦɛ6	品～
衍	jie4	
術	zye8	
街	ka1	
衙	ŋo2	
衛	ɦy6	
衡	ɦa2	
衢	dʑy2	
衣	ʔi1	
補	pʉ3	
表	piɛ3	
衩	tsʰo1	褲～
衩	tsʰo5	衣～
衫	sa1	
衰	sai1	
衰	tsʰai1	等～
衲	nø8	
衾	tɕʰiaŋ1	
衿	tɕiaŋ1	
袁	jye2	
袂	mi6	
袈	ko1	
袋	de6	
袍	bɜ2	
袒	tʰa3	
袒	da4	出膊～裸
袖	ziu6	
袞	kʋaŋ3	
袢	pʰø5	袷～
袤	mɜ6	
被	bi4	
袱	vu8	
袽	ʑiɿ2	
裁	ze2	
裂	lie8	
裋	ʑiɿ4	
裔	ʔi1	
裕	ɦy6	
裘	dʑiau2	
裙	dʑyʊŋ2	
補	pʉ3	
裝	tsɔ1	
裝	tɕyɔ1	
裟	so1	
裡	li4	
裡	ʔli1	居～，這裡
裨	bi2	
裰	tø7	
裱	piɛ3	
裳	zie2	
裴	bai2	
裸	lai4	
裸	lu4	
裹	ku3	
裹	ku1	包裹
製	tsi5	
裾	tɕy1	
褂	ko5	
複	vu8	重新，再
褐	ʔø7	
褒	pɜ1	
褓	pɜ3	
褘	ɕy1	
褙	pai5	裱～
褚	dʑiɿ4	
褡	ta7	
褥	ʑiu8	
褦	ne6	～襶
褪	tʰaŋ5	
褪	tʰai5	
褫	tsʰɿ3	
褰	tɕʰie1	
褲	kʰu5	
褸	lau4	
褻	si7	
襄	sie1	
襆	pʰo7	
襉	ka3	
襖	ʔɜ3	
襞	pi7	
襟	tɕiaŋ1	
襠	tɔ1	
襤	la2	
襦	ʑiɿ2	
襪	mo8	
襯	tsʰaŋ5	
襲	zai8	
襴	la2	
襶	te5	
襻	pʰa5	
西	si1	
要	ʔiɛ5	～紧
要	ʔiɛ1	
覃	dø2	
覅	fai1	勿、不要
覆	pʰu7	伏、趴
覆	fu7	翻来～去
覆	fɜ5	
覈	ɦø8	
見	tɕie5	
規	kʋai1	規矩
規	tɕy1	
覓	mi8	
視	zɿ6	
覘	tsie1	
覦	ɦy2	
親	tsʰaŋ1	
親	tsʰaŋ5	
覬	tɕiɿ5	
覯	kau5	
覲	dʑiaŋ6	
覺	kɔ5	
覺	ko7	
覽	la4	
覿	di8	
觀	kye1	
觀	kye5	道～
見	tɕie5	
規	tɕy1	条～
規	kʋai1	～矩
覺	ko7	
角	ko7	
觚	ku1	
解	ka3	～说
解	ka5	押～
解	ɡa4	解木板
解	ɦa4	姓
觥	kɛ1	
觳	vu8	
觳	ɡu8	伏縮
觴	sie1	
觸	tɕʰyo7	
言	ȵie2	
訂	tiŋ5	
訃	fu5	
訄	dʑiau2	
計	tɕiɿ5	
訊	saŋ5	
討	tʰɜ3	
訓	ɕyʊŋ5	
訕	sa5	
訖	tɕʰiai7	
記	tɕiɿ5	
訛	ŋ2	
訝	ŋo6	
訟	ʑyɔ6	
訣	tɕye7	
訥	nø8	
訩	ɕyɔ1	
訪	hɔ3	
設	si7	
許	he3	遠指代詞
許	ɕy3	
訴	sʉ5	
訶	ho1	
診	tsaŋ3	
訾	tsɿ1	～那：怎么
詁	ku3	
詆	ti3	
詎	dʑy4	
詐	tso5	
詔	tɕiɛ5	
評	biŋ2	
詞	zɿ2	
詠	ʔjyʊŋ3	
詠	jyʊŋ4	
詡	ɕy3	
詢	ɕyʊŋ1	
詣	ȵi6	
試	sɿ5	
詩	sɿ1	
詫	tso5	
詫	tsʰo5	
詬	kau5	
詭	tɕy3	
詮	tɕʰye1	
詰	tɕiai7	
詰	tɕie7	
話	ɦo6	
該	ke1	
詳	jie2	
詹	tsie1	
詼	fai1	
詼	kʋʰai1	
詿	ko5	
誄	lai4	
誅	tɕiɿ1	
誆	tɕʰyɔ1	
誇	kʰo1	
誌	tsɿ5	
認	ȵiaŋ6	
誑	dʑyɔ2	
誓	zi6	
誕	ta5	
誘	jiau6	
誚	tɕʰiɛ5	
語	ȵy4	
誠	ziŋ2	
誡	ka5	
誣	vu2	
誤	ŋ6	
誥	kɜ5	
誦	ʑyɔ6	
誨	fai5	
說	ɕiɿ5	遊～
說	ɕye7	
誰	ʑiɿ2	
課	kʰu5	
誶	sai5	
誹	fi3	
誼	ȵi4	
調	diɛ2	～解
調	diɛ6	～動
諂	tsʰie3	
諄	tɕyʊŋ1	
談	da2	
諉	ʔy3	
請	tsʰiŋ3	
諍	tsɛ5	
諏	tsau1	
諑	tɕyo7	
諒	lie6	
論	lø2	～語
論	lø6	討論
諛	ɦy2	
諜	die8	
諡	zɿ6	
諦	ti5	
諧	ɦa4	
諫	ka5	
諮	tsɿ1	
諱	ɕy5	
諳	ʔø1	
諷	hʊŋ5	
諸	tsɿ1	
諺	ȵie6	
諼	ɕye1	
諾	no8	
謀	mɜ2	
謁	ʔie7	
謂	ɦy6	
謄	daŋ2	
謅	tsau1	
謊	hɔ3	
謍	vɛ1	～～聲，聲音聒耳
謎	mi6	
謎	ȵy6	
謗	pɔ5	
謙	tɕʰie1	
講	kɔ3	
謝	zi6	
謠	jiɛ2	
謨	mu2	
謫	tsa7	
謬	miɛ6	
謳	ʔau1	
謴	kʋaŋ5	罵
謹	tɕiaŋ3	
謾	ma6	
謾	mø2	
證	tsiŋ5	
譎	tɕye7	
譏	tɕiɿ1	
識	si7	
識	tsɿ5	標～
譚	da2	
譜	pʉ3	
警	tɕiaŋ5	
譬	pʰi3	动词，比喻、比方
譬	pʰi5	
譯	jiai8	
議	ȵi4	
譴	tɕʰie3	
護	vu6	
譽	ɦy6	
讀	dau6	句～
讀	du8	
變	pie5	
讎	dziu2	
讒	dza2	
讒	za2	
讓	ȵie6	
讕	la2	
計	tɕiɿ5	
認	ȵiaŋ6	
討	tʰɜ3	
讓	ȵie6	
訓	ɕyʊŋ5	
議	n4	
記	tɕiɿ5	
講	kɔ3	
許	ɕy3	
許	he3	那
論	lø6	
訟	ʑyɔ6	
設	si7	
訪	fɔ3	
证	tsiŋ5	
評	biŋ2	
識	si7	
訴	sʉ5	
試	sɿ5	
詩	sɿ1	
誠	ziŋ2	
話	ɦo6	
話	ɕʋo5	
詭	tɕy3	
該	ke1	应～
該	ke7	这
誡	ka5	
語	ȵy4	
誘	jiau6	
說	ɕye7	
請	tsʰiŋ3	
諾	no8	
讀	du8	
調	diɛ6	～换
談	da2	
謀	mɜ2	
謊	hɔ3	
諭	ɦy6	上～
謝	zi6	
謠	jie6	名声～开
謗	pɔ5	
謙	tɕʰie1	
謹	tɕiaŋ3	～醒
譜	pʉ3	
谷	ku7	～仓
谷	jyo8	吐～渾
豁	ho7	～然
豆	diu6	
豇	kɛ1	～豆
豇	kɔ1	
豈	tɕʰiɿ3	
豉	zɿ2	
豌	ʔye3	
豎	ʑiɿ4	
豐	hʊŋ1	
豔	jie6	
豕	sɿ3	
豚	dø2	
豝	po1	
象	zie4	
豢	va6	
豪	ɦɜ2	
豫	ɦy6	
豬	tsi1	
豭	ko1	
豸	dzɿ4	
豹	pɔ5	
豺	za2	
貂	tiɛ1	
貅	ɕiau1	
貉	ma8	
貉	ɦo8	
貌	mɔ6	
貓	mɔ2	大～，老虎
貓	ʔmɔ1	
貝	pai5	
貞	tsiŋ1	
負	vʉ4	
負	vu4	
財	ze2	
貢	kʊŋ5	
貧	biŋ2	
貨	fu5	
販	fa5	
貪	tʰø1	
貫	kye5	
責	tsa7	
貲	tsɿ1	
貳	n6	
貴	tɕy5	
貶	pie3	
買	ma4	
貸	tʰe5	
貸	de6	借～
貹	sɛ5	瘡癤發炎
貺	ɕyɔ5	
費	fi5	
貼	tʰie7	
貽	ji2	
貿	mɜ6	
賀	vu6	
賁	pi5	
賂	lʉ6	
賂	lo8	
賃	zaŋ6	
賄	fai3	
賅	ke1	
資	tsɿ1	
賈	ko3	姓
賈	ku3	商～
賊	ze8	
賑	tsaŋ5	
賒	si1	
賓	piŋ1	
賕	dʑiau2	
賙	tsiu1	
賚	le6	
賜	si5	
賜	sɿ5	
賞	sie3	
賠	bai2	
賡	kɛ1	
賢	zie2	
賣	ma6	
賤	zie6	
賦	fʉ5	
質	tsai7	
賬	tɕie5	
賭	tʉ3	
賴	la6	
賴	ʔla1	賴歪，撒無賴
賺	dʑiaŋ4	
賺	dza6	差錯
賺	dza4	
賻	vʉ6	回～
購	kau5	
賽	si5	
賽	se5	
賾	tsa7	
贅	tɕiɿ5	
贈	zaŋ6	
贉	dø2	～堆，論堆買賣
贊	tsa5	
贍	zie6	
贏	jiaŋ2	
贓	tsɔ1	
贖	jyo8	
贗	ŋa6	
贛	kʊŋ5	
貝	pai5	
負	vʉ4	
財	ze2	
責	tsa7	
敗	ba6	
賬	tsie5	
貨	hu5	
貪	tʰø1	
貧	biŋ2	
貫	kye5	
賤	zie6	
貼	tʰie7	
貴	tɕy5	
費	fi5	
賀	ɦʋu6	
賊	ze8	
資	tsɿ1	
贖	ʑyo8	
賜	sɿ5	
賜	si5	
賺	dza6	错也
賽	se5	
赞	tsa5	
赤	tɕʰiɿ7	～膊裸： 光着上身
赤	tsʰi7	
赦	si5	
赧	na4	
赫	ha7	
赭	tse3	
赯	dɔ2	
走	tsau3	
赴	fʉ5	
赴	fu5	
趕	kye3	
起	tɕʰiɿ3	
趁	tsʰaŋ5	
超	tɕʰiɛ1	
越	jye8	
趕	kye3	
趙	dʑiɛ4	
趟	tʰɔ5	
趠	tsʰɔ5	
趣	tɕʰiɿ5	
趨	tɕʰiɿ1	
足	tɕyo7	
趵	pɔ5	
趺	fu1	
趾	tsɿ3	
跅	tʰo7	
跋	bo8	
跌	tie7	
跎	du2	
跏	ko1	
跑	pʰɔ3	
跑	bɔ2	虎～
跔	ɡau2	蜷缩
跔	tɕiau1	蹲
跔	dʑiau2	蜷縮
跔	ɡu2	踞縮
跗	fu1	
跚	sa1	
跛	pu3	
距	dʑy4	
跟	ɡaŋ1	
跟	kaŋ1	
跟	kø1	腳下跟頭
跡	tsi7	
跣	si3	
跤	kɔ1	
跨	kʰo1	
跪	dʑy4	
跬	tɕʰy1	
路	dʉ6	
路	lʉ6	
跳	tʰiɛ5	
跳	diɛ2	走
跼	dʑyo8	
踏	da8	
踐	zie6	
踒	ʔu1	
踞	tɕy5	
踞	tɕy1	
踟	tsɿ1	
踢	tʰi7	
踩	tsʰe3	
踫	bɛ2	跨
踭	tsɛ1	手～頭，胳膊肘兒；木節眼
踱	do8	
踴	ʔjyʊŋ1	向前急跳
踴	ʔjyɔ3	
踴	jyɔ4	
踵	tɕyɔ3	
蹀	die8	
蹂	ziu2	
蹄	di2	
蹇	tɕie3	
蹈	dɜ6	
蹉	tsʰo1	
蹊	ji2	
蹋	tʰa7	
蹌	tsʰie1	
蹕	pie7	
蹙	tsʰu7	
蹡	tsʰie1	
蹣	bø2	～跚
蹤	tsʊŋ1	
蹤	tɕyɔ1	～跡
蹦	pʊŋ5	
蹩	pʰie7	跛
蹯	va2	
蹲	taŋ1	
蹴	tsʰu7	
蹶	tɕye7	
蹺	tɕʰiɛ1	
蹽	liɛ2	
躁	tsɜ5	
躄	pʰie7	跛脚
躄	bi8	
躅	dʑyo8	
躇	dʑiɿ2	
躋	tsi5	
躍	jia8	
躐	liɛ8	
躓	tsɿ5	
躔	dzie2	
躚	tsʰie1	
躥	tsʰø5	向上跳
躪	liŋ6	
身	saŋ1	
躬	tɕyʊŋ1	
躬	kʊŋ1	
躲	tu3	
躲	to3	
躺	tʰɔ3	
軀	tɕʰy1	
車	tsʰi1	水～
車	tsʰo1	
車	tɕy1	～馬炮
軋	tsa7	～鋼
軋	ɡa8	～米
軋	ʔa7	
軌	tɕy3	
軌	tɕy1	
軍	tɕyʊŋ1	
軒	ɕie1	
軔	zaŋ6	
軛	ʔa7	
軟	ȵye4	
軥	dʑy2	
軲	ku1	
軸	dʑiu8	
軻	kʰu1	
軼	jiai8	
軾	si7	
輀	zɿ2	
較	kɔ5	
載	tsi7	一年半～
載	tse7	年載
載	tse3	年載
載	tse5	
載	ze6	重～
輒	tsie7	
輔	fu3	
輕	tɕʰiaŋ1	
輗	ȵi2	
輛	lie4	
輜	tsɿ1	
輝	ɕy1	
輞	mɔ4	
輟	tɕye7	
輦	lie4	
輨	kye3	
輩	pai5	
輪	laŋ2	
輪	liŋ2	～到
輯	tsʰai7	
輯	zai8	
輳	tsʰau5	
輶	jiau2	
輸	ɕiɿ1	
輿	ɦy2	
轂	ku7	
轄	ɦa8	
轅	jye2	
轆	lu8	
轇	kɔ1	
轉	tɕye3	
轉	tɕye5	
轍	dzie8	
轎	dʑiɛ6	
轘	va6	
轟	hʊŋ1	
轟	fɛ1	～～烈烈
轡	pi5	
車	tsʰi1	
轉	tɕye3	上～:上面;走～:走回来
軛	ʔa7	
軟	ȵye4	
輕	tɕʰiaŋ1	
辛	saŋ1	
辜	ku1	
辭	zɿ2	
辟	pi7	
辟	pʰi7	
辣	la8	半死
辦	ba6	
辨	bie4	
辯	bie4	
辭	zɿ2	
辮	bie4	
辯	bie4	
辰	zaŋ2	
辱	ʑiu8	
農	nʊŋ2	
邊	pø1	后～
邊	pie1	
达	da8	
迂	ʔy1	
迄	tɕʰiai7	
迅	saŋ3	
過	ku5	
迎	ȵiaŋ2	
近	dʑiaŋ4	
迒	ɦɔ2	
迓	ŋo6	
返	fa3	
還	ɦʋa2	～有
進	tsaŋ5	
遠	jye4	
違	ɦy2	
連	lie2	
遲	dzɿ2	
迢	diɛ2	
迥	tɕyʊŋ3	
迦	tɕia1	
迦	tɕia5	
迨	de6	
迫	pa7	
迭	die8	
迮	tso7	
述	jye8	
迷	mi2	～惑
迸	pʊŋ5	
迸	pɛ5	
迹	tsi7	
追	tɕiɿ1	
退	tʰai5	
送	sʊŋ5	
逃	dɜ2	推
逅	ɦau4	
逆	ȵiai8	
逋	pu1	
逍	ɕiɛ1	
透	tʰau5	
逐	dʑiu8	
逑	dʑiau2	
遞	di6	
途	dʉ2	
逗	dau6	
通	tʰʊŋ1	
逛	dʑyɔ2	
逝	zi6	
逞	tsʰiŋ3	
速	su7	
造	tsʰɜ5	～次
造	zɜ4	创～
造	tsʰɜ1	造次
逢	vʊŋ4	
逢	ɦʊŋ2	
連	lie2	
逭	va6	
逮	de6	介词, 把
逯	lo8	姓
進	tsaŋ5	
逵	dʑy2	
逶	ʔy1	
逸	jiai8	
逼	pie7	
逼	pi7	
逾	ɦy2	
逾	ɦy6	
遁	daŋ6	
遁	dø6	
遂	ʑiɿ2	半身不～
遇	ȵy6	
遊	jiau2	
運	jyʊŋ6	
遍	pie5	
過	vu6	～儂，傳染
過	ku5	
遏	ʔø7	
遐	ɦo2	
遑	ɦɔ2	
遒	dziu2	
道	dɜ4	
達	da8	
違	ɦy2	
遘	kau5	
遥	jiɛ2	
遜	sø5	
遝	dø8	
遞	di6	
遠	jye4	
遢	tʰa7	
遣	tɕʰie3	
遨	ŋɜ2	
遭	tsɜ1	
遮	tsi1	
遲	dzɿ2	
遴	liŋ2	
遵	tɕyʊŋ1	
遷	tsʰie1	
選	ɕye3	
遺	ɦy2	
遺	ɦy6	
遼	liɛ2	
遽	tɕy5	
遽	dʑy6	
避	bi6	
邀	ʔiɛ1	
邁	ma6	
邂	ɦa6	
還	va2	
邇	zɿ4	
邈	miɛ4	
邊	pø1	後～
邊	pie1	
邋	la8	
邑	ʔjiai7	
邕	ʔjyʊŋ1	
邙	mɔ2	
邢	jiaŋ2	
那	ʔna7	訾～:怎么
那	ʔna3	
邦	pɔ1	
邪	zi2	
邯	ɦø2	
邱	tɕʰiau1	
邵	jiɛ6	
邸	ti3	
鄰	liŋ2	
邽	tɕy1	
郇	va2	
郊	kɔ1	
郎	lɔ2	
郗	ɕiɿ1	
郛	fu1	
郜	kɜ5	姓
郝	ha7	
郟	ka7	
郡	dʑyʊŋ6	
郢	jiaŋ4	
郤	tɕia7	姓
部	bʉ4	
部	bu4	
郭	ko7	
郯	da2	
郵	jiau2	
都	tʉ1	～城
鄂	ŋo8	
鄄	tɕye1	
鄉	ɕie1	
鄌	dɔ2	
鄒	tsau1	
鄙	pi3	
鄙	pi5	
鄠	vu4	
鄢	ʔie1	
鄧	daŋ6	
鄭	dziŋ6	
鄮	mɜ6	～山，山名
鄰	liŋ2	
鄱	bu2	
鄲	ta1	
鄺	kʰɔ5	
酉	jiau4	
酋	jiau2	
酌	tɕia7	
配	pʰai5	
酒	tsiu3	
酕	mɜ2	
酗	ɕy5	
酢	tso5	酒～
酢	dzo6	
酢	zo6	
酣	hø1	
酣	ɦø2	
酤	ku1	
酥	sʉ1	
酩	miŋ2	
酪	lo8	
酬	dziu2	
酵	kɔ5	
酵	hɔ5	
酶	mai2	
酷	kʰu7	
酸	sø1	
酹	lai6	
酺	bu2	
醃	ʔie1	
醄	dɜ2	
醅	bai2	
醇	zʊŋ2	
醉	tɕiɿ5	
醉	tsai5	
醊	tɕye7	
醋	tsʰʉ5	
醐	vu2	
醒	siŋ3	
醛	tɕʰye1	
醜	tsʰiu3	
醞	ʔjyʊŋ5	
醡	tso5	
醢	he3	
醪	lɜ2	
醫	ʔi1	
醬	tsie5	
醭	pʰo7	
醮	tɕiɛ5	
醯	ɕiɿ1	
醴	li4	
醵	dʑy6	
醺	ɕyʊŋ1	
釀	ȵie6	
釁	ɕiaŋ5	
釅	ȵie2	
采	tsʰe3	
采	tsʰe5	～邑
釉	jiau6	
釋	si7	
釋	si7	
里	li4	一～路
里	ʔli1	我该～ ：我这里
里	de2	酒～
重	dʑyɔ2	～生
重	dʑyɔ4	贵～
重	dʑyɔ6	疊起
野	ʔi3	
野	ʔjia3	假
量	lie2	～商
量	lie6	限～
金	tɕiaŋ1	
釔	ʔjiai7	元素名
