#漢字	音標	解釋
䉪	lui	一種捕魚工具、深䉪,地名
趣	tsʰui1	
趨	tsʰui1	
足	tsui1	足恭
足	tsʊk	足跡
趴	pʰa1	
趾	tsi	
跋	pɐt	
跌	tit7b	
跎	hu4	
跑	pʰiu	
跚	san1	
跛	pei	跛腳
跛	pʰu	腳有殘疾
距	kʰui1	
距	kʰui5	距離
跟	kɐn1	
跡	tsɪk	
跤	kiu1	
跨	kʰua1	
跪	kuei	
路	lou	
跳	hiu1	
跥	tu	
踏	tap	
踐	tsʰin1	
踐	tsʰin5	
踝	wai5	
踞	kui1	
踢	hɛk7b	
踢	pʰɛk7b	
踩	tsʰai	
踮	tim	
踱	tuk	
踴	jʊŋ	
踵	tsʊŋ	
蹄	hei4	
蹈	tau	
蹉	tsʰu1	
蹋	tap	
蹙	tsʰʊk	
蹟	tsɪk	
蹣	pʰun4	
蹤	tsʊŋ1	
蹦	pɐŋ	
蹧	tsau1	
蹬	tɐŋ	
蹲	tɐn1	
蹴	tsʰʊk	
蹺	hiu1	
蹼	pʊk	
躁	tsʰau1	
躇	tsʰi4	
躊	tsʰu4	
躍	jiuk	躍進
躍	jiuk7b	跳躍
躡	nip	
身	sɐn1	
躬	kʊŋ1	
躱	tu	
躺	huŋ	
軀	kʰui1	
車	tsʰia1	汽車
車	kui1	車馬炮
軋	tsat7b	
軌	kuei	
軍	kuɐn1	
軒	hin1	
軟	jan1	
軟	jan	
軸	tsʊk	
軻	ŋu1	
軾	sɪk	
較	kiu1	
載	tsui1	記載
載	tsui	一年半載
輒	tsip7b	
輓	wan1	
輓	wan5	
輔	fu	
輕	hɪŋ1	
輛	liuŋ	
輝	fei1	
輟	tsyt7b	
輩	pui1	
輪	lɐn4	
輯	tsʰɐp	
輸	si1	
輻	fʊk	
輾	nin	輾穀
輾	tsin	輾轉
輿	ji4	
轄	hɐt	
轅	jan4	
轉	tsan	白讀
轉	tsyn1	自轉
轉	tsyn	轉變
轉	tsyn	
轍	tsʰit7b	
轎	kiu	
轎	kʰiu	
轟	kuɐŋ1	
辛	sɐn1	
辜	ku1	
辣	lat	
辦	pan	
辨	pin	
辭	si4	
辮	pin1	
辯	pin	
辰	sɐn4	
辱	jʊk	
農	nʊŋ4	
迂	ji1	
迄	ŋɐt	
迅	sɐn1	
迎	jɪŋ4	
近	kɐn	靠近
近	kʰɐn5	好近
返	fan	
迢	siu4	
迤	ji4	逶迤
迤	ji4	
迥	kuɪŋ	
迦	ka1	
迪	tɪk	
迫	pɪk7b	
迭	tit	
述	sɐt	
迴	wui4	
迷	mei4	
迸	pɪŋ	
迺	nai5	
迺	nai1	
追	tsui1	
退	hui1	
送	sʊŋ1	
逃	hau4	
逅	hou	
逆	jɪk	
逆	ŋɐk	逆風逆水,白讀
逍	siu1	
透	hou1	
逐	tsʊk	
途	hou4	
逕	kɐŋ1	雲逕,地名
逕	kɐŋ5	逕口,地名
逕	kɪŋ1	
逗	tou	
這	tsia1	
通	hʊŋ1	
逛	kuɐŋ	
逝	sei	
逞	tsʰɪŋ	
速	tsʰʊk	
造	tsau	製造
逢	fʊŋ4	
連	lin4	
逮	tei	
週	tsɐu1	
進	tsɐn1	
逵	kʰuei4	
逶	wei	
逸	jɐt	
逼	pɪk7b	
逾	ji	
遁	tɐn	
遂	sui	
遇	ji	
遊	jou4	
運	wɐn	
遍	pʰin1	
過	kua1	
遏	ŋat7b	
遐	ha4	
道	tau	
達	tat	
違	wei4	
遥	jau4	
遜	sɐn1	
遞	tei	
遠	jan	
遠	jan	遠方
遠	jan	遠小人
遣	hin	
遨	jau1	
適	sɪk	
遭	tsau1	
遮	tsia1	
遲	tsʰi4	
遴	lɐn4	
遵	tsyn1	
遷	tsʰin1	
選	syn	
遺	wei4	遺失
遺	wei	贈遺
遼	liu4	
遽	kui	
避	pei	
邀	jau1	
邁	mai	
邂	hai1	
邃	sui	
還	win4	
邇	ji5	
邊	pin1	
邊	pin5	邊址,哪裏
邏	lu4	
邐	lei	
邑	jɐp	
那	na5	姓那
那	na	地名
那	nai	一些
那	nu1	婀娜
那	nu4	那角,地名
邦	puŋ1	
邪	tsʰia4	
邪	ja4	
邱	jou1	
邳	pʰei4	
邵	siu	
邸	tei	
郁	jʊk	
郊	kiu1	
郎	luŋ4	
郝	kʰuk7b	
郡	kuɐn	
部	pou	
郭	kɐk7b	
郵	jou4	
都	tou1	
鄉	hiuŋ1	
鄒	tsou1	
鄙	pʰei	
鄧	tɐŋ	
鄭	tsɛŋ	
鄰	lɐn4	
鄺	kʰuɐŋ1	姓氏
酉	jou4	
酌	tsiuk7b	
配	pʰui1	
酒	tsɐu	
酣	hɐm4	
酥	sou1	
酪	lau	杏仁酪
酪	luk	乳酪
酬	tsʰu4	
酵	hiu1	
酷	hʊk	
酸	sun1	
醃	jap7b	
醇	sɐn4	
醉	tsui1	
醋	tsʰou1	
醒	tsʰɛŋ	瞓醒,白讀
醒	sɪŋ	醒目
醜	tsʰiau	
醞	wɐn1	
醞	wɐn5	
醫	ji1	
醬	tsiuŋ1	
醺	fɐn1	
釀	jiuŋ	
采	tsʰui	
釉	jou	
釋	sɪk	
里	lei5	
重	tsʰʊŋ1	重量重
重	tsʰʊŋ4	重新
重	tsʊŋ	重要
野	ja5	
量	liuŋ4	測量
量	liuŋ	重量
釐	hei1	恭賀新釐
釐	lei4	釐定
金	kɐm1	
釘	tɛŋ1	釘子
釘	tɛŋ5	變調
針	tsɐm1	
針	tsɐm5	打針,變調
釣	tiu1	
鈉	nap	
鈍	tɐn	
鈔	tsʰau	
鈕	nou	
鈞	kuɐn1	
鈴	lɪŋ4	
鈾	jou4	
鉅	kui	
鉗	kʰim4	
鉛	jan4	
鉢	put	
鉢	put9	變調
鉤	ŋou1	
銀	ŋɐn4	
銃	tsʰʊŋ1	
銅	hʊŋ4	
銓	tsʰyn4	
銖	tsi1	
銘	mɪŋ4	
銜	ham4	
銲	hun	
鋭	jui	
銷	siu1	
鋁	lui5	
鋒	fʊŋ1	
鋤	tsʰu4	
鋥	tsʰɐŋ1	
鋪	pʰou1	
鋪	pʰou5	變調
鋸	kui1	
鋼	kuŋ1	
鋼	kuŋ5	變調
錄	lʊk	
錐	tsui1	
錘	tsʰui4	鐵錘
錢	tsʰin4	
錦	kɐm	
錨	miu4	
錫	sɛk	
錮	ku1	
錯	tsʰou1	同“措”
錯	tsʰu1	
錳	mɐŋ5	
錶	piu1	
錶	piu	
鍊	lin	
鍋	wa1	
鍍	tou	
鍘	tsap	
鍛	tun1	
鍥	kʰit7b	
鍵	kin	
鍾	tsʊŋ1	
鎔	jʊŋ4	
鎖	su	
鎗	tsʰɐŋ1	
鎗	tsʰiuŋ1	
鎚	tsʰui4	
鎮	tsɐn1	
鏈	lin	
鏗	hɐŋ1	
鏘	tsʰiuŋ1	
鏟	tsʰan	
鏡	kɛŋ1	
鏤	lou	
鏽	sɐu1	
鐘	tsʊŋ1	
鐮	lim4	
鐲	tsʊk	
鐳	lui4	
鐵	hit7b	
鐵	hit	
鐺	tsʰɐŋ1	瓦鐺
鐺	tsʰɐŋ4	
鐺	tuŋ1	鐺鐺
鑄	tsi1	
鑑	kam1	
鑣	piu1	
鑰	jiuk	
鑲	siuŋ1	
鑷	nip	
鑼	lu4	
鑽	tsun1	
鑿	tsuk	
長	tsʰiuŋ4	長久
長	tsiuŋ	長大
門	mun4	
閃	sim	
閉	pei1	
開	hui1	
閎	wɐŋ4	
閏	jɐn	
閒	han4	
間	kan1	空間
閘	tsap	
閣	kuk	
閤	kuk7b	閤樓
閤	hɐp	閤眼
閨	kuei1	
閩	mɐn1	
閩	mɐn5	又音
閲	jat	
閻	jam4	
闆	pan	
闊	fut7b	
闌	lan4	
闍	tau1	
闐	hin4	
闔	hɐp	
闕	kʰyt7b	
闖	tsʰuŋ	
關	kuan1	
闡	tsin	
闢	pʰɪk	
阡	tsʰin1	
阪	pan	
阮	jan	姓氏
阮	jan5	杜阮,地名
阱	tsɛŋ	陷阱,白讀
阱	tsɪŋ	
防	fɐŋ4	
阻	tsu	
阿	ʔa1	阿文
阿	ŋu1	阿膠
陀	hu4	
陂	pei1	
陂	pei5	變調
附	fu	
陋	lou	
陌	mɐk	
降	kuŋ1	降落
降	huŋ4	投降
限	han	
陛	pei1	
陝	sim	
陡	tou	
院	jan	
陣	tsɐn	
除	tsʰui4	
陪	pʰui4	
陰	jɐm1	
陳	tsʰɐn4	
陵	lɪŋ4	
陶	hau4	陶瓷
陶	jau4	皋陶,古人名
陷	ham	
陸	lʊk	
陽	jiuŋ4	
隅	ji4	
隆	lʊŋ4	
隊	tui	
隋	tsʰei4	
隋	tsʰui4	
階	kai1	
隔	kɐk7b	
隕	wɐn1	
隕	wɐn5	
隙	kʰuɪk	
際	tsei1	
障	tsiuŋ1	
隧	sui	
隨	tsʰei4	
隨	tsʰui4	
險	him	
隱	jɐn	
隴	lʊŋ5	
隸	tei	
隻	tsɛk7b	
雀	tsiuk9	
雀	tsiuk	
雀	tsiuk7b	
雁	ŋan	
雄	hʊŋ4	
雅	ŋa5	
雅	ŋa	
集	tsap	
雇	ku1	
雋	syn1	
雋	tsɐn1	
雌	tsʰi	
雌	tsʰi4	
雍	jʊŋ1	
雕	tiu1	
雖	sui1	
雙	suŋ1	
雛	tsʰu1	
雜	tsap	
雞	kei1	
雞	kei5	變調
離	lei4	
難	nan4	難民
難	nan	
雨	ji1	落雨
雨	ji	
雨	ji5	
雨	ji	雨我公田
雪	syt	白雪雪
雪	syt7b	
雲	wɐn4	
零	lɛŋ4	廿零、卅零
零	lɪŋ4	
雷	lui4	
雹	puk	
電	tin	
需	sui1	
霄	siu1	
霆	hɪŋ4	
震	tsɐn1	
黴	mui4	
霍	fɐk7b	
霎	sap7b	
霓	ŋei4	
霖	lɐm4	
霜	siuŋ1	
霜	suŋ1	
霞	ha4	
霧	mou	
霪	jɐm4	
露	lou	
霸	pa1	
霹	pʰɪk	
霾	mai4	
靂	lɪk	
靈	lɛŋ4	靈驗,白讀
靈	lɪŋ4	
青	tsʰɛŋ1	青色,白讀
青	tsʰɪŋ1	
靖	tsɪŋ	
靛	tin	
靜	tsɪŋ	
非	fei1	
靠	kʰau1	
靡	mei5	
面	min	
靦	hin	靦顏事仇
靦	min1	靦腆
靨	jap7b	
革	kɐk7b	
靴	hia1	
靶	pa	
鞋	hai4	
鞍	ŋun1	
鞏	kʊŋ	
鞘	tsʰiu1	
鞠	kʊk	
鞭	pin1	
韁	kiuŋ1	
韋	wei4	
韌	jɐn	
韓	hun4	
韭	kɐu	
音	jɐm1	
韶	siu4	
韻	wɐn	
響	hiuŋ	
頁	jap	
頂	tɛŋ	頭頂,白讀
頂	tɪŋ	頂替
頃	kʰɪŋ	
項	huŋ	
順	sɐn	
須	sui1	
頌	tsʊŋ	
預	ji	
頑	ŋan4	頑皮
頑	wan4	頑固
頒	pan1	
頓	tɐn	安頓
頓	tʊk	冒頓
頗	pʰu	
領	lɛŋ5	白領,白讀
領	lɪŋ1	領會
領	lɪŋ5	領導
頡	kʰit7b	
頤	ji4	
頭	hou4	
頰	kap7b	
頸	kɛŋ	脖子
頽	hui4	
頻	pʰɐn4	
顆	fu	
題	hei4	
額	ŋɐk	額頭
額	ŋɐk	橫額
顎	ŋuk	
顔	ŋan4	
願	jan	
顛	tin1	
類	lui	
顧	ku1	
顫	tsin1	
顯	hin	
顱	lou4	
風	fʊŋ1	
風	fʊŋ5	變調
颱	hui4	
颳	kuat7b	
颼	sou1	
飄	pʰiu1	
飆	piu1	
飛	fei1	
食	sɪk	
飢	kei1	
飧	syn1	
飪	jɐm	
飯	fan	
飲	jɐm1	飲馬
飲	jɐm	飲水
飴	ji4	
飼	tsi	
飽	piu	
飾	sɪk	
餃	kiu	
餅	pɛŋ	
養	jiuŋ1	
餌	nei	
餐	tsʰan1	
餒	nui5	
餓	ŋu	
餘	ji4	
餚	ŋiu4	
餞	tsin1	
餡	ham5	
館	kun	
餵	wei1	
餽	kuei	
饅	man	
饈	sɐu1	
饋	kuei	
饐	jɐk7b	臭油味
饑	kei1	
饒	jau4	
饗	hiuŋ	
饞	tsʰam4	
首	su	
香	hiuŋ1	
馥	fʊk	
馨	hɪŋ1	
馬	ma5	
馭	ji	
馮	fʊŋ4	姓馮
馮	pʰɐŋ4	暴虎馮河
馱	hu4	
馳	tsʰi4	
馴	sɐn4	
駁	puk7b	
駐	tsi1	
駕	ka1	
駙	fu	
駛	sai	
駝	hu4	
駟	si1	
駭	hui	
駱	luk7b	
駿	tsɐn1	
騁	tsʰɪŋ	
騎	kei1	鐵騎
騎	kʰei4	文讀
騎	kʰia4	騎馬
騙	pʰin1	
騫	hin1	
騰	hɐŋ4	
騷	sau1	
騾	lu4	
驀	mɐk	
驅	kʰui1	
驍	hiu1	
驕	kiu1	
驗	jam	
驚	kɛŋ1	害怕,白讀
驚	kɪŋ1	
驛	jɪk	
驟	tsau	
驢	lou4	
驪	lei4	
骨	kuɐt	
骯	ŋuŋ1	
骷	fu1	
骸	hai4	
骼	kɐk7b	
骼	luk	
髏	lou4	
髒	tsuŋ1	
髓	sui1	
髓	sui	
髓	sui5	
體	hei	
高	kau1	
髦	mau4	
髮	fat	
髻	kei1	
鬃	tsʊŋ1	
鬆	sʊŋ1	
鬍	wu4	
鬚	sou1	
鬚	sou5	
鬟	wan4	
鬢	pɐn1	
鬢	pɐn	
鬥	tou1	
鬧	nau	
鬱	wɐt	
鬻	jʊk	
鬼	kuei	
魁	fui1	
魂	wɐn4	
魄	puk	旁魄
魄	pʰɐk7b	魂魄
魄	pʰuk7b	落魄
魅	mei	
魏	ŋei	
魔	mu1	
魚	ji4	
魚	ji5	變調
魯	lou1	
魯	lou5	
魷	jou4	
鮑	piu	鮑魚
鮑	piu	鮑魚之肆
鮭	kuei1	
鮮	sin1	鮮美
鮮	sin	鮮有
鯇	wan5	
鯉	lei5	
鯊	sa1	
鯝	ku1	
鯨	kʰɪŋ4	
鯽	tsɐk	鯽魚,白讀
鰂	tsɐk	鯽魚
鰍	tsʰɐu1	
鰐	ŋuk	
鰓	sui1	
鰭	kʰei4	
鰻	man	
鱒	tsɐn1	
鱖	kuei1	
鱗	lɐn4	
鱷	ŋuk	
鳥	niu1	
鳥	niu5	
鳩	kɐu1	
鳳	fʊŋ	
鳴	mɪŋ4	
鳶	jan1	
鴉	ŋa1	
鴕	hu4	
鴛	jan1	
鴦	jiuŋ1	
鴨	ŋap7b	
鴻	hʊŋ4	
鴿	kap7b	
鵑	kyn1	
鵝	ŋu4	
鵡	mou5	
鵪	ŋɐm	鵪鶉
鵬	pʰɐŋ4	
鵰	tiu1	
鵲	tsiuk7b	
鶇	tʊŋ1	
鶉	tsʰɐn1	鵪鶉
鶉	sɐn4	鶉衣
鶯	ŋɐŋ1	
鶴	huk	
鷄	kei1	
鷄	kei5	變調
鷗	ŋou1	
鷥	si1	
鷲	tsɐu	
鷸	wɐt	
鷹	jɪŋ1	
鷺	lou	
鸚	jɪŋ1	
鸛	kun1	
鸝	lei4	
鹹	him4	
鹼	kan	
鹽	jam4	
鹿	lʊk	
麋	mei4	
麓	lʊk	
麗	lei	
麟	lɐn4	
麥	mɐk	
麴	kʰʊk	
麵	min	
麻	ma4	
麽	mu1	
黃	wɐŋ4	黃色
黃	wuŋ4	姓氏
黍	si	
黎	lei4	
黏	nim1	
黏	nim4	
黑	hɐk	
默	mɐk	
黛	tui	
黝	jou	
點	tim	
黠	kʰit7b	
黨	tuŋ	
黯	ŋɐm	
黴	mui4	
鼎	tɛŋ	白讀
鼎	tɪŋ	
鼓	ku	
鼕	hʊŋ4	
鼠	si	
鼴	jan	
鼻	pei	
鼾	hun4	
齊	tsʰei4	整齊
齊	tsi1	齊衰
齋	tsai1	
齒	tsʰi	
齡	lɪŋ4	
齣	tsʰɐt	
齦	ŋɐn4	
齪	tsʰʊk	
齷	ŋɐk	
龍	lʊŋ4	
龐	pʰuŋ4	
龕	hɐm1	
龜	kuɐn1	
龜	kuei1	
龜	kuei5	變調
龜	kʰɐu1	
𢬿	kʰai1	用手拿
𧒽	lui	一種貝類、𧒽步,地名
