#漢字	音標	解釋#('nan_lz_lz', '雷州話', '雷州', '#FF6600', None, None, '版本：V2.5 (2021-11-20)<br>來源：<u>Kiattan</u>', '24 1 1a 陰平 ꜀,22 2 1b 陽平 ꜁,41 3 2a 陰上 ꜂,33 4 2b 陽上 ꜃,21 5 3a 陰去 ꜄,453 6 3b 陽去 ꜅,5 7 4a 陰入 ꜆,2 8 4b 陽入 ꜇')
舍	sɛ3	（文，宿～）～不得
舞	mɛu3	
舞	vu3=	
航	haŋ2	
船	tsuŋ2	
艦	lam6	
色	sik7	
芋	ɛu1	
花	huɛ1	
芳	pʰaŋ1	
苗	miau2	
苦	kʰɛu3	
茄	kio2	
茶	tɛ2	
茶	tsʰa2=	
草	tsʰau3	
荒	huaŋ1	
莊	tsuaŋ1	
莧	hiɛŋ6	
莫	mok7	
菊	kʰok7	
菌	kʰuŋ3	
菜	tsʰai5	
菩	pʰu2	
華	hua2	
萬	vaŋ1	
落	lo4	
落	lak7=	
葉	jiap8	
著	tio4	穿～
著	ɬiak8	睡～
葬	tsaŋ5	
葵	kʰui2	
蒙	moŋ2	
蒸	tsiŋ1	
蓋	ka6	
蓋	kai6=	
蓬	hoŋ2	
蓮	liɛŋ2	
蔑	vi1	
蔗	tsia3	
蔡	tsʰua5	
蔡	tsʰai5=	
蔣	tsiaŋ3	
蔥	tsʰaŋ1	
蕩	taŋ6	
蕹	iaŋ6	
薄	po4	
薑	kio1	生～
薛	soi6	
薯	tsu2	
薯	si2	
藕	ŋau3	
藝	ŋi6	
藤	tʰaŋ2	
蘇	sɛu1	
蘇	su1=	
蘭	laŋ2	
虎	hɛu3	
虛	hi1	
號	hau4	～數
虧	kʰui1	
蚊	maŋ3	訓“蠓”
蛇	tsua2	
蛇	sɛ2=	
蛋	taŋ6	
蛋	nui4	訓“卵”
蛙	wa1	
蛛	tsu1	
蜂	pʰaŋ1	
蜜	miɛk7	
蝦	hɛ2	
蝶	tiap7	
螺	lɛ2	
蟲	tʰaŋ2	
蟹	hoi4	
蟻	hia4	
蟻	ŋi6=	
蠅	siɛŋ2	
蠓	maŋ3	
蠟	liap7	
蠟	la4	
蠶	tsʰam2	
蠻	maŋ2	野～
血	huɛ6	
行	haŋ2	銀～
行	kia2	～走
街	koi1	
衛	ui6	
衣	i1	
表	pio3	
衫	sa1	
袋	tɛ1	
袍	pau2	
袖	tsʰiu5	
袖	ui6	訓
被	pʰuɛk7	～子
被	pi4	～迫
裂	liɛk8	
裏	li3	～面
裙	kuŋ2	
補	pɛu3	
褲	kʰɛu5	
襪	vak8	
西	sai1	
要	iau5	需～
要	ai5	需～
見	ki5	
規	kui1	
親	tsʰiɛŋ1	
角	kak7	
言	ŋiɛŋ2	
討	tʰo3	
討	tʰau3=	
訓	huŋ5	
記	ki5	
設	siɛk7	
許	kʰɛu3-	
許	hi3=	
許	hu3	又，“那”
試	tsʰi5	
試	si5=	
詩	si1	
詩	su1=	
話	wɛ1	
該	koi1	
認	jiɛŋ1	
語	ŋi3	
說	suɛ6	小～
課	kʰo5	
調	tʰiau2	音～
請	tsʰia3	
論	luŋ4	
謀	mɛu2	
謊	huaŋ3	
謙	kʰiam1	
講	ko3	
謝	tsia1	
證	tsiŋ5	
識	pak7	訓
識	sik7	
議	ŋi4	
讀	tʰak8	
變	piɛŋ5	
讓	niaŋ6	
豆	tau1	
豆	tɛu6	
豎	su4	
