#漢字	音標	解釋
嘮	lǫ2	
嗩	sɘʊ3	
喚	xʊ̃5	
唧	tɕiəʔ7	
唬	xʋ̩3	
售	sɤɪ6	
唯	ʋɤɪ2	
唰	suɛʔ7	
唱	tsʰã5	
唾	tʰʋ̩5	
唾	tʰɘʊ5	
唿	xuəʔ7	
啃	kʰəŋ3	
啄	tɔʔ7	
商	sã1	
啊	ɑ1	
啊	ɑ2	
啐	tsʰuᴇ5	
啐	suᴇ5	责怪
啜	tʊʔ7	
啜	tsʰʊʔ7	
啡	fɤɪ1	
啤	pʰiᶨ2	
啥	sɑ2	
啦	lɑ1	
嘖	tsəʔ7	
啪	pʰiɑ1	拟声词
囉	lɘʊ1	
啶	tʰiŋ6	
啷	lã1	
嘯	ɕiǫ5	
啼	tʰiᶨ2	
啾	tɕiɘʊ1	
喀	kʰaʔ7	
喂	ʋᴇ2	
喂	ʋɤɪ5	文
喂	yᶨ5	白
喃	nʊ̃2	
善	ɕĩ6	
喇	lɑ3	~叭
喉	xɤɪ2	
喊	xẽ3	文
喊	xẽ5	白
喏	ʐaʔ8	
喏	nɔʔ8	叹词
喔	ɔʔ7	
喖	kʰʋ̩2	
喘	tsʰʊ̃3	
喜	ɕiᶨ3	
喝	xʊʔ7	
喠	tsɔŋ3	习称吃，略带贬义
喧	ɕiʊ̃1	
喱	liᶨ2	
喳	tsɑ1	
喵	miǫ1	
噴	pʰəŋ1	~水
噴	pʰəŋ5	~香
喻	yᶨ6	
嗀	ʋaʔ7	呕吐
嗄	sɑ5	嗓子~了
嗅	ɕiɘʊ5	
嗍	suaʔ7	
嗑	kʰʊʔ7	
嗒	tɛʔ7	
嗓	sã3	
嗔	tsʰəŋ1	
嗜	sɿ6	
嗝	kəʔ7	
嗟	tɕiɑ1	
嗡	ʋɔŋ1	
嗡	ɔŋ1	老派
嗣	tsʰɿ2	
嗤	tsʰɿ1	讥笑
嗦	saʔ7	
嗨	xᴇ1	
嗨	xᴇ5	
囁	niʔ8	
嗯	əŋ1	表应答
嗯	əŋ2	表疑问
嗲	tiɑ3	
噯	ᴇ1	
嗵	tʰɔŋ1	
嗷	ŋǫ2	
嗽	sɤɪ5	
嘀	tiəʔ7	
嘈	tsʰǫ2	
嘉	tɕiɑ1	文
嘘	ɕyᶨ1	
嘛	mɑ3	
嘟	tʋ̩2	
嘣	pɔŋ1	
嚶	iŋ1	
嘭	pʰɔŋ1	
囑	tsɔʔ7	
囑	tsʰɔʔ8	遗~
嘲	tsʰǫ2	
嘴	tsuɤɪ3	文
嘴	tɕyᶨ3	白
嘶	sɿ1	
嘹	liǫ2	
嘻	ɕiᶨ1	
噇	tsʰuã2	
噎	iʔ7	
噔	təŋ1	
噗	pʰɔʔ7	
嚕	lʋ̩1	
噢	ǫ1	
器	tɕʰiᶨ5	
噩	ŋaʔ8	
噪	tsǫ5	
噱	ɕyɘʔ7	~头
噶	kʊʔ7	
噼	pʰiəʔ7	
嚎	xǫ2	
嚏	tʰiᶨ5	
嚓	tsʰɛʔ7	
囂	ɕiǫ1	
嚷	ʐã1	
嚷	ʐã3	
嚼	tɕʰiaʔ8	
囊	nã2	
囔	nã1	
囚	tɕʰiɘʊ2	
四	sɿ5	
回	xuɤɪ2	
因	iŋ1	
囡	nʊ̃1	
团	tʰʊ̃2	
囤	tʰəŋ6	
囥	kʰã5	藏
囫	xuəʔ8	
園	iʊ̃2	
困	kʰuəŋ5	
囱	tsʰɔŋ1	
圍	ʋɤɪ2	文
圍	yᶨ2	白
囷	tɕʰyŋ1	
固	kʋ̩5	
國	kɔʔ7	
圖	tʰʋ̩2	
囿	iɔʔ7	聚集
圃	pʰʋ̩3	
圓	iʊ̃2	
圈	tɕʰiʊ̃1	
圈	tɕʰiʊ̃6	猪~
土	tʰʋ̩3	
聖	səŋ5	
在	tsʰᴇ6	
圩	ʋɤɪ2	文
圩	yᶨ2	白
圩	yᶨ6	白，~子:大的田块
地	tʰiᶨ6	
壙	kʰuã3	
場	tsʰã2	
圾	tɕiəʔ7	
址	tsɿ3	
均	tɕyŋ1	
坊	fã1	厨~:厨房
坍	tʰẽ1	
坎	kʰʊ̃3	南~
壞	xuᴇ6	
坐	tsʰɘʊ6	
坑	kʰəŋ1	
塊	kʰuᴇ5	
堅	tɕĩ1	
壩	pɑ5	
墳	fəŋ2	
墜	tsuɤɪ5	
坡	pʰɘʊ1	
坤	kʰuəŋ1	
坦	tʰẽ3	
坨	tʰɘʊ2	
坪	pʰiŋ2	
坯	pʰiᶨ1	
坳	ŋǫ6	
坷	kʰɘʊ3	
坷	kʰɘʊ1	~垃
坼	tsʰəʔ7	
垂	suɤɪ2	
垃	lɑ1	
壟	lɔŋ3	
垒	luɤɪ3	
垜	tʰɘʊ6	草~
垜	tɘʊ3	门~子
垡	fɛʔ8	泥~头
垢	kɤɪ5	
墾	kʰəŋ3	
堊	ŋɑ5	
堊	ŋaʔ7	
墊	tʰĩ6	
垮	kʰuɑ1	
垳	xəŋ5	~场:海边滩涂
垸	iʊ̃6	
埂	kəŋ3	
埃	ŋᴇ1	
埋	mᴇ2	
城	tsʰəŋ2	
埔	pʰʋ̩3	
埝	nĩ6	
域	yɘʔ8	
域	iʊʔ7	又音
埠	pʰʋ̩6	
埭	tʰᴇ6	
埲	pʰɔŋ6	尘土四散
基	tɕiᶨ1	
堂	tʰã2	
堆	tuɤɪ1	
堇	tɕʰiŋ2	~泥:黏土
墮	tɘʊ5	文
墮	tʰɘʊ6	白
堡	pǫ3	
堤	tʰiᶨ2	
堪	kʰẽ1	文
堪	kʰʊ̃1	白
堰	ĩ5	
堰	ĩ6	丁~
堵	tʋ̩3	
塄	ləŋ6	~坎
塌	tʰɛʔ7	
塑	sʋ̩5	
塔	tʰɛʔ7	
塘	tʰã2	
塞	sᴇ5	
塞	səʔ7	
填	tʰĩ2	
塾	sɔʔ8	
境	tɕiŋ5	
境	tɕĩ1	东~
墅	sʋ̩6	
墓	mɘʊ6	
牆	tɕʰiã2	
增	tsəŋ1	
墟	ɕyᶨ1	
墨	mɔʔ8	
墩	təŋ1	
壁	piəʔ7	
壅	iɔŋ5	
壇	tʰʊ̃2	花~
壇	tʰẽ2	讲~
壑	xəʔ7	
壤	ʐã3	
士	tsʰɿ6	
士	sɿ6	
壬	ʐəŋ2	
壯	tsuã5	
聲	səŋ1	
殼	kʰaʔ7	
壺	xʋ̩2	
