#漢字	音標	解釋
晌	ɕiaŋ3	
晏	ŋan5	
晚	uã3	
晝	tɕiəu5	
晡	pu1	夜～：晚上
晦	fei5	
晨	ʑin2	
普	pʰu3	
景	tɕin3	
晴	dʑin2	
晶	tɕin1	
智	tsɿ5	
暇	ʑia2	
暈	vyn1	
暑	ɕy3	
暗	ŋan5	
暢	tɕʰiaŋ5	
暫	dzan6	
暮	mo6	
暴	bau6	
曆	li6	
曉	ɕiau3	
曝	bau6	
曠	kʰuaŋ5	
曬	sai5	
曰	yɛ6	
曲	tɕʰy6	
更	kən1	五～
更	kən5	～換
書	ɕy1	
曹	dzau2	
曾	tsən1	
曾	dzən2	～經
替	tʰi5	
最	tsei5	
會	kʰuai5	～計
會	vei6	
月	yɛ6	
有	iəu3	
朋	buŋ2	
服	fu6	
朔	so6	
朗	laŋ3	
望	uaŋ6	
朝	tɕiau1	今～
朝	dʑiau2	～代
期	dʑi2	
木	mo5	
未	uei6	
末	mə6	
本	pən3	
札	tsa6	
朱	tɕy1	
朵	to3	
朽	ɕiəu3	
杈	tsʰa1	
杉	sa1	
李	li3	
杏	ɣən6	
材	dzai2	
村	tsʰən1	
杖	dʑiaŋ6	
杜	du6	
杞	tɕʰi3	
束	tsʰu6	
杭	ɣaŋ2	
杯	pei1	
東	tuŋ1	
杷	ba2	
松	suŋ1	
板	pan3	
枇	bi2	
枉	uaŋ3	
析	ɕi6	
枕	tɕin3	
林	lin2	
枚	mei2	
果	ko3	
枝	tɕi1	
枯	kʰu1	
枵	ɕiau1	
架	ka5	(白)
架	tɕia5	(文)
柄	pin3	
柏	pə6	
某	mei3	
柑	kan1	
染	ȵiɛ̃3	
柔	iəu2	
柚	iəu5	
查	dza2	
柩	tɕiəu5	
柬	kan3	
柱	dʑy6	
柳	liəu3	
柴	dzai2	
柿	dzɿ6	
