#漢字	音標	解釋
願	yɛ̃5	
慈	tsʰɿ1	
慌	xuɑŋ1	
慎	ʂən5	
慕	mu5	
慢	mɛ̃5	
慧	xuei5	
慨	kʰɛi5	慷慨
慰	vei5	
慷	kʰɑŋ3	慷慨
慾	ʑy5	
憋	pie1	
憎	tsən5	
憠	tɕye1	脾气憠
憨	xɛ̃1	痴
憾	xɛ̃5	
懂	tuən3	
懈	ɕie5	
懊	ɔo5	懊恼
懶	lɛ̃3	
懵	mən1	懵懂
戈	kə3	
戊	vu5	
戌	ɕy1	
戍	ʂu5	
戲	ɕi5	
成	tʂʰən1	
我	və3	
戒	tɕie5	
或	xuə5	
戰	tʂɛ̃1	
戚	tɕʰi1	
戟	tɕi3	
截	tɕie1	
戳	tʂʰuə5	
戴	tɛi5	
戶	xu5	
戽	xu5	戽水
房	fɑŋ1	
所	suə3	
扁	piɛ̃3	
扇	ʂɛ̃5	
手	ʂɤu3	
才	tsʰɛi1	
扎	tʂa5	
扑	pʰu1	
打	ta3	
扔	ʐən1	
托	tʰuə1	
托	tuə1	手承物
扛	kʰɑŋ1	
扣	kʰɤu5	扣住
執	tʂʅ1	
擴	kʰuə5	扩充
掃	sɔo3	扫地
掃	sɔo5	扫帚
揚	iɑŋ1	
扭	ȵiɤu3	
扮	pɛ̃5	
扯	tʂʰə3	
擾	ʐɔo3	
扳	pɛ̃1	
扶	fu1	
批	pʰi1	
扼	ə5	
扽	tən5	
找	tʂɔo3	
承	tʂʰən1	
技	tɕi5	
抄	tʂʰɔo1	抄写
把	pa3	把握
抑	ʑi5	
抓	tʂua1	
投	tʰɤu1	
抖	tɤu3	
抗	kʰɑŋ5	
折	ʂə1	弄折了
折	tʂə1	折断
撫	fu3	
抛	pʰɔo1	
摳	kʰɤu1	
搶	tɕʰiɑŋ3	
護	xu5	
報	pɔo5	
披	pʰi1	
抬	tʰɛi1	
抱	pɔo5	
抵	ti5	
抹	mə5	
抹	ma5	抹布
押	ia5	
抽	tʂʰɤu1	
抿	min3	
拄	tʂu5	拄拐杖
擔	tɛ̃1	担任
