#漢字	音標	解釋
㒼	maŋ2	亞㒼:勉強;差強人意
簫	ɬiu1	
簫	siu1	
簷	jim2	
簸	pɔ5	
簽	tsʰim1	
簾	lim2	
簿	pou2	
籃	lam2	
籌	tsʰɐu2	
籍	tsɪk8	
籐	tʰɐŋ2	
籟	lai2	
籠	lʊŋ2	
籤	tsʰim1	
籬	lei2	
籮	lɔ2	
籲	ji2	
米	mɐi3	
籽	tsi3	
粄	paŋ3	
粉	fɐŋ3	
粑	pa1	
粒	nɐp7a	
粕	pʰɔk7b	
粗	tsʰou1	
粘	tsim1	
粟	ɬʊk7a	
粟	sʊk7a	
粥	tsʊk7a	
粱	liøŋ2	
粳	kɐŋ1	
粤	jik8	
粹	tsʰui5	
粼	lɐŋ2	
糉	tsʊŋ5	
精	tsɪŋ1	
粿	kɔ3	
糅	jɐu2	
糉	tsʊŋ5	
糊	fu2	
糍	tsʰi2	
糕	kou1	
糖	tʰɔŋ2	
糗	tsʰɐu3	
糙	tsʰou5	
糜	mei2	
糞	fɐŋ5	
糟	tsou1	
糠	hɔŋ1	
糧	liøŋ2	
糬	si2	
糯	nɔ2	
糰	tʰiŋ2	
糴	tɪk8	
糶	tʰiu5	
系	hɐi2	
糾	tɐu3	
紀	kei3	
紂	tsɐu2	
約	jɔk7b	
紅	hʊŋ2	紅色
紅	hʊŋ2	女紅
紈	jiŋ2	
紉	ȵɐŋ2	
紉	jɐŋ2	
紊	mɐŋ2	
紋	mɐŋ2	
納	nap8	
紐	nɐu3	
紓	si1	
純	sɐŋ2	
紗	sa1	
紙	tsi3	
級	kʰɐp7a	等級
級	ŋɐp7a	樓梯級
紛	fɐŋ1	
紝	ȵɐm2	
紝	jɐm2	
素	ɬou5	
素	sou5	
紡	fɔŋ3	
索	ɬɔk7b	
索	sɔk7b	
紫	tsi3	
紮	tsak7b	
累	lui3	累積
累	lui2	受累;連累
細	ɬɐi5	
細	sɐi5	
紳	sɐŋ1	
紹	siu2	
絀	tsik7b	
終	tsʊŋ1	
絃	jiŋ2	
組	tsou3	
絆	puŋ2	
結	kik7b	
絶	tsik8	
絛	tʰou1	
絞	kau3	
絡	lɔk7b	
絢	hiŋ5	
給	kʰɐp7a	
絨	jʊŋ2	
絮	ɬui2	
絮	sui2	
統	tʰʊŋ3	
絲	si1	
絳	kɔŋ5	
絹	kiŋ1	
綁	pɔŋ3	
綏	ɬui2	
綏	sui2	
綑	kʰʷɐŋ3	
經	kɪŋ1	
綜	tsʊŋ1	
綠	lʊk8	
綢	tsʰɐu2	
維	ʋɐi2	
綱	kɔŋ1	
網	mɔŋ3	
綴	tsui2	點綴
綴	tsui5	點綴
綵	tsʰɔi3	
綸	lɐŋ2	垂綸
綸	kʷaŋ1	綸巾
綺	ji3	
綻	tsaŋ2	
綽	tsʰiøk7b	
綾	lɪŋ2	
綿	miŋ2	
緊	kɐŋ3	
緋	fei1	
緖	sui3	
緘	kam1	
線	ɬiŋ5	
線	siŋ5	
緝	tsʰɐp7a	
緞	tiŋ2	
締	tɐi5	
緡	mɐŋ2	
緣	jiŋ2	
編	pʰiŋ1	
緩	ʋuŋ2	
緩	wuŋ2	
緬	miŋ3	
緯	ʋɐi3	
緲	miu3	
練	liŋ2	
緻	tsi5	
縈	jɪŋ2	
縐	tsɐu5	
縛	fɔk8	綁
縛	pɔk7b	束縛
縟	ȵʊk8	
縟	jʊk8	
縣	jiŋ2	
縣	jiŋ3	習讀音
縫	fʊŋ2	裁縫
縫	fʊŋ2	裂縫
縮	ɬʊk7a	
縮	sʊk7a	
縱	tsʊŋ5	縱橫
縱	tsʊŋ2	放縱
縴	hiŋ1	
縷	lui3	
縹	pʰiu1	
總	tsʊŋ3	
績	tsɪk7a	
繁	faŋ2	
繃	pɐŋ1	繃帶
繆	mɐu2	繆論
繆	mɐu2	未雨綢繆
織	tsɪk7a	
繕	siŋ2	
繚	liu2	
繞	jiu3	
繡	ɬɐu5	
繡	sɐu5	
繩	sɪŋ2	
繫	hɐi2	聯繫
繫	kɐi5	繫鞋帶;繫鈕
繭	kaŋ3	
繮	kiøŋ1	
繰	sou1	同繅字
繳	kiu3	
繹	jɪk8	
繼	kɐi5	
繽	pɐŋ1	
纂	tsiŋ3	
續	tsʊk8	
纍	lui3	
纏	tsʰiŋ2	
纓	jɪŋ1	
纔	tsʰɔi2	
纖	tsʰim1	
纜	lam3	
缸	kɔŋ1	
缺	kʰik7b	
缽	puk7b	
罄	hɪŋ5	
罅	la5	文讀
罅	lɛ5	白讀
罈	tʰam2	
罌	aŋ1	
罐	kuŋ5	
罕	hɔŋ3	
罡	kɔŋ1	
罩	tsau5	
罪	tsui2	
置	tsi5	
罰	fak8	
罰	fɐk8	
署	si3	
罵	ma2	
罷	pa2	
罹	lei2	
羅	lɔ2	
羈	kei1	
羊	jiøŋ2	
羌	kiøŋ1	
美	mei3	
羔	kou1	
羚	lɪŋ2	
羞	ɬɐu1	
羞	sɐu1	
群	kʰʷɐŋ2	
羨	siŋ2	
義	ji2	
羲	hei1	
羸	lui2	
羹	kaŋ1	
羽	ji3	
羿	ŋɐi2	
翁	jʊŋ1	
翅	tsʰi5	
翌	jɪk8	
習	tsɐp8	
習	tsap8	
翔	tsʰiøŋ2	
翟	tɪk8	翟羽;中國古代北方的民族。同「狄 」
翟	tsak8	翟姓
翠	tsʰui5	
翡	fei3	
翦	tsiŋ3	
翩	pʰiŋ1	
翰	hɔŋ5	
翰	hɔŋ2	
翱	ŋou2	
翳	ɐi5	
翹	kʰiu2	翹首
翹	kʰiu3	翹舌
翹	hiu1	白讀
翻	faŋ1	
翼	jɪk8	
耀	jiu2	
老	lou3	
考	hau3	
者	tsɛ3	
耆	kʰei2	
而	ȵi2	
而	ji2	
耍	sa3	
耐	nɔi2	
耒	lui2	
耕	kɐŋ1	文讀
耕	kaŋ1	白讀
耗	hou5	
耘	ʋɐŋ2	
耙	pʰa2	
耜	tsi2	
耨	nɐu2	
耩	kɔŋ3	
耬	lɐu2	
耳	ȵi3	
耶	jɛ2	
耷	tap7b	
耽	tam1	
耿	kɐŋ3	
聆	lɪŋ2	
聊	liu2	
聒	kʰuk7b	
聖	sɪŋ5	
聘	pʰɪŋ5	
聚	tsui2	
聞	mɐŋ2	
聯	liŋ2	
聰	tsʰʊŋ1	
聲	sɪŋ1	文讀
聲	siɐŋ1	白讀
聳	ɬʊŋ3	
聳	sʊŋ3	
聶	nip8	
職	tsɪk7a	
聽	tʰiɐŋ1	聽力
聽	tʰɪŋ5	聽任
聾	lʊŋ2	
肄	ji2	
肅	ɬʊk7a	
肅	sʊk7a	
肆	si5	肆意
肆	ɬei5	四的大寫
肆	sei5	四的大寫
肇	siu2	
肉	ȵʊk8	
肋	lɐk8	
肌	kei1	
肖	ɬiu1	生肖
肖	siu1	生肖
肖	tsʰiu5	肖像
肘	tsɐu3	
肚	tʰou3	
肛	kɔŋ1	
肝	kɔŋ1	
股	ku3	
肢	tsi1	
肥	fei2	
肨	pʰɔŋ5	
肩	kiŋ1	
肪	fɔŋ1	
肫	tsɐŋ1	
肯	hɐŋ3	
育	jʊk8	
肴	ŋau2	
肺	fɐi5	
胃	ʋɐi2	
背	pui2	背書
背	pui5	背後;背脊
胎	tʰɔi1	
胖	puŋ2	肥胖
胖	pʰuŋ2	心廣體胖
胚	pʰui1	
胛	kap7b	
胝	tsi1	
胞	pau1	
胡	fu2	
胥	ɬui1	
胥	sui1	
胭	jiŋ1	
胰	ji2	
胱	kɔŋ1	
胳	kak7b	
胸	hʊŋ1	
胺	ɔŋ1	
胼	pʰɪŋ2	
能	nɐŋ2	
脂	tsi1	
脅	hip8	
脅	hip7b	
脆	tsʰui5	
脉	mɐk8	
脊	tsiɐk7b	
脖	puk8	
脣	sɐŋ2	
脩	ɬɐu1	
脩	sɐu1	
脱	tʰik7b	
脯	pʰou3	肉脯
脯	pʰou3	胸脯
脹	tsiøŋ5	
脾	pʰei3	
腆	tʰiŋ3	
腋	jɪk8	
腌	jim1	
腎	sɐŋ3	
腐	fu2	
腑	fu3	
腔	hɔŋ1	
腕	ʋuŋ3	
腕	wuŋ3	
腚	tɪŋ2	
腡	lɔ2	
腥	ɬɪŋ1	文讀
腥	sɪŋ1	文讀
腥	ɬiɐŋ1	白讀
腥	siɐŋ1	白讀
腦	nou3	
腫	tsʊŋ3	
腮	ɬɔi1	
腮	sɔi1	
腰	jiu1	
腱	kiŋ5	
脚	kiøk7b	
腸	tsʰiøŋ2	
腹	fʊk7a	
腺	ɬiŋ5	
腺	siŋ5	
腿	tʰui3	
膀	pʰɔŋ2	膀胱
膀	pɔŋ3	肩膀
膊	pɔk7b	
膏	kou1	
膚	fu1	
膛	tʰɔŋ2	
膜	mɔk8	薄膜
膜	mou2	膜拜
膝	ɬɐk7a	
膝	sɐk7a	
膞	pɔk7b	
膠	kau1	文讀
膠	kiɐu1	白讀:糖膠
膨	pʰaŋ2	
膩	nɐi2	
膳	siŋ2	
膺	jɪŋ1	
膻	saŋ1	
膽	tam3	
膾	kʰui5	
膿	nʊŋ2	
臀	tʰiŋ2	
臂	pei5	
臆	jɪk7a	
臉	lim3	
臊	ɬou1	
臊	sou1	
臍	tsʰi2	
臏	pɐŋ1	
臕	piu1	
臘	lap8	
臟	tsɔŋ2	
臣	sɐŋ2	
臥	ŋɔ2	
臧	tsɔŋ1	
臨	lɐm2	
自	tsi2	
臭	tsʰɐu5	
至	tsi5	
致	tsi5	
臺	tʰɔi2	
臻	tsɐŋ1	
臼	kɐu5	
舀	jiu3	
舂	tsʊŋ1	
舅	kʰɐu3	
與	ji3	
與	ji2	參與;句末語氣助詞
興	hɪŋ1	興旺
興	hɪŋ5	助興;高興
舉	kui3	
舊	kɐu2	
舌	sik8	
舍	sɛ5	宿舍
舍	sɛ3	舍生取義
舒	si1	
舔	tʰim3	文讀
舔	liɐm3	白讀
舔	liam3	白讀
舛	tsʰiŋ3	
舜	sɐŋ2	
舜	sɐŋ5	
舞	mou3	
舟	tsɐu1	
舨	paŋ3	
航	hɔŋ2	
舫	fɔŋ3	
般	puŋ1	一般
舵	tʰɔ2	
舶	pɔk8	
舶	pʰak7b	
船	siŋ2	
舺	kap7b	
艇	tʰiɐŋ3	
艋	maŋ3	
艘	ɬɐu3	
艘	sɐu3	
艙	tsʰɔŋ1	
艦	lam2	
艮	kɐŋ5	
良	liøŋ2	
艱	kaŋ1	
色	sɪk7a	
艷	jim2	
艾	ŋai2	
芋	ʋu2	
芋	wu2	
芍	tsiøk7b	
芒	mɔŋ2	光芒
芒	mɔŋ1	芒果
芙	fu2	
芝	tsi1	
芡	hiŋ5	打芡,勾芡
芡	tsʰi5	芡實
芥	kai5	
芫	jim2	
芬	fɐŋ1	
芭	pa1	
芮	ȵui2	
芮	jui2	
花	fa1	
芳	fɔŋ1	
芷	tsi3	
芸	ʋɐŋ2	
芹	kʰɐŋ2	
芻	tsʰɔ1	芻口:髒話
芽	ŋa2	
芾	fɐi5	蔽芾
苑	jiŋ3	
苒	ȵim3	
苒	jim3	
苔	tʰɔi2	青苔
苔	tʰɔi1	舌苔
苗	miu2	
苙	lɐp7a	
苛	ɔ1	
苜	mʊk8	
苞	pau1	
苟	kɐu3	
苣	kui2	
若	jɔk8	假若
苦	fu3	
苧	tsʰi3	同“苎”
苧	nɪŋ2	一種有機化合物
英	jɪŋ1	
苻	fu2	
茁	tsik7b	
茂	mɐu2	
范	faŋ2	
茄	kʰɛ2	茄瓜
茄	ka1	雪茄
茅	mau2	
茉	muk8	
茜	ɬɐi1	
茜	sɐi1	
茨	tsʰi2	
茫	mɔŋ2	茫茫人海
茬	tsʰa2	
茱	tsi1	
兹	tsi1	在茲
茴	ʋui2	
茴	wui2	
茵	jɐŋ1	
茶	tsʰa2	
茸	jʊŋ2	
茹	ji2	
茼	tʰɔŋ2	茼蒿
荀	ɬɐŋ2	
荀	sɐŋ2	
草	tsʰou3	
荆	kɪŋ1	
薦	tsiŋ5	
荒	fɔŋ1	
荔	lɐi2	
荳	tɐu2	
荷	hɔ2	荷花
荷	hɔ2	負荷
荻	tɪk8	
荼	tʰou2	如火如荼
荼	si1	神荼;神荼鬱壘
荽	ɬɐi1	
荽	sɐi1	
莆	pʰou2	
莉	lei2	
莊	tsɔŋ1	
莎	sɔ1	莎草
莎	sa1	莎士比亞
莒	kui3	
莓	mui2	
莖	kɪŋ5	
莘	sɐŋ1	
莝	tsʰɔ5	
莞	kuŋ3	東莞
莞	ʋuŋ3	莞爾
莞	wuŋ3	莞爾
莠	jɐu3	
莢	kiap8	
莢	kiɐp8	
莧	hiŋ2	
莫	mɔk8	
莽	mɔŋ3	
菁	tsʰɪŋ1	
菇	ku1	
菊	kʰʊk7a	
菌	kʰʷɐŋ3	
菖	tsʰiøŋ1	
菜	tsʰɔi5	
菟	tʰou5	
菠	pɔ1	
菢	pou2	
菩	pʰou2	菩提
菩	pʰɔ2	菩薩
菫	kɐŋ3	
華	ʋa2	中華
華	ʋa2	華山
華	ʋa2	春華秋實
菱	lɪŋ2	
菲	fei1	芳菲
菲	fei1	菲薄
菸	jiŋ1	
萃	tsʰui5	
萄	tʰou2	
萊	lɔi2	
萋	tsʰɐi1	
萌	mɐŋ2	
萍	pʰɪŋ2	
萎	ʋɐi3	枯萎
萬	maŋ2	
萱	siŋ1	
萸	ji2	
落	lɔk8	落下
落	lɔk8	落低
葆	pou3	
葉	jip8	
著	tsi5	顯著
著	tsiøk7b	著衫
著	tsiøk8	著涼
葚	sɐm2	
葛	kɔk7b	
葡	pʰou2	
董	tʊŋ3	
葦	ʋɐi3	
葫	fu2	
葬	tsɔŋ5	
葵	kʰʷɐi2	
葷	fɐŋ1	
蒂	tɐi5	
蒐	sɐu3	
蒓	sɐŋ2	
蒙	mʊŋ2	
蒜	ɬiŋ5	
蒜	siŋ5	
蒲	pʰou2	
蒸	tsɪŋ1	
蒹	kim1	
蒼	tsʰɔŋ1	
蒿	ou1	
蓄	tsʰʊk7a	
蓆	tsiɐk8	
蓉	jʊŋ2	
蓋	kɔi5	杯蓋
蓋	kɔi5	覆蓋
蓑	sɔ1	
蓓	pʰui3	
蓬	pʰʊŋ2	
蓮	liŋ2	
蔑	mik8	
蔓	maŋ2	藤蔓
蔓	maŋ2	蔓菁
蔔	pak8	
蔗	tsɛ5	
蔚	ʋɐi5	
蔡	tsʰɔi5	
蔣	tsiøŋ3	
葱	tsʰʊŋ1	
蔫	jiŋ1	
蔫	niŋ1	
蔬	sɔ1	
蔭	jɐm1	
蔻	kʰɐu5	
蔽	pɐi5	
蕃	faŋ2	蕃盛
蕃	faŋ1	吐蕃
蕈	tsʰɐm3	
蕈	sɐŋ5	
蕉	tsiu1	
蕊	ȵui3	
蕊	jui3	
蕎	kʰiu2	
蕙	ʋɐi2	
蕨	kʰik7b	
蕩	tɔŋ2	
蕪	mou2	
蕭	ɬiu1	
蕭	siu1	
蕾	lui3	
薄	pɔk8	
薅	hou1	
薇	mei2	
薑	kiøŋ1	
薔	tsʰiøŋ2	
薛	ɬik7b	
薛	sik7b	
薦	tsiŋ5	
薩	ɬak7b	
薩	sak7b	
薪	ɬɐŋ1	
薪	sɐŋ1	
薯	si2	
薰	fɐŋ1	
薺	tsʰɐi2	
藉	tsɪk8	
藍	lam2	
藏	tsʰɔŋ2	收藏
藏	tsɔŋ2	寶藏
藐	miu3	
藕	ŋɐu3	
藝	ŋɐi2	
藤	tʰɐŋ2	
藥	jɔk8	
藩	faŋ1	
藩	faŋ2	
藪	ɬɐu3	
藪	sɐu3	
藷	si2	藷蕷;藷蕷,山藥
藷	tsi1	藷蔗;藷蔗,甘蔗
藹	ɔi3	
藺	lɐŋ2	
藻	tsou3	
藿	fɔk7b	
蘆	lou2	
蘇	ɬou1	
蘇	sou1	
蘊	ʋɐŋ3	
蘋	pʰɪŋ2	
蘚	ɬiŋ3	
蘚	siŋ3	
蘭	laŋ2	
蘸	tsam5	
蘿	lɔ2	
虎	fu3	
虐	jɔk8	
虔	kʰiŋ2	
處	tsʰi3	處理
處	tsʰi5	住處
虚	hui1	
虜	lou3	
虞	ji2	
號	hou2	哀號
號	hou2	號碼
虧	kʰʷɐi1	
虹	hʊŋ2	
虹	kʰʊŋ3	語保赤坎老男音;統稱
虻	mɔŋ2	
蚊	mɐŋ1	
蚌	pʰɔŋ3	
蚓	jɐŋ3	
蚜	ŋa2	
蚣	kʊŋ1	
蚤	tsou3	
蚪	tɐu3	
蚯	jɐu1	
蚱	tsa5	
蚵	hɔ2	
蚶	hɐm1	
蛀	tsi5	
蛆	tsui1	
蛆	tsʰui1	
蛇	sɛ2	委蛇
蛇	sɛ2	毒蛇
蛉	lɪŋ2	
蛋	taŋ2	
蛔	ʋui2	
蛔	wui2	
蛙	ʋa1	
蛛	tsi1	
蛟	kau1	
蛤	kap7b	圓蛤;花蛤螺
蛤	kɐp7a	蛤蟆;蛤乸
蛭	tsi5	
蛹	jʊŋ3	
蜕	tʰui5	
蛾	ŋɔ2	
蜀	sʊk8	
蜂	fʊŋ1	
蜃	sɐŋ2	
蜇	tsik7b	
蜈	ŋ̍2	
蜋	lɔŋ2	
蜍	si2	蠄蜍:癩蛤蟆
蜒	jiŋ2	
蜓	tʰɪŋ2	
蜘	tsi1	
蜜	mɐk8	
蜢	maŋ3	
蜥	ɬɪk7a	
蜥	sɪk7a	
蜴	jɪk8	
蜷	kʰiŋ2	
蜻	tsʰɪŋ1	
蜿	jiŋ3	
蝌	fɔ1	
蝕	sɪk8	
蝕	sik8	蝕本
蝗	ʋɔŋ2	
蝙	piŋ1	
蝟	ʋɐi2	
蝠	fʊk7a	
蝦	ha1	蝦仁
蝦	ha1	蝦蟆
虱	sɐk7a	
蝴	fu2	
蝶	tip8	
蝸	ʋɔ1	
螂	lɔŋ2	
螃	pʰɔŋ2	
螈	jiŋ2	
融	jʊŋ2	
螞	ma3	螞蟻
螟	mɪŋ2	
螢	jɪŋ2	
螯	ŋou2	
螳	tʰɔŋ2	
螺	lɔ2	文讀
螺	lɛ2	白讀
螽	tsʊŋ1	
蟀	sɐk7a	
蟄	tsɪk8	
蟆	ma2	
蟋	ɬɪk7a	
蟋	sɪk7a	
蟎	muŋ3	
蟑	tsiøŋ1	
蟒	mɔŋ3	
蟠	pʰuŋ2	
蟥	ʋɔŋ2	
蟬	sim2	
蟯	jiu2	
蟲	tsʰʊŋ2	
蟹	hai3	
蟻	ŋɐi3	
蟾	sim2	
蠅	jɪŋ1	
蠍	kʰik7b	
蠐	tsʰɐi2	
蠓	mʊŋ3	
蠔	hou2	
蠕	ji2	
蠟	lap8	
蠡	lɐi3	
蠢	tsʰɐŋ3	
蠣	lɐi2	
蠱	ku3	
蠶	tsʰam2	
蠹	tou5	
蠻	maŋ2	
血	hik7b	
衆	tsʊŋ5	
行	hɔŋ2	銀行;行業
行	hɐŋ2	步行;品行
行	haŋ2	行路;行走
衍	jiŋ3	
術	sɐk8	
街	kai1	
衙	ŋa2	
衛	ʋɐi2	
衝	tsʰʊŋ1	衝鋒
衝	tsʰʊŋ1	衝勁
衡	hɐŋ2	
衣	ji1	衣服
衣	ji1	衣錦還鄉
表	piu3	
衫	sam1	
衰	sui1	衰老
衰	tsʰui1	齊衰
衲	nap8	
衷	tsʊŋ1	
衷	tsʰʊŋ1	
衽	ȵɐm2	
衽	jɐm2	
袁	jiŋ2	
袋	tɔi2	
袍	pʰou2	
袒	tʰaŋ3	
袖	tsɐu2	
衮	kʷɐŋ3	
袤	mɐu2	
被	pʰei3	棉被
被	pei2	被動
袱	fʊk8	
袷	kiap8	同「夾」
袷	kiɐp8	同「夾」
裁	tsʰɔi2	
裂	lik8	
裌	kiap8	「袷 」的異體字;同「夾」
裌	kiɐp8	「袷 」的異體字;同「夾」
裏	lui3	
裔	jui2	
裕	ji2	
裘	kʰɐu2	
裙	kʰʷɐŋ2	
補	pou3	
裝	tsɔŋ1	
裡	lui3	
裨	pʰei2	
裱	piu3	
裳	siøŋ2	
裴	pʰui2	
裸	lɔ3	
裹	kɔ3	
製	tsɐi5	
裾	kui1	
褂	kʷa5	
複	fʊk7a	
褐	hɔk7b	
褒	pou1	
褓	pou3	
褚	tsʰi3	
褥	jʊk8	
褪	tʰui5	褪色
褪	tʰɐŋ5	褪落來;褪後
褲	fu5	
褶	tsip7b	皺褶
褶	tip8	夾衣
褻	ɬik7b	
褻	sik7b	
襁	kʰiøŋ2	
襄	ɬiøŋ1	
襄	siøŋ1	
襇	kaŋ3	
襖	ou5	
襟	kʰɐm1	
襪	mɐk8	
襬	pai3	
襯	tsʰɐŋ5	
襲	tsap8	
襻	pʰaŋ5	
西	ɬɐi1	
西	sɐi1	
要	jiu1	要求
要	jiu5	要點
覃	tsʰɐm2	覃思
覃	tʰam2	覃姓;地名:覃巴鎮
覆	fʊk7a	
覈	hɐk8	
見	kiŋ5	看見
見	jiŋ2	發見
規	kʰʷɐi1	
覓	mɪk8	
視	si2	
親	tsʰɐŋ1	親人
親	tsʰɐŋ5	親家
覬	kei5	
覲	kɐŋ3	
覷	tsʰui5	
覺	kau5	睡覺
覺	kʰɔk7b	直覺
覽	lam3	
觀	kuŋ1	參觀
觀	kuŋ5	道觀
角	kɔk7b	
觔	kɐŋ1	
解	kai3	解決
解	hai2	解姓
觸	tsʰʊk7a	
言	jiŋ2	
訂	tɪŋ2	
訃	fu2	
訇	hʊŋ1	
計	kɐi5	
訊	ɬɐŋ5	
訊	sɐŋ5	
訌	hʊŋ2	
討	tʰou3	
訓	fɐŋ5	
訓	fɐŋ3	
訕	saŋ5	
訖	ŋɐk8	
託	tʰɔk7b	
記	kei5	
訛	ŋɔ2	
訝	a5	
訟	tsʊŋ2	
訣	kʰik7b	
訪	fɔŋ3	
設	tsʰik7b	
許	hui3	
訴	ɬou5	
訴	sou5	
訶	hɔ1	
診	tsʰɐŋ3	
註	tsi5	
詁	ku3	
詆	tɐi3	
詐	tsa5	
詔	tsiu2	
評	pʰɪŋ2	
詛	tsui3	
詞	tsʰi2	
詠	ʋɪŋ3	
詡	hui3	
詢	ɬɐŋ2	
詢	sɐŋ2	
詣	ŋɐi2	
試	si5	
詩	si1	
詫	tsʰa5	
詬	kɐu5	
詭	kʷɐi3	
詮	tsʰiŋ2	
詰	kʰik7b	
話	ʋa2	電話
話	ʋa3	童話
該	kɔi1	
詳	tsʰiøŋ2	
詹	tsim1	
詼	fui1	
誅	tsi1	
誇	kʰʷa1	
誌	tsi5	
認	ȵɪŋ2	
誓	sɐi2	
誕	taŋ5	
誘	jɐu5	
語	ji3	語言;語文
語	ji2	不以語人;公語之故,且告之悔
誠	sɪŋ2	
誡	kai5	
誣	mou1	
誤	ŋ̍2	
誦	tsʊŋ2	
誨	fui3	
説	sik7b	
説	sui5	説客
誰	sui2	
課	fɔ5	
誹	fei3	
誼	ji2	
調	tʰiu2	調味
調	tiu2	調動
諂	tsʰim3	
諄	tsɐŋ1	
談	tʰam2	
請	tsʰɪŋ3	
諍	tsɐŋ1	文讀
諍	tsaŋ1	白讀
諒	liøŋ2	
論	lɐŋ2	討論
論	lɐŋ2	論語
諛	ji2	
諜	tip8	
諢	ʋɐŋ2	
諤	ŋɔk8	
諦	tɐi5	
諧	hai2	
諫	kaŋ3	
諭	ji2	
諮	tsi1	
諱	ʋɐi3	
諳	ɐm1	
諷	fʊŋ3	
諸	tsi1	
諺	jiŋ2	
諾	nɔk7b	
謀	mɐu2	
謁	jik7b	
謂	ʋɐi2	
謄	tʰɐŋ2	
謊	fɔŋ3	
謎	mɐi2	
謐	mɐk8	
謔	jɔk8	
謗	pɔŋ3	
謙	him1	
講	kɔŋ3	
謝	tsɛ2	
謡	jiu2	
謫	tsak8	
謬	mɐu2	
謳	ɐu1	
謹	kɐŋ3	
謾	maŋ2	
譁	ʋa1	
譁	hʷɐk7a	訓讀,表示大聲呵斥
證	tsɪŋ5	
譎	kʰik7b	
譏	kei1	
識	sɪk7a	認識
識	tsi5	默而識之;默而識之;通「志」
譚	tʰam2	
譜	pʰou3	
警	kɪŋ3	
譬	pʰei5	
譯	jɪk8	
議	ji3	
譴	hiŋ3	
護	fu2	
譽	ji2	
讀	tʊk8	朗讀
讀	tɐu2	句讀
變	piŋ5	
讎	sɐu2	同“仇”
讒	tsʰam2	
讓	jiøŋ2	
讚	tsaŋ5	
谷	kʊk7a	山谷
谿	kʰɐi1	
豁	kʰuk7b	
豆	tɐu2	
豇	kɔŋ1	
豈	hei3	
豉	si2	
豊	lɐi3	
豌	ʋuŋ3	
豌	wuŋ3	
豎	si2	
豐	fʊŋ1	
豔	jim2	
豕	tsʰi3	
豚	tʰiŋ2	
象	tsiøŋ2	
豢	ʋaŋ2	
豪	hou2	
豫	ji2	
豬	tsi1	
豶	fɐŋ2	
豹	pʰau5	
豺	tsʰai2	
貂	tiu1	
貌	mau2	
猫	miɐu1	
猫	mau1	
貔	pʰei2	
貝	pui5	
貞	tsɪŋ1	
負	fu2	
財	tsʰɔi2	
貢	kʊŋ5	
貧	pʰɐŋ2	
貨	fɔ5	
販	faŋ5	
貪	tʰam1	
貫	kuŋ5	
責	tsak7b	
貯	tsʰi3	
貳	ȵi2	
貳	ji2	
貴	kʷɐi5	
貶	piŋ3	文讀
買	mai3	
貸	tʰai5	
費	fɐi5	
貼	tʰip7b	
貽	ji2	
貿	mɐu2	
賀	hɔ2	
賂	lɔk7b	
賃	ȵɐm2	
賃	jɐm2	
賄	fui3	
賅	kɔi1	
資	tsi1	
賈	ku3	商賈
賈	ka3	賈姓
賊	tsʰɐk8	
賑	tsɐŋ5	
賒	sɛ1	
賓	pɐŋ1	
賜	tsʰi5	
賞	siøŋ3	
賠	pʰui2	
賢	jiŋ2	
賣	mai2	
賤	tsiŋ2	
賦	fu5	
質	tsɐk7a	物質
質	tsi5	人質
賬	tsiøŋ5	
賭	tou3	
賴	lai2	
賺	tsaŋ2	
購	kʰɐu5	
賽	tsʰɔi5	
贅	tsui2	
贈	tsɐŋ2	
贊	tsaŋ5	
贍	sim2	
贏	jɪŋ2	文讀
贏	jaŋ2	白讀
贓	tsɔŋ1	
贖	sʊk8	
贛	kʊŋ5	賜予
贛	kʊŋ5	江西省的簡稱
赤	tsʰiɐk7b	
赦	sɛ5	
赫	hak7b	
赭	tsɛ3	
走	tsɐu3	
赳	kɐu3	
赴	fu2	
起	hei3	
趁	tsʰɐŋ5	
超	tsʰiu1	
越	jik8	
趕	kuŋ3	
趙	tsiu2	
趟	tʰɔŋ5	
趣	tsʰui5	
趨	tsʰui1	
足	tsʊk7a	足跡
足	tsʊk7a	足恭
趴	pʰa1	
趾	tsi3	
跋	pɐk8	
跌	tik7b	
跎	tʰɔ2	
跑	pʰau3	
跗	fu1	
跚	saŋ1	
跛	pʰɔ3	跛行
跛	pɔ3	跛行
跛	pɐi1	跛咗;跛腳
距	kʰui3	
跟	kɐŋ1	
跡	tsɪk7a	
跤	kau1	
跨	kʰʷa5	
跨	kʰʷa1	
跪	kʷɐi2	
路	lou2	
跳	tʰiu5	
跥	tɔ3	
踉	liøŋ2	
踊	jʊŋ3	
踏	tap8	
踐	tsiŋ3	實踐
踐	tsiŋ2	踐踏
踞	kui5	
踢	tʰiɐk7b	
踢	tʰiak7b	
踩	tsʰai3	文讀
踩	ȵai3	白讀
踩	jai3	白讀
踮	tim5	
踱	tɔk8	
踴	jʊŋ3	
踵	tsʊŋ3	
蹂	jɐu2	
蹄	tʰɐi2	
蹈	tou2	
蹉	tsʰɔ1	
蹊	kʰɐi1	
蹋	tap8	
蹙	tsʰʊk7a	
蹟	tsɪk7a	
蹣	pʰuŋ2	
蹤	tsʊŋ1	
蹦	pɐŋ1	
蹧	tsou1	
蹬	tɐŋ1	蹬三轮车
蹬	tɐŋ2	蹬蹭
蹭	tsʰɐŋ5	
