#漢字	音標	解釋
㓾	tʂʰʅ2	~鱼:剖鱼
鶕	ŋan6	
鳥	niau3	
鳩	tɕiəu1	
雞	tɕi1	
鳴	min2	
鷗	ŋəu1	
鴉	ia1	
鴇	pau3	
鴆	tʂən5	
鴣	ku1	
鴨	ia7	
鴦	iaŋ1	
鴛	ʯan1	
鴕	tʰo2	
鴰	ua1	
鴿	ko7	
鴻	xoŋ2	
鵑	tʂʯan1	
鵠	xu7	
鵝	ŋo2	
鵡	u3	
鵲	tɕʰio7	
鵪	ŋan1	
鵬	pʰoŋ2	
鶉	tʂʰʯən2	
鶻	xu7	
鶩	u6	
鷂	iau5	
鸚	in1	
鷓	tʂa5	
鷸	ʯ6	
鷺	nəu6	
鷹	in1	
鹿	nəu7	
麋	mi2	
麒	tɕʰi2	
麓	nəu7	
麝	ʂe6	
麟	nin2	
麥	mɛ7	
麩	fu1	
麴	tɕʰiəu7	
麻	ma2	
麾	xuei1	
黃	xuaŋ2	
黎	ni2	
黏	nin1	
黑	xɛ7	
黔	tɕʰin2	
默	mɛ7	
黛	tai6	
黜	tʂʰʯ7	
黝	iəu1	
黠	ɕia7	
黢	tɕʰi1	
黢	tʂʰʯ1	
黷	təu7	
黯	ŋan5	
黾	min3	
鼎	tin3	
鼓	ku3	
鼠	ʂʯ3	
鼻	pi2	
鼾	xan1	
齁	xəu1	
齆	ŋoŋ5	因鼻孔堵塞而发音不清
齈	noŋ5	多涕鼻疾
齊	tɕʰi2	
齏	tɕi1	
齒	tʂʰʅ3	
齡	nin2	
齙	pau5	
齜	tsɿ1	
齦	in2	
齪	tʂʰo0	
齷	o7	
龍	noŋ2	
龔	koŋ1	
龕	kʰan1	
龜	kuei1	
