#漢字	音標	解釋
□	moːŋ1	帶黏性的半透明網狀物:lou4-6zou1~(蛛網)|豬腸~(豬網油)
詩	ɕi1	
詫	tɕʰɔ3	
詬	kau3	
詭	kʷai2	
詮	tÿn4	
詰	kʰit7	
話	wɔ6	
該	kɔɑ̯i1	
詳	ta4	
詵	ɕan1	
詹	tɕim1	
詼	wui1	
詿	kʷɔ3	
誄	lui5	
誇	kʷʰɔ1	
誌	tɕi3	
認	ȵan6	
誑	kʷoːŋ4	
誒	ji1	
誓	ɕi6	
誕	ɗɔɑ̯n3	廟~
誘	jau2	
誚	tiu6	
語	ȵy5	
誠	ɕeŋ4	
誡	kɔɑ̯i3	
誣	mu1	
誤	ŋ̍6	
誥	kɘu3	
誦	toŋ6	
誨	wui2	見《玉林话研究》
説	ɕÿt7	~話
誰	ɕui4	「誰人」也有讀「sui2人」或「syu2人」的
課	wɵ3	
誶	ɬui3	
誼	ȵi4	
調	tiu4	
調	tiu6	
諂	tɕʰim2	
諄	tɕan1	
談	tɒm4	
諉	wai2	
請	tʰeŋ2	
諍	tɕa3	
諏	ɗau1	
諑	tɕoːk8	
諒	la6	
論	lan6	文:議~
論	lan1	白讀,單用:議論,談及,提起
諗	nam2	
諛	jy4	
諜	tɛa̯p10	
諞	pin5	
謚	ɕi6	
諢	wan6	
諤	ŋoːk10	
諦	ɗai3	
諧	ɔɑ̯i4	
諫	kɔɑ̯n3	
諭	jy6	
諮	ɗi1	
諱	wai3	
諳	ɒm3	
諶	ɕam4	
諷	foŋ2	
諸	tɕy1	
諺	ȵim6	
諼	jÿn1	
諾	noːk10	
謀	mau4	
謁	jit7	
謂	wai6	
謇	kin2	
謊	woːŋ1	
謎	mai6	
謐	mat9	
謔	ja2	
謖	ɕok7	
謙	jim1	
謚	ek7	笑聲。關於「皇帝死後追號」之義見「諡」
講	kaŋ2	
謝	tɛ6	
謡	jiu4	
謦	kʰeŋ1	
謨	mu1	引自《廣西玉林話音系》(周成松,2003)
謫	ɗek7	
謬	mau3	
謳	au1	
謹	tɕan2	
譁	wɔ4	
證	tɕeŋ3	
譎	kÿt7	
譏	ki1	
譖	tɕam3	
識	ɕek7	
識	ɕøk7	
譙	tiu4	
譚	tɒm4	
譜	pʰu2	
警	keŋ2	
譫	tɕim1	
譬	pʰi3	
譭	wai2	
譯	ek9	
議	ȵi5	
譴	jin5	
護	wu6	
譽	jy6	
譾	ɗin2	
讀	tok9	
變	ɓin3	
讎	ɕau4	~恨|报~
讓	ȵa6	
讖	tɕʰam3	
讚	ɗɔɑ̯n3	
讜	ɗoːŋ2	
讞	ȵin5	
訁	ȵin4	
谷	kok7	
谿	kʰai1	
豁	wut7	
豆	tau6	
豇	kaŋ1	
豈	hi2	
豉	ɕi6	
豊	lai5	
豌	wun2	
豎	ɕy6	
豎	ɕy5	白讀:~~睡
豐	foŋ1	
豔	jim6	
豕	ɕi2	
豚	jÿn4	
象	ta5	一種動物
象	ta6	印~
豪	ɘu4	
豫	jy6	
豬	tɕy1	
豳	ɓan1	
豸	tɕi5	蟲~
豸	ɕɔɑ̯i6	地名用字
豹	ɓɒu3	
貂	ɗiu1	
貅	jau1	
貊	ma6	
貌	mau6	
貌	mɒu6	又讀,市區、仁東口音無mou音節,所有mou倂入mau
貍	li4	
猫	mᴇɐ̯u1	
貔	pi4	
貘	ma6	
貝	ɓui3	
貞	tɕeŋ1	
負	fu6	
財	tɔɑ̯i4	
貢	koŋ3	
貧	pan4	
貨	wɵ3	
販	fɔɑ̯n3	
販	mɛa̯n1	販子:菜~|果~|牛~
貪	tʰɒm1	
貫	kun3	
貫	kʷɔɑ̯n3	見《玉林市志》
責	tɕa2	
貯	tɕy5	
貰	ɕi3	
貳	ȵi6	
貴	kʷai3	
貶	ɓɛa̯n2	
貶	ɓin2	
買	mɔɑ̯i5	
貸	tɔɑ̯i6	
貺	kʷʰoːŋ3	
費	ɓai3	枉費:~我買咁多
費	fi3	
貼	tʰip7	
貽	ji4	
貿	mau6	
貿	mɒu6	又讀,市區、仁東口音無mou音節,所有mou倂入mau
賀	ɵ6	
賁	fan4	大;三足龜;簡策
賁	ɓan1	~門:同「奔」;姓
賁	fan6	通「忿」「奮」
賁	fan3	通「僨」
賁	ɓi3	文飾;華美;六十四卦之一
賂	loːk8	
賃	ȵam6	
賄	wui2	《广西通志·汉语方言志》及1959年字表中的記音
賅	kɔɑ̯i1	
資	ɗi1	
賈	kɔ2	姓
賈	ku2	商~
賊	tak9	
賊	tʰak9	又讀
賑	tɕan3	
賓	ɓan1	
賕	tɕau4	
賚	lɔɑ̯i6	
賜	ɬy3	天官~福
賞	ɕa2	
賠	pui4	
賡	ka1	
賢	jin4	
賣	mɔɑ̯i6	
賤	tin6	
賦	fu3	
賧	ɗɒm2	
質	tɕat7	
賫	ɗai1	
賬	tɕa3	
賭	ɗu2	
賴	lɔɑ̯i6	
賺	tɕɔɑ̯n6	
賻	fu6	
購	kau3	
賽	ɬɔɑ̯i3	
賾	tɕa6	
贄	tɕi3	
贅	tɕui3	
贈	taŋ6	
贊	ɗɔɑ̯n3	
贗	ȵɔɑ̯n6	
贏	eŋ4	
贐	tan6	
贓	ɗoːŋ1	
贖	ɕok9	
贛	kɒm3	
赤	tɕʰek7	
赤	tʰek7	~腳
赦	ɕɛ3	
赫	ha2	
赭	tɕɛ2	
走	ɗau2	
赳	tɕau2	
赴	fu3	
起	hi2	
趁	tɕʰan3	
趄	ɗy1	趑~
趄	tʰɛ3	歪斜;~趔
超	tɕʰiu1	
越	jœa̯t10	
趑	ɗi1	
趔	lai3	
趕	kɔɑ̯n1	
趙	tɕiu5	
趟	tʰoːŋ3	
趣	tʰy3	
趨	tʰy1	
趲	ɗɔɑ̯n2	移動,搬移
足	ɗok7	
趴	pʰɔ1	
趾	tɕi2	
趿	tʰɛa̯p8	
跋	pɔɑ̯t10	
跌	ɗit7	
跎	tɵ4	
跑	pʰɒu2	
跕	tʰɛa̯p8	趿拉;拖~、~鞋:都指拖鞋
跚	ɕɔɑ̯n1	
跛	ɓai1	
跛	ɓɵ2	
距	ky2	~離
距	ky5	雞~:雞的后趾
跟	kan1	
跡	ɗek7	
跤	kɒu1	
跨	kʷʰɔ1	
跪	kʷai6	
路	lu6	
跳	tiu4	白讀:~上~落|~獅頭
跳	tʰiu3	文讀:~繩|~髙|~遠|~躍
跥	ɗœ3	
踊	ȵoŋ5	
踏	tɒp10	「蹋」的訓讀
踐	ɗin2	
踐	tɛa̯n6	白讀。跺腳
踝	wɔ5	
踞	ky2	
踢	tʰek7	
踩	tɕʰɔɑ̯i2	
踩	ȵɔɑ̯i2	白讀
踮	ɗim3	
踱	toːk10	嫌天~地
踴	ȵoŋ5	
踵	tɕoŋ2	
踽	ky2	
蹀	tɛa̯p10	
蹄	tai4	
蹇	kin2	
蹈	tɘu6	
蹉	tʰɵ1	
蹋	tɒp10	
蹌	tʰa1	
蹘	liu1	跑
蹙	tʰok7	
蹟	ɗek7	
蹣	pɔɑ̯n4	
蹤	ɗoŋ1	
蹦	ɓaŋ3	
蹧	ɗɘu1	
蹬	ɗaŋ1	
蹲	ɗÿn1	
蹴	tʰok7	
蹺	kʰᴇɐ̯u3	玉林有疊韻詞 kat7 keu3與「蹊蹺」同義
蹼	ɓok7	
躁	tʰɘu3	
躇	tɕy4	
躊	tɕau4	
躍	ȵa6	
躞	ɬɛa̯p8	
躡	nɛa̯p10	
身	ɕan1	
躬	koŋ1	
躱	ɗœ2	
躺	tʰoːŋ2	
軀	kʰy1	
車	tɕʰɛ1	单~
車	ky1	象棋
軋	ɔɑ̯t8	
軌	kʷai2	
軍	kʷan1	
軎	wai6	
軒	jin1	
軔	ȵan6	
軛	a2	
軟	ȵÿn5	
軤	wu1	
軫	tɕan2	
軲	ku1	
軸	tɕok9	
軹	tɕy1	
軺	jiu4	
軻	kʰɵ1	
軼	jat9	
軾	ɕek7	
較	kɒu2	
輅	lu6	
輇	tÿn4	
載	ɗɔɑ̯i2	年
載	ɗɔɑ̯i3	裝~|記~
輊	tɕi3	
輒	tɕip7	
輓	wɔɑ̯n2	
輔	pʰu2	
輕	heŋ1	
輛	la2	
輜	ɗi1	
輝	kʷʰai1	
輞	moːŋ5	
輟	tɕÿt7	
輦	lin2	
輩	ɓui3	
輪	lan4	
輯	tʰap7	
輳	tʰau3	
輸	ɕy1	
輺	ɗi1	
輻	fok7	
輾	tɕin2	
輿	jy5	
轂	kok7	
轄	kɔɑ̯t8	
轄	ɔɑ̯t8	
轅	jÿn4	
轆	lok7	車~:車輪
轉	tɕÿn2	
轉	tɕÿn3	
轍	tɕit7	
轎	kiu6	
轔	lan4	
轔	lin2	
轟	pʰa1	「抨」的訓讀
轡	ɓi3	
轢	lek9	
轤	lu4	
辛	ɬan1	
辜	ku1	
辣	lɔɑ̯t10	
辦	pɔɑ̯n6	
辨	pin6	
辭	ti4	
辮	pin5	
辯	pin6	
辰	ɕan4	
辱	ȵok9	
農	noŋ4	
辵	tɕʰoːk8	
辶	tɕʰoːk8	
迂	jy1	
迄	at9	
迅	ɬan3	
迎	ŋeŋ4	
近	kan5	
迓	ȵɔ6	
返	fɔɑ̯n1	口語
返	fɔɑ̯n2	
迕	ŋ̍5	
迢	tiu4	
迤	ji4	
迥	kʷeŋ2	
迦	kɔ1	
迨	tɔɑ̯i5	
迪	tek9	
迫	ɓek7	
迭	tɛa̯p10	
述	ɕat9	
迴	wui4	
迷	mai4	
迸	ɓa3	
迺	nɔɑ̯i5	
追	tɕui1	
退	tʰui3	
送	ɬoŋ3	
逃	tɘu4	
逄	paŋ4	
逅	au6	
逆	ŋek9	
逋	ɓu1	
逍	ɬiu1	
透	tʰau3	
逐	tok9	逐個,逐一
逐	ɗok7	白讀:~誃(赶走)
逐	tɕok9	文讀:驅~
逑	tɕau4	
途	tu4	
逕	keŋ3	
逖	tʰek7	
逗	ɗau3	逗小孩
逗	tau6	~號
這	tɕɛ3	
通	tʰoŋ1	
逛	kʷoːŋ6	
逛	kʷeŋ6	
逝	ɕi6	
逝	ɕi3	
逞	tɕʰeŋ2	
速	ɬok7	
速	tʰok7	又讀
造	tʰɘu3	~詣|~訪|~次|登峰~極
造	tɘu6	農作物一年成熟的次數:一年兩~
造	tɘu5	創~
逡	tʰan1	
逢	foŋ4	
連	lin4	
逭	kun6	
逮	tɔɑ̯i6	
逯	lok9	
週	tɕau1	
進	ɗan3	
逵	kʷai4	
逶	wai1	
逸	jat9	
逼	ɓek7	
逾	jy6	
遁	tan6	
遂	tɕui6	半邊~:半身不遂,偏癱
遄	ɕÿn4	
遇	ȵy6	
遊	jau4	
運	wan6	
遍	pʰin3	
過	kʷɵ3	
遏	ɔɑ̯t8	
遐	ɔ4	
遑	woːŋ4	
遒	tau4	
道	tɘu6	
達	tɔɑ̯t10	
違	wai4	
遘	kau3	
遥	jiu4	
遛	lau3	
遜	ɬÿn3	
遞	tai6	
遠	jÿn5	
遢	tʰɔɑ̯t8	
遣	jin5	
遨	ŋɘu4	
適	ɕek7	
遭	ɗɘu1	
遮	tɕɛ1	
遰	ɗai2	去
遲	tɕi4	
遴	lan4	
遵	ɗÿn1	
遷	tʰim1	
選	ɬÿn2	
遺	ji4	
遺	jui6	送
遼	liu4	
遽	ky6	
避	pi6	
邀	jiu1	
邁	mɔɑ̯i6	
邁	mɔɑ̯n6	見1959年字表
邂	ɔɑ̯i6	
邃	ɬui3	
還	wɔɑ̯n4	
邇	ni5	
邈	miu5	
邊	ɓin1	
邋	lɔɑ̯t10	
邏	lɵ4	
邐	li5	
邑	jap7	
邕	joŋ1	
邗	ɔɑ̯n4	
邙	moːŋ4	
邛	koŋ4	
邡	foːŋ1	
那	nɔ6	
邦	ɓoːŋ1	
邪	jɛ4	莫~|~馬臺
邪	tɛ4	
邰	tʰɔɑ̯i1	
邱	jau1	
邳	pi4	
邴	ɓeŋ2	
邵	ɕiu6	
邶	pui6	
邸	ɗai2	
邾	tɕy1	
郁	jok7	
郅	tɕat7	
郇	ɬÿn1	
郊	kɒu1	
郎	loːŋ4	
郗	tɕʰi1	
郛	fu1	
郜	kɘu3	
郝	ɘu6	
郟	kɒp8	
郡	kʷan6	
郢	eŋ5	
郤	kʷʰek7	
部	pu6	
郫	pi4	
郭	kʷʰoːk8	
郯	tɒm4	
郵	jau4	
都	ɗu1	
郾	jin2	
鄂	ŋoːk10	
鄄	kÿn3	
鄆	wan6	
鄉	ja1	
鄒	ɗau1	
鄔	wu1	
鄙	pʰi2	
鄞	ŋan4	
鄢	jin1	
鄣	tɕa1	
鄧	taŋ6	
鄭	tɕeŋ6	
鄯	ɕin6	
鄰	lan4	
鄱	pɵ4	
鄴	ȵɛa̯p10	
鄶	kʷɔɑ̯i3	
鄹	tɕau1	
鄺	kʷʰoːŋ3	
酃	leŋ4	
酆	foŋ1	
酈	li4	
酉	jau5	
酋	tau4	
酌	tɕa2	
配	pʰui3	
酏	ji4	
酒	ɗau2	
酚	fan1	
酞	tʰɔɑ̯i3	
酣	ham1	
酥	ɬu1	
酪	loːk8	
酬	ɕau4	
酮	toŋ4	
酯	tɕi2	
酰	ɬin1	
酵	hɒu1	
酷	ɘu6	
酸	ɬÿn1	
醃	jip7	
醇	ɕan4	
醉	ɗui3	
醋	tʰu3	
醌	kʷʰan1	
醍	tai4	
醐	wu4	
醒	ɬeŋ2	
醚	mai4	
醛	tÿn4	
醜	tɕʰau2	
醞	wan2	
醣	toːŋ4	
醫	ji1	
醬	ɗa3	
醮	ɗiu3	
醺	wan1	
釀	ȵa6	
釁	jan3	
釃	ɕai1	
采	tʰɔɑ̯i2	
釉	jau6	
釋	ɕek7	
里	li5	
重	tɕoŋ5	輕~,嚴~
重	tɕoŋ4	~複
野	jɛ5	
量	la4	動詞
量	la6	名詞
釐	li1	
金	kam1	異讀
金	tɕam1	
釒	tɕam1	
釓	kɔɑ̯t8	
釔	jit7	
釕	liu5	
釗	tɕiu1	
釘	ɗeŋ1	名詞:鐵~
釘	ɗeŋ3	動詞:~起身|着~(被釘上棺材板了,婉稱死)
釙	ɓɵ1	
針	tɕam1	
釣	ɗiu3	
釤	ɕɒm1	
釦	kʰau3	~紐|鞋~
釧	tɕʰÿn3	
釩	fɔɑ̯n4	
釵	tɕʰɔ1	
釷	tʰu2	
釹	ny5	
鈀	ɓɔ2	
鈁	foːŋ1	
鈄	tʰau2	
鈇	fu1	
鈈	ɓat7	
鈉	nɒp10	
鈍	tan6	
鈐	kim4	
鈑	ɓɔɑ̯n2	
鈔	tɕʰɒu1	
鈕	nau5	
鈞	kʷan1	
鈣	kɔɑ̯i3	
鈣	kʰɔɑ̯i3	
鈥	wɵ2	
鈦	tʰɔɑ̯i3	
鈧	kʰoːŋ3	
鈩	lu4	
鈮	ni4	
鈰	ɕi5	
鈳	kʰɵ1	
鈴	leŋ4	
鈴	leŋ1	口語讀音
鈷	ku2	
鈸	pɔɑ̯t10	
鈹	pi4	
鈺	ȵok9	
鈽	ɓu3	
鈾	jau4	
鈿	tin6	
鉀	kɒp8	
鉅	ky5	
鉈	tʰɔ1	
鉉	jÿn5	
鉍	ɓi3	
鉑	poːk10	
鉕	pʰɵ2	
鉗	kɛa̯m4	
鉛	jÿn4	
鉝	lap9	
鉞	jœa̯t10	
鉢	ɓut7	
鉤	kʰau1	~刀:一種彎刀
鉤	kau1	用彎刀收割:~禾
鉤	ŋau1	鉤子
鉦	tɕeŋ1	
鉨	ni5	
鉬	mok9	
鉭	tʰɔɑ̯n2	
鉮	ɕan1	
鉲	kʰɔ2	
鉺	ȵi5	
鉻	koːk8	
鉿	hɒp8	
銀	ŋan4	
銃	tɕʰoŋ3	
銅	toŋ4	
銎	hoŋ1	
銓	tÿn4	
銖	tɕy1	
銘	meŋ4	
銚	jiu4	大鋤;姓
銚	tiu4	長矛
銚	tiu6	煎藥或燒水用的器具
銚	tʰiu1	鍬
銜	ɒm4	
銠	lɘu5	
銣	ɕy4	
銥	ji1	
銦	an1	
銨	ɔɑ̯n2	
銩	ɗiu1	
銪	jau5	
銫	ɕek7	
銬	kʰau3	
銱	ɗiu3	
銲	ŋɔɑ̯n6	
鋭	jui6	
銷	ɬiu1	
銻	tʰai1	鋁
銼	tʰœ3	
鋁	ly5	
鋂	mui4	
鋃	loːŋ4	
鋅	ɬan1	
鋇	ɓui3	
鋈	jok7	
鋌	teŋ5	
鋏	kip7	
鋒	foŋ1	
鋝	lœa̯t10	
鋟	tʰim1	
鋣	jɛ4	
鋤	tɕɵ4	
鋥	tɕa6	
鋦	kok9	
鋨	ŋɵ4	
鋪	pʰu1	動詞
鋪	pʰu3	名詞
鋮	ɕeŋ4	
鋯	kɘu3	
鋰	li4	
鋱	tʰak7	
鋶	lau5	
鋸	ky3	
鋼	koːŋ3	
錀	lan4	
錁	kʷʰɵ3	
錄	lok9	
錆	tʰa1	
錇	pui4	
錈	kÿn2	
錐	tɕui1	
錐	ȵui1	白讀
錒	a1	
錕	kʷʰan1	
錘	tɕui4	
錙	ɗi1	
錚	tɕa1	
錛	ɓan1	
錟	tɒm4	
錢	tin4	
錦	kam2	異讀
錦	tɕam2	
錨	mau4	
錩	tɕʰa1	
錫	ɬek7	
錮	ku3	
錯	tʰoːk8	
錳	ma5	
錶	ɓiu1	
錸	lɔɑ̯i4	
錼	nɔɑ̯i6	
鍀	ɗak7	
鍆	mun4	
鍇	kʰɔɑ̯i2	
鍊	lin6	
鍋	kʷɵ1	
鍍	tu6	
鍔	ŋoːk10	
鍘	tɕʰak7	
鍛	tÿn6	
鍤	tɕʰɒp8	
鍥	kʰit7	
鍩	noːk10	
鍪	mau4	
鍰	wɔɑ̯n4	
鍵	kin6	
鍶	ɬi1	
鍺	tɕɛ2	
鍾	tɕoŋ1	
鍿	ɗi1	
鎂	mi5	
鎄	ɔɑ̯i1	
鎇	mi4	
鎏	lau4	
鎓	oŋ1	
鎔	joŋ4	
鎖	ɬœ2	
鎗	tʰa1	
鎘	ka2	
鎚	tɕui4	
鎢	wu1	
鎣	weŋ4	
鎦	lau4	
鎧	hɔɑ̯i2	
鎩	ɕɔɑ̯t8	
鎪	ɬau1	
鎮	tɕan3	
鎰	jat9	
鎳	nɛa̯p10	
鎵	kɔ1	
鎶	kɵ1	
鎿	nɔ4	
鏃	tok9	
鏈	lin6	
鏊	ŋɘu6	
鏌	moːk10	
鏍	lœ4	
鏑	ɗek7	
鏖	ɘu1	
鏗	kʰeŋ1	擬擊鑼聲
鏗	haŋ1	鏗鏘
鏘	tʰa1	
鏜	tʰoːŋ1	
鏝	mun4	
鏞	joŋ4	
鏟	tɕʰɔɑ̯n2	
鏡	keŋ3	
鏢	ɓiu1	
鏤	lau1	
鏨	tɕɒm4	
鏵	wɔ4	
鏷	pok9	
鏹	ka2	
鏻	lan4	
鏽	ɬau3	
鐃	nɒu4	
鐋	tʰoːŋ3	批~
鐒	lɘu4	
鐓	tui6	
鐔	tam4	
鐗	kɔɑ̯n3	車~
鐗	kɔɑ̯n2	兵器
鐘	tɕoŋ1	
鐙	ɗaŋ3	
鐝	kʷʰak7	掘
鐠	pʰu2	
鐦	hɔɑ̯i1	
鐧	kɔɑ̯n3	車~
鐧	kɔɑ̯n2	兵器
鐨	fi3	
鐫	ɗÿn1	
鐮	lim4	
鐲	tɕok7	
鐳	lui4	
鐵	tʰit7	
鐸	toːk10	
鐺	tɕʰa1	
鐽	tɔɑ̯t10	
鐾	pi6	
鐿	ji3	
鑄	tɕy3	
鑊	woːk10	
鑌	ɓan1	
鑑	kɒm3	
鑔	tɕʰɛa̯m3	訓讀
鑠	ɕa6	
鑣	ɓiu1	
鑥	lu5	
鑪	lu4	
鑫	ham1	
鑭	lɔɑ̯n4	
鑰	ja6	
鑱	tɕɒm4	
鑲	ɬa1	
鑷	nɛa̯p8	
鑹	tʰÿn3	
鑼	lɵ4	
鑽	ɗÿn1	
鑽	ɗÿn3	
鑾	lÿn4	
鑿	toːk10	
钁	kʷʰak7	掘
釒	tɕam1	
長	tɕa4	~短
長	tɕa2	~大|年~
門	mun4	
閂	ɕɔɑ̯n1	
閃	ɕɛa̯m2	白讀,單用,意爲「躱閃」
閃	ɕim2	
閆	jim4	
閉	ɓai3	
開	hɔɑ̯i1	
閌	kʰoːŋ3	
閎	oŋ4	
閏	ȵan6	
閒	ɔɑ̯n4	
間	kɔɑ̯n1	
間	kɔɑ̯n3	
閔	man5	
閘	tɕɒp10	
閡	kɔɑ̯i1	
閣	koːk8	
閤	kɒp8	
閨	kʷai1	
閩	man5	
閫	kʷʰan2	
閬	loːŋ6	
閭	ly4	
閲	jœa̯t10	
閶	tɕʰa1	
閻	ȵim4	
閼	ɔɑ̯t8	阻塞
閼	jin1	~支:匈奴妻
閽	wun1	
閾	wek9	
閿	man4	
闃	kʷʰek7	
闆	ɓɔɑ̯n2	
闈	wai4	
闊	wut7	
闋	kʰÿt7	
闌	lɔɑ̯n4	
闐	tin4	
闔	ɒp10	
闕	kʰÿt7	
闖	tʰoːŋ2	
闖	tɕʰoːŋ2	
關	kʷɔɑ̯n1	
闞	hɒm3	
闡	tɕʰin2	
闢	pʰek7	
闥	tʰɔɑ̯t8	
阜	fau6	
阝	fau6	在左,同「阜」
阝	jap7	在右,同「邑」
阡	tʰin1	
阢	ŋat9	
阪	ɓɔɑ̯n2	
阮	ȵÿn5	
阱	teŋ5	
防	foːŋ4	
阻	tɕɵ2	白讀:~手~腳
阻	tɕu2	文讀:~礙
阼	tu6	
阽	ɗim3	
阿	ɔ1	譯音用:~拉伯|~根廷
阿	ɵ1	~胶|~諛|~斗
阿	a2	~姨|~叔。俗亦作「亞」
陀	tɵ4	
陂	ɓi1	
附	fu6	
陋	lau6	
陌	ɓa2	
降	kaŋ3	~落|投~
限	ɔɑ̯n5	
陔	kɔɑ̯i1	
陘	eŋ4	
陛	pi5	
陝	ɕim2	
陟	tɕek7	
陡	ɗau2	
院	jÿn6	
陣	tɕan6	
除	tɕy4	
陪	pui4	陪伴,伴隨
陬	ɗau1	
陰	jam1	
陲	ɕui4	
陳	tɕan4	
陴	pi4	
陵	leŋ4	
陶	tɘu4	
陷	ɒm6	
陸	lok9	
陽	ja4	
隅	ȵy4	
隆	loŋ4	
隈	wui1	
陧	nᴇɐ̯t10	
隊	tui6	
隋	tui4	
隍	woːŋ4	
階	kɔɑ̯i1	
隔	ka2	
隕	wan5	
隗	ŋai6	
隘	ɔɑ̯i3	
隙	kʷʰek7	或訓讀自「緎」
際	ɗai3	
障	tɕa3	
隧	ɬui6	
隨	tui4	
險	jim2	
隰	tap9	
隱	jan2	
隳	wai1	
隴	loŋ5	
隸	tai6	
隹	tɕui1	
隻	tɕek7	
隼	ɬan2	
雀	ɗa2	白讀
雀	tʰa2	麻~:麻將,一种棋牌遊戲,一种鳥;孔~:一种鳥。
雁	ȵɔɑ̯n6	
雄	oŋ4	
雅	ȵɔ5	
集	tap9	
雇	ku3	
雉	tɕi5	
雋	tÿn5	
雌	tʰi1	
雍	joŋ1	
雎	ɗy1	
雒	loːk8	
雕	ɗiu1	
雖	ɬui1	
雙	ɕoːŋ1	
雛	tɕu4	
雜	tɒp10	
雞	kai1	
離	li4	
難	nɔɑ̯n4	困~
難	nɔɑ̯n6	災~
雨	jy5	
雩	jy4	
雪	ɬÿt7	
雯	man4	
雲	wan4	
零	leŋ4	
雷	lui4	
雷	lu4	~祖廟:廟宇名,在大塘鎭
雹	ɓak7	白讀:~子
雹	ɓɒu1	冰~
電	tin6	
需	ɬy1	
霄	ɬiu1	
霅	jɒp10	閃爍
霆	teŋ4	
震	tɕan3	
霈	pʰui3	
黴	mui4	
霍	kʰoːk8	
霎	ɕɒp8	
霏	fi1	
霓	ȵi1	見《玉林话研究》
霖	lam4	
霜	ɕoːŋ1	
霞	ɔ4	
霧	mu6	
霪	jam4	
霰	ɬin3	
露	lu6	
霸	ɓɔ3	
霹	pʰek7	
霽	ɗai3	
霾	mɔɑ̯i4	
靂	lek9	
靄	ɔɑ̯i2	
靈	leŋ4	
青	tʰeŋ1	
靖	teŋ5	
靖	teŋ6	六~ :地名,在北流,原名「六淨」
靚	teŋ6	
靚	la3	俗借字,意爲「好看」
靛	tin6	
靛	teŋ6	又讀
靜	teŋ5	
非	fi1	
靠	kʰɒu3	
靡	mi5	
面	min6	
靦	min5	
靨	jip7	
革	ka2	
靳	kʰan3	特意留出
靳	kʰan2	吝嗇
靴	hœ1	
靶	ɓɔ3	
靼	ɗɔɑ̯t8	
鞀	tɘu4	
鞅	ja2	
鞉	tɘu4	
鞋	ɔɑ̯i4	
鞍	ɔɑ̯n1	
鞏	koŋ2	
鞏	kʰoŋ2	
鞔	mun1	
鞘	ɬiu3	
鞠	kok7	
鞣	jau4	
鞫	kok7	
鞭	ɓin1	
鞲	kau1	
鞽	kiu4	
韁	kʰa1	
韃	tʰɔɑ̯t8	
韉	ɗin1	
韋	wai4	
韌	ȵan6	見《玉林话研究》
韓	ɔɑ̯n4	
韙	wai5	
韜	tʰɘu1	
韝	kau1	
韞	wan1	
韭	tɕau2	
音	jam1	
韶	ɕiu4	
韻	wan6	
響	ja2	
頁	jɛa̯p10	
頂	ɗeŋ2	
頃	kʰeŋ1	~刻
頃	kʰeŋ2	公~
項	aŋ5	
順	ɕan6	「~~利利」中第二個順一般讀陽平
頇	hɔɑ̯n1	
須	ɬy1	
頊	jok7	
頌	toŋ6	
頎	ki4	
頏	oːŋ4	
預	jy6	準備:~有你嘅飯
預	jy5	干~|參~。見《玉林话研究》
頑	ŋɔɑ̯n4	
頒	ɓɔɑ̯n1	
頒	pʰɔɑ̯n3	
頓	ɗan3	
頗	pʰɵ2	
領	leŋ5	
頜	ɒp10	
頡	kit7	
頤	ji4	
頦	ɔɑ̯i4	
頭	tau4	
頰	kɒp8	
頷	ɒm5	
頷	ȵɒm2	顑~:見「顑」
頸	keŋ2	
頽	tui4	
頻	pan4	
顆	wɵ2	
題	tai4	
額	ȵa6	
顎	ŋoːk10	
顔	ȵɔɑ̯n4	
顑	kʰɒm2	~頷:高又瘦的樣子
顓	tɕÿn1	
願	ȵÿn6	
顙	ɬoːŋ2	
顛	ɗin1	
類	lui6	
顢	mun4	
顥	ɘu6	
顧	ku3	
顫	tɕan3	
顬	ɕy4	
顯	jin2	
顰	pan4	
顱	lu4	
顳	ȵɛa̯p10	
顴	wun1	
風	foŋ1	
颮	ɓiu1	
颯	ɕɒp8	
颱	tɔɑ̯i4	
颳	kʷɔɑ̯t8	
颶	ky6	
颼	ɕœ4	
飄	pʰiu1	
飆	ɓiu1	
飛	fi1	
食	ti6	飼
食	ɕek9	
飠	ɕek9	
飢	ki1	
飧	ɬÿn1	
飩	tʰan1	
飪	ȵam6	
飫	jy3	
飭	tɕʰek7	
飯	fɔɑ̯n6	
飲	ȵam2	
飴	ji4	
飼	ti4	
飽	ɓɒu2	
飾	ɕek7	
餃	kɒu2	
餅	ɓeŋ2	
餉	ja2	
養	ja5	
餌	ȵi5	
餐	tʰɔɑ̯n1	
餑	pɵ6	
餒	ȵui2	
餓	ŋɵ6	
餘	jy4	
餚	ȵɒu4	
餛	wan4	
餞	ɗin2	
餡	ɒm6	
館	kun2	
餮	tʰip7	
餳	teŋ4	
餵	wai3	
餷	tɕɔ1	
餼	hi3	
餽	kʷai6	
餾	lau4	
餿	ɕau1	
饃	moːk10	
饅	mɔɑ̯n6	
饈	ɬau1	
饉	tɕan2	
饊	ɬɔɑ̯n2	
饋	kʷai6	
饌	tɕÿn6	
饑	ki1	
饒	ȵiu4	
饔	joŋ1	
饕	tʰɘu1	
饗	ja2	
饜	jim3	
饞	ɕɒm4	
饢	noːŋ4	
飠	ɕek9	
首	ɕau2	
馗	kʷai4	
馘	kʷek7	
香	ja1	
馥	fok9	
馨	heŋ1	
馬	mɔ5	
