#漢字	音標	解釋
□	tɕyɛ1	圪~~:小而软且呈锥形的物体
鐸	tuɤʔ3/tuɤ3	
鐺	tɔ2?	滚动:~铁环
銅	tʰuŋ2	
鋁	ly3	
鍘	tsɑʔ3/tsɑ3	
鋌	tʰiŋ3	
鋌	tʰi3?	
鏵	xua2	
銘	miŋ2	
鏟	tsʰaŋ3	
銨	aŋ1	
銀	iŋ2	
鑄	tʂu5	
鋪	pʰu1	~盖
鋪	pʰu5	~房墕:地名
銷	ɕieu1	
鎖	suɯ3	
鋰	li2	
鋥	tseŋ5	
鋤	tʂʰu2	
鍋	kuɯ1	
鏽	ɕiau5	
銼	tsʰuɯ5	
鋒	feŋ2	
鋅	ɕiŋ1	
鐧	tɕiaŋ5	
銳	ʐuei5	
錯	tsʰuɯ5	
錛	peŋ5	
錫	ɕiəʔ3	
鑼	lɯ2	
錘	tʂʰuei2	
錐	tʂuei1	
錦	tɕiŋ3	
錠	tiŋ5	
鍵	tɕiaŋ5	
鋸	tɕy5	
鍬	tɕʰieu1	
鍛	tuaŋ5	
鍍	tu5	
鎂	mei3	
鎮	tʂeŋ5	
鑷	niɛʔ3/niɛ3	
鎔	yŋ2	
鏡	tɕiŋ5	
鏇	ɕyaŋ5	
鐲	tʂuɤʔ3/tʂuɤ3	
鐮	liaŋ2	
鑲	ɕiɔ1	
長	tʂʰɔ2	~圆
長	tʂɔ3	~高咧
門	meŋ2	
閂	ʂuaŋ1	
閃	ʂaŋ3	
閉	pi5	
問	veŋ5	
閏	ʐuŋ5	
闲	ɕiaŋ2=	
闲	xaŋ2-	消~:清闲
間	tɕiaŋ1	
間	tɕiaŋ5	
悶	meŋ5	~不心心:沉闷,不说话
閘	tsa3	
鬧	nau5	
閨	kuei1	
聞	veŋ2	
閩	miŋ3	
閭	ly2	
閣	kɤʔ3/kɤ3	
閲	yɛʔ3/yɛ3	
閹	tɕiau1	
閹	iaŋ1	
閻	iaŋ2	
闡	tʂʰaŋ3	
闊	kʰuɤʔ3/kʰuɤ3	
阜	fu5	
隊	tuei5	
阮	ʐuaŋ3	
防	fɔ2	
防	xɔ2-	小~:小心
陽	iɔ2	
陰	iŋ1	
陣	tʂeŋ5	
階	tɕiai1	
阻	tsu3	
附	fu5	
際	tɕi5	
陸	luəʔ3	~地
隴	luŋ3	
陳	tʂʰeŋ2	
陋	lau5	
陌	mɤʔ3/mɤ3	
降	ɕiɔ2	
降	tɕiɔ5	
限	ɕiaŋ5	
陝	ʂaŋ3	
陛	pi5	
陡	tau3	
院	yaŋ5	
除	tʂʰu2	
除	tʂʰu5	代字:擦掉
險	ɕiaŋ3	
陪	pʰei2	
陶	tʰeu2	
陷	ɕiaŋ5=	
陷	xaŋ5-	~进圪:陷进去
隆	luŋ2	
隋	ɕy2-	~炀帝
隋	suei2=	~朝
隨	suei2=	
隨	ɕy2-	~当:立即;养儿~外舅
隱	iŋ1	
隔	tɕiɛʔ3/tɕiɛ3	
隔	kɤʔ3/kɤ3=	
隘	ai5	
障	tʂɔ5	
隧	suei5	
隶	li5	
難	naŋ2	
難	naŋ5	
雀	tɕʰyɛʔ3/tɕʰyɛ3=	
雀	tɕʰiɛʔ3/tɕʰiɛ3	麻~
雀	tɕʰieu1	黄~~:黄鹂鸟
雁	iaŋ5	
雄	ɕyŋ2	
雅	ia3	
集	tɕiəʔ3=	
雇	ku5	
雉	tʂʅ5	
雌	tsʰɿ1	
雍	yŋ1	
雛	tʂʰu2	
雕	tieu1	
雨	y3	
雪	ɕyɛʔ3/ɕyɛ3	
雷	luei2	
霧	vu5	
需	ɕy2	
霄	ɕieu1	
震	tʂeŋ5	
霍	xuɤʔ3/xuɤ3	
霞	ɕia2	
露	lau5	
霸	pa5	
霹	pʰiəʔ3	
青	tɕʰiŋ1	
靖	tɕiŋ5	
靜	tɕiŋ5	
非	fei1	
靠	kʰeu5	
靡	mi2	
面	miaŋ5	
革	kɤʔ3/kɤ3	
靪	tiŋ1	
靴	ɕyɛ1	
鞋	xai2-	
鞋	ɕiai2=	
鞍	aŋ1	
韃	tɑʔ3/tɑ3	
鞘	tɕʰieu5	
鞭	piaŋ1	
韌	ʐeŋ5	
韓	xaŋ2	
韭	tɕiau3	
音	iŋ1	
韻	yŋ5	
韶	ʂeu2	
頁	iɛʔ3/iɛ3	
頂	tiŋ3=	
頂	ti3-	不~了:不顶事了
頃	tɕʰiŋ1	
項	ɕiɔ5	
項	xɔ2-	~圈:月晕
順	ʂuŋ5	
须	ɕy2	
頑	vaŋ2	
顧	ku5	
頓	tuŋ5	
頒	paŋ1	
頌	suŋ5	
預	y5	
領	liŋ3	
頗	pʰɯ1	
頸	tɕiŋ3	
頻	pʰiŋ2	
頽	tʰuei2	
穎	iŋ3	
顆	kʰuɯ1	
題	tʰi2	
顔	iaŋ2	
顛	tiaŋ1	
顫	tʂʰaŋ5	
顴	tɕʰyaŋ2	
風	feŋ1	
颼	sau3	
飄	pʰieu1	
飛	fei1	
食	ʂəʔ3	
食	ʂəʔ3	粮~。连读变调阳入
餐	tsʰaŋ1=	
餐	tsʰaŋ5-	~厅
餮	tʰiɛʔ3/tʰiɛ3	
饥	tɕi1	
飩	tuŋ5	
飯	faŋ5	
飲	iŋ3	
飲	iŋ5	
餞	tɕiaŋ5	
飾	ʂəʔ3	
飽	pau3	
飼	sɿ5	
飴	i2	
餌	eʐ3	
饒	ʐeu2	
餉	ɕiɔ5	
餃	tɕiau3	
餅	piŋ3	
餑	pɤʔ3/pɤ3	
餑	pʰɤʔ3/pʰɤ3	面~:擀面时撒的干面粉
餓	ɯ5	
餛	xuŋ2	
餡	ɕiaŋ5	
館	kuaŋ3	
饋	kʰuei5	
餿	sau3	
饞	tsʰaŋ2	
饃	mɯ1	
餾	liau2	
饅	maŋ2	
首	ʂau3	
香	ɕiɔ1	
馨	ɕiŋ1	
馬	ma3	
馱	tʰɯ2	
馱	tɯ5	~子:骡马背货物的容器
馳	tʂʰʅ2	
驅	tɕʰy1	
駁	pɤʔ3/pɤ3	
驢	ly2	
駛	sɿ3	
駒	tɕy1	
駐	tʂu5	
駝	tʰɯ2	
駕	tɕia5	
驛	iəʔ3	
駡	ma5	
驕	tɕieu1	
駭	xai5	
驗	iaŋ5	
騎	tɕʰi2	
騙	pʰiaŋ5	
騷	seu1	
騾	lɯ2	
驟	tsau5	
骨	kuəʔ3	
骷	kʰu1	~子:头
髓	suei3	
高	keu1	
鬃	tsuŋ1	
鬏	tɕiau1	
鬢	piŋ5	
鬼	kuei3	
魁	kʰuei1	
魂	xuŋ2	
魘	iaŋ3	
魏	vei5	
魔	mɯ2	
魚	y2	
魯	lau3	
鮎	niaŋ2	
鮑	pau5	
鮮	ɕiaŋ1	
鯉	li2	
鰣	sɿ2	
鯽	tɕiəʔ3	
鰓	sai1	
鰍	tɕʰiau1	
鰭	tɕʰi2	
鰥	kuaŋ1	
鰾	pieu5	
鱉	piɛʔ3/piɛ3	
鱖	kuei5	
鱔	ʂaŋ5	
鳩	tɕiau1	
雞	tɕi1	
鳴	miŋ2	
鴉	ia2	
鴉	iɑʔ3/iɑ3	
鸕	lau2	
鴨	iɑʔ3/iɑ3	
鴟	tʂʰʅ1	秃~子:猫头鹰
鴕	tʰɯ2	
鴿	kɤʔ3/kɤ3	
鸞	luaŋ2	
鴻	xuŋ2	
鵝	ɯ2	
鵡	vu3	
鵲	tɕʰiɛʔ3/tɕʰiɛ3	野~子:喜鹊
鵪	aŋ1	
鵮	tɕʰiaŋ1	
鷂	ieu5	
鸚	iŋ1	
鷺	lau5	
鷹	iŋ1	
麥	miɛʔ3/miɛ3	
麩	fu1	
麻	ma2	
麾	xuei1	
黃	xɔ2	
黍	ʂu3	
黎	li2	
黏	niaŋ2=	
黏	ʐaŋ2-	~泥:烂泥;~皮臭狗屎:赖皮
黑	xəʔ3	
默	miəʔ3	
黢	tɕʰyəʔ3	
鼎	tiŋ3	
鼓	ku3	
鼠	ʂu3	
鼻	piəʔ3	
鼾	xaŋ5	
齊	tɕʰi2	
齒	tsʰɿ3	
龍	leŋ2	
龍	luŋ2=	
龍	lyŋ2	~磺:硫磺
龕	kʰaŋ1	
龜	kuei1	
𢶍	sɑʔ3/sɑ3	
