#漢字	音標	解釋#('cmn_fyd_bsjh', '東方八所軍話', '八所軍話', '#8B0000', None, None, '來源：<u>一冂水</u>整理自《海南東方八所軍話音系》', '33 1 1a 陰平 ꜀,,51 3 2 上 ꜂,,24 5 3 去 ꜄,,31 7 4 入 ꜆', None, None)
崇	tsʰoŋʔ7	
崔	tsʰuəi1	
崖	zaiʔ7	
崩	poŋ1	
崽	tsai3	
嵌	kʰiən5	
川	tsʰuən1	
州	tsəu1	
巡	sunʔ7	
巢	tsʰauʔ7	
工	koŋ1	
左	tsɔ3	
巧	kʰiau3	
巨	tɕy5	
鞏	koŋ3	
巫	vu1	
差	tsʰa1	～别
差	tsʰai1	出～
差	tɕʰiʔ7	参～
己	ki3	
已	zi3	
巳	tsɿ5	
巴	pa1	
巷	haŋ5	
巾	keⁱŋ1	
幣	pi5	
市	ɕi5	
布	pu5	
帥	suai5	
帆	faŋ1	
師	sɿ1	
希	hi1	
帳	tsaŋ5	
帑	tʰaŋ3	
帕	pʰa5	
帖	tʰiɛʔ7	妥～
帖	tʰiɛʔ7	请～
帘	liənʔ7	
帚	səu5	
帛	pɔʔ7	
幟	tɕiʔ7	
帝	ti5	
帶	tai5	
席	ɕiʔ7	
席	səiʔ7	草～
幫	paŋ1	
常	tsʰaŋʔ7	
帽	mau5	
幅	fu5	
幌	huaŋ5	
幔	maŋ5	
幕	mu5	
幢	tsʰuaŋʔ7	
干	kaŋ1	～燥
干	kaŋ5	骨～
平	pʰeⁱŋʔ7	
年	liənʔ7	
并	peⁱŋ5	
幸	heⁱŋ5	
幻	huən5	
幼	iəu5	
幽	zəu1	
廣	kuaŋ3	
莊	tsuaŋ1	
慶	kʰeⁱŋ5	
庇	pi5	
牀	tsʰuaŋʔ7	
序	ɕy5	
廬	luʔ7	
庫	kʰuəi5	
應	zeⁱŋ1	
應	zeⁱŋ3	响～
底	ti3	
店	tiən5	
廟	miau3	
庚	kəŋ1	
府	fu3	
龐	pʰaŋʔ7	
廢	fəi5	
度	tu5	
座	tsɔ5	
庭	tʰeⁱŋʔ7	
庵	aŋ1	
康	kʰaŋ1	
庸	zoŋ1	
廉	liənʔ7	
廊	laŋʔ7	
廓	kʰɔ5	
廓	kɔʔ7	
廖	liau5	
延	ziənʔ7	
廷	tʰeⁱŋʔ7	
建	kiən5	
廼	lai3	
開	kʰai1	
弃	tɕʰi5	
弃	kʰi5	
弄	noŋ5	
弊	pi5	
式	ɕi5	
弓	koŋ1	
引	zeⁱŋ3	
弗	fuʔ7	
弘	hoŋʔ7	
弛	tɕʰiʔ7	
弟	ti5	
張	tsaŋ1	
弥	miʔ7	
弦	hiənʔ7	
弧	huʔ7	
弩	nu3	
彎	vaŋ1	
弱	zɔʔ7	
彈	taŋ5	子～
彈	tʰaŋʔ7	
彈	tʰaŋʔ7	～簧
强	kʰiaŋʔ7	
歸	kuəi1	
當	taŋ1	应～
當	taŋ5	上～
录	luʔ7	
彗	huəi5	
形	heⁱŋʔ7	
彩	tsʰai3	
彪	piau1	
彬	peⁱŋ1	
彭	pʰoŋʔ7	
影	zeⁱŋ3	
役	zyʔ7	
徹	tɕʰiɛʔ7	
彼	pi3	
彼	pʰi3	
往	vaŋ3	
征	tsəŋ1	
徑	keⁱŋ5	
待	tai5	
很	həŋ3	
徊	huəiʔ7	
律	li5	
徐	ɕyʔ7	
徒	tʰuʔ7	
得	tɤʔ7	
徙	ɕi3	
徛	kʰiʔ7	
循	sunʔ7	
微	vəiʔ7	
德	tɤʔ7	
徹	tɕʰiɛʔ7	
徽	huəi1	
心	ɕeⁱŋ1	
必	piʔ7	
憶	zi5	
忌	ki5	
忏	tsʰaŋ5	
忒	tʰɤʔ7	
忖	tsʰəŋ5	
志	tɕi5	
忘	vaŋ5	
忙	maŋʔ7	
忠	tsoŋ1	
憂	zəu1	
快	kʰuai5	
忱	tsʰeⁱŋʔ7	
念	liən5	
忽	huʔ7	
忿	fəŋ5	
懷	huaiʔ7	
態	tʰai5	
慫	soŋ3	
慪	əu5	
怒	nu5	
怕	pʰa5	
怖	pu5	
思	sɿ1	
怠	tai5	
急	kiʔ7	
性	ɕeⁱŋ5	
怨	zuən5	
怪	kuai5	
怯	kʰiɛ1	
總	tsoŋ3	
恃	ɕi5	
戀	liən5	
恍	huaŋ3	
恐	kʰoŋ3	
恆	həŋʔ7	
恙	zaŋ3	
恢	huəi1	
恨	həŋ5	
恩	ŋəŋ1	
恫	toŋ5	
恭	koŋ1	
息	ɕiʔ7	
恰	tɕʰiaʔ7	
懇	kʰəŋ3	
恶	ɤ3	
恶	vuʔ7	
惱	nau3	
恿	zoŋ3	
悉	ɕiʔ7	
悍	haŋ5	
悔	huəi3	
悟	vu5	
悠	zəu1	
患	huən5	
懸	hiənʔ7	
懸	suənʔ7	
憫	meⁱŋ3	
悲	pəi1	
悼	tau5	
情	tɕʰeⁱŋʔ7	
驚	keⁱŋ1	
惑	hɔ5	
惕	tʰiʔ7	
惜	ɕiʔ7	
惟	vəiʔ7	
惠	huəi5	
懼	tɕy5	
慘	tsʰaŋ3	
憊	pəi5	
慚	tsʰaŋʔ7	
憚	taŋ5	
慣	kuaŋ5	
惰	tɔ5	
想	ɕiaŋ3	
惶	huaŋʔ7	
惹	iɛ3	
愁	tsʰəuʔ7	
意	zi5	
感	kaŋ3	
憤	fəŋ5	
愧	kʰuəi5	
願	zuən5	
慈	tsʰɿʔ7	
慌	huaŋ1	
慎	tɕʰeⁱŋ5	
慕	mu5	
慢	maŋ5	
慧	huəi5	
慨	kʰai5	感～
慷	kʰaŋ5	
憋	piɛʔ7	
憎	tsəŋ1	
憨	haŋ1	
憾	haŋ5	
懂	toŋ3	
懊	au5	
懶	laŋ3	
懦	nɔ5	
懵	moŋʔ7	
戈	kɔ1	
戊	vu5	
戎	zoŋʔ7	
戲	hi5	
成	tsʰəŋʔ7	
我	ŋɔ3	
戒	kai5	
或	hɔ5	
戰	tsaŋ5	
戚	tɕʰiʔ7	亲～
戟	tɕiʔ7	
截	tɕiɛʔ7	
戳	tsʰɔʔ7	
戴	tai5	
戶	hu5	
戽	hu5	
房	faŋʔ7	
扁	piən3	
扇	ɕiən5	
