#漢字	音標	解釋
㘗	tsʰi1	說悄悄話
鈔	tsʰɔ1	
鈞	tʂuɛn1	
鈣	kɛ5	
鈴	lin2	
鈴	liaŋ2	(白)
鉗	tɕĩ2	
鉛	yĩ2	
鉤	kɔ1	(文)
鉤	tɕiɔ1	(白)
鉸	tɕiɔ3	
銀	ȵin2	
銃	tʂʰɛn5	
銅	tɛn2	
銘	min2	
銜	xã2	
銬	kʰɔ5	
銳	ʂyi5	
銷	siɔ1	
銼	tsʰo5	
鋁	lɛ3	
鋒	xɛn1	
鋤	tsau2	
鋥	tʂɛn2	
鋪	pʰu1	床～，～床，量詞
鋪	pʰu5	店～
鋸	tʂy5	(文)
鋸	kɛ5	(白)
鋼	kaŋ1	
錄	lau7	
錐	tʂyi1	
錘	tʂy2	(白)
錘	tʂyi2	(文)
錠	tin5	
錢	tsĩ2	
錦	tɕin3	
錫	si7	(文)
錫	sia7	(白)
錮	ku5	
錯	tsʰo5	
錯	tsɔ6	(訓讀)
鍋	ko1	
鍍	tau5	
鍘	tsʰa5	
鍛	tõ5	
鍬	tsʰiɔ1	
鍵	tɕĩ5	
鍾	tʂɛn1	
鎂	mɛ3	
鎔	in2	
鎖	so3	
鎘	kɛ7	
鎦	lio5	
鎧	kʰɛ3	
鎮	tʂɛn5	
鎳	ȵiɛ7	
鏈	lĩ6	
鏗	kʰɛn1	
鏟	tsʰã3	
鏡	tɕin5	
鏨	tsã6	
鏵	xua2	
鏽	sio5	
鐘	tʂɛn1	
鐙	tɛn1	
鐮	lĩ2	
鐲	tʂy1	(白)
鐲	tso7	(文)
鐵	tʰiɛ7	
鐸	tʰo7	
鐺	taŋ1	
鑄	tʂy5	
鑑	kã5	
鑰	io7	
鑲	siaŋ1	
鑷	ȵiɛ7	
鑼	lo2	
鑽	tsõ1	～研
鑽	tsʰõ3	(訓讀)刺，動詞
鑽	tsõ5	～子
钁	xo7	
長	tʂaŋ2	～短
長	tʂaŋ3	生～
門	sã1	
門	mɛn2	
閃	ɕĩ3	
閉	pi5	(文)
閉	pɛ5	(白)
開	kʰɛ1	
閏	yɛn5	(文)
閏	yɛn6	(白)
閑	xã2	(白)
閑	ɕiã2	(文)
間	kã1	中～：混合
間	kã5	～斷
閘	tsua5	(白)
閘	tsa7	(文)
閣	ko7	
閨	kui1	
閩	min2	
閱	yɛ7	
闊	kʰuɛ7	(白)
闊	kʰo7	(文)
闋	tʂʰyɛ7	
闕	tʂʰyɛ7	
闖	tʂʰaŋ3	
關	kuã1	
阜	xu5	
阜	xɔ5	
阮	yĩ3	
防	xaŋ2	(白)
防	xuaŋ2	(文)
阻	tsau3	
阿	a1	(文)
阿	xo1	用好話結交
阿	o1	(白)
附	xu6	
陋	liɔ5	(白)
陋	lau5	(文)
降	ɕiaŋ2	投～
降	kaŋ5	(白)霜～
降	tɕiaŋ5	～落
限	xã5	
陛	pi5	
陝	ɕĩ3	
陡	tiɔ3	(白)
陡	tau3	(文)
院	yĩ5	
陣	tʂɛn5	(文)
陣	tʂɛn6	(白)
除	tʂy2	
陪	pɛ2	
陰	in1	
陰	in5	
陳	tʂɛn2	
陵	lin2	
陶	tɔ2	
陷	xã5	(文)
陷	xã6	(白)
陸	lau7	
陽	iaŋ2	
隆	lɛn2	
隊	tɛ5	
階	ka1	
隔	kɛ7	
隕	yɛn3	
隘	ŋɛ5	
隙	ɕi7	
際	tsi5	
障	tʂaŋ5	
隧	sɛ5	
隨	tsɛ2	
險	ɕĩ3	
隱	in3	
隴	lɛn3	
隸	tʰi7	
隻	tʂua7	量詞
雀	tsʰio5	
雁	ŋã5	(文)
雁	ŋã6	(白)
雄	ɕin2	
雅	ia3	
集	tsi5	(文)
集	tsi6	(白)
雉	tʂʅ5	
雌	tsɿ1	
雌	tsʰɿ1	
雍	in3	
雕	tiɔ1	
雖	sɛ1	
雛	tsau2	
雜	tsa7	
雞	tɕi1	
離	li2	
難	lã2	
雨	y3	
雲	yɛn2	
零	lin2	
零	liaŋ2	(白)～碎
雷	lɛ2	
雹	pʰɔ5	
電	tĩ5	
需	si1	
霄	siɔ1	
震	tʂɛn5	
霉	mɛ2	
霍	xo7	
霞	ɕia2	
霧	u6	
露	lau6	
霸	pua5	
靈	lin2	
青	tsʰin1	(文)
青	tsʰiaŋ1	(白)
靖	tsin5	
靜	tsin5	(文)
靜	tsin6	(白)
非	xui1	
靠	kʰɔ5	
靡	mĩ2	
面	mĩ6	
革	kɛ7	
靴	ʂua1	
鞋	xa2	(白)
鞋	ɕia2	(文)
鞋	ɕiɛ2	(文)
鞍	ŋã1	
鞏	kɛn3	
鞘	tsʰiɔ5	
鞠	tʂy7	
鞭	pĩ1	
韁	tɕʰiaŋ1	
韓	xã2	
韭	tɕio3	
音	in1	
韶	ʂɔ2	
韻	yɛn5	
響	ɕiaŋ3	
頁	iɛ5	
頂	tin3	
頃	tʂʰuɛn3	
項	xaŋ5	
順	ʂuɛn5	(文)
順	ʂuɛn6	(白)
須	si1	
頌	tsɛn5	
預	y5	
頑	uã2	
頒	pã1	
頓	tɛn5	
頗	pʰo3	
領	lin3	(文)
領	liaŋ3	(白)衣～
頭	tiɔ2	(白)
頭	tau2	(文)
頸	tɕin3	(文)
頸	tɕiaŋ3	(白)
頻	pin2	
顆	kʰo3	
顉	tsʰin3	低頭
題	ti2	
額	ŋɛ7	
顏	ŋã2	(白)
顏	iã2	(文)
願	yĩ5	(文)
願	yĩ6	(白)
顛	tĩ1	
類	lɛ5	
顧	ku5	
顫	tɕĩ5	
顴	tɕyĩ2	
風	xɛn1	
風	xɛn5	
颼	sɔ1	
飄	pʰiɔ1	
飄	pʰiɔ5	～雨：斜吹的雨
飆	piɔ1	
飛	xui1	
食	ʂʅ7	
飢	tɕi1	
飫	y5	餵養：～豬
飯	xuã6	(文)
飯	uã6	(白)
飲	in3	
飴	i2	
飼	sɿ5	
飽	pɔ3	
飾	ʂʅ7	
餅	pin3	
餉	ɕiaŋ3	
養	iaŋ3	
餌	ɛ3	
餐	tsʰã1	
餑	pʰo7	
餒	lɛ3	
餓	ŋo6	
餘	y2	
餚	ɕiɔ2	
餛	xuɛn2	
餞	tsĩ6	
餡	xã5	
館	kŋ̍3	
餵	ui5	(文)
餿	sɔ1	(文)
餿	siɔ1	(白)
饃	mõ2	
饅	mã2	
饅	mõ2	
饑	tɕi1	
饒	iɔ2	
饞	tsã2	
首	ʂau3	
香	ɕiaŋ1	
馨	sin1	
馬	mua3	
馮	xɛn2	
馱	to2	
馳	tʂʅ2	
馴	ʂuɛn2	
駁	po7	
駐	tʂy5	
駒	tʂy1	
駛	ʂʅ3	
駝	to2	
駭	xɛ7	
駱	lo7	
騎	tɕi2	
騙	pʰĩ5	
騷	sɔ1	
騾	lo2	
驅	tʂʰy1	
驊	tsʰɔ3	雌性的豬、狗
驕	tɕiɔ1	
驗	ȵĩ5	
驚	tɕin1	
驟	tsʰiɔ5	(白)
驟	tsʰau5	(文)
驢	li2	(白)
驢	lau2	(文)
骨	ku7	(文)
骨	kui7	(文)
髈	pʰaŋ3	～子：豬肘子
髒	tsaŋ1	不干淨
體	tʰi3	
高	kɔ1	
髮	xua7	
髻	tɕiɛ7	
鬃	tsɛn1	
鬆	sɛn1	
鬢	pin5	
鬥	tiɔ5	(白)～架
鬥	tau5	～爭
鬧	lɔ5	(文)
鬧	lɔ6	(白)
鬮	tɕiɔ1	
鬱	y5	
鬼	kui3	
魁	kʰui1	
魂	xuɛn2	
魄	pʰɛ7	
魏	ui6	
魔	mõ2	
魚	y2	
魯	lau3	
鮎	ȵĩ2	
鮑	pʰɔ5	
鮮	sĩ1	新～
鮮	sĩ3	少
鯉	li3	
鯤	kʰuɛn1	
鯨	tɕin1	
鯽	tsiɛ7	
鰍	tsʰio1	
鰓	sɛ1	
鰣	ʂʅ2	
鰥	kuã1	
鰭	tɕi2	
鰱	lĩ2	
鰲	ŋɔ2	
鰾	pʰɔ1	
鱅	ɕin2	
鱉	pʰiɛ7	
鱖	kui5	
鱗	lin2	
鱷	ŋo7	
鳥	tiɔ3	(白)
鳥	ȵiɔ3	(文)
鳩	tɕio1	
鳴	min2	
鴉	ia1	烏～
鴉	ŋã1	～鵲
鴨	ia7	(文)
鴨	ŋã7	(白)
鴻	xɛn2	
鴿	ko7	
鵝	ŋo2	
鵡	u3	
鵪	ŋã1	
鵲	tsʰio5	
鶯	in1	
鶴	xo7	
鷂	iɔ6	鳥名
鷓	tʂɛ5	
鷗	ŋɔ1	
鷹	in1	
鷺	lau6	
鸚	in1	
鸞	lõ2	
鹵	lau3	
鹹	xã2	
鹼	kã3	
鹽	ĩ2	
鹿	lau7	
麗	li5	
麝	ʂɛ6	
麩	xu1	
麻	mua2	
麼	mõ3	
麾	xui1	
黃	xaŋ2	(白)
黃	xuaŋ2	(文)
黃	uaŋ2	(白)(又)
黍	ʂy3	
黎	li2	
黏	ȵiã2	
黑	xɛ7	
默	mɛ7	
點	tĩ3	
黨	taŋ3	
黴	mɛ2	
鼎	tin3	
鼓	ku3	
鼠	ʂy3	
鼻	pʰi5	
鼾	xã1	(文)
鼾	xŋ̍1	(白)
齊	tsi2	
齋	tsa1	
齒	tʂʰʅ3	
齙	pɔ5	
齩	iɔ3	
齩	ŋã5	(訓讀)
龍	lɛn2	
龐	paŋ2	
龕	kʰã1	(文)
龕	kʰŋ̍1	(白)
龜	kui1	
𠆩	xuã5	～子：曲線辦法
𠮷	yɛ5	～口：田埂上過水的口子
𠻞	kʰaŋ3	咳嗽
𡎺	tsi7	(訓讀)把東西塞進去
𡎺	tʂau7	用勁塞
𢷍	in5	量
𢺴	y7	把東西弄彎曲
𣚙	tsĩ6	～栗子
𤌍	o7	燙
𥉻	tsʰi7	近視；窺探
𥞛	to6	草～
𥽰	mĩ1	～融的：食品煮得很爛
𦛖	tʂʰɛ5	動
𨉣	xa1	～背
𨫒	lau1	銹
𩑦	uɛn5	水淹沒
