#漢字	音標	解釋#('wuu_oj_rads', '瑞安東山話', '瑞安東山', '#8B0000', None, None, '來源：由東甌組<u>落橙</u>、<u>老虎</u>提供', '55 1 1a 陰平 ꜀,31 2 1b 陽平 ꜁,35 3 2a 陰上 ꜂,13 4 2b 陽上 ꜃,52 5 3a 陰去 ꜄,22 6 3b 陽去 ꜅,322 7 4a 陰入 ꜆,322 8 4b 陽入 ꜇', None, None)
岐	dʑi2	
岑	dzaŋ2	
岑	zaŋ2	
岔	tsʰʊ5	
崗	kʊ1	
島	tɛ3	
岩	ŋɔ2	
岭	ləŋ4	
岳	ŋʊ8	
岸	ɦø6	
峙	dzɿ4	
峽	kɔ7	
峽	ɡɔ8	
峽	ɦɔ8	
峯	foŋ1	
崇	zoŋ2	
崔	tsʰai1	
崖	ŋɔ2	
崦	ji2	
崩	poŋ1	
嵌	kʰɔ1	
嵩	soŋ1	
川	tɕʰy1	
州	tsɤu1	
巡	joŋ2	
巢	zɔ2	
工	koŋ1	
左	tsɤu3	
巧	kʰɔ3	
巨	dʑy4	
鞏	koŋ3	
鞏	koŋ5	
巫	ʋ1	
差	tsʰa1	
差	tsʰʊ1	
己	tɕi3	
已	ji4	
巳	zɿ4	
巴	pʊ1	
巷	ɡʊ6	
巷	ɦʊ6	
巾	tɕiaŋ1	
幣	pei5	
市	zɿ4	
布	pʊ5	
布	pʉ5	
帥	sa5	
帆	vɔ2	
師	sɿ1	
希	ɕi1	
帳	tɕiɛ5	
帖	tʰuɔ7	
帚	tsɤu3	
帛	ba8	
帝	tei5	
帶	ta5	
席	zei8	
幫	pɔ1	白讀
幫	pʊ1	
帷	vʉ2	
常	dʑiɛ2	
常	jɛ2	
帽	mɛ6	
幅	fʋ7	
幔	mø6	
幕	mʊ6	
幕	mʊ8	
干	dʑi2	
干	kø1	
干	kø5	
平	bəŋ2	
年	ȵi2	
并	pəŋ5	
并	bəŋ4	
幸	ɦa4	
幻	uɔ3	
廣	kʊ3	
莊	tɕiʊ1	
慶	tɕʰiaŋ5	
庇	pei5	
牀	jʊ2	
序	zəʉ4	
廬	ləʉ2	
庫	kʰʋ5	
應	iaŋ1	
應	iaŋ5	
底	tei3	
店	tiɛ5	
廟	mi6	
庚	ka1	
府	fʉ3	
龐	bʊ2	
廢	fai5	
度	dɤu8	
度	dəʉ6	
座	zʊ6	
庭	dəŋ2	
庵	e1	
庶	səʉ5	
康	kʰʊ1	
庸	ioŋ1	
廊	lʊ2	
廓	kʊ7	
廓	kʰʊ7	
廖	luɔ6	
廩	ləŋ4	
延	ji2	
廷	dəŋ2	
建	tɕi5	
廿	ȵiɛ6	
開	kʰe1	
异	ji6	
弃	tɕʰi5	
弄	loŋ6	
弊	pei5	
弋	i7	
式	sei7	
弓	tɕioŋ1	
