#漢字	音標	解釋
□	ki5	近指代词
才	dze2	~能,刚~
扑	pʰoʔ7	
打	ta3	
托	tʰoʔ7	手承物
扛	kɤ̃5	
扞	ke3	~面
扣	kʰɛu5	
執	tɕieʔ7	
擴	kʰuɤ̃1	
掃	sɔ3	~地
掃	sɔ5	~帚
揚	ɦiɤ̃2	
扭	niɯ3	
扮	pe5	
扯	tsʰɿ3	
擾	ɕiɔ3	
扳	pe3	
扶	ʋu2	
找	tsɔ3	
承	dʑiŋ2	
技	dzɿ2	
抄	tsʰɔ1	~写
把	pa3	~握,~手,一~
抑	ieʔ7	
抓	tsa1	
投	dɛu2	
抗	kʰɤ̃5	
折	tɕieʔ7	~断
折	ʑieʔ8	~本,弄~了
撫	ʋu2	
抛	pʰɔ1	
搶	tɕʰiɤ̃3	
護	ʋu6	
報	pɔ5	
披	pʰi1	
抬	de2	
抱	bɔ6	
抵	ti3	
抹	məʔ8	
押	ieʔ7	
抽	tɕʰiɯ1	
抿	miŋ3	
拄	dʑy6	~拐杖
擔	te1	~任
擔	te5	挑~
拆	tsʰəʔ7	~开
拇	mo3	
拉	la5	
拌	bʏ6	
拍	poʔ7	
拎	liŋ1	
拐	kue3	
拒	dʑy6	
拓	təʔ7	~本
拔	pəʔ7	
拔	bəʔ8	
拖	tʰo1	
拘	tɕy1	
拙	tɕʰyøʔ7	
招	tɕiɔ1	
拜	pe5	
擬	ni3	
攏	loŋ3	
揀	tɕi3	
擁	ioŋ5	
攔	le2	
擇	dzəʔ8	
括	kuəʔ7	包~
拯	dʑiŋ2	
拱	koŋ3	~手
拳	dʑʏ2	
拴	ɕʏ1	
拼	pʰiŋ1	~凑
拼	pʰiŋ5	~命
拾	ʑyøʔ8	~起来
拿	na2	
持	dzɿ2	
挂	kua5	
指	tsɿ3	
按	e5	
挑	tʰiɔ1	
挖	ʋəʔ7	
挾	kəʔ7	
擋	tɤ̃3	
揮	fai1	
挨	e1	~近
挪	no1	
振	tɕiŋ5	
挺	tʰiŋ3	
挽	ʋe3	
捅	tʰoŋ3	~破
捆	kʰuʌŋ3	
捉	tsoʔ7	
捏	neʔ7	
捐	tɕʏ1	
捕	bu6	
撈	lɔ2	
損	sʌŋ3	
換	ɦʏ6	
捧	pʰoŋ3	
据	tɕy5	
捲	tɕʏ3	
捷	dʑieʔ8	
捺	nəʔ8	
掀	ɕiŋ1	
掂	ti5	
授	ʑiɯ6	
掌	tɕiɤ̃3	
掐	kʰəʔ7	
排	be2	
掘	dʑyøʔ8	
探	tʰe5	
接	tɕieʔ7	
控	kʰoŋ5	
推	tʰai1	
掩	i3	
措	tsʰoʔ7	~施
撣	te3	鸡毛~子
揈	hoŋ1	~出去
提	di2	
插	tsʰəʔ7	
揖	ieʔ7	作~
握	oʔ7	
揩	kʰe1	
援	ʏ3	
攬	le3	
摟	le3	~取
