#漢字	音標	解釋
㓤	kʰiak7	【替字】生氣。~氣走，悻悻地離開。
栱	kiuŋ3	
栲	kʰau3	
栳	lau3	
栴	tʃan1	
栵	liet8	
核	fut8	
核	het8	
核	hak8	【重定向】睾丸。~卵/~子仁，睾丸。閹~/羯~，閹割。
核	ep7	【替字】障礙物阻擋。船~等了，船被擋着不能前進了。
根	ken1	
根	kin1	
格	kak7	①相比，~棍，比試棍子。②相合、調校。~腳步，使腳步統一。~鐘，調鐘。好私~，相處得很好。③正好、剛好。炒倒~，炒得剛剛好。④分隔空間。拖~，抽屜。
格	ket7	
栽	tsai1	
栿	fuk8	
桀	kʰiet8	
桁	haŋ2	橫樑。~頭瓦角。
桁	en5	
桂	kui5	
桃	tʰau2	
桄	kuaŋ1	
桅	mi2	
桅	ŋui2	
框	kʰioŋ1	
案	on5	
桉	on5	
桋	i2	
桌	tsok7	
桎	tʃit7	
桐	tʰuŋ2	
桑	soŋ1	
桓	fan2	
桔	kit7	
桕	kʰiu1	
桫	so1	
桮	pi1	
桮	pui1	
桯	tʰin1	
桴	fu1	
桶	tʰuŋ3	
桷	kok7	
桹	loŋ2	
桼	tsʰit7	
桿	kon1	
梁	lioŋ2	
梂	kʰiu2	
梃	tʰin3	
梃	tʰiaŋ3	
梅	moi2	
梆	pok8	
梆	poŋ1	
梏	kuk7	原文注音kouc8，聲調批量誤。
梏	kʰuk7	
梐	pʰi5	
梓	tsɿ3	
梖	pi5	
梖	pui5	
梗	ken3	
梘	kian3	
梚	tʰu2	
梜	kiap7	
條	tʰiau2	
梟	hiau1	
梠	li3	
梢	sau1	
梧	ŋ̍2	
梨	li2	
梪	tʰeu5	
梭	so1	
梮	kʰiuk8	
梯	tʰoi1	
械	hai5	
梱	kʰun5	
梲	tʃot7	
梳	sɿ1	
梳	so1	
梵	fam2	
梹	pin1	
棃	li2	
棄	hi5	
棄	kʰi5	
棅	piaŋ5	
棇	tsʰuŋ1	
棉	mien2	
棊	kʰi2	
棋	kʰi2	
棌	tsʰai3	
棍	kun5	
棑	pʰai2	
棒	pʰoŋ5	
棕	tsuŋ1	
棖	tsʰen2	
棗	tsau3	
棘	kit7	
棙	lui5	
棚	pʰaŋ2	
棜	i5	
棞	kʰun5	
棟	tuŋ1	
棟	tuŋ3	
棟	tuŋ5	
棠	tʰoŋ2	
棡	moŋ1	
棣	tʰi5	
棧	tsʰan5	
棨	kʰi3	
棫	vet7	
棬	kʰian1	
森	sem1	
棱	lin2	
棲	tsi1	
棵	kʰo3	
棷	tseu1	
棸	tseu1	
棹	tsok7	
棺	kuon1	
棼	fun1	
棿	ȵi2	
椀	von3	
椁	kuok7	
椄	tsiap7	
椅	i3	
椉	ʃin1	
椊	tsut7	
椌	kʰioŋ1	
植	tʃʰit8	
椎	tʃʰui2	
椏	a1	樹~，樹杈。手指~，手指間隙。
椏	va1	
椐	ki1	
椑	pi1	
椒	tsiau1	
椓	tok7	
椰	ia2	
椰	iai2	
椰	ie2	
椳	voi1	
椴	tʰon3	
椴	tʰon5	
椵	ka5	
椶	tsuŋ1	
椷	kʰiam2	
椸	i2	
椹	tʃim1	
椽	ian2	
椿	tʃʰun1	
楂	tsʰa2	
楄	pʰien1	
楅	pit7	
楅	fuk7	
楉	iok8	
楊	ioŋ2	
楎	fi1	
楎	fui1	
楒	sɿ1	
楒	se1	
楓	fuŋ1	
楔	siap8	
楕	tʰo3	
楖	tsiet7	
楗	kʰian5	
楘	muk7	
楙	meu5	
楚	tsʰɿ3	
楚	tsʰo3	
楚	tʃʰui3	
楛	fu5	
楜	fu2	
楝	lien5	
楞	lin2	
楠	nem3	【替字】一種水果。當~子，又叫當泥、當蓮。
楡	i2	
楢	iu2	
楢	iu3	
楣	mi2	
楤	tsʰuŋ1	
楦	sien5	
楨	tʃin1	
楩	pʰien1	
楪	iap8	
楫	tsiap7	
楬	kiet7	
業	niap8	
楮	tʃʰu3	
楮	ʃu3	
楯	tʰun3	
楳	moi2	
楴	tʰi5	
楴	ti5	
極	kʰit8	
楷	kiai1	
楸	tsʰiu1	
楹	in2	
楺	iu2	
概	kʰoi3	
楡	i5	
榎	ka5	
榓	met8	
榔	loŋ2	
榕	iuŋ2	
榛	tsin1	
榜	poŋ3	
榤	kʰiet8	
榥	foŋ3	
榨	tsa5	
榪	ma5	
榫	sun3	
榬	ian2	
榭	sia1	
榭	tsʰia5	
榮	in2	
榮	iuŋ2	
榯	ʃɿ2	
榱	soi1	
榴	liu2	
榹	sɿ1	
榻	tʰap7	
榼	kʰap7	
榾	kut7	
槀	kau3	
槁	kau3	
槃	pʰan2	
槄	tʰau1	
槅	kak7	
槇	tien1	
槈	neu5	
槊	sok7	
構	keu5	
槌	tʃʰui2	
槍	tsʰioŋ1	
槎	tsʰa1	
槐	fai2	
槓	kuŋ5	
槢	sip8	
槤	lien2	
槥	sui5	
槧	tsʰiam5	
槨	kuok7	
槭	tsʰuk7	
槮	sem1	
槵	fam5	
槷	ȵet7	
槽	tsʰau2	
槽	tsʰo2	
樀	tit7	
樁	tʃuŋ1	
樂	lok8	
樂	ŋau5	
樂	ŋok8	
樅	tsʰiuŋ2	
樆	li2	
樏	lui3	
樑	lioŋ2	
樒	met8	
樓	leu2	
樔	tsʰau2	
樕	suk7	
樖	pʰo1	
標	piau1	
樚	luk8	
樛	keu1	
樜	tʃa5	
樞	kʰi1	
樟	tʃoŋ1	
樠	man2	
模	mu2	
樣	nioŋ5	
樣	ioŋ5	
樵	tsiau1	
樷	tsʰuŋ2	
樸	pʰok7	
樹	ʃu5	
樺	fa2	
樺	fa5	
樽	tsun1	
樿	tʃan5	
橄	kam3	
橇	kʰiau1	
橈	niau2	
橈	nau5	
橈	nau2	
橋	kʰiau2	
橐	tʰok7	
橔	tun1	
橔	tun3	
橕	tsʰaŋ5	
橘	kit7	
橙	tʃʰaŋ2	
橚	siau1	
橝	tʰam2	
機	ki1	
機	kia2	【替字】泥塑。人公~，人偶娃娃。
橡	sioŋ5	
橢	tʰo3	
橤	lui3	
橧	tsen1	
橫	vaŋ2	
橫	vaŋ5	
橫	voŋ2	
橰	kau1	
檀	tʰan2	
檁	lim3	
檃	iun3	
檄	kit7	
檉	ʃin5	
檏	pʰok7	
檐	iam2	
檑	lui2	
檔	toŋ5	橫木。窗桄咹長愛加條橫~，窗框這麼長要加條橫檔。
檖	sui5	
檗	pak7	
檘	pak7	
檛	kʰo1	
檜	kʰuai5	
檟	ka5	
檠	kin3	
檢	kiam3	
檣	sioŋ2	
檥	ȵi5	
檬	muŋ2	
檯	tʰoi2	
檳	pin1	
檸	nen2	
檻	kam5	
檻	lam3	
檼	iun3	
檽	neu5	
櫂	tsʰau5	
櫃	kʰui5	
櫈	ten5	
櫌	iu2	
櫓	lu1	
櫕	tson1	
櫚	li1	
櫛	tsiet7	
櫜	kau1	
櫝	tʰuk8	
櫞	ian2	
櫟	lit8	
櫟	iok8	
櫟	lep7	
櫧	tʃu1	
櫨	lu2	
櫪	lit8	
櫫	tʃu1	
櫬	tsʰaŋ5	
櫯	sɿ1	
櫳	luŋ2	
櫻	in1	
櫽	iun3	
欀	sioŋ1	
欃	tsʰam2	
欄	lan2	
權	kʰian2	
欋	kʰi1	
欏	lo2	
欑	tson1	
欒	lan2	
欓	toŋ5	橫木。窗桄咹長愛加條橫~，窗框這麼長要加條橫檔。
欛	pa5	
欝	iut7	
欞	lin2	
欠	kʰiam5	
次	tsʰɿ5	
欣	hiun1	
欨	hi1	
欱	hap8	①小量飲嘗。~一口酒。②吸收、聚集。~倒臭味，臭氣熏天難以呼吸。③【文】同「喝」。
欲	iuk8	
欵	kʰuan3	
欵	kʰuan5	
欷	hi1	
欸	ai1	
欹	i1	
欺	kʰi1	
欽	kʰim1	
款	kʰuan3	
欿	kʰam1	
歁	kʰam3	
歂	tʃʰon3	
歃	tsʰap7	
歆	him1	
歆	him5	
歇	het8	【替字】本字應是「域」。住。
歇	hiet7	
歉	kʰiap7	
歊	hau2	蒸汽蒸。煲藥等佢~下子，煲藥讓蒸汽多蒸一下。
歌	ko1	
歌	ko2	
歎	tʰan5	
歐	eu1	
歗	siau5	
歙	hiak8	~倒風，受風感冒。
歙	hiap8	【替字】吸。~石，磁鐵。~倒風，受風感冒。
歛	liam1	
歛	lien1	
歟	i2	
歡	fon1	
歡	fan1	
止	tʃɿ3	
正	tʃaŋ1	
正	tʃaŋ5	
正	tsaŋ5	
正	tʃin5	
正	tsen5	
此	tsʰɿ3	
步	pʰu5	
武	vu1	
歪	fe3	【替字】
歪	vai1	
歮	sep7	
歰	sep7	
歲	se5	
歲	soi5	
歲	sui5	
歷	lak8	
歷	lit8	
歸	kui1	
歹	tai3	
歺	tai3	
死	si3	
歾	mut8	
歿	mut8	
歿	mut7	
殀	iau1	
殂	tsɿ1	
殃	ioŋ1	
殄	tʰien3	
殆	tʰai5	
殉	sun2	
殊	ʃu2	
殊	tʃʰu2	
殍	pʰiau3	
殔	i5	
殖	tʃʰit8	
殘	tsʰan2	
殙	fun1	
殞	iun3	
殟	vut7	
殣	kiun3	
殤	ʃoŋ1	
殨	kʰui5	
殪	i5	
殫	tan1	
殬	tu5	
殭	kioŋ1	
殮	liam5	
殯	pin5	
殰	tʰuk8	
殲	siam2	
殳	ʃu2	
段	tʰon3	
殷	in1	
殺	sat7	
殺	sat8	
殼	hok7	
殽	ŋau2	
殿	tʰien5	
毀	kʰui3	
毀	fui1	
毄	kit7	
毅	ȵi5	
毆	eu3	
毉	i1	
毋	vu1	
母	mu1	
每	mi1	
每	mui1	
毐	ai1	
毒	tʰuk8	
毓	iuk7	
比	pi3	
毖	pi5	
毗	pʰi2	
毘	pʰi2	
毚	tsʰam2	
毛	mau1	
毣	muk7	
毦	ȵi5	
毨	sien3	
毫	hau2	
毬	kʰiu2	
毯	tʰan3	
毱	kʰiuk7	
毳	tsʰui5	
毸	soi1	
毻	tʰo3	
毼	hot8	
毽	kian3	
毾	tʰap7	
氂	li2	
氃	tʰuŋ2	
氄	iuŋ2	
氅	tʃʰoŋ3	
氈	tʃan1	
氊	tʃan1	
氌	lo2	
氎	tʰiap8	
氏	ʃɿ5	
氐	ti1	
氐	ti3	
民	min2	
氓	men2	
氛	fun1	
氜	ioŋ2	
氣	hi5	
氣	kʰi5	
氤	in1	
氳	vun1	
水	ʃui3	
氷	pen1	
永	iun3	
氼	nit8	
氾	fam5	
氿	kui3	
汀	tʰin1	
汁	tʃip7	
求	kʰiu2	
汆	tʰun3	
汊	tsʰa1	
汋	tʃok7	
汋	ʃok7	
汎	fam5	
汐	sip8	
汒	moŋ2	
汔	hit7	
汔	ȵet7	
汕	san5	
汗	hon5	
汙	vu1	
污	vu1	
汛	sin3	
汛	ian2	
汝	ni3	
汞	fuŋ3	
江	koŋ1	
池	tʃʰɿ2	
池	tʃʰi2	
汨	met7	
汨	mi5	
汩	kut7	
汪	voŋ1	
汪	moŋ1	
汭	nui5	
汰	tʰai5	
汲	kep7	
汲	kʰip7	
汶	vun2	
汶	vun5	
汶	lun3	
汸	pʰoŋ2	
汹	hiuŋ1	
決	kiet7	
汽	hi5	
沂	kʰi2	
沃	vok7	
沃	iau2	
沄	iun2	
沆	kʰoŋ5	
沇	ian3	
沈	tʃʰim2	
沈	tʃʰim5	
沉	tʃʰim2	
沌	tʰun5	
沏	tsʰiet7	
沐	muk8	
沒	mut8	
沓	tʰap8	
沔	mien3	
沕	vut7	
沖	tʃʰuŋ1	
沖	tʃʰuŋ5	
沗	tʰiam1	
沙	sa1	
沚	tʃɿ3	
沛	pʰi5	
沛	pʰai5	
沜	pʰan5	
沫	mat8	
沬	moi5	
沬	mi2	
沮	tsɿ5	
沰	tuk8	
河	ho2	
沴	tʰien5	
沸	pi5	
沸	pui5	
油	iu2	
治	tʃʰɿ5	
治	tʃʰi5	
沼	tʃau5	
沽	ku1	
沾	tʃam1	
沿	ian2	
況	kʰuoŋ3	
泂	kuen3	
泄	siet7	
泄	i5	
泅	tsʰiu2	
泅	siu2	
泆	it8	
泉	tsʰan2	
泊	pʰok7	
泌	pi5	
泌	pit7	
泐	lit8	
泑	iu5	
泒	pʰai5	
泓	fen2	
泔	kam1	
法	fap7	
泗	si5	
泙	fin2	【替字】邊緣。溪~。海~。
泚	tsʰɿ3	
泛	fam5	
泡	pʰau1	
泡	pʰau5	
泡	pʰo2	
波	po1	
波	po5	
泣	kʰip7	
泥	nai2	
注	tʃu5	
淚	lui5	
泫	hien2	
泬	hiet8	
泭	fu2	
泮	pʰan5	
泰	tʰai5	
泱	ioŋ1	
泲	tsi5	
泳	iun3	
泿	kem2	【替字】水被攪動時發出的聲音。
泿	kem5	【替字】東西投入水中的聲音。籃子~淨來，籃子浸入水中洗乾淨。
洂	it8	
洄	fi2	
洄	fui2	
洇	in1	
洊	tsien5	
洋	ioŋ2	
洌	liet8	
洎	kʰoi3	
洏	i2	
洒	ʃa3	
洒	sa3	
洔	tʃɿ3	
洗	se3	
洚	koŋ5	
洛	lok8	
洞	tʰuŋ5	
洞	tʰuŋ3	
洟	i2	
洤	tsʰan2	
津	tsin1	
洩	siet7	
洩	siet8	
洩	tsit8	
洪	fuŋ2	
洫	sit7	
洬	siuk7	
洮	tʰau2	
洲	tʃu1	
洲	tʃiu1	
洴	pʰin2	
洵	sun2	
洶	hiuŋ1	
洸	kuoŋ1	
洹	ian2	
活	fat8	
洽	kiap7	
洽	hap8	【替字】同「合」。契~。
派	pʰai5	
洿	vu1	
流	liu2	
浖	lot7	
浙	tsat7	
浚	tsun5	
浜	pin1	
浞	tsok7	
浡	pʰut8	
浡	put7	
浣	fon5	
浣	fan5	
浣	van2	
浥	ip7	
浦	pʰu3	
浩	hau5	
浩	hau3	
浪	loŋ1	
浪	loŋ5	
浮	feu2	
浴	niok7	
浴	iok8	~堂，浴室。
浴	iuk8	
浴	liuk7	
海	hoi3	
浸	tsim5	
浹	kiap7	
涅	niap7	
涇	kin1	
消	siau1	
涉	ʃap8	
涉	hiap8	
涌	iuŋ3	
涎	lan1	【替字】口水。
涎	ian2	
涓	kian1	
涔	tsʰem2	
涔	tsʰim2	
涕	tʰi5	
涖	li5	
涘	sɿ5	
涬	hen5	
涯	ŋai2	
液	ie2	【替字】黏滑。鼻~，鼻涕。lan1 ki2~，蝸牛或蛞蝓的黏液。
液	it8	
涴	van3	
涵	ham2	
涶	tʰui5	
涷	tuŋ1	
涷	tuŋ5	
涸	hok7	
涸	kʰok7	
涹	vi1	
涹	vui1	
涼	lioŋ2	
涽	men3	
涿	tuk7	
淀	tʰien5	
淂	tet7	
淅	sit7	
淅	tʃat7	
淆	ŋau2	
淈	kut7	
淋	lim2	
淌	tʃʰoŋ3	
淑	ʃuk7	
淑	siuk7	
淒	tsʰi1	
淖	nau5	
淘	tʰau2	
淙	tsʰuŋ1	
淙	tsʰuŋ2	
淚	lui5	
淜	pʰen2	
淜	paŋ2	
淞	siuŋ1	
淞	tsʰiuŋ2	
淟	tʰien3	
淠	pʰi5	
淡	tʰam1	
淡	tʰam5	
淢	vet7	
淤	i1	
淥	luk8	
淦	kam5	
淨	tsʰiaŋ5	
淩	lin2	
淪	lun2	
淫	im2	
淬	tsʰui5	
淮	foi2	
淰	niam5	
深	tʃʰim1	
淲	piau1	
淳	ʃun2	
淵	ian1	
混	fun3	
淹	iam3	
淹	iam1	
淺	tsʰien3	
添	tʰiam1	
淼	miau3	
淸	tsʰiaŋ1	
淸	tsʰin1	
渙	fon5	
渚	tu3	
減	kam3	
渜	non3	
渝	i2	
渠	kʰi2	
渡	tʰu5	
渢	fuŋ1	
渣	tsa1	
渤	pʰut8	
渥	vok7	
渧	ti5	
渨	voi1	
溫	vun1	
渫	siet7	
測	tsʰet7	
渭	vi5	
渭	vui5	
渮	ho2	
港	koŋ3	
渰	iam3	
渰	iam1	
渴	hat8	
渴	hot7	
游	iu2	
渹	vaŋ2	
渹	vaŋ1	
渺	miau3	
渾	fun2	
渾	von2	
湃	pʰai5	
湄	mi2	
湅	lien5	
湉	tʰiam2	
湊	tsʰeu5	
湍	tʰam1	
湎	mien3	
湏	moi5	
湑	si1	
湓	pʰun1	
湓	pʰun2	
湓	pʰut8	
湔	tsien1	
湖	fu2	
湘	sioŋ1	
湛	tam1	
湜	tʃʰit8	
湢	pit8	
湢	pit7	
湧	iuŋ3	
湩	tuŋ3	
湫	tsiu1	
湭	tsʰiu2	
湮	in1	
湯	tʰoŋ1	
湱	vak8	
湲	ian2	
湻	ʃun2	
湼	niap7	
源	nian2	
溓	liam3	
溔	iau5	
準	tʃun3	
溘	kʰap7	
溙	tʰai5	
溚	tap7	
溛	va1	
溜	liu1	
溜	liu3	
溜	liu5	
溜	tʰiu5	
溝	keu1	
溞	sau1	
溟	men2	
溢	it7	
溥	pʰu3	
溦	mi2	
溪	hai1	
溪	kʰe1	
溫	vun1	
溫	vun2	
溫	mun1	
溯	sok7	
溯	ʃok7	
溰	kʰi2	
溱	tsin1	
溲	seu1	
溳	iun3	
溶	iuŋ2	
溷	fun5	
溺	nit8	
溼	ʃip7	
溽	iuk8	
滂	pʰoŋ2	
滃	vuŋ3	
滄	tsʰoŋ1	
滅	met8	
滇	tien1	
滋	tsɿ1	
滌	tʰit7	
滑	vat8	
滓	tsai3	
滔	tʰau1	
滕	tʰen2	
滖	se5	
滙	fi5	
滙	fui3	
滫	siu1	
滬	fu5	
滭	pit7	
滮	piau1	
滯	tʃʰe5	
滲	tsam5	
滴	tit8	
滴	tit7	
滴	sit7	
滷	lu1	
滸	fu3	
滻	san3	
滾	kun3	
滿	man1	
滿	nem1	【替字】
漁	ŋ̍2	
漂	pʰiau2	
漂	pʰiau5	
漂	piau1	
漄	ŋai2	
漆	tsʰit7	
漉	luk8	
漊	leu3	
漏	leu5	
漑	kʰoi3	
漓	li2	
演	ian3	
漕	tsau5	
漕	tso5	
漕	tsʰau2	
漘	ʃun2	
漙	tʰon2	
漚	eu5	長時間存放。~壞，放壞變質。
漠	mok7	
漢	hon5	
漣	lien2	
漤	lam3	
漥	va1	
漦	li2	
漨	fuŋ2	
漩	sien2	
漪	i1	
漫	man5	
漬	tsi5	
漬	tsɿ5	
漭	moŋ5	
漰	pʰen2	
漰	paŋ2	
漱	seu5	
漲	tʃoŋ5	
漲	tsoŋ5	
漴	tsʰuŋ1	
漸	tsʰiam5	
漻	liau2	
漼	tsʰui1	
漾	ioŋ5	
漿	tsioŋ1	
漿	tsioŋ3	
潁	in3	
潎	pi5	
潏	kiet7	
潑	pʰat8	
潑	piak8	
潒	tʰoŋ3	
潒	ioŋ5	
潒	sioŋ5	
潔	kiet7	
潗	sip8	
潗	tsʰip8	
潘	pʰan2	
潚	siuk7	
潛	siam2	
潝	hip7	
潟	sit7	
潠	sun5	
潤	iun5	
潦	lau5	
潬	tʰan1	
潭	tʰam2	
潮	tʃʰau2	
潯	tsʰim2	
潰	kʰui5	
潲	sau5	
瀦	tʃu1	
潷	pit7	
潹	tsan1	
潺	tsan1	
潼	tʰuŋ2	
潼	kʰui5	
潾	lin2	
澀	sep7	
澁	sep7	
澄	tʃʰin2	
澆	hiau1	
澇	lau5	
澉	kam5	
澌	sɿ1	
澍	tʃu5	
澍	ʃu5	
澎	pʰaŋ2	
澐	iun2	
澑	liu5	
澒	fuŋ3	
澗	kian3	
澡	tsau3	
澣	fon5	
澣	fan5	
澤	tsʰet8	
澥	hai5	
澨	tʃʰɿ5	
澨	tʃʰi5	
澩	hok7	
澭	iuŋ1	
澮	kʰuai5	
澰	liam3	
澱	tʰien5	
澳	au5	
澹	tʰam3	
澼	pʰit7	
澾	tat7	
激	kit7	
濁	tʃʰuk8	
濁	tʃʰok8	
濂	liam2	
濃	niuŋ2	
濃	niuŋ5	
濆	fun2	
濇	sep7	
濈	sip8	
濈	tsʰip8	
濊	ve5	
濔	ni2	
濕	ʃip7	
濘	nen5	
濙	iuŋ2	
濛	muŋ2	
濜	tsʰin5	
濞	pʰi5	
濞	pʰui5	
濟	tsi5	
濠	hau2	
濡	si1	
濤	tʰau2	
濩	vok7	
濫	lam5	
濭	ai5	
濯	tsʰok7	
濱	pin1	
濳	siam2	
濵	pin1	
濺	tsʰien5	
濽	tsʰan5	【替字】①生長出。~筍。②翻湧。水花~天，水花飛濺。
濾	li5	
瀁	ioŋ5	
瀂	lu1	
瀆	tʰuk8	
瀉	sia5	
瀋	ʃim3	
瀏	liu2	
瀑	pʰau5	
瀕	pin1	
瀚	hon5	
瀛	in2	
瀜	iuŋ2	
瀝	lak8	
瀟	siau1	
瀡	sui3	
瀣	hai5	
瀧	luŋ2	
瀨	lai5	
瀯	in2	
瀰	ni2	
瀵	pun5	
瀷	it8	
瀸	siam2	
瀹	iok8	
瀼	sioŋ1	
瀾	lan2	
灂	tsio5	
灉	iuŋ1	
灌	kuon5	
灑	ʃa3	
灑	sa3	
灒	tsʰan5	【替字】①生長出。~筍。②翻湧。水花~天，水花飛濺。
灕	li2	
灘	tʰan1	
灢	noŋ5	
灣	van1	
灨	kam5	
火	fo3	
灰	foi1	
灸	kiu5	
灹	tsa5	
灺	sia3	
灼	ʃok8	
災	tsai1	
災	tsʰoi1	
炁	hi5	
炂	tʃuŋ1	
炃	fun2	
炊	tʃʰui1	
炊	tʃʰoi1	
炎	iam2	
炒	tsʰau3	
炕	kʰoŋ5	
炘	hiun1	
炙	tʃak7	
炤	tʃau1	
炧	tʰo3	
炨	tʰo3	
炫	hien5	
炬	ki3	
炭	tʰan5	
炮	pʰau5	
炯	kuen3	
炰	pʰau5	
炱	tʰoi2	
炳	piaŋ3	
炵	tʰuŋ1	
炷	tʃu5	
炸	tsa5	
爲	vi2	
爲	vui2	
爲	vi5	
爲	vui5	
烈	liap8	
烈	liet8	
烊	ioŋ5	
烋	hau1	
烏	vu1	
烔	tʰuŋ2	
烕	met8	
烘	fuŋ1	
烙	lok8	
烜	sien1	
烝	tʃin1	
烟	ian1	
烤	kʰau3	
烰	feu2	
烳	pʰu2	
烹	pʰen1	
烺	laŋ5	
烺	loŋ5	
烽	fuŋ1	
焄	hiun1	
焅	kʰau5	
焇	siau1	
焉	ian1	
焉	ian2	
焊	hon5	
焌	tsun5	
焚	fun2	
焜	fun5	
焞	tun1	
焠	tsʰui5	
無	vu2	
焦	tsiau1	
焬	it8	
焭	kʰiun2	
焰	iam5	
焰	liam5	
焱	iam5	
焲	it8	
焴	iuk7	
焵	koŋ5	
然	ian2	
煁	ʃim1	
煅	ton5	
煅	tʰon5	
煇	fi1	
煇	fui1	
煉	lien5	
煋	sen1	
煌	foŋ2	
煎	tsien1	
煏	pit8	
煏	pet7	
煒	vi3	
煒	vui3	
煖	non1	
煗	nun1	
煙	an1	燻。~死人个，燻死人的。
煙	ian1	
煜	iuk7	
煞	sat7	
煢	kʰiun2	
煣	iu2	
煤	moi2	
煥	fon5	
煦	hi1	
照	tʃau5	
煨	voi1	
煩	fan2	
煬	ioŋ5	
煮	tʃu3	
煲	po1	
煲	pau1	
煳	fu2	
煺	tʰui5	
煻	tʰoŋ2	
煼	tsʰau3	
煽	ʃan5	
熄	sit7	
熇	hok7	烘烤。~魚，烤魚。~㷮鞋，烤乾鞋。
熇	kʰok7	
熊	iuŋ2	
熌	ʃam3	
熌	iam3	
熏	hiun1	
煕	hi1	
熚	pit7	
熛	piau1	
熝	luk8	
熟	ʃuk8	
熟	siuk7	
熨	vut7	
熨	iun5	
熬	ŋau2	
熯	hon5	
熰	eu5	①持久燒。~灰。②燻。~狐狸。
熱	ȵet8	
熶	tsʰon5	
熹	hi1	
熺	hi1	
熻	hip7	①燜。~燒，燜熱。~汗。②【重定向】欺壓、傷害。~人，欺負人。
熾	tʃɿ5	
燀	ʃan5	
燁	iap7	
燂	tʰam2	
燃	ian2	
燄	iam5	
燈	ten1	
燉	tun1	
燋	tsiau1	
燎	liau5	
燐	lin2	
燑	tʰuŋ2	
燒	ʃau1	
燔	fan1	
燕	ian5	
燖	tsʰim2	
燙	tʰoŋ5	
營	iaŋ2	
營	in2	
燠	iuk7	
燢	kok7	
燣	lam3	
燥	tsau1	【替字】本字可能是「焦」，俗寫「㷮」。乾燥。
燦	tsʰan5	
燧	sui3	
燬	kʰui3	
燬	fui1	
燭	tʃuk7	
燮	siet7	
燹	sien3	
燻	hiun1	
燼	tsin5	
燿	iau5	
爁	lam3	
爆	pau5	
爇	ȵet8	
爊	pʰiau1	
爊	au1	
爍	ʃok8	
爐	lu2	
爓	iam5	
爚	iok7	
爛	lan5	
爝	tsiok7	
爞	tʰuŋ1	
爟	kuon5	
爥	tʃuk7	
爪	tsau3	
爪	tsau1	
爬	pʰa1	
爬	pʰa2	
爭	tsaŋ1	
爭	tsen1	
爰	ian1	
爲	vi2	
爲	vui2	
爵	tsiok7	
父	fu5	
爸	pa1	
爹	tia1	
爺	ia2	
爻	ŋau2	
爼	tsɿ3	
爽	soŋ3	
爾	ni3	
爿	pʰan5	
爿	tsʰioŋ2	
爿	sioŋ2	
牀	tsʰoŋ2	
牁	ko1	
牂	tsoŋ1	
牆	sioŋ2	
片	pʰien3	
版	pan3	
牉	pʰan5	
牋	tsien1	
牌	pʰai2	
牐	tsʰap7	
牒	tʰiap8	
牓	poŋ3	
牕	tsʰuŋ1	
牖	iu3	
牘	tʰuk8	
牙	ŋa2	
牚	tsʰaŋ5	
牛	niu2	
牛	nieu2	
牝	pʰin3	
牟	meu2	
牡	meu3	
牢	lau2	
牧	muk8	
物	vut8	
牮	tsien5	
牯	ku3	
牲	saŋ1	
牲	sen1	
牳	muk8	
牴	ti3	
牶	kʰian5	
牷	tsʰien2	
牸	tsʰɿ5	
牸	tsʰi5	
特	tʰit8	
牽	kʰian1	
牽	kʰian5	
牾	ŋ̍3	
牿	kuk7	
犀	si1	
犁	lai2	
犂	lai2	
犅	koŋ1	
犇	pun1	
犉	ʃun2	
犍	kian1	
犒	kʰau5	
犗	kiai5	
犝	tʰuŋ2	
犢	tʰuk8	
犧	hi1	
犨	tʃʰu2	
犨	tʃʰiu2	
犫	tʃʰu2	
犫	tʃʰiu2	
犬	kʰian3	
犮	pʰat8	
犯	fam5	
犲	sai2	
犴	kon1	
犺	kʰoŋ3	
犼	kʰeu5	
狀	tsʰoŋ5	
狁	iun3	
狂	kʰoŋ2	
狃	niu3	
狄	tʰit8	
狉	pʰi1	
狎	ap7	
狐	fu2	
狗	keu3	
狙	tsɿ1	
狠	hen3	同「很」。
狠	hen2	【替字】①繃得緊實。繃~，拉緊。②猛烈、旺盛。火忒~，火太猛。
狠	kʰen3	【替字】①本字應是「譴」。責備。~責。②本字應是「懇」。刺激、憤怒。fat7~，發怒、極度不滿/努力勤奮工作。
狡	kau3	
狤	kit7	
狥	sun2	
狩	ʃu3	
狩	ʃiu3	
狫	lau3	
狶	hi1	
狷	kian5	
狸	li2	
狹	hap8	窄。忒~。
狹	kʰiap8	
狺	niun2	
狻	son1	
狻	so1	
狼	loŋ2	
狽	pi5	
狽	pui5	
猊	ȵi2	
猋	piau1	
猔	tsuŋ5	
猖	tʃʰoŋ1	
猗	i1	
猙	tsen1	
猛	maŋ1	
猜	tsʰai1	
猝	tsʰut7	
猢	fu2	
猥	voi1	
猩	sen1	
豬	tʃu1	
貓	miau5	
猬	vi5	
猬	vui5	
猭	tʃʰon5	
猰	tsap7	
猲	hiet7	
猳	ka1	
猴	heu2	
猶	iu2	
猷	iu2	
猻	sun1	
猾	vat8	
獄	niuk8	
獅	sɿ1	
獌	man2	
獍	kin5	
獎	tsioŋ3	
獑	tsʰam2	
獒	ŋau2	
獗	kʰiet7	
獘	pi5	
獠	liau5	
獨	tʰuk8	
獪	kʰuai5	
獫	hiam3	
獬	hai5	
獮	sien3	
獯	hiun1	
獰	nen2	
獱	pin1	
獲	fet8	
獳	neu5	
獵	liap8	
