#漢字	音標	解釋
孵	fu5	孵小鸡
孽	niɤ5	
寧	niŋ5	宁可
寧	niŋ2	安宁，沪宁
宅	tsai1	
宇	y5	
守	ʂou2	
安	an1	
宋	suŋ5	
完	van2	
宏	xuɤŋ2	
宕	taŋ5	延宕
宗	tsuŋ1	
官	kuan1	
宙	tʂou1	
定	tiŋ5	
宛	van2	
宜	i5	
寶	pau2	
實	ʂʅ2	
寵	tʂʰuŋ2	
審	ʂɤŋ2	
客	kʰɤ5	
宣	ɕyan1	
室	ʂʅ5	
宦	xuan5	
宪	ɕyan1	
宮	kuŋ1	
宰	tsai2	
害	xai5	
宴	ian5	
宵	ɕiau1	
家	tɕia1	
容	ʐuŋ2	
寬	kʰuan1	
賓	piŋ1	
宿	ɕy5	
宿	ɕiou5	星宿
寂	tɕi5	
寄	tɕi5	
寅	iŋ2	
密	mi5	
寇	kʰou5	
富	fu5	
寐	mei2	
寒	xan2	
寓	y1	
寢	tɕʰiŋ2	
寞	mɤ5	
察	tsʰa2	
寡	kua2	
寥	liau2	
寨	tsai5	
寸	tsʰuŋ5	
對	tuei5	
寺	sɿ5	
尋	ɕyŋ2	
導	tau2	
壽	ʂou5	
封	fɤŋ1	
射	ʂɤ5	
將	tɕiaŋ5	大将
將	tɕiaŋ1	将来
尊	tsuŋ1	
小	ɕiau2	
少	ʂau2	多少
少	ʂau5	少年
尔	ɚ2	
尖	tɕian1	
塵	tʂʰɤŋ2	
尚	ʂaŋ5	
嘗	tʂʰaŋ2	
尤	iou2	
尥	liau2	马尥蹶子
堯	iau2	
尬	ka2	尴尬
就	tɕiou5	
尷	kan1	尴尬
屍	ʂʅ1	
尹	iŋ2	
尺	tʂʰʅ5	
尼	ȵi1	
尽	tɕiŋ5	
尽	tɕiŋ5	尽前
尾	vei2	
尿	ȵiau5	
局	tɕy2	
屁	pʰi5	
層	tsʰɤŋ2	
居	tɕy5	
屈	tɕʰy1	
屉	tʰi1	抽屉，笼屉
屆	tɕiɤ5	
屋	vu1	
屎	sɿ2	
屐	tɕi1	木屐
屑	ɕiɤ5	不屑
屑	ɕiɤ5	木屑
展	tʂan2	
屏	pʰiŋ2	围屛
屬	ʂu2	
屠	tʰu2	
屢	ly2	
履	ly5	
屯	tʰuŋ2	
山	san1	
歲	suei5	
豈	tɕʰi2	
岐	tɕʰi2	
岑	tsʰɤŋ2	
岔	tsʰa5	三岔路
崗	kaŋ2	
島	tau2	
巖	ian2	
嶺	liŋ2	
岳	yɤ5	
岸	ŋan5	
峽	ɕia2	
峰	fɤŋ1	
崇	tʂʰuŋ2	
崔	tsʰuei1	姓
崖	ia2	山崖
崩	pɤŋ1	
嵌	tɕʰian1	
嵩	suɤŋ1	
川	tʂʰuan1	
州	tʂou1	
巡	ɕyŋ2	
巢	tsʰau1	
工	kuŋ1	
左	tsuo2	
巧	tɕʰiau2	
巨	tɕy5	
鞏	kuŋ2	巩固
巫	vu1	
差	tsʰai1	出差
差	tsʰɿ1	参差
差	tsʰa1	差别，差不多
己	tɕi2	
已	i5	
巴	pa1	
巷	ɕiaŋ5	
巾	tɕiŋ1	
幣	pi5	
市	sɿ5	
布	pu5	
帥	ʂuai5	
帆	fan1	
師	sɿ1	
希	ɕi1	
帳	tʂaŋ5	
帕	pʰa2	
帖	tʰiɤ5	碑帖，请帖
帘	lian2	
帚	tʂu5	
帛	pɤ2	
帝	ti5	
帶	tai5	
席	ɕi2	
幫	paŋ1	
常	tʂʰaŋ2	
帽	mau5	
幅	fu5	
幔	man5	
幕	mu5	
干	kan1	
干	kan5	
干	tɕʰian2	乾坤
干	kan1	干湿
平	pʰiŋ2	
年	ȵian2	
并	piŋ5	
幸	ɕiŋ5	
幻	xuan5	
幼	iou1	
幽	iou1	
廣	kuaŋ2	
莊	tʂuaŋ1	
慶	tɕʰiŋ5	
庇	pi5	
牀	tʂʰuaŋ2	
序	ɕy5	
廬	lu2	茅庐，庐山
庫	kʰu5	
應	iŋ1	应当，应用
應	iŋ5	应对，响应
底	ti2	
店	tian5	
廟	miau5	
庚	kɤŋ1	
府	fu2	
龐	pʰaŋ2	
廢	fei5	
度	tu5	
座	tsuo5	
庭	tʰiŋ2	
庵	an1	
庶	ʂu2	
康	kʰaŋ1	
庸	yŋ1	
廉	lian2	
廊	laŋ2	
廓	kʰuo5	
廖	liau2	姓
延	ian2	
廷	tʰiŋ2	
建	tɕian5	
開	kʰai1	
异	i2	
弃	tɕʰi5	
弄	nuŋ5	
弊	pi5	
式	ʂʅ5	
弓	kuŋ1	
引	iŋ2	
弘	xuɤŋ2	
弟	ti5	
張	tʂaŋ1	
弥	mi2	
弦	ɕian2	
