#漢字	音標	解釋
□	kuɑʔ7	kuɑʔ7開,表示“裂開”
虧	cʰy1	1吃虧
虧	kʰue1	2虧空
虱	səʔ7	
虹	ɦuŋ2	
蚊	mʌn2	
蚌	bɒŋ6	
蚣	kuŋ1	
蛀	tsʮ5	
蛇	zo2	1
蛇	dzo2	2
蛋	dæ̃6	
蛛	tsʮ1	
蛤	kəʔ7	
蛾	ŋu2	
蜂	fuŋ1	
蜇	tsəʔ7	
蜈	u1	
蜋	lɒŋ2	
蜘	tsɿ1	
蜜	miʔ8	
蝕	zʌʔ8	1銹蝕
蝕	zəʔ8	2蝕本
蝗	ɦuɒŋ2	
蝙	piẽ1	
蝠	foʔ7	
蝦	hø̃1	
虱	səʔ7	
蝴	ɦu2	
蝶	diʔ8	
螄	sɿ1	
螳	dɒŋ2	
螺	lu2	
蟒	mɒŋ4	
蟮	zẽ4	
蟲	dzoŋ2	1
蟲	dzuŋ2	2
蟹	hɑ3	
蟻	ɲi4	
蠅	iʌŋ1	
蠍	ɕiʔ7	
蠟	læʔ8	
蠢	tsʰʌn1	
蠣	li2	
蠭	fuŋ1	
蠱	ku3	
蠲	ciø̃1	
蠶	zẽ2	1養蠶
蠶	dzẽ2	2大蠶,釋義爲“silk {Taysaam}”
蠻	mæ̃6	疑問語氣詞,飯用蠻,表示“吃過飯了嗎”
蠻	mæ̃1	程度副詞
血	ɕiøʔ7	1
血	ɕioʔ7	2破血經
血	çyəʔ7	3血脈
衆	tsoŋ5	1
衆	tsuŋ5	2
行	ɦɒŋ2	1修行
行	ɦiʌŋ2	2盡行勿好
行	ɦɑŋ2	3行爲
行	ɒŋ1	4行情
行	iɑŋ1	5頒行於世
行	iʌŋ1	6步行
行	iʌŋ5	7品行
行	hɑŋ1	那行能,表示“怎樣”
衍	iẽ3	
術	zəʔ8	
衖	loŋ6	1
衖	luŋ6	2
街	kɑ1	
衙	ŋɑ2	
衛	ɦue6	1
衛	ue1	2
衝	tsʰuŋ1	
衛	ɦue6	1
衛	ue1	2
衣	i1	
表	piɔ3	
衫	sæ̃1	
衰	se1	
袁	iø̃1	
袂	me6	1衣袂飄飄
袂	məʔ8	2衣袂飄飄
袈	kɑ1	
袋	de6	
袍	bɔ2	
袖	ziɤ6	1
袖	dziɤ6	2
袖	ziɤ2	3袖珍
被	bi6	1被褥
被	be6	2被告
被	bi2	3單被
袷	kæʔ7	
裁	dze2	
裂	liʔ8	1
裂	læʔ8	2豁裂
裊	ɲiɔ4	
裏	li4	1
裏	li2	2
裔	i5	
裙	ɟyn2	1
裙	ɟiʌn2	2紆裙
補	pu3	
裝	tsɒŋ1	
裟	so1	
裱	piɔ3	
裳	zɒŋ2	
裸	lu6	
裹	ku5	
製	tsɿ5	
複	foʔ7	
褒	pɔ1	
褡	tæʔ7	
褥	ɲiok8	
褲	kʰu5	
褳	liẽ2	
褻	siʔ7	
襖	ɔ3	
襟	ciʌn1	1衣裳襟
襟	ciʌŋ1	2襟頭
襪	mæʔ8	
襯	tsʰʌŋ5	
襲	ziʔ8	
西	si1	
要	iɔ5	1
要	iɔ1	2總要用心
見	ciẽ5	1看見
見	ciẽ1	2看見
規	kue1	
覔	miʔ8	
視	zɿ6	
親	tsʰiŋ1	
覺	kɔ5	1睏覺
覺	kɒk7	2覺着
覺	kɒʔ7	3覺着
觀	kuẽ1	
角	kɒk7	1射角
角	kɒʔ7	2角落頭
角	kok7	3
角	ciɑk7	4
解	kɑ3	1
解	ciɑ3	2
觸	tsʰoʔ7	
言	ɦiẽ2	1
言	iẽ1	2
訂	tiŋ5	
計	ci5	1計策
計	ci1	2計策
訊	sin5	1
訊	siŋ5	2
討	tʰɔ3	1
討	tʰɔ1	2討厭
訓	ɕyn5	1敎訓
訓	çyn5	2
訓	çyn1	3家訓
訖	ciʔ7	
託	tʰɒʔ7	
記	ci5	
記	ci5	記翼,表示“翅膀”
訛	ŋu2	
訟	zoŋ6	1
訟	zuŋ6	2
訪	fɒŋ3	
設	søʔ7	1假設
設	səʔ7	2設立
許	hɔ3	1幾許
許	hɔ5	2幾許
許	ho5	3幾許
許	he3	4
許	ɕy3	5應許
許	ɕy5	6應許
訴	su5	
註	tsʮ5	
証	tsʌŋ5	
詁	ku3	
詐	tso5	
詔	tsɔ5	1
詔	tsɔ1	2
詛	tsu3	1
詛	tsu5	2
詞	e1	
詞	ɔ1	
詞	tiŋ1	
詞	zɿ2	
詞	ɲi2	
詞	ɦie4	
詞	ɔ5	
詞	piʔ7	
詞	toŋ1	丁冬丁冬
詡	ɕy3	
試	sɿ5	1
試	sɿ3	2
詩	sɿ1	
詫	tsʰɑ5	
詭	kue3	1詭計
詭	kue5	2詭計
詭	ɡue4	4詭譎
詰	ciʔ7	
話	ɦuo6	1
話	uo5	2白話
話	ɦuo2	3話勿得
該	ke1	
詳	ziɑŋ2	
詼	hue1	
誆	kʰuɒŋ3	
誇	kʰuo1	
認	ɲiʌn6	1勿認
認	ɲiʌŋ6	2認真
認	ɲiʌn2	3勿認
誓	zɿ6	
誕	tæ̃5	
誘	ɦiɤ6	1引誘
誘	iɤ5	2引誘
誘	iɤ3	3誘惑
誚	ziɔ6	
語	e1	
語	ɔ1	
語	ɲy4	1
語	ɲi2	
語	ɲy6	2
語	ɦie4	
語	ɔ5	
誠	zʌŋ2	1誠心
誠	dzʌŋ2	2誠心
誡	kɑ5	
誨	hue5	
説	søʔ7	1
説	səʔ7	2
課	kʰu5	
誹	fi1	
調	diɔ2	1調料
調	diɔ6	2釋義爲“tune”
諂	tsʰẽ1	
談	dæ̃2	
諉	ue3	
請	tsʰiŋ3	
諒	liɑŋ6	
論	lʌn6	1勿論
論	lʌŋ6	2勿論
論	lʌn2	3論千論萬
諧	iæ̃1	詼諧
諫	ciẽ5	
諭	y5	
諱	hue5	
諳	ẽ3	
諷	fuŋ5	
諸	tsʮ1	
諺	ɲiẽ6	
謀	mɤ2	
謂	ɦue5	
謄	dʌŋ2	
謊	huɒŋ1	
謗	pɒŋ3	1
謗	pɒŋ5	2
謙	cʰiẽ1	
講	kɒŋ3	1講究
講	ciɑŋ3	2講經
謝	ziɑ6	
謡	ɦiɔ2	
謬	miɤ2	
謹	ciʌn3	1謹愼
謹	ciʌŋ3	2謹愼
謹	ciʌn1	3勤謹做事體plod
證	tsʌŋ5	
譎	ciøʔ7	
譏	ci1	
識	sʌk7	1識字
識	sʌʔ7	2
譜	pu3	1家譜
譜	pʰu3	2家譜
譬	pʰi5	1
譬	pʰi3	2
譬	pʰi1	3譬如
譯	iʌʔ7	
議	ɲi2	
護	ɦu6	
讀	dok8	1讀書
讀	doʔ8	2讀熟
變	piẽ5	1
變	piẽ1	2改變
讎	zɤ2	1前世無讐今世無冤
讎	dzɤ2	2報讎
讎	dzɤ6	3報讎
讒	zæ̃2	
讓	ɲiɑŋ4	1
讓	ɲiɑŋ6	2
讓	zɑŋ6	3
讚	tsæ̃5	1
讚	tsæ̃1	2
谷	koʔ7	
豁	huæʔ7	
豈	cʰi3	
豎	zʮ4	1
豎	zy4	2
豎	zʮ6	3
豐	foŋ1	1
豐	fuŋ1	2
豕	sɿ5	
象	ziɑŋ4	1
象	ziɑŋ6	2
豪	ɦɔ2	
豬	tsɿ1	
豹	pɔ5	
豺	zɑ2	1豺狼虎豹
豺	dze2	2豺狼虎豹
貂	tiɔ1	
貌	mɔ6	
貝	pe5	
貞	tsʌŋ1	
負	vɤ6	1辜負
負	vu6	2欺負
負	fu5	3忘恩負義
財	ze2	1錢財
財	dze2	2財主
財	dze4	3發大財
貢	kuŋ5	
貧	biŋ2	
貨	hu5	
販	fæ̃5	
貪	tʰẽ1	
貫	kuæ̃5	
責	tsɑʔ7	1責備
責	tsʌʔ7	2責任
責	tsæʔ7	3責備
貲	tsɿ1	
貴	cy5	1
貴	kue5	2貴庚
貴	kue1	3貴庚
買	mɑ4	
費	fi5	
貼	tʰəʔ7	1
貼	tʰiʔ7	2
貿	mɤ6	
賀	ɦu6	
賂	lu6	
賄	hue3	
資	tsɿ1	1
資	tsɿ5	2
賊	zʌk8	1
賊	zʌʔ8	2
賒	so1	
賓	piŋ1	
賙	tsɤ1	
賜	sɿ3	1
賜	sɿ5	2
賞	sɒŋ3	
賠	be2	
賢	ɦiẽ2	
賣	mɑ6	
賤	dziẽ6	1
賤	ɟiɑŋ2	
賤	ziẽ2	2
賤	dziẽ2	3
賦	fu5	
質	tsəʔ7	1
質	tsɿ5	2
賬	tsɑŋ5	
賭	tu3	
賴	lɑ6	1倚賴
賴	le6	2依賴
賺	dzæ̃6	原作“贃”
賽	se5	
贏	ɦiʌŋ2	1
贏	ɦiʌŋ6	2
贏	iʌŋ1	3輸贏
贖	zok8	1
贖	zoʔ8	2
赤	tsʰɑʔ7	1赤膊
赤	tsʰʌk7	2赤胆忠心
赤	tsʰʌʔ7	3赤紅
赦	so5	1
赦	se5	2
走	tsɤ3	1
走	tsɤ1	2
趕	kø̃3	1趕勿上
趕	kʏ̃3	2赶出
趕	kʏ̃1	3赶出
起	cʰi3	1
起	cʰi5	2
趁	tsʰʌŋ5	
超	tsʰɔ1	
越	ɦiøʔ8	1
越	iøʔ7	2
趟	tʰɒŋ3	
趟	tʰɒŋ5	
趣	tsʰy5	
趨	tsʰʮ1	
足	tsoʔ7	
跌	tiʔ7	
跎	du2	
跑	bɔ2	1
跑	bɔ4	2
跑	pɔ5	3
跑	bɔ6	4
跟	kʌn1	
跡	tsiʔ7	
跨	kʰuo1	
跪	ɟy6	1
跪	ɡue4	2
路	lu6	
跳	tʰiɔ5	
踅	zəʔ8	
踏	dæʔ8	1
踏	tæʔ7	2
踛	lok8	1
踛	loʔ8	2
踝	ku5	
踢	tʰiʌk7	1
踢	tʰiʌʔ7	2
踢	tʰiʔ7	3
踰	y1	
蹂	zɤ2	
蹈	dɔ6	
蹋	tʰæʔ7	
蹤	tsoŋ1	1
蹤	tsuŋ1	2
蹤	tsuŋ5	3
蹧	tsɔ1	
身	sʌn1	1出身
身	sʌŋ1	2赤身
躱	tu3	
車	tsʰo1	
軌	kue5	
軍	cyn1	
軛	ŋɒʔ8	
軟	ɲiø̃4	
軸	dioʔ8	1
軸	ɟioʔ8	2
軸	dzoʔ8	3
較	ciɔ3	
載	tse3	1裝載
載	tse5	2失載
輕	cʰiʌŋ1	
輝	hue1	
輩	pe5	
輪	lʌn2	1火輪船
輪	lʌŋ2	2輪流
輪	lʌn6	3輪到
輸	sʮ1	
輻	foʔ7	
輾	tsẽ1	
轄	æʔ7	1
轄	iæʔ7	2
轅	iø̃1	
轉	tsẽ3	1
轉	tsẽ1	2
轍	tsʰəʔ7	
轎	ɟiɔ6	
轟	huŋ1	
辛	siŋ1	
辜	ku1	
辣	læʔ8	
辦	bæ̃6	1辦法
辦	bæ̃2	2書辦,釋義爲“writer {for government officers}”
辦	pæ̃5	3有辦頭
辨	biẽ4	1辨個清爽
辨	biẽ6	2辨别
辭	dzɿ2	
辮	biẽ6	
辯	biẽ6	1辯論
辯	biẽ2	2辯別
辰	zʌn2	1辰光
辰	dzʌn2	2日月星辰
辱	zoʔ8	
農	nuŋ2	1農事
農	noŋ6	2士農工商
迅	siŋ3	1
迅	siŋ5	2
迎	ɲiʌŋ2	
近	ɟiʌn4	1
近	ɟiʌŋ4	2附近
近	ɟiʌn6	3附近
近	ɟiʌn2	4淺近
迫	pʰʌʔ7	
迷	mi2	
迹	tsiʔ7	
追	tsʮe1	1
追	tsʮi1	2追勿上
退	tʰe5	1
退	tʰe1	2
送	soŋ5	1
送	suŋ5	2
逃	dɔ2	
逆	ɲiʌk8	1逆風
逆	ɲiʌʔ8	2逆風
透	tʰɤ5	
逐	dioʔ8	1
逐	zok8	2逐出
逐	zoʔ8	3赶逐
逐	dzok8	4逐點
逐	dzoʔ8	5逐日,表示“每天”
途	du2	
逗	dɤ6	
通	tʰoŋ1	1
通	tʰuŋ1	2
通	tʰɒŋ1	3
速	sok7	1
速	soʔ7	2
造	zɔ4	1
造	zɔ6	2
造	dzɔ4	3
造	tsʰɔ3	造到until
逢	vuŋ2	
連	liẽ2	
週	tsɤ1	
進	tsiŋ5	
逸	iʌʔ7	
逼	piʔ7	1逼迫
逼	pi5	2催逼
遂	zʮe6	
遇	ɲy6	
遊	iɤ1	
運	ɦyn6	1
運	yn5	2
運	yn1	3
過	ku5	1
過	ko5	2消悶過日
道	dɔ4	1道理
道	dɔ6	2味道
達	dæʔ8	1練達
達	tæʔ7	2通文達理
違	ɦue2	1
違	ɦue6	2
遥	iɔ1	
遜	sʌn5	
遞	di6	
遠	ɦiø̃4	
適	sʌʔ7	
遭	tsɔ1	
遮	tso1	
遲	dzɿ2	
遵	tsʌn1	
遷	tsʰiẽ1	
選	siẽ3	
遺	i1	1
遺	i5	2
避	bi6	
還	ɦuæ̃2	
邊	piẽ1	
那	nɑ4	1
那	ɦɑ4	1那裏
那	ɦɑ2	2那裏
那	nɑ6	2
那	ɑ3	3那裏
那	nɑ2	4
邦	pɒŋ1	
邪	ziɑ2	1
邪	zie2	2
郊	ciɔ1	
郎	lɒŋ2	
郡	ɟyn6	
部	bu6	1六部
部	bu4	2
都	tu1	
鄉	ɕiɑŋ1	
鄙	pi3	
酉	iɤ3	
酌	tsɑʔ7	1斟酌
酌	tsɒʔ7	2斟酌
酌	tsoʔ7	3
配	pʰe5	
酒	tsiɤ3	
酗	ɦiuŋ1	
酢	tso5	
酬	dzɤ2	
酵	kɔ5	1發酵
酵	ciɔ5	2發酵
酸	sʏ̃1	1
酸	sʏ̃5	2
酸	sʮẽ1	3
醃	iẽ1	1醃肉
醃	ɦiẽ2	2當是“鹽”
醉	tsʮe5	1
醉	tsʏ̃5	2吃醉酒者
醋	tsʰu5	
醒	siŋ3	1
醒	siŋ5	2
醡	tso5	
醫	i1	
醬	tsiɑŋ5	
醮	tsiɔ5	
釀	ɲiɑŋ6	
釋	sʌʔ7	1
釋	səʔ7	2
里	li4	
重	zoŋ2	1
重	dzoŋ2	2重疊
重	dzuŋ2	3重生
重	zuŋ6	4尊重
重	dzoŋ4	5
重	dzuŋ4	6
重	dzoŋ6	7敬重
重	dzuŋ6	8敬重
野	ɦiɑ4	1
野	iɑ3	2
野	ɦiɑ2	3
量	liɑŋ2	1
量	liɑŋ6	2
量	liɑŋ6	3力量
釐	li2	1差之毫釐謬以千里
釐	li4	2差以毫釐謬以千里
金	ciʌn1	
釘	tiŋ1	1鐵釘
釘	tiŋ5	2釘牢
針	tsʌn1	1
針	tsʌŋ1	2
釣	tiɔ5	
釬	ɦø̃6	
鈍	dʌn6	1
鈍	dʌŋ6	2
鉤	kɤ1	
鈔	tsʰɔ5	
鈕	ɲiɤ4	
鈴	liŋ2	
鈸	bæʔ8	
鈿	diẽ2	
鉅	ɟy6	
鉑	boʔ8	當是“箔”字
鉗	ɟiẽ2	
鉛	kʰæ̃1	
鉛	kʰæ̃5	1表示“剛剛”
鉛	kʰæ̃1	2表示“剛剛”
銀	ɲiʌn2	1
銀	ɲiʌŋ2	2
銃	tsʰuŋ5	
銃	tsʰoŋ1	坍銃,表示“丟臉”
銅	doŋ2	1
銅	duŋ2	2
銷	siɔ1	1
銹	siɤ1	
銼	tsʰu5	
鋃	lɒŋ2	擬聲詞,鎟鋃鎟鋃
鋒	foŋ1	1
鋒	fuŋ1	2
鋤	zɿ2	
鋩	mɒŋ2	
鋪	pʰu1	1
鋪	pʰu5	2
鋪	pʰu3	3
鋪	pʰu5	4被褥鋪蓋
鋸	cy5	
鋼	kɒŋ1	
錄	loʔ8	
錐	tsɿ3	
錠	diŋ6	1紙錠元寶
錠	diŋ2	2紙錠元寶
錢	diẽ2	1
錢	ziẽ2	2
錢	dziẽ2	3
錢	diẽ6	4
錨	mɔ2	
錫	siʔ7	
錯	tsʰo1	1錯過
錯	tsʰu5	2
鍊	liẽ6	
鍍	du6	
鍾	tsuŋ1	
鎌	liẽ2	
鎔	iuŋ1	
鎖	su3	
鎗	tsʰiɑŋ1	
鎚	dzʮe2	
鎞	bi2	
鎟	sɒŋ1	擬聲詞,鎟鋃鎟鋃
鎮	tsʌn5	
鏈	liẽ2	
鏟	tsʰæ̃3	
鏡	ciʌŋ5	
鏢	piɔ1	
鐃	nɔ2	
鐐	liɔ2	
鐘	tsoŋ1	1
鐘	tsuŋ1	2
鐙	tʌŋ1	
鐣	tsʰɑŋ1	
鐲	zɒʔ8	
鐵	tʰiʔ7	
鐶	ɡuæ̃2	
鐸	doʔ8	
鐺	tɒŋ1	
鑄	tsʮ5	
鑊	ɦuoʔ8	1鑊子
鑊	oʔ7	2鑊子
鑑	kæ̃3	
鑠	sæʔ7	
鑤	bɔ6	
鑰	iɑʔ7	
鑲	siɑŋ1	
鑼	lu2	
鑽	tsʏ̃1	1
鑽	tsʏ̃5	2咨鑽
鑿	zɒk8	
長	dzɑŋ2	1長短
長	tsɑŋ3	2長輩
長	tsɑŋ5	3增長
門	mʌn2	
閂	sɑʔ7	1
閂	sẽ1	2原作“閃”
閃	sẽ3	
閉	pi5	1
閉	pi1	2
開	kʰe1	
閏	ɲiʌn2	
閒	ɦæ̃2	
間	kæ̃1	1房間
間	ciẽ1	2之間
間	kæ̃5	3間一個月
間	ciẽ5	4間斷
間	kæʔ7	間壁
閘	zæʔ8	
閣	kɒʔ7	
閨	kue1	
閹	ɦiẽ2	
闊	kʰuəʔ7	
闕	cʰiøʔ7	
關	kuæ̃1	1
關	kuæ̃5	2海關
闢	pʰiʔ7	
防	bɒŋ2	1防備
防	vɒŋ2	2
阻	tsu3	1
阻	tsu5	2
阿	ɑ1	1阿哥
阿	æʔ7	2阿哥
陀	du2	
附	vu6	1附近
附	vu4	2附耳朵
附	vu2	3魂勿附體
陋	lɤ4	1鄙陋
陋	lɤ6	2鄙陋
陌	mɑk8	
降	ɦɒŋ2	1投降
降	kɒŋ5	2降下來
降	ciɑŋ5	3降生
降	kɒŋ1	4降伏
降	ciɑŋ1	虹
限	ɦæ̃6	1限定
限	ɦiẽ6	2有限
限	ɦiæ̃6	3象限儀
限	ɦiẽ2	4嘸限量
陛	bi6	
院	ɦiø̃6	1
院	iø̃1	2
院	iø̃5	3
陣	dzʌn6	
除	dzʮ2	
陪	be2	1
陪	be6	2陪送
陰	iʌn1	1陰陽
陰	iʌŋ1	2陰涼
陰	ɦiʌŋ2	3陰涼棚
陳	dzʌn2	
陷	ɦiæ̃5	
陽	ɦiɑŋ2	1
陽	iɑŋ1	2
隆	luŋ2	
隊	de6	
隍	ɦuɑŋ2	
階	kɑ1	
隔	kɑk7	1隔之兩日
隔	kɑʔ7	2隔之兩日
隔	kʌʔ7	3
隔	kæʔ7	4
際	tsi5	
隣	liŋ2	
隨	zʮe2	1
隨	dzʮe2	2ED037
隨	sʮe1	3
險	ɕiẽ3	
隱	iʌn3	1隱藏
隱	iʌŋ3	2隱隱然
隸	di6	
隻	tsɑʔ7	1
隻	tsɑk7	2
雀	tsʰiɑʔ7	1
雀	tsiɑʔ7	2
雄	ɦioŋ2	1
雄	iuŋ1	2
雅	iɑ3	
集	dziʔ8	1聚集
集	dzik8	2聚集
雇	ku5	
雌	tsʰɿ1	
雕	tiɔ1	
雖	sʮe1	1雖然
雖	sye1	2
雖	sʮe5	3雖然
雙	sɒŋ1	
雜	zæʔ8	1雜貨
雜	dzæʔ8	2雜貨
雜	zəʔ8	3混雜
雜	dzəʔ8	4混雜
雞	ci1	
離	li2	
難	næ̃2	1難過
難	næ̃6	2災難
雨	ɦy4	1
雨	y3	2
雪	siʔ7	
雲	ɦyn2	
零	liŋ2	
雷	le2	
雹	pʰɔ5	
電	diẽ6	
震	tsʌn3	1
震	tsʌn5	2
震	tsʌn1	3
黴	me2	1發霉
黴	me6	2霉爛
霍	hoʔ7	
霜	sɒŋ1	
霧	vu6	
露	lu6	
霸	po5	
靈	liŋ2	1靈性
靈	liŋ4	2靈性
青	tsʰiŋ1	
靖	ziŋ4	1
靖	ziŋ6	2
靛	diẽ6	
靜	ziŋ4	1安靜
靜	ziŋ6	2安靜
靜	dziŋ6	3僻靜
非	fi1	
靠	kʰɔ5	1靠近
靠	kʰɔ3	2靠勿着
面	miẽ6	1
面	miẽ2	2
革	kɑk7	1革脫
革	kɑʔ7	2革脫
靴	ɕiu1	
靶	po3	
靼	tæʔ7	
鞋	ɦɑ2	
鞍	ø̃1	
鞘	siɔ5	
鞭	piẽ1	
鞱	tʰɔ1	
韁	ciɑŋ1	
韮	ciɤ3	
音	iʌŋ1	
韻	yn5	
響	ɕiɑŋ3	
頁	ɦiʔ8	1
頁	iʔ7	2
頂	tiŋ3	1頂好,表示“最好”
頂	tiŋ1	2頂小,表示“最小”
項	ɦɑŋ6	
順	zʌn6	
須	sʮ1	1須張
須	sy1	2須要
頌	zuŋ6	
預	ɦy6	1
預	y1	2
預	y5	3
預	ɦy2	4
頒	pæ̃1	1頒行於世
頒	pæ̃5	2頒行天下
頓	tʌŋ5	
頗	pʰu3	
領	liŋ4	1受領
領	liŋ2	2收領
頭	dɤ2	
頰	kæʔ7	
頸	ciʌŋ3	1頸骨
頸	ciʌŋ1	2頸骨
顆	kʰu3	
題	di2	
額	ŋɑk8	1額角頭
額	ŋɑʔ8	2匾額
額	ŋɒʔ8	3匾額
顔	ŋæ̃2	1
顔	ŋæ̃4	2
願	ɲiø̃6	
顛	tiẽ1	
類	le6	1
類	le2	2類書
顧	ku5	
顯	ɕiẽ3	1
顯	ɕiẽ5	2
顯	ɕiẽ3	爀顯,表示“閃電”
頑	uæ̃1	
風	foŋ1	1風俗
風	fuŋ1	2風俗
颶	ɟy6	
颻	iɔ1	1
颻	iɔ1	2
飄	pʰiɔ1	
飛	fi1	1
飛	fi5	2有點會飛
食	zʌʔ8	
飢	ci1	1呑飢忍餓
飢	ki5	2充飢
飯	væ̃6	1
飯	væ̃2	2
飽	pɔ3	
飾	sʌʔ7	1
飾	səʔ7	2
餂	tʰiẽ3	
餅	piŋ3	
餉	ɕiɑŋ3	
養	ɦiɑŋ6	1
養	iɑŋ3	2
養	iɑŋ5	3
養	iɑŋ1	4
餌	ɲi6	
餐	tsʰæ̃1	1聖餐
餐	tsʰø̃1	2聖餐
餓	ŋu6	
餘	ɦy2	1
餘	y1	2
餧	ue5	
館	kuẽ3	
餬	ɦu2	
饅	mẽ2	
饋	ɡue6	
饑	ci1	
饒	ɲiɔ2	1饒赦
饒	ɲiɔ4	2饒赦
首	sɤ3	
香	ɕiɑŋ1	
馬	mo4	
駁	pok7	1
駁	poʔ7	2
駕	kɑ5	
駝	du6	
駟	sɿ1	
駭	ɕiæ1	
駱	lɒʔ8	
騃	te3	
騎	ɟi2	
騙	pʰiẽ5	
騷	sɔ1	1騷擾
騷	tsɔ1	2騷擾
騾	lu2	
驀	mɑk8	
驅	cʰy1	1
驅	tɕʰy1	2
驕	ciɔ1	
驗	ɲiẽ6	
驚	ciʌŋ1	1驚嚇
驚	ciʌŋ3	2驚醒
驢	ly2	
骨	kuəʔ7	
骱	ɡɑ6	
骷	kʰu1	
髈	pɒŋ3	
髏	lɤ2	
髓	siʔ7	
體	tʰi3	1
體	tʰi5	2
體	tʰi1	3事體
高	kɔ1	
髮	fæʔ7	
鬆	soŋ1	1
鬆	suŋ1	2
鬍	ɦu2	
鬚	sʮ1	1剃鬚
鬚	su1	2老白鬚
鬥	ɗɤ5	1
鬥	tɤ5	2相鬥
鬥	tɤ3	3相鬥
鬧	nɔ6	1
鬧	nɔ4	2鬧嚷嚷
鬮	ciɤ1	
鬱	iøʔ7	
鬼	cy3	1
鬼	tɕy3	2
鬼	kue3	3
魂	ɦuʌŋ2	
魄	pʰɑʔ7	
魔	mo2	1
魔	mu2	2
魚	ŋ̍2	1
魚	ŋ̍1	2
魯	lu4	1粗魯
魯	lu6	2魯班尺
鮮	siẽ1	1新鮮
鮮	siẽ3	2新鮮
鯉	li4	
鯨	ɟiʌŋ2	
鰌	iɤ1	
鰥	kuæ̃1	
鰲	ŋɒʔ8	
鱔	zẽ4	1
鱔	zẽ2	2鱔魚
鱗	liŋ2	
鱟	hɤ5	表示“彩虹”
鳥	tiɔ3	1
鳥	ɲiɔ3	2
鳩	ciɤ1	
鳳	vuŋ6	1鳳凰
鳳	voŋ2	2鳳凰
鳴	miŋ2	
鴈	iɑ3	鴈鵝
鴉	ɑ1	1鴉片
鴉	ɦɑ2	2鴉片
鴉	ɔ1	3
鴉	iɑ1	4
鴣	ku1	
鴨	æʔ7	
鴿	kəʔ7	
鵓	pəʔ7	
鵝	ŋu2	
鵪	ẽ1	
鵲	tsʰiɑʔ7	
鶉	zʌn2	
鶴	ŋɒʔ8	
鷙	tsʌʔ7	
鷹	iʌŋ1	
鸚	ɑŋ1	
鹵	lu4	
鹹	ɦæ̃2	
鹻	kæ̃1	
鹽	ɦiẽ2	
鹿	lok8	1
鹿	lɒʔ8	2鹿角
麗	li6	
麝	zo6	
麥	mɑk8	1麥穗頭
麥	mɑʔ8	2
麩	fu1	
麯	cʰioʔ7	
麵	miẽ6	
麻	mo2	
麽	mo1	1
麽	mo3	2疑問語氣詞
麽	mɔ1	3
黃	ɦuɒŋ2	1
黃	uɒŋ1	2黃道
黏	ɲiẽ2	
黑	hʌk7	1黑天
黑	hʌʔ7	2
默	mʌʔ8	
黝	iɤ3	
點	tiẽ3	
黨	tɒŋ3	
黽	miŋ4	
鼎	tiŋ3	
鼓	ku3	
鼠	sʮ3	1
鼠	sɿ3	2
鼻	biʔ8	
齊	zi2	1整齊
齊	dzi2	2整齊
齋	tsɑ1	
齒	tsʰɿ3	
齪	tsʰɒʔ7	1齷齪
齪	tsʰɒk7	2齷齪
齷	ɒk7	1齷齪
齷	ɒʔ7	2齷齪
龍	loŋ2	1
龍	luŋ2	2龍華塔
龕	kʰẽ1	
龕	kʰẽ1	
龜	cy1	
𡀽	kəʔ7	1
𡀽	kʌʔ7	2
𡀽	ke5	3
𥅻	tsʰoŋ3	
𨅓	sɑ1	1𨅓跎,表示“累”
𨅓	sɑ5	2
𨅘	bɑŋ2	硬𨅘𨅘
𨐃	tsɑ1	
𨰵	ɕiɑ1	
𪃿	ku1	鸚𪃿
