#漢字	音標	解釋
㕶	ʔŋ̍5	兒語屎
譏	tɕi1	
識	ɕieʔ7	
譚	dɛ2	
譜	pu3	
警	tɕiŋ3	
譬	pʰi5	
譯	ɦieʔ8	
議	ȵi6	
護	vu6	
譽	ɦy6	
讀	doʔ8	
變	piɪ5	
讒	dzɛ2	
讓	ȵiã6	
讕	lɛ2	
讚	tsɛ5	
谷	koʔ7	
豁	huaʔ7	開豁
豆	dᴇɪ6	
豈	tɕʰi5	
豉	ʒʯ6	豆豉
豌	uø3	
豎	ʒʯ6	
豐	foŋ1	
豔	ɦiɪ2	
豕	ʃʯ1	
豚	dəŋ2	
象	ʑiã6	
豪	ɦɔ2	
豫	ɦy2	
豬	tʃʯ3	
豹	pɔ5	
豺	za2	
貂	tio1	
貌	mɔ2	
貓	mɔ2	
貓	mɛ2	兒化變讀
貝	pᴇɪ1	
貞	tɕiŋ1	
負	vᴇɪ2	
財	dzᴇ2	
貢	koŋ5	
貧	biŋ2	
貨	haʊ5	
販	fɛ5	
貪	tʰᴇɪ1	
貫	kuø5	
責	tsaʔ7	
貯	ʒʯ6	
貰	ʃʯ5	
貳	ȵi6	
貴	tɕy5	白讀
貴	kuᴇɪ5	文讀
貶	piɪ3	
買	ma6	
貸	dᴇ2	
費	fi5	費用
費	vi6	姓
貼	tʰieʔ7	
貿	mᴇɪ2	
賀	ɦaʊ6	
賂	loʔ8	
賃	ȵiŋ2	
賃	ʒøŋ6	
賄	huᴇɪ1	
資	tsɿ1	
賈	ko3	
賊	zaʔ8	
賒	so1	
賓	piŋ1	
賜	sɿ5	
賞	ʃɔ̃3	
賠	bᴇɪ2	
賢	ɦiɪ2	
賣	ma6	
賤	ʑiɪ6	
賦	fu5	
質	tʃøʔ7	
賬	tɕiã5	
賭	tu3	
賴	la6	白讀
賴	lɛ6	文讀
賺	dzɛ6	
購	kᴇɪ5	
賽	sᴇ5	
贅	tsᴇɪ5	
贈	dzəŋ2	
贊	tsɛ5	
贏	ɦiŋ2	
贓	tʃɔ̃1	
赤	tsʰaʔ7	白讀 赤豆
赤	tʃʰøʔ7	白讀 赤裸
赤	tɕʰieʔ7	文讀
赦	so3	
赫	haʔ7	
走	tsᴇɪ3	
赴	fu5	
起	tɕʰi3	
趁	tɕʰiŋ5	
超	tɕʰio1	
越	ɦyeʔ8	
趕	kiɪ3	
趙	dʑio6	
趟	tʰɔ̃5	
趣	tʃʰʯ1	
趤	dã6	閒逛
趨	tʃʰʯ1	
足	tʃoʔ7	
趾	tsɿ3	
跋	baʔ8	
跌	tieʔ7	
跍	ɡu2	蹲下
跑	bɔ2	
跔	ɡᴇɪ2	收縮
跖	tʰo3	跖鞋底
距	dʑy6	
跟	kəŋ1	
跡	tɕieʔ7	
跨	ɡo2	白讀 跨過去
跪	dʑy6	白讀
跪	ɡuᴇɪ6	文讀
路	lu6	
路	loŋ2	兒化變讀 引路幡
跳	tʰio5	
踊	yoŋ3	
踏	daʔ8	
踐	dʑiɪ6	
踢	tʰieʔ7	
踮	tiɪ1	
踱	doʔ8	
蹄	di2	
蹈	dɔ6	
蹋	tʰaʔ7	糟蹋
蹤	tʃoŋ1	
蹦	poŋ1	
蹩	bieʔ8	
蹬	təŋ5	
蹲	dzəŋ2	虎蹲山
蹺	tɕʰio5	
蹽	lio6	抄近路
躁	tsɔ5	
躉	təŋ3	躉注
躍	ɦieʔ8	
躡	ȵieʔ8	
躪	liŋ2	
身	ʃøŋ1	
躬	koŋ1	
躲	to3	
躺	tʰɔ̃3	
軀	tɕʰy1	
車	tɕy1	車馬炮
車	tsʰo1	
車	tʃʰø1	兒化變讀 坐車
軋	ɡaʔ8	
軌	kuᴇɪ1	
軍	tɕyŋ1	
軍	tɕyoŋ1	yn韻字又讀yon韻
軒	ɕiɪ1	
軟	ȵyø6	文讀
軟	nᴇɪ6	白讀
軸	dʑyeʔ8	
較	tɕio5	
載	tsᴇ5	載重
載	zᴇ2	載子
輔	vu6	
輕	tɕʰiŋ1	
輛	liã2	
輜	tsɿ1	
輝	huᴇɪ1	
輩	pᴇɪ5	
輪	ləŋ2	
輯	tɕʰieʔ7	
輸	ʃʯ1	運輸
輸	ʃʯ5	輸贏
輻	foʔ7	
輾	tɕiɪ1	
輿	ɦy2	
轄	ɦaʔ8	
轅	ɦyø2	
轉	tʃø3	轉變
轉	tʃø5	轉圈
轎	dʑio6	
轟	hoŋ5	
轡	pʰᴇɪ1	
辛	ɕiŋ1	
辜	ku5	
辣	laʔ8	
辦	bɛ6	
辨	biɪ6	
辭	dzɿ2	
辮	biɪ6	
辯	biɪ6	
辰	ʒøŋ2	
辱	ʒoʔ8	
農	noŋ2	
迂	y1	
迄	tɕʰieʔ7	
迅	ɕiŋ5	
迎	ȵiŋ2	
近	dʑiŋ2	
返	fɛ3	
迢	dio2	
迪	dieʔ8	
迫	paʔ7	
迭	dieʔ8	
述	ʒøʔ8	
迷	mi2	
追	tsa1	白讀
追	tsᴇɪ1	文讀
退	tʰᴇɪ5	
送	ʃoŋ5	
逃	dɔ2	
逆	ȵieʔ8	
透	tʰᴇɪ5	
逐	dʒoʔ8	
途	du2	
逗	dᴇɪ6	
這	tʃøʔ7	
通	tʰoŋ1	
逛	ɡuã2	逛逛奔去
逝	zɿ6	
逞	tɕʰiŋ5	
速	ʃoʔ7	
造	zɔ6	
逢	voŋ2	
連	liɪ2	
逮	di2	
進	tɕiŋ1	
進	tɕiŋ5	
逵	ɡuᴇɪ2	
逸	ɦieʔ8	
逼	pieʔ7	
逾	ɦy2	
遁	dəŋ2	
遂	zᴇɪ2	
遇	ȵy6	
遊	ɦiu2	
運	ɦyoŋ6	
遍	piɪ5	
過	kaʊ5	
道	dɔ6	
達	daʔ8	
違	ɦuᴇɪ6	
遥	ɦio2	
遜	səŋ5	
遞	di6	
遠	ɦyø6	
遢	tʰaʔ7	邋遢
遣	tɕʰiɪ1	
遨	ŋɔ2	
適	ɕieʔ7	
遭	tsɔ1	
遮	tso1	
遲	dʒʯ2	
遵	tsəŋ1	
遷	tɕʰiɪ1	
遺	ɦi2	
遼	lio2	
避	bi6	
邀	io1	
邁	mɛ2	
還	ɦuɛ2	還是 歸還
還	ɦuaʔ8	白讀 還是
邊	piɪ1	
邋	laʔ8	
邏	laʊ2	
邑	ieʔ7	
邢	ɦiŋ2	
那	ʔna5	
那	ʔnaʔ7	授物示意
邦	pɔ̃1	
邪	ʑia2	
邱	tɕʰiu1	
邵	ʑio6	
郊	tɕio1	
郎	lɔ̃2	
郝	haʔ7	姓
郡	dʑyŋ6	
郡	dʑyoŋ6	yn韻字又讀yon韻
部	bu6	
郭	koʔ7	
郵	ɦiu2	
都	tu1	
鄂	ŋoʔ8	
鄉	ɕiã1	
鄒	tsᴇɪ1	姓
鄙	pi5	
鄞	ȵiŋ2	
鄧	dəŋ2	
鄭	dʑiŋ2	
鄰	liŋ2	
酉	ɦiu2	
酋	ɦiu2	
酌	tɕieʔ7	
配	pʰᴇɪ5	
酒	tɕiu3	
酣	hᴇɪ1	
酥	su1	
酩	miŋ6	
酪	loʔ8	
酬	dʑiu2	
酵	kɔ5	白讀
酷	kʰoʔ7	
酸	ʃø1	
醃	ɦiɪ6	
醇	ʒøŋ6	
醉	tsᴇɪ5	
醋	tsʰu5	
醒	ɕiŋ3	
醜	tɕʰiu3	
醫	i1	
醬	tɕiã5	
醮	tɕio5	
釀	ȵiã6	
釁	ɕiŋ5	
釅	ȵiɪ6	上釅（癮）
采	tsʰᴇ3	
釉	ɦiu6	
釋	ɕieʔ7	
里	li6	
重	dʒoŋ2	重復
重	dʒoŋ6	重要
野	ɦia6	白讀
野	ɦiᴇ6	文讀
量	liã2	量米
量	liã6	氣量
釐	li2	
金	tɕiŋ1	
釗	tɕio1	
釘	tiŋ5	
釜	fu3	
針	tɕiŋ1	
釣	tio5	
釵	tsʰo1	白讀
釵	tsʰᴇ1	文讀
鈍	dəŋ6	
鈔	tsʰɔ1	
鈕	ȵiu6	
鈞	tɕyŋ1	
鈞	tɕyoŋ1	yn韻字又讀yon韻
鈴	liŋ2	
鈸	baʔ8	
鈿	diɪ2	銅鈿
鉗	dʑiɪ2	
鉛	kʰɛ1	
鉢	paʔ7	
鉤	kᴇɪ1	
鉸	tɕio3	文讀
鉸	kɔ3	白讀
銀	ȵiŋ2	
銃	tʃʰoŋ5	
銅	doŋ2	
銘	miŋ6	
銜	ŋɛ2	
銬	kʰɔ5	
銳	zᴇɪ2	
銷	ɕio1	
銹	ɕiu5	
銼	tsʰaʊ1	
鋁	li6	
鋅	ɕiŋ1	
鋒	foŋ1	
鋤	dzu6	
鋥	dzã2	鋥亮
鋪	pʰu1	鋪陳
鋪	pʰu5	鋪板
鋭	zᴇɪ2	
鋸	ki5	白讀
鋸	tɕy5	文讀
鋼	kɔ̃1	
錄	loʔ8	
錐	tʃʯ1	白讀 錐鞋
錐	tsᴇɪ1	文讀
錘	dʒʯ2	白讀 秤錘
錘	zᴇɪ2	文讀
錠	diŋ2	
錢	dʑiɪ2	
錦	tɕiŋ3	
錨	mɔ6	
錫	ɕieʔ7	
錯	tsʰaʊ1	
鍋	kaʊ3	
鍍	du6	
鍘	zaʔ8	
鍛	tø5	
鍵	dʑiɪ2	
鍾	tʃoŋ1	
鎊	pɔ̃1	
鎖	saʊ3	
鎮	tʃøŋ1	
鎮	tʃøŋ5	
鎳	ȵieʔ8	
鏈	liɪ6	
鏖	ɔ5	
鏗	kʰəŋ1	
鏟	tsʰɛ3	
鏡	tɕiŋ5	
鏢	pio1	
鏽	ɕiu5	
鐐	lio2	
鐗	tɕiɪ5	
鐘	tʃoŋ1	
鐙	təŋ5	
鐧	tɕiɪ5	
鐮	liɪ2	
鐲	dʑyeʔ8	
鐵	tʰieʔ7	
鐸	doʔ8	
鐾	bi6	鐾刀
鑄	tʃʯ5	
鑊	ɦoŋ2	兒化變讀 尺四鑊
鑊	ɦoʔ8	
鑑	tɕiɪ1	
鑣	pio1	
鑫	ɕiŋ1	
鑰	ɦieʔ8	
鑲	ɕiã1	
鑷	ȵieʔ8	
鑼	lø2	兒化變讀 宕鑼
鑼	laʊ2	
鑽	tʃø1	鑽洞
鑽	tʃø5	鑽子
鑿	ʒoʔ8	
長	tɕiã3	生長
長	dʑiã2	長短
門	məŋ2	
閂	ʃø1	
閃	ɕiɪ1	
閉	pi5	
開	kʰᴇ1	
閏	ɦyoŋ6	
閑	ɦɛ2	
閑	ɦiɪ2	文讀
閒	ɦɛ2	
閒	ɦiɪ2	文讀
間	kɛ5	白讀
間	tɕiɪ5	文讀
閘	zaʔ8	
關	kuɛ1	
閣	koʔ7	
閥	vaʔ8	
閨	kuᴇɪ1	
閩	miŋ6	
閱	ɦyeʔ8	
閹	iɪ5	
閻	ȵiɪ2	
闊	kʰuaʔ7	
闌	lɛ2	
闖	tʃʰɔ̃3	
關	kuɛ1	
闢	pʰieʔ7	
阜	vᴇɪ2	
阪	pɛ3	
阮	ȵyø2	姓
防	bɔ̃6	
阻	tsu3	
阿	a1	阿哥
阿	a5	文讀 阿姆 傭人
阿	o1	阿彌陀佛
阿	aʊ1	阿膠
阿	aʔ7	阿大
附	vu6	
陋	lᴇɪ6	
陌	maʔ8	
降	kɔ̃5	降落
降	ɦɔ̃2	投降
限	ɦɛ5	
陛	bi2	
陝	ɕiɪ3	
陡	tᴇɪ3	文讀
陡	toʔ7	白讀
院	ɦyø6	
陣	dʑiŋ2	
除	dʒʯ2	
陪	bᴇɪ2	
陰	iŋ1	
陳	dʑiŋ2	
陵	liŋ2	
陶	dɔ2	
陷	ɦɛ5	白讀
陷	ɦiɪ6	文讀
陸	loʔ8	
陽	ɦiã2	
隅	ŋᴇɪ6	
隆	loŋ2	
隊	dᴇɪ6	
隋	zᴇɪ6	
階	ka1	白讀
階	tɕiᴇ1	文讀
隔	kaʔ7	
隘	ka5	地名
隘	ieʔ7	狹隘
隙	tɕʰieʔ7	
際	tɕi5	
障	tʃɔ̃5	
隧	zᴇɪ2	
隨	zᴇɪ2	
險	ɕiɪ3	
隱	iŋ3	
隴	loŋ6	
隶	di2	
隸	di2	
隻	tsaʔ7	隻身
雀	tɕiã1	兒化變讀 麻雀
雀	tɕʰieʔ7	
雁	ŋa6	白讀 雁鵝
雁	ŋɛ2	白讀
雁	ɦiɪ2	文讀
雄	ɦyoŋ2	
雅	ia3	
集	ʒøʔ8	
雌	tsʰɿ1	
雍	yoŋ3	
雕	tio1	
雖	sᴇɪ1	
雙	ʃɔ̃3	
雜	zaʔ8	
雞	tɕi3	
離	li2	
難	nɛ2	困難
難	nɛ6	難民
雨	ɦy6	
雪	ʃøʔ7	
雲	ɦyoŋ2	
零	liŋ2	
雷	lᴇɪ2	
雹	boʔ8	
電	diɪ6	
需	ʃʯ1	
霄	ɕio1	
震	tʃøŋ5	
霉	mᴇɪ2	霉天
霉	mᴇɪ6	霉麩
霍	hoʔ7	
霎	saʔ7	
霓	ȵi2	
霖	liŋ2	
霜	ʃɔ̃1	
霞	ia5	晚霞
霞	ɦuo6	霞浦漲
霧	vu6	
霪	ɦiŋ2	
露	lu6	
霸	po5	
霹	pʰieʔ7	
靈	liŋ2	
青	tɕʰiŋ1	
靖	dʑiŋ3	
靜	ʑiŋ6	
非	fi1	
靠	kʰɔ5	
靡	mi2	
面	miɪ6	
革	kaʔ7	
靳	dʑiŋ2	
靴	ɕy1	
靶	po3	
鞋	ɦa2	
鞍	ᴇɪ1	
鞏	koŋ3	
鞠	tɕyeʔ7	
鞭	piɪ1	
鞾	ɕy1	
韋	ɦuᴇɪ6	
韌	ȵiŋ6	白讀
韌	ʒøŋ6	文讀
韓	ɦᴇɪ6	姓
韜	tʰɔ1	
韭	tɕiu3	
音	iŋ1	
韶	ʑio2	
韻	ɦyŋ2	
韻	ɦyoŋ2	yn韻字又讀yon韻
響	ɕiã6	
頁	ɦieʔ8	
頂	təŋ3	白讀 樓頂
頂	tiŋ3	文讀
頃	tɕʰiŋ5	
項	ɦɔ̃6	
順	ʒøŋ6	
須	ʃʯ1	必須
頌	dʒoŋ6	
預	ɦy6	
頑	ɦuɛ2	
頒	pɛ1	
頓	təŋ5	
頗	pʰaʊ1	
領	liŋ6	
頤	ɦi2	
頭	dɛ2	兒化變讀 馬蘭頭
頭	dᴇɪ2	
頰	tɕieʔ7	面頰巴
頸	tɕiŋ3	
頹	dᴇɪ2	
頻	biŋ2	
顆	kʰaʊ3	
題	di6	
額	ŋaʔ8	
顏	ŋɛ2	白讀
顏	ɦiɪ2	文讀
願	ȵyø6	
顛	tiɪ1	
類	lᴇɪ6	
顧	ku5	
顫	tɕiɪ5	
顯	ɕiɪ3	
顴	dʑyø2	
風	foŋ1	
颼	sᴇɪ5	
飄	pʰio1	
飆	pio1	
飛	fi1	
食	ʑieʔ8	
飢	tɕi1	
飩	dəŋ2	
飪	ʒøŋ2	
飯	vɛ6	
飯	ʔmã5	兒化變讀 飯飯，兒語
飲	iŋ5	
飼	zɿ2	
飽	pɔ3	
飾	ɕieʔ7	
餃	tɕio3	
餅	piŋ3	
餈	tʃʰʯ1	餈飯
餉	ɕiã5	
養	ɦiã2	養分
養	iã3	供養
餌	ȵy6	餌頭
餐	tsʰɛ1	
餓	ŋaʊ6	
餘	ɦy2	
餚	ɦio6	
餛	ɦuəŋ2	
餞	tɕiɪ1	
餡	ɦɛ5	
館	kuø3	
餾	liu2	
餿	sᴇɪ5	
饅	mø2	
饉	dʑiŋ2	
饋	ɡuᴇɪ6	
饑	tɕi1	
饒	ȵio2	
饞	dzɛ2	
首	ɕiu3	
香	ɕiã1	
馨	ɕiŋ1	
馬	mo6	
馬	mø2	兒化變讀 泥馬
馮	voŋ6	
馱	daʊ2	
馳	dʒʯ2	
馴	ɕyŋ1	
馴	ɕyoŋ1	yn韻字又讀yon韻
駁	poʔ7	
駐	tʃʯ5	
駒	tɕy1	
駕	ko5	
駛	sɿ3	
駝	daʊ2	
駱	loʔ8	
駿	tʃøŋ1	
騎	dʑi2	
騐	nᴇ6	
騐	ȵiᴇ6	
騙	pʰiɪ5	
騭	tɕieʔ7	傷陰騭
騰	dəŋ2	
騷	sɔ5	
騸	ɕiɪ1	閹割
騾	laʊ2	
驀	maʊ2	
驅	tɕʰy1	
驕	tɕio1	
驗	nᴇ6	
驗	ȵiᴇ6	
驟	dzᴇɪ6	
驢	lu2	
骨	kuã1	兒化變讀 紅腳骨
骨	kuaʔ7	
骯	ɔ̃1	
骰	dᴇɪ6	
骷	kʰu1	
髏	lᴇɪ2	
髒	tʃɔ̃1	骯髒
髓	ɕi1	
體	tʰi3	
高	kɔ1	
髮	fɛ1	兒化變讀 看髮 劉海
髮	faʔ7	
鬃	tʃoŋ1	
鬆	ʃoŋ1	
鬍	ŋo2	鬍須
鬚	su1	牙鬚
鬢	piŋ5	
鬥	tᴇɪ5	鬥爭
鬧	nɔ6	
鬱	yeʔ7	
鬼	tɕy3	白讀
鬼	kuᴇɪ3	文讀
魁	kʰuᴇɪ1	
魂	ɦuəŋ2	文讀
魂	ɦuaʔ8	白讀 魂靈
魄	pʰaʔ7	氣魄
魄	boʔ8	落魄
魏	ɦuᴇɪ6	
魔	maʊ2	
魘	iɪ1	
魚	ɦy2	文讀
魚	ŋ̍2	白讀
魯	lu6	
鮎	ȵiɪ2	
鮑	bɔ6	姓
鮮	ɕiɪ1	
鯁	ɡã6	
鯉	li6	
鯗	ɕiã6	
鯨	dʑiŋ2	
鰍	tɕʰiu1	
鰓	sᴇ1	
鰣	zɿ6	
鰥	kuɛ1	
鰭	dʑi2	
鰲	ŋɔ2	
鰻	mø2	
鰾	bio6	
鱉	pieʔ7	
鱖	kuᴇɪ5	
鱗	liŋ2	
鱟	hᴇɪ1	虹
鱷	ŋoʔ8	
鳥	tio3	白讀
鳥	ȵio6	文讀
鳩	tɕiu1	
鳳	voŋ6	
鳴	miŋ2	
鴆	dʑiŋ2	
鴇	pɔ3	
鴉	a1	白讀 鴉片
鴉	ia5	文讀 烏鴉
鴉	o3	白讀 老鴉
鴉	ø1	兒化變讀 火老鴉
鴛	yø5	
鴦	iã1	
鴨	ɛ3	兒化變讀
鴨	aʔ7	
鴻	ɦoŋ2	
鴿	kaʔ7	
鵑	tɕyø1	
鵓	baʔ8	
鵝	ŋø2	兒化變讀 雁鵝
鵝	ŋaʊ6	
鵡	vu6	
鵲	tɕʰiã1	兒化變讀 鵲鴉
鵲	tɕʰieʔ7	
鵶	a1	白讀 鴉片
鵶	ia5	文讀 烏鵶
鵶	o3	白讀 老鵶
鵶	ø1	兒化變讀 火老鵶
鶯	iŋ1	
鶴	ŋoʔ8	
鷂	ɦio6	
鷄	tɕi3	
鷗	ᴇɪ1	
鷹	iŋ1	
鷺	lu6	
鸕	lu2	
鸚	ã1	白讀 鸚哥
鸚	iŋ1	文讀
鸞	lø2	
鹵	lu6	
鹹	ɦɛ2	鹹淡
鹼	kɛ3	
鹽	ɦiɪ2	
鹿	loʔ8	
麓	loʔ8	
麗	li2	
麝	zo6	
麥	maʔ8	
麩	fu1	
麪	miɪ6	
麵	miɪ6	
麻	mo2	
麼	moʔ8	
麾	huᴇɪ1	
黃	ɦuɔ̃2	
黍	ʃʯ1	
黎	li6	
黑	haʔ7	
黔	dʑiɪ6	
默	maʔ8	
點	tiɪ3	
黥	dʑiŋ2	
黨	tɔ̃3	
黴	mᴇɪ2	黴天
黴	mᴇɪ6	黴麩
鼎	tiŋ3	
鼓	ku3	
鼠	tsɿ1	白讀
鼠	tʃʰʯ3	文讀
鼻	baʔ8	白讀 鼻頭管
鼻	bieʔ8	文讀
鼾	hᴇɪ3	
齈	noŋ5	齈鼻頭
齊	dʑi2	文讀
齊	ʑi2	白讀
齋	tsa1	
齒	tsɿ1	白讀
齒	tsʰɿ1	文讀
齡	liŋ2	
齦	ȵiŋ2	
齶	ŋoʔ8	
齷	oʔ7	
龍	loŋ2	
龐	bɔ̃2	
龔	koŋ1	
龕	kʰɛ1	神龕
龜	tɕy1	白讀
龜	kuᴇɪ1	文讀
𠛢	tʃoʔ7	𠛢柴
𠡒	tᴇɪ1	拉扯，𠡒百筋
𡍲	taʔ7	地名
𡠍	fᴇ1	不要
𡢿	ȵyŋ2	老𡢿 妻
𡢿	ȵyoŋ2	老𡢿 妻 yn韻字又讀yon韻
𢳚	ɕio1	𢳚蓋子
𢷍	iŋ5	量米
𣍐	vᴇɪ6	勿會
𥿯	pʰã1	一𥿯葡萄
𦗭	bã2	聾𦗭
𧟰	fᴇ1	不要
𩓥	ʔŋaʔ7	𩓥𩓥動
𪉨	tɕʰiã5	𪉨蟹
𫸻	fᴇ1	不要
