#漢字	音標	解釋
□	uɑi3	不舒服
鐙	təŋ5	
鑊	xuəʔ8	
鐲	tsuəʔ8	
鐮	liæ̃2	
鑲	ʃiɑŋ1	
長	tʃʰiɑŋ2	
長	tʃiɑŋ3	
門	mɛ̃2	
閂	suæ̃1	
閃	ʃiæ̃3	
閉	pi5	
問	uɛ̃6	
闖	tsʰuɑŋ3	
閏	yɛ̃6	
闲	ɕiæ̃2	
間	tɕiæ̃1	
間	tɕiæ̃5	
悶	mɛ̃1	捂
悶	mɛ̃6	胸~
閘	tsʌʔ8	
鬧	nɔ6	
閨	kuei1	
聞	uɛ̃2	
閩	miɛ̃3	
閥	fʌʔ7	
閣	kəʔ7	
鬮	tɕiəu1	
閲	yəʔ8	
閹	iæ̃1	
閻	iæ̃2	
闊	kʰuəʔ7	
隊	tuei6	
阮	yæ̃3	
防	fɑŋ2	
陽	iɑŋ2	
陰	iɛ̃1	
陣	tʃiɛ̃6	
階	tɕiə1	
阻	tsuo3	
阿	ɣɑ1	
阿	ɣə1	
附	fu6	
際	tʃi5	
陸	luəʔ8	
隴	luŋ3	
陳	tʃʰiɛ̃2	
陘	ɕiŋ2	
陋	ləu5	
陌	muəʔ8	
降	ɕiɑŋ2	
降	tɕiɑŋ5	
限	ɕiæ̃6	
陝	ʃiæ̃3	
陛	pi6	
陡	təu3	
院	yæ̃6	
除	tʃʰy2	
險	ɕiæ̃3	
陪	pʰei2	
陵	liŋ2	
陶	tʰɔ2	
陷	ɕiæ̃6	
隆	luŋ2	
隍	xuɑŋ2	
隨	suei2	
隱	iɛ̃3	
隔	kʌʔ7	
隘	ɑi5	
障	tɕiɑŋ5	
隧	suei5	
隶	li6	
難	næ̃2	
難	næ̃6	
雀	tʃʰyəʔ7	
雁	iæ̃6	
雄	ɕyŋ2	
雅	iɑ3	
集	tʃiəʔ8	
雇	ku5	
雉	tʃi6	
雌	tsʰɿ2	
雛	tʃʰy2	
雕	tiɔ1	
雨	y3	
雪	ʃyəʔ7	
零	liŋ2	
雷	luei2	
雹	pɔ2	
霧	u6	
需	ʃy1	
霄	ʃiɔ1	
震	tʃiɛ̃5	
黴	mei2	
霍	xuəʔ7	
霎	sʌʔ7	
霓	ni1	
霜	suɑŋ1	
霞	ɕiɑ2	
露	lu6	
霸	pɑ5	
霹	pʰiəʔ7	
青	tʃiŋ1	
靖	tʃiŋ5	
靜	tʃiŋ5	
靛	tiæ̃6	
非	fei1	
靠	kʰɔ5	
靡	mi2	
面	muo5	
面	miæ̃6	
革	kʌʔ7	
靴	ɕyə1	
靿	iɔ5	
鞋	ɕiə2	
鞍	~ɣæ̃1	
鞘	tʃʰiɔ5	
鞠	tɕyəʔ7	
鞭	piæ̃1	
韉	pɑi6	
韌	iɛ̃6	
韓	xæ̃2	
韭	tɕiəu3	
音	iɛ̃1	
韻	yɛ̃6	
韶	ʃiɔ2	
頑	uæ̃2	
頁	iəʔ8	
頂	tiŋ3	
頃	tɕʰiŋ3	
項	ɕiɑŋ5	
順	ʃyɛ̃6	
须	ʃy1	
顧	ku5	
頓	tuɛ̃5	
頒	pæ̃1	
頌	suŋ6	
預	y6	
領	liŋ3	
頗	pʰuo3	
頸	tɕiŋ3	
頻	pʰiɛ̃2	
頽	tʰuei2	
穎	iŋ3	
顆	kʰuo1	
題	tʰi2	
顔	iæ̃2	
額	ɣəʔ7	
顛	tiæ̃1	
顫	tʃʰiæ̃5	
顴	tɕʰyæ̃2	
風	fəŋ1	
颼	səu1	
飄	pʰiɔ1	
飛	fei1	
食	səʔ8	
餈	tsʰɿ2	
餐	tsʰæ̃1	
饥	tɕi1	
飩	tʰuɛ̃2	
飭	tʃʰiəʔ7	
飯	fæ̃6	
飲	iɛ̃3	
飲	iɛ̃5	
餞	tʃiæ̃6	
飾	ʃiəʔ7	
飽	pɔ3	
飼	sɿ6	
飴	i2	
餌	l̩3	
饒	iɔ2	
餉	ʃiɑŋ5	
餃	tɕiʌʔ7	
餅	piŋ3	
餑	puəʔ8	
餓	ɣə5	
餘	y2	
餛	xuɛ̃2	
餡	ɕiæ̃6	
館	kuæ̃3	
餿	səu1	
餿	uei5	
饞	tsʰæ̃2	
饃	muo6	
餾	liəu6	
饅	mæ̃2	
首	ʃiəu3	
香	ɕiɑŋ1	
馨	ɕiŋ1	
馬	mɑ3	
馱	tʰuo2	
馱	tuo6	
馴	ɕyɛ̃5	
馳	tʃʰi2	
驅	tɕʰy1	
駁	puəʔ7	
驢	ly2	
駛	sɿ3	
駙	fu6	
駒	tɕy1	
駐	tʃy5	
駝	tʰuo2	
駕	tɕiɑ5	
駡	mɑ6	
驕	tɕiɔ1	
駱	luəʔ8	
駭	xɑi6	
驗	iæ̃6	
駿	tʃyɛ̃5	
騎	tɕʰi2	
騙	pʰiæ̃5	
騷	sɔ1	
驁	ɔ6	
騾	luo2	
驟	tsəu6	
骨	kuəʔ7	
髁	kuo3	
髓	suei2	
高	kɔ1	
髮	fʌʔ7	
髻	tɕi5	
髽	tsuɑ1	
鬃	tsuŋ1	
鬏	tʃiəu1	
鬢	piɛ̃5	
鬼	kuei3	
魁	kʰuei1	
魂	xuɛ̃2	
魄	pʰiəʔ7	
魘	iæ̃3	
魏	uei6	
魔	muo2	
魚	y2	
魯	lu3	
鮎	niæ̃2	
鮑	pɔ6	
鮮	ʃyæ̃1	
鮮	ʃyæ̃3	
鰱	liæ̃2	
鯉	li3	
鰣	sɿ2	
鯽	tʃiəʔ7	
鯨	tɕiŋ1	
鰓	sɑi2	
鰍	tɕʰiəu1	
鰲	ɔ2	
鰭	tɕʰi2	
鰥	kuæ̃1	
鰾	piɔ6	
鱉	piəʔ7	
鱖	kuei5	
鱔	ʃiæ̃6	
鱗	liɛ̃2	
鳥	niɔ3	
鳩	tɕiəu1	
雞	tɕi1	
鳴	miŋ2	
鷗	ɣəu1	
鴉	iɑ1	
鴣	ku1	
鸕	lu2	
鴨	iʌʔ7	
鴦	iɑŋ1	
鴛	yæ̃1	
鴿	kəʔ7	
鸞	luæ̃2	
鴻	xuŋ2	
鵑	tɕyæ̃1	
鵝	ɣə2	
鵡	u3	
鵲	tʃʰyəʔ7	
鵪	~ɣæ̃1	
鵬	pʰəŋ2	
鵮	tɕʰiæ̃1	
鶉	tʃʰyɛ̃2	
鷀	tsʰɿ2	
鷂	iɔ6	
鶴	xəʔ8	
鸚	iŋ1	
鷓	tʃiəʔ7	
鷯	liɔ2	
鷺	lu6	
鷹	iŋ1	
鹹	ɕiæ̃2	
鹿	luəʔ8	
麂	tɕi1	
麒	tɕʰi2	
麝	ʃiə6	
麥	miəʔ8	
麩	fu1	
麻	mɑ2	
麾	xuei1	
黃	xuɑŋ2	
黍	ʃy3	
黎	li2	
黏	niæ̃2	
黑	xʌʔ7	
黑	muəʔ8	
默	muəʔ8	
黢	tʃʰyəʔ7	
鼎	tiŋ3	
鼓	ku3	
鼠	ʃy3	
鼬	iəu6	
鼻	piəʔ8	
鼾	xæ̃1	
齊	tʃʰi2	
齒	tsʰɿ3	
齡	liŋ2	
齪	tsʰuəʔ7	
齷	uəʔ7	
龍	luŋ2	
龔	kuŋ1	
龕	kʰæ̃1	
龜	kuei1	
