#漢字	音標	解釋
#簡稱	/	冷水江錫礦山
#全稱	/	冷水江錫礦山話
#聲母	/	
#韻母	/	
#聲調	/	
#版本	/	2022-03-06
#錄入人	/	DaiDzao
#參考資料	/	《湖南冷水江（錫礦山）方言語音研究》
#說明	/	
車	tɕʰya1-	马～
車	tɕy1	～马炮
車	tsʰɤ1=	
軌	kuɤ3	
軒	ɕyɛ̃1	
轉	tɕyɛ̃3	～眼
轉	tɕyɛ̃5	～圆圈
輪	lin2-	
輪	lan2=	
軟	̃yɛ̃3	
轟	xən1	
軸	tɕʰiəu7	
輕	tɕʰiã1-	
輕	tɕʰin1=	
載	tsæ3	年～
載	tsæ5	～重
載	tsæ5	满～
轎	ʑiɤ1	
較	ʑiɤ5	
輔	fu3	
輛	liã5	
輩	pɤ5	
輝	fɤ1	
輯	tɕi1	
輯	tɕʰi7	编～
輸	ɕy1=	
轄	ɕia7	管～
辛	ɕin1	
辭	zɿ2	
辟	pʰi5	
辣	la5	
辨	ɓiɛ̃5	
辯	ɓiɛ̃5	
辮	piɛ̃1	
辰	ʑin2-	
辰	zən2=	
辱	ʑy3	
辱	ʑiəu3	
邊	piɛ̃1	
遼	liɤ2	
达	ta7	
迁	tɕʰiɛ̃1	
迂	y1	
迅	ʑyən5	
過	ku5	
過	ko5=	
迎	in2	
運	yən5	
近	ʑin3-	
近	ʑin5=	
返	fã3	
還	vã2	～原
還	ɣæ3	～有
進	tɕin5	
遠	̃yɛ̃3	
違	uɤ2	
連	liɛ̃2	
遲	zɿ2	
迥	tɕyən3	
迫	pʰɤ5-	
迫	pʰo5=	
述	ɕy5	
迷	min2-	～信
迷	mi2=	
迹	tɕi5	
追	tsɤ1	
退	tʰɤ5	
送	sən5	
適	sɿ5	
逃	ɗɔ2	
選	ɕiɛ̃3-	
選	ɕyɛ̃3=	
透	tʰiɤ5	
逐	tɕʰiəu7	
遞	tʰi5	
途	ɗəu2	
逗	tiɤ1	
通	tʰən1	
逛	kɔ̃5	
逝	sɿ5	
速	səu5	
造	zɔ5	建～
逢	vən2	
逵	vɤ2	
逸	i5	
逼	pi7-	
逼	pi1=	
遇	y5	
遍	piɛ̃5	
遐	ʑia2	
道	ɗɔ1-	～理
道	ɗɔ5=	～路
遺	i2	
遢	tʰa3	稀～:邋遢
遣	tɕʰiɛ̃3	
遥	iɤ2	
遭	tsɔ1	
遵	tɕin1-	
遵	tsən1=	
避	ɓi5	
邀	iɤ1	
邋	la1	
邓	ɗiɛ̃5-	
邓	ɗən5=	
那	n1	
邦	pɔ̃1	
邪	ʑia2	
郵	iəu2	
邯	ɣã2	
邵	ɕiɤ5	
邹	tɕiɤ1	
鄰	lin2	
郁	y5	
郊	tɕiɤ1	
郎	lɔ̃2	
郡	tɕyən5	
部	vu5-	
部	ɓu5=	
郭	ko7	
都	təu1	
鄙	pʰi3	
酉	iəu3	
酌	tɕyo7	
配	pʰɤ5	
酒	tɕiəu3	
醞	uən5	
酣	xã1	
酥	səu1	
酬	ʑiəu2	
醬	tɕiã5	
酵	ɕiɤ5	
酷	kʰu5	
酸	sɔ̃1	
釀	liã5	
醇	ʑyən2	
醉	tɕiəu5-	
醉	tsɤ5=	
醋	tsʰəu5	
醒	tɕiã1-	
醒	ɕiã3-	
醒	ɕin3=	
采	tsʰæ3	
釋	sɿ5	
里	li3	
重	ʑyən3-	轻～
重	ʑyən2	～复
重	ʑyən5=	～量
野	ia3-	
野	iɛ3=	
量	liã2	～长短
量	liã5	数～
金	tɕin1	
釜	fu3	
鉴	kã5	
鋬	pʰã5	器具的提梁,《集韵》去声谏韵普患切:器系
錦	tɕʰin3	
鏾	ɕiɛ̃5	阉～鸡
针	tɕin1-	
针	tsən1=	
釘	tiã1-	～子
釘	tiã5-	～住
釘	tin1=	～子
釘	tin5=	～住
釣	tiɤ5	
釵	tsʰæ1=	
鉅	tɕy5	
鈍	ɗin1	
鈔	tsʰɔ1	
钟	tɕyən1	
鋼	kɔ̃1	
鑰	yo7	～匙
欽	tɕʰin1	
鈞	tɕyən1	
鉤	tɕiɤ1	
鈀	ɓa2	
錢	ʑiɛ̃2	
鉗	ʑiɛ̃2	
鉢	po7	
鑽	tsɔ̃1	～研
鑽	tsɔ̃5	打～
鐵	tʰi1-	
鐵	tʰiɛ7=	
鈴	lin2	
鉛	̃yɛ̃2-	
鉛	tɕʰiɛ̃1=	
鉚	mɔ3	～钉
鐸	tʰo7	～山:地名
銬	kʰɔ5	
鐺	tɔ̃1	
銅	ɗən2	
鋁	liəu3	
鍘	tsa7	～刀
銘	min2	
铲	tsʰã3	
銀	in2	
鋪	pʰu3-	床～
鋪	pʰu1	～设
鋪	pʰu5=	店～
链	liɛ̃7-	～子
链	liɛ̃5=	项～
銷	ɕiɤ1	
鎖	so3	
鋤	zəu2	
鍋	ko1	
鏽	ɕiəu5	
鋒	fən1	
鋦	tɕy7	
錯	zɔ1-	
錯	tsʰo7=	
錛	pən1	用锤子敲打
錫	ɕia1-	
錫	ɕi7=	
鑼	lo2	
錘	ʑy2-	
錘	zɤ2=	
錦	tɕin3	
鍵	tɕiɛ̃5	
鋸	tɕi5-	～子
鋸	kɤ5	～子:锯子
鍛	ɗɔ̃5	
鍍	ɗəu5	
鎮	tɕin5-	
鎮	tsən5=	
鑷	iɛ̃7	
鏢	piɤ1	
鏡	tɕin5	
鑊	o5	煮菜的锅
鐲	tso7	～子
镰	liɛ̃2	
鑲	ɕiã1	
長	ʑyɔ̃2	～短
長	tɕyɔ̃3	生～
門	min2-	
門	mən2=	
閂	sɔ̃1	
閃	ɕiɛ̃3	
閃	tɕʰyɛ̃3	
閉	pi5	
閉	ɓi5	
問	vən1-	
問	uən5=	
闖	tsʰɔ̃3	
闖	tɕʰyɔ̃3	
閏	ʑyən1-	
閏	yən5=	
闲	ɣã2-	
闲	ʑiɛ̃2=	
間	kã1-	
間	tsiɛ̃1=	中～
悶	mən1-	
悶	mən5=	
閘	tsa7	
鬧	lɔ5	
閨	kuɤ1	
聞	uən2	
閩	min3	
閣	ko7	
閱	yɛ7	
閹	tɕiəu1	
閹	iɛ̃1	
閻	iɛ̃2	
闊	kʰo5	
闋	tɕʰyɛ7	
闕	tɕʰyɛ7	
隊	ɗɤ1-	
隊	ɗɤ5=	
防	ɣɔ̃2	
陽	yɔ̃2	
陰	in1	
陣	ʑin1-	
陣	zən1=	
階	kæ1	
阻	tseu3	
阿	a1	～哥
附	fu5	
際	tɕi5	
陸	ləu5	
隴	lən3	
陳	ʑin2-	
陳	zən2=	
陋	liɤ5	
陌	mo7	～生
降	ʑiã2	投～
降	tɕiã5	下～
限	ɣã5-	
限	ʑiɛ̃5=	
陝	ɕiɛ̃3	～西
陛	ɓi5	～下
陡	tiɤ3	
院	̃yɛ̃5	
除	ʑy2	
險	ɕiɛ̃3	
陪	ɓɤ2	
陵	lin2	
陶	ɗɔ2	
陷	ɕiɛ̃5	
隆	lan2	
隍	ɣɔ̃2=	
隨	zɤ2	
隱	in3	
隔	tɕiɛ7-	
隔	kɤ7=	
隘	æ5	
隙	ɕi5	
障	tɕyɔ̃5	
隧	sɤ5	～道
隶	ɗi5	
難	lã2	～易
難	lã5	患～
雀	tɕʰiɤ5	麻～
雁	iɛ̃5	
雄	ʑyən2	
雅	ia3	
集	tɕʰiɛ7-	
集	pʰia1	
集	tɕʰi7=	
雇	ku5	
雌	zɿ2	
雍	yən1	
雕	tiɤ1	
雨	y3	
雪	sɤ1	
雯	uən2	
雲	yən2	
零	liã2-	
零	lin2=	
雷	lɤ2	
霧	u5	
需	ɕiəu1-	
霄	ɕiɤ1	
霆	ɗin2	
震	tɕin5-	
震	tsən5=	
霉	mɤ2	
霍	ɣo5	
霜	sɔ̃1	
霞	ʑia2	
露	ləu5	
霸	pa5	
霸	pã5	～蛮
青	tɕʰiã1-	
青	tɕʰin1=	
靖	ʑin5	
靜	ʑin5	
靛	ɗiɛ̃1	脱～:褪色
非	fɤ1	
靠	kʰɔ5	
面	miɛ̃1-	脸
面	miɛ̃5=	脸
革	kɤ7	
靴	ɕya1	
靶	pa3	
鞋	ɣæ3	
鞍	ã1	
鞠	tɕiəu7	
鞭	piɛ̃1	
韓	ɣã2	
韭	tɕiəu3	
音	in1	
韵	tsʰɿ1	
韵	pʰia1	
韵	lɔ̃2	
韵	tɕʰin3	
韵	yən5	
韵	tɕʰiã5	
韶	ʑiɤ2	～关
顉	tɕʰin3	～起脑壳:低着头,《广韵
頁	iɛ̃5	
頂	tin3	
項	ɕiã5	
順	ʑyən5	
順	ɕyən5=	
须	ɕiəu1-	
须	ɕy1=	
頑	uã2	～皮
顧	ku5	
頓	tin5	
頒	pã1	
頌	sən5	
預	y5	
領	liã3-	
領	lin3=	
頗	pʰo1	
頸	tɕiã3-	
頸	tɕin3=	
頤	tɕʰin3	
頻	ɓin2	
頷	ɣã2	
穎	in3	
顆	kʰo1	
題	ɗi2	
顏	ã2-	～色
顏	iɛ̃2=	笑～
額	a5-	～头
額	ɤ7=	金～
顛	tiɛ̃1	
顫	tsʰã5	
顴	ʑyɛ̃2	～骨
風	fən1	
飄	pʰiɤ1	
飆	piɤ1	
飈	piɤ1	
飛	fɤ1	
食	sɿ5-	
食	sɿ7=	
餈	zɿ2	
餐	tsʰã1	
餘	y2	
饥	tɕi1	
飩	ɗən5	馄～
飫	y5	～饭,喂，《广韵》去声，御韵，依据切:饱也，厌也，赐也
飯	vã1	
飲	in3	
飾	sɿ5	
飽	pɔ3	
飼	zɿ2	
餌	ɤ3	
餉	ɕyɔ̃3	
餃	tɕiɤ3	
餅	piã3-	
餅	pin3=	
餓	o1-	
餓	o5=	
館	kɔ̃3	
餿	ɕiɤ1	
饞	zã2	
饃	mo2	
餾	liəu2	
饅	mɔ̃2	
首	ɕiəu3	
香	ɕyɔ̃1	
馨	ɕin1	
騲	tsʰɔ3	～猪，母猪
馬	ma3	
馱	ɗo2	
馳	zɿ2	
驅	tɕʰy1	
駁	po7	
驢	ləu2	
駛	sɿ3	
駒	tɕy1	
駐	tɕy5	
駝	ɗo2	
駕	tɕia5	
罵	ma1-	
罵	ma5=	
驕	tɕiɤ1	
駱	lo5	
駭	ɣæ5	
驗	iɛ̃5	
駿	tɕyən5	
騎	ʑi2	
騙	piɛ̃5	
騷	sɔ1	
騾	lo2	
驟	ʑiəu5	
骨	kuɤ1-	～头
骨	ku7=	～头
髀	pa5	鸡～子:鸡腿
髓	sɤ3	
高	kɔ1	
髮	fa3	头～
髻	tɕi5	
鬍	u7-	～子
鬍	vu2=	～鬚
鬼	kuɤ3	
魁	kʰuɤ1	
魂	vən2	
魄	pʰɤ5-	
魄	pʰo5=	
魅	mɤ5	
魏	uɤ5	
魔	mo2	
魚	y2	
魷	iəu2	
魯	ləu3	
鮎	liɛ̃2	
鮑	pɔ5	
鮮	ɕiɛ̃1	
鰱	liɛ̃2	
鯉	li3	
鯽	tɕi7	
鯤	kʰuən1	
鯰	liɛ̃2	
鯨	tɕin1	
鰓	sɤ1	
鰭	ʑi2	
鰾	ɓiɤ2	
鱖	kuɤ5	～鱼
鱔	ʑya3	黄～
鱗	lin2	
鳥	tiɤ7	～仔,小鸟
鳥	iɤ3=	
鳩	tɕiəu1	
雞	tɕi1	
鳴	min2	
鴉	ia1	
鸕	ləu2	
鴨	a1-	
鴨	ia7=	
鴿	ko7	
鴻	ɣən2	
鵑	tɕyɛ̃1	
鵝	o2	
鵲	tɕʰiɤ5	
鵪	ã1	
鷀	zɿ2	鸬～
鶴	xo5	
鸚	vu3-	
鸚	in1	
鸚	u3=	
鷺	ləu5	
鷹	in1	
鹿	ləu1	
麓	ləu5	
麝	sɤ5	～香
麟	lin2	
麥	ma5-	
麥	mɤ7=	
麪	miɛ̃1	～条
麻	ma2	
黃	ɔ̃2-	
黃	ɔ̃7	单说:蛋黄
黃	ɣɔ̃2=	
黎	li2	
黑	xɤ1	
默	mɤ7	
鼎	tiã7-	
鼎	tin3=	
鼓	ku3	
鼠	ɕy5	
鼻	ɓi1-	
鼻	pi7=	
鼾	xã1	
齊	ʑi2	
齒	tsʰɿ3	
齡	lin2	
齙	pɔ5	～牙
龍	lan2	
龜	kuɤ1	
𨃅	pæ1	足跛
𨉣	xa1	～腰
