#漢字	音標	解釋
㩳	ɕyɔ3	用脚蹬
淀	di6	白洋淀:地名
淄	tsɿ1	淄博
淅	sɿ7	淅沥:拟声词
淆	ɦuɔ2	混淆是非
淋	ləŋ2	淋巴
淌	tʰuɔ3	流淌
淑	ʑiəu8	贤淑
淖	nuɔ6	泥沼
淘	də2	淘米淘气
淙	tsʰoŋ1	水流貌
淞	soŋ1	淞江
淡	da4	冲淡
淤	jʰʮ1	清淤
淫	jiaŋ2	奸淫
淬	tsa5-	淬火
淮	wa2	淮河
深	saŋ1	深刻
淳	zoŋ2	淳安深厚
混	waŋ4	混合
淹	ʰji1	淹死
添	tʰiɛ1	增添
清	tɕʰiəŋ1	清楚
淵	ʰjy1	渊源
漬	zɿ6	浸泡,积水
瀆	du8	亵渎
漸	ʑi4	逐渐
澠	mi4	渑池
漁	ŋ̍2	渔夫,渔家
滲	saŋ5	渗透
渚	tɕʮ3	小洲
渝	jʮ2	重庆简称
渠	dʑʮ2=	水渠
渠	ɡe2-	第三人称指代词
渡	du6	轮渡
渣	tso1	煤渣
渤	bø8	渤海
溫	ʰjy1	温州
溫	ʰwaŋ1	温吞
渫	dza8=	在沸水中煮你渫搭訾那睏呢?米洗爻洗米水着谍谍爻
渫	za8=	在沸水中煮
港	kuɔ3	香港
渲	ɕy5	渲染
渴	kʰø7	渴望
游	jiau2	游泳
渺	myə4	渺茫
湃	pʰɛ5	澎湃
湄	mi2	湄公河
湍	tʰø1	湍急
湎	mi4	沉湎沉迷于酒
湖	wu2	湖泊
湘	ɕiɛ1	湖南的简称
湛	dza4	湛江
湜	dzɿ8	清澈
湫	tɕʰiəu1	龙湫
湮	ʰji1	埋没
灣	ʰwa1	港湾
溼	sai7	潮湿
潰	wai6=	崩溃
潰	ɡai6-	溃疡
濺	tɕi5	飞溅
溉	ke5	灌溉
溏	duɔ2	池塘
源	ȵy2	来源
準	tɕyoŋ3	基凖
溘	kʰø7	突然
溜	liəu6	溜梯
溜	ʰliəu1	滑溜
溢	jiai8	满溢
溧	li8	古水名
溧	li8	溧冽:寒冷
溪	tsʰɿ1	溪滩
溯	ɕʮ5	逆水而上
溲	sau3	排泄大小便
溶	jyoŋ2	溶解
溺	ȵia6	溺爱
溺	ȵiai8	溺水
溻	tʰa7	浸汗
滂	pʰuɔ1	~沱
滃	oŋ3	大水沸涌貌
滇	ti1	滇池
滋	tsɿ1	滋润
滋	tsɿ1	滋生
滑	ɦo8	滑稽
滓	tsɿ3	渣滓
滔	tʰə1	大浪滔天
滕	daŋ2	姓氏
潷	pyə7	挡住渣滓把液体倒出来
滚	kaŋ3	滚动
滯	dzɿ6	停滞
滿	mø4	满足
瀅	ʰjiaŋ5	滢泞:水清澈
濾	lu6	过滤
濫	la6	泛滥
濱	pəŋ1	湖滨
灘	tʰa1	海滩
滰	tɕiaŋ5	淘米后滤净泔水
滴	ti7	点滴
漂	pʰyə1	漂亮
漂	pʰyə3	漂白
漆	tsʰai7	油漆
漈	tsɿ5	白水~
漉	lu8	过一过水
漏	lau6	漏洞
漓	li2	漓江
演	ji4	演出
漕	zə2	漕运
漚	au5	长时间浸泡
漠	mo8	沙漠
漦	zɿ2	泥~
漩	ʑy2	漩涡
漪	ʰji1	涟漪
漫	ma6	浪漫
漭	muɔ4	水广大貌
漱	sau5	漱口
漾	jiɛ6	水流长
瀟	ɕyə1	潇湘潇酒
潒	ʑiɛ4	激雨
潘	pʰø1	姓氏
潛	ʑi2	潜伏
潢	ɦuɔ2	装潢
潦	lyə4	潦草
潭	dø2	水潭
潮	dʑyə1	潮水
潲	suɔ5	水猪饲料
潸	sa1	潸然泪下
潺	za2	流水潺潺
潼	doŋ2	水名
澄	dʑiəŋ2	澄清
澈	dʑi8	清朗
澎	bɛ2	澎湃
瀾	la4	口~水:口水
瀾	la2	波澜
澡	tsə3	洗澡
澳	ə5	澳洲
澹	da4	恬淡
激	tɕiai7	感激激动
濂	pyə1	液体冲射而出
瀕	pəŋ1	濒临
濛	moŋ2	小雨貌
濠	ɦə2	水名
濡	ʑʮ2	相濡以沫
濮	pʰo7	姓氏
濯	dʑyo8	洗涤污垢
瀊	bø2	水涌溢,苍蝇打~起
瀑	bo8	瀑布
瀚	ɦø6	瀚海:地名
瀛	jiaŋ2	瀛洲
灌	kø5	灌溉
灤	lø2	开~
火	fu3	火灾
滅	mi8	消灭
燈	taŋ1	灯笼
灰	fai1	灰色
靈	ləŋ2	灵魂
靈	tɕyoŋ3	炅炅:明亮貌
竈	tsə5	镬灶
灸	tɕiau3	针灸
灼	tɕia7	烧炙
災	tse1	灾难
燦	tsʰa5	灿烂
煬	jiɛ2	熔化金属
爐	lu2	炉灶
炊	tɕʰʮ1	炊饭
炎	ji2	发炎
炒	tsʰuɔ3	炒菜
炔	tɕʰy7	有机化合物
炕	kʰuɔ5	火炕
燉	daŋ4	温炖汤
燉	taŋ5	炖卵糕
炙	tsɿ7	烤熟的肉
煒	jʮ2	色红而有光泽
炬	dʑʮ4	火炬
炭	tʰa5	煤炭
炮	pʰuɔ5	炮击
炯	tɕyoŋ3	火光
炳	pəŋ3	彪炳
炷	tɕʮ5	一炷香
炸	tsa5	油炸课
炸	tso5	炸弹
點	tiɛ3	地点
點	tiɛ5	提醒
煉	li6	锻炼
熾	tsʰɿ5	炽热
爍	ɕia7	烁光
爛	la6	腐烂
烴	tʰəŋ1	碳氢化合物
烄	ŋuɔ6	~油
烈	li8	猛烈
烊	jiɛ6	打烊
烊	jiɛ2	融化
烘	hoŋ1	烘烤
烙	lo8	烫烙用器物烫
燭	tɕyo7	蜡烛
烟	ʰji1	烟囱
烤	kʰə3	烧烤
煩	va2	烦恼
燒	ɕyə1	燃烧
燁	ji8	明亮
燴	wai6	杂烩
燙	tʰuɔ5	烫伤
燼	zaŋ6	灰烬
熱	ȵi8	热烈
烷	jy2	有机化合物
烹	pʰɛ1	烹饪
烽	hoŋ1	烽火
焉	ji2	心不在焉
焊	ɦø6	焊接焊工
煥	hø5	一种烹饪方法
煥	hø5	焕发光彩
燜	maŋ6	焖熟
焗	dʑyo8	一种烹饪方法
燾	də6	人名用字
焙	bai6	烘焙
焚	vaŋ2	焚烧
焦	tɕyə1	焦急
焯	tɕʰia7	焯菜
焰	ji6	火焰
然	ʑi2	当然
煊	ɕy1	煊赫:气势盛大貌
煌	ɦuɔ2	辉煌
煎	tɕi1	煎熬
煜	jiəu8	照耀
煞	sa7	结煞
煠	za8=	将食物放进沸水里煮一煮或放进油里炸一炸
煠	dza8-	油炸
煤	me2	煤炭
煦	ɕʮ5	温煦
照	tɕyə5	照顾
煨	ʰwai1	火煨
煮	tɕʮ3	煮饭
煲	pə1	用文火烧煮或熬
煺	tʰai5	用滚水烫已宰杀的猪、鸡等以去毛
煽	ɕi1	扇火使旺煽动
熄	sɿ7	熄灭
熊	jyoŋ2	熊猫
熏	ɕyoŋ1	火烟上出
熔	jyoŋ2	熔炉
熙	sɿ1	光明
熟	ʑiəu8	熟悉
熠	jiai8	闪耀
熨	ʰjyoŋ7	用熨斗之类烫平衣物
熬	ŋə2	熬夜
熹	sɿ1	盛燃
燃	ʑi2	燃烧
燎	lyə4	燎原
燕	ʰji1	燕山
燕	ʰji5	燕子
燠	jʰiəu7	暖,热
燥	sə5	干燥
燮	sɿ7	和顺
燹	ɕi3	兵火
爆	puɔ5	爆米花
爆	bə6	爆炸
爊	ə1	一种烹饪方法
爝	tɕia7	烧苇把以除邪去恶
爪	tsuɔ3	脚爪
爬	bo2	爬行
爬	bo2	爬灰
愛	e5	爱护
爵	tɕia7	伯爵
父	vu4	父亲
爺	ji2	爷爷
爸	pa5	对父亲的称呼
爹	ti1	爹爹
爻	ɦuɔ2	卦的符号
爽	suɔ3	凉爽
爿	ba2	柴
片	pʰi5	片面
版	pa3	出版
版	pa3	舢板
牌	bɛ2	品牌
牘	du8	尺牍
牒	diɛ8	简札
牙	ŋo2	牙齿
牛	ŋau2	牛马
牟	mə2	牛鸣声
牡	mə4	牡丹
牢	lə2	牢监
牦	mə2	牦牛
牧	mu8	牧羊
物	wai8=	事物
牮	tɕi5	撑屋使不倾斜
牯	ku3	猪牯
牲	sɛ1	畜生
牽	tɕʰi1	牵制
特	de8	特别
犧	sɿ1	牺牲
牾	ŋ̍4	牾逆
犀	sɿ1	犀牛
犁	li2	犁田
犄	ʰji1	犄角
犢	du8	牛犊
犒	kʰə5	犒劳
犬	tɕʰy3	军犬
犯	va4	犯罪
狀	dʑyɔ6	形状告状
狀	ʑyɔ2	状师
獷	kuɔ3=	勇猛强悍
獷	ɡuɔ4	蛮横,该人犷显
猶	jiau2	如同犹豫
犼	hau3	那里,许屋合音
狂	dʑyɔ2	疯狂
狃	ȵiau6	哪里,“若屋”合音
狄	di8	姓氏
狽	pai5	狼狈
狎	ɦa8	接近
狐	wu2	狐狸
狒	fi5	狒狒
狗	kau3	猎狗
狙	tɕʮ1	狙击
獰	ȵiaŋ2	狰狞
狠	haŋ3	凶狠
狡	ka3	狡猾
狡	kuɔ3=	狡辩
狩	ɕiəu3	狩猎
獨	du8	独立
狹	ɦa8	狭长
獅	sai7	狮子
獅	sɿ1	雄狮
猙	tsɛ1	狰狞
獄	ȵyo8	监狱
獄	ŋo8	高峻的大山
猻	sø1	猢狲:猕猴的一种
狸	li2	狐狸
狼	luɔ2	狼狗
獵	liɛ8	打猎
獼	mi2	猕猴
猖	tɕʰiɛ1	猖狂
猛	mɛ4	凶猛
猜	tsʰe1	猜测
猝	tsʰai7	猝不及防
猢	wu2	猢狲
猥	ʰwai3	猥琐淫猥
猩	ɕiəŋ1	猩猩
豬	tɕʮ1	猪心
猫	ʰmuɔ1	猫儿熊猫
猫	ʰmyə1	猫叫声
猫	muɔ2	猫狸大猫
蝟	jʮ6	刺猬
獻	ɕi5	贡献
猴	ɦau2	猴头
猷	jiau2	谋略
猻	tʰiɛ5	振灯芯
猾	ɦo8	狡猾
猿	jy2	猿猴
獒	ŋə2	藏獒
獗	tɕy7	猖獗:任意横行
獠	lyə2	獠牙
獺	tʰa7	水獭
玄	jy2	玄机
率	li8	效率
率	sai7	率领
玉	ȵyo8	宝玉
王	jyɔ2	王室
玖	tɕiau3	九的大写
瑪	mo4	玛瑙
玩	ŋø6	玩具
玫	me2	玫瑰
瑋	jʮ4	玉名
環	wa2=	环境
環	ɡa6-	门环
現	ji6	实现
玲	ləŋ2	玲珑
玳	de6	玳瑁
玷	tiɛ3	玷污
璽	sɿ3	玉玺
玻	pu1	玻璃
珀	pʰɛ7	琥珀
珊	sa1	珊瑚
珍	tsaŋ1	珍贵
珏	ko7	双玉
琺	huɔ7	珐琅
瓏	loŋ2	玲珑
珠	tɕʮ1	珍珠
珩	ɦɛ2	佩玉
班	pa1	班级
璫	tuɔ1	古代妇女的耳饰
球	dʑiau2	排球
琅	luɔ2	琳琅
理	li4	道理
琉	liəu2	琉璃
璉	li4	古代宗庙中盛黍稷的礼器
瑣	so3	烦琐
琛	saŋ1	人名用字
琛	tsʰaŋ1	珍宝
琢	tɕyo7	雕刻加工琢磨
琥	fu3	琥珀
琦	dzɿ2	美玉
琪	dzɿ2	美玉蜴
琬	ʰjy3	琬琰:美玉
琮	tsʰoŋ1	瑞玉
琯	kø3	玉管
琳	ləŋ2	琳琅
琴	dʑiaŋ2	钢琴
琵	bi2	琵琶
琶	bo2	琵琶
瓊	dʑyoŋ2	美玉
瑕	ɦo2	瑕疵
瑙	nə4	玛瑙
瑚	wu2	珊瑚
瑛	ʰjiaŋ1	玉的光彩
瑜	jʮ2	美玉
瑞	ʑʮ6	瑞安
瑟	sai7	琴瑟
瑰	kai1	瑰宝
瑶	jyə2	瑶族
瑾	dʑiaŋ6	瑾瑜:泛指美玉
璀	tsʰai3	璀璨
璃	li2	玻璃
璇	ʑy6	美玉
璋	tɕiɛ1	瑞,玉名
瓔	ʰjiaŋ1	似玉的美石
璐	lu6	美玉
璜	ɦuɔ2	玉器名
璞	pʰo7	璞玉
璟	tɕiaŋ3	玉的光彩
璧	pi7	美玉
璨	tsʰa5	璀璨
瓚	zø2	乱走动
瓚	tsa5	祭祀用的玉酒勺
瓜	ko1	西瓜
瓢	byə2	瓜瓢
瓣	ba6	花瓣,豆瓣酱
瓤	ȵiɛ2	红瓢
瓦	ŋo4	瓦背头
瓮	oŋ5	小口大腹的陶制汲水罐
甌	au1	瓯江
瓶	bəŋ2	空瓶
瓷	zɿ2	瓷砖
瓷	zɿ2	陶瓷
甄	tsaŋ1	制作陶器
甍	mɛ2	屋脊
甏	bɛ6	瓮类陶器
甑	tɕiəŋ5	蒸食炊器
甘	kø1	甘蔗
甚	zaŋ4	甚至
甜	diɛ2	甜味
生	sɛ1	生产
甥	sɛ1	外甥
用	jyɔ6	用途
甩	ɕiai7	抛开
甫	fu3	刚刚
甬	jyɔ4	甬江
甭	puɔ1	“不用”两字的合音
田	di2	田地
由	jiau2	理由
甲	ka7	天干第一位
申	saŋ1	申请地支第九位
電	di6	电器
男	nø2	男女
甸	di6	伊甸
町	tʰəŋ1	町畦
畫	wɛ8	笔画
畫	ɦo6	连环画入话讲话
暢	tɕʰiɛ5	畅快
畈	fa5	成片的田
界	kɛ5	世界
畏	jʰʮ5	畏惧
畔	bø6	湖畔
留	liəu2	留心
畚	paŋ3	畚斗
畜	tɕʰiəu7	牲畜畜生
畜	ɕiəu7	畜牧
略	liɛ8	侵略
畦	jʮ2	菜畦
番	fa1	番人
番	pʰø1	番禺
畲	sɿ1	畲族
疇	dʑiəu2	已耕作的土地
畸	tsɿ1	畸形
畿	tsɿ1	
疆	tɕiɛ1	边疆
疋	pʰyə7	布疋
疏	so1	疏散
疑	ŋ̍2	怀疑
疔	təŋ1	~疮
癤	tɕi7	疮
療	lyə6	医疗
疙	kə1	疙瘩
疚	tɕiau5	负疚
疝	sa5	疝气
瘧	ȵia8	疟疾
瘍	jiɛ2	溃疡
疤	po1	伤疤
疥	kɛ5	疥疮
疫	jy8	防疫
癧	li8	凛疬
瘡	tsʰuɔ1	疮疤
瘋	hoŋ1	疯狂飘浮
疱	pʰuɔ5	疱疹
疲	bi2	疲劳
疳	kø1	疳积:小儿营养障碍症
疴	kʰu1	疴疾
疵	tsʰɿ1-	吹毛求疵
疵	zɿ2=	小病
疸	ta3	风疸
疹	tsaŋ3	麻疹
疼	daŋ2-	疼痛
疼	doŋ2=	疼痛
疽	tɕʮ1	炭疽
疾	zai8	疾病
病	bəŋ6	疾病
症	tɕiəŋ5	症候,病象症状病症
症	tɕiəŋ1	瘢瘢结
癰	ʰjyɔ1	背上生个痈
痙	dʑiaŋ4	痉挛
痊	tɕʰy1	病愈
痍	ji2	满目疮痍
痒	jiɛ4	皮肤因刺激而引起想搔的感觉痛痒
痔	dzɿ4	痔疮
痕	ɦaŋ2	伤痕
痕	ɦø2	痕迹
痘	diəu6	痘苗
痛	tʰoŋ5	病痛
痞	bi4	兵痞
痢	li6	痢疾
痣	tsɿ5	黑痣
痤	zo2	痤疮
痧	so1	刮痧
癆	lə2	痨病
瘓	mo8	毛病
瘓	hø5	瘫痪
癇	ɦa2	癫痫
痰	da2	痰唾
痱	fi5=	痱子
癡	tsʰɿ1	痴呆
痹	pi5	麻痹
痼	ku5	痼疾
痿	jʰʮ3	阳痿
瘁	zai6	心力交瘁
瘌	la8	同“癞”
瘑	ku1	~佬
瘻	lau6	瘘管
瘟	ʰjy1	瘟疫
瘠	tsɿ7	贫瘠
瘢	bø2	创口或疮口愈合后留下的痕迹
瘤	liəu2	肿瘤
瘦	sau5	瘦弱
瘩	ta7	疙瘩
癟	bi8	干瘪:不饱满
癟	pi7	瘪三
癱	tʰa1	瘫痪
瘰	lo4	~疬
瘴	tɕiɛ5	瘴气
瘸	dʑʮ2	瘸腿
癮	ʰjiaŋ3	过瘾
癃	loŋ2	衰老病弱
癌	ŋa2	癌症
癍	pa1	瘫疮
癔	ʰji7	癔病
癖	pʰi7	癖好
癗	lai4	快大~儿
癜	di6	白癜风:皮肤病的一种
癩	lɛ4	癞头
癬	ɕi3	皮癣
癲	ti1	疯癫
癸	tɕʮ3	天干第十位
登	taŋ1	登记
白	bɛ8	白色
白	bi2	肥肉肥浪荡
百	pɛ7	千百
百	pɛ7	百色
皂	zə4	肥皂
的	ti7	标的的确
皆	ka1	皆大欢喜
皇	ɦuɔ2	皇帝
皈	kai1	返回
皋	kə1	沼泽
皎	tɕyə3	皎白
皚	ŋe2	白雪皑皑
皓	ɦə4	光明
皖	wa4	安微省简称
皙	sɿ7	人肤色白白皙
皮	bi2	皮肤
皺	tsau5	皱眉头
皸	tɕyoŋ1	皮肤受冻而坼裂
皴	tɕʰyoŋ1	皴皮
皿	məŋ4	器皿
盂	jʮ2	痰盂
盅	tɕyoŋ1	无柄小杯
盆	bø2	盆碗
盈	jiaŋ2	盈利
益	ʰjiai7	利益
盍	ɦø8	聚合
盎	uɔ5	盎司
盞	tsa3	灯盏
鹽	ji6	动词,用盐腌物
鹽	ji2	名词,盐酸
監	ka5	太监
監	ka1	监视牢监
盒	ɦa8	盒儿
盒	ɦø8=	纸盒
盔	kʰai1	头盔
盖	ke5	遮盖
盜	də6	强盗
盤	bø2	方向盘
盛	ʑiəŋ6	兴盛
盛	ʑiəŋ2	盛饭
盟	məŋ2	同盟
盥	kø5	盥洗
目	mu8	目光
盲	mɛ2	文盲
直	dzɿ8	直接
相	ɕiɛ1	互相
相	ɕiɛ5	宰相照相
盼	pʰa5	盼望
盾	daŋ4	盾牌
盾	dʑyoŋ4	矛盾
省	ɕiəŋ3	反省
省	sɛ3	浙江省省略
眈	ta1	虎视眈眈
眉	mi2	眉毛
看	kʰø1	看守
看	kʰø5	看见
瞘	kʰau1	眼珠深陷貌
眙	tsʰɿ5	直视
真	tsaŋ1	真正
眠	mi2	睡眠
眨	tsa7	眨眼
眩	jy6	眼昏发花眩目
眯	ʰmi1	笑眯眯
眵	tsʰɿ1	眼屎
眶	tɕʰyɔ1	眼眶
眷	tɕy5	家眷
眸	mə2	眸子:瞳仁
眺	tʰyə5	眺望
眼	ʰŋa1-	眼眼
眼	ŋa4	眼睛
着	tɕia7-	着衣
着	dʑia8=	着火
着	dʑia8=	着色
睜	tsɛ1	眼睁开
睇	di6	斜视
睏	kʰø5	疲倦欲睡,打睏瞌
睞	le6	青睐
瞼	tɕi3	眼皮
睛	tɕiəŋ1	眼睛
睡	zai6	睡觉
督	tu7	基督
睥	pʰi5	睥睨一切
睦	mu8	和睦
睨	ȵi6	斜视
睫	ʑi8	睫毛
睬	tsʰe3	理睬
睹	tu3	目睹
睽	tɕʰy1	众目睽睽
睾	kə1	睾丸
睿	zai6	睿智
瞄	myə2	瞄准
瞅	tɕʰiəu3	看;望
瞊	duɔ2	瞙~
瞋	tsʰaŋ1	瞋目:发怒时睁大眼睛
瞌	kʰai7-	打睏瞌
瞌	kʰø7=	睡觉,瞌睡
瞎	ha7	眼睛失明
瞑	məŋ2	闭目
瞞	mø2	隐瞒
瞟	pʰyə3	瞟眼
瞠	tsʰɛ1	瞪眼直视貌
瞥	pʰi7	一瞥
瞧	tɕʰyə1	瞧见
瞩	tɕyo7	瞩目
瞪	tʰaŋ5	眼灵珠瞪起荸荠白恁
瞪	dʑiəŋ6	瞪大眼睛瞪目结舌
瞪	taŋ1	鸡鸭的嗉囊
瞬	ɕyoŋ5	瞬刻
瞭	lyə6	瞭望
瞰	kʰø5	鸟瞰
瞻	tɕi1	高瞻远瞩
瞽	ku3	盲人
瞿	dʑʮ2	姓氏
矗	tɕʰyo7	矗立
矛	muɔ2	矛盾
矜	dʑiaŋ2	矜持
矢	sɿ3	矢志不渝
矣	ji4	语气助词
知	tsɿ1	知识
矩	tɕʮ3	规矩
矯	tɕyə3	矫正
短	tø3	长短
矮	ɛ3	矮人
石	ta5	一石米
石	zɿ8	石头
矽	zɿ8	矽肺
礬	va2	明矾
礦	kʰuɔ5	矿产
碼	mo4	编码
砂	so1	砂石
砌	tsʰɿ5	砌墙
砍	kʰø3	砍伐
砑	ŋo6	碾轧
砒	pʰi1	砒霜
研	ȵi2	研究
磚	tɕy1	砖头
硯	ji6	砚台墨砚
砝	huɔ7	砝码
砟	zo8	砟略:岩石错落不齐貌
砣	du2	秤砣
砥	ti3	砥柱
砧	tsaŋ1	板砧
砰	pʰɛ1	象声词
破	pʰɛ5-	破嘴,破柴,破毛竹
破	pʰu5=	破坏
砸	tsa7	砸碎
礪	li6	砥砺
礱	loŋ2	砻糠
礫	li8	瓦砾
礎	tsʰo3	基础
礎	tɕʰʮ3	础
硅	dʑʮ4	砥硅
硅	tɕy1	硅谷
硌	ɡo8	硬~~
碩	zɿ8	硕士
硝	ɕyə1	硝酸
硫	liəu2	硫酸
硬	ŋɛ6	强硬
確	kʰo7	确实
礆	ka3	含氢氧根的化合物的统称
硼	boŋ2	硼酸
碇	dəŋ6	石墩
碉	tyə1	碉堡
碌	lu8	碌碌无为
礙	ŋe6	妨碍
碎	sai5	零碎
碑	pai1	石碑
碓	tai5	水碓
碗	ʰjy3	饭碗
碘	tiɛ3	碘酒
碟	diɛ8	碟片
碣	dʑi8	圆顶的碑石碣石
碧	pi7	碧玉
碰	pʰoŋ5	碰见
鹼	ɦa2	淡像盐那样的味道
鹼	ka3	碱性
碳	tʰa5	碳酸
碾	ȵi4	碾压
磅	buɔ2	磅秤
磅	buɔ6	英美制重量单位
磉	suɔ3	磉础
磊	lai4	磊落
磋	tsʰo1	切磋
磐	bø2	磐石
磔	tsɛ7	用车裂尸
磕	kʰai7-	磕头
磕	kʰø7=	磕磕绊绊
磨	mu2	磨刀
磨	mu6	磨石
磬	tɕʰiaŋ5	磬声
磷	ləŋ2	磷矿
礁	tɕyə1	礁石
礅	tø1	石礅
礌	lai6	以木石下投
礴	bo8	磅礴:遍及
示	zɿ6	显示
禮	li4	礼貌
社	zɿ4	社会
祀	zɿ4	祭礼
祁	dzɿ2	姓氏祁连山
祈	dzɿ2	祈求
祉	tsɿ3	福祉
禕	ʰji1	美好
祐	jiau6	神灵庇祐
祖	tɕʮ3	祖先
祚	zo6	福,帝位
祛	tɕʰʮ1	除去祛邪
祝	tɕiəu7	庆祝
神	zaŋ2	神灵
祟	ɕʮ5	鬼鬼祟祟
祠	zɿ2	祠堂
祥	ʑiɛ2	吉祥
票	pʰyə5	车票
祭	tsɿ5	祭礼
禱	tə3	祷告
禍	wu4	祸害
稟	pəŋ3	禀告
禁	tɕiaŋ5	禁止
祿	lu8	福禄寿喜
禪	ʑi6	以帝位让人禅让
禪	ʑi2	坐禅
福	fu7	幸福
禧	sɿ3	福禄寿禧
禹	jʮ4	夏禹
禺	ȵy2	曹禺
离	li2	离别
禽	dʑiaŋ2	禽兽
禾	wu2	禾木
秀	ɕiəu5	优秀
私	sɿ1	公私
秃	tʰu7	秃头
稈	ky3	麦秆
秉	pəŋ3	秉公
秋	tɕʰiəu1	秋天
秋	tɕʰiəu1	鞍秋千
種	dʑyoŋ2	姓氏
種	tɕyɔ3	种子
種	tɕyɔ5	种树
科	kʰu1	科学
秒	myə4	分秒
秘	mi6	秘书隐秘
秘	pi5	译音用字,秘鲁
租	tɕʮ1	租金
秣	mø8	牲口的饲料
秤	tɕʰiəŋ5	银秤
秦	zaŋ2	秦始皇
秧	ʰjiɛ1	秧歌
秩	dzai8	秩序
秫	ʑy8	谷名
積	tsɿ7	积极
稱	tɕʰiəŋ5	测定物体重量的器具
稱	tɕʰiəŋ1	称呼
移	ji2	转移
穢	jʰʮ5	形秽淫词秽语
稀	sɿ1	稀薄
程	dʑiəŋ2	程序
程	fu1	谷壳
稍	suɔ1	稍微
稍	suɔ5	稍息哨一眼
税	ɕʮ5	税收
稚	dzɿ6	幼稚
稞	kʰu1	青稞
稠	dʑiəu2	稠密
穌	ɕʮ1	耶稣苏醒
穩	ʰjy3	稳定
稷	tse7	不黏的黍
稹	tsaŋ3	稹稹坚
稻	də4	早稻
稼	ko5	庄稼
稽	tsɿ1	滑稽
稿	kə3	文稿
穆	mu8	肃穆
穡	se7	收获谷物
穗	ʑʮ6	麦穗
穴	jy8	走穴
究	tɕiau5	究竞
窮	dʑyoŋ2	贫穷
穹	tɕʰyoŋ1	苍穹
空	kʰoŋ5	亏空
空	kʰoŋ1	空虚
穿	tɕʰyoŋ1-	穿针
穿	tɕʰy1=	贯穿
突	dø8	突然
竊	tɕʰi7	盗窃
窄	tsɛ7	狭窄
窈	ʰjyə3	窈窕:仪态美好貌
竅	tɕʰyə5	窍门
窯	jyə2	窑洞
窒	tsai7	窒息
窕	dyə4	窈窕
窖	ʰjiaŋ5	地窖窖井
窖	kuɔ5	酒窖
窗	tɕʰyɔ1	窗户
窘	dʑyoŋ4	困迫
竄	tsʰø5	上蹿下跳
窩	ʰwu1	鸟窝
窟	kʰy7	窟窿
窠	kʰu1	鸟窠
窺	tɕʰʮ1	窥见一斑
竇	dau6	姓氏
窸	sɿ7	窸窣
窿	loŋ2	窟窿
立	liɛ8	立正立功
竑	ɦoŋ2	竑议
豎	ʑʮ4	竖立
站	dza6	车站
競	dʑiaŋ6	竞赛
竟	tɕiaŋ5	毕竟
章	tɕiɛ1	章程
竣	tɕyoŋ5	完成
童	doŋ2	儿童瞳孔
竦	ɕyɔ3	恭敞
竭	dʑi8	竭力
端	tø1	端正
竹	tɕiəu7	茅竹
竺	tɕiəu7	姓氏
竽	jʮ2	滥竽充数
竿	ky1	竹竿
篤	tu7	厚道
笆	po1	篱笆
笋	ɕyoŋ3	冬笋
笏	ɕy7	朝笏
笐	ɦuɔ2	笼~
笑	ɕyə5	笑话
筆	pyə7	笔记
笙	sɛ1	芦笙
笛	di8	笛子
笞	tsʰɿ1	鞭答
笠	li8	箬笠
笡	tsʰɿ5	斜
笤	dyə2	笤帚
符	vu2	符号
笨	baŋ6	愚笨
笪	ta7	粗竹席
第	tsɿ3	床第
第	li8	竹名
第	di6	门第
笳	ko1	胡笳十八拍
箋	tɕi1	信笺
籠	loŋ2	箱笼
筅	ɕi3	笼帚
等	taŋ3	等待
筋	tɕiaŋ1	牛筋
筏	ɦuɔ8	竹筏
筐	tɕʰyɔ1	篮筐
筑	tɕiəu7	建筑
筒	doŋ2	圆筒
答	tø7	回答报答
答	ta7	答应
策	tsʰɛ7	政策
策	tsuɔ5	笨篱
篳	pyə7	用竹木条编织的门或篱笆
篩	sɛ1	筛酒
篩	sɿ1	米筛
箏	tsɛ1	古筝
箏	tsaŋ1	古筝
筠	jyoŋ2	竹的青皮
筱	ɕyə3	小竹
筵	ji2	酒筵
筷	kʰɛ5	筷子
籌	dʑiəu2	筹备
签	tɕʰi1	簽签名
签	tɕʰi1	籤,竹籤
簡	ka3	简单
箍	ku1	紧箍咒
箔	bo8	锡箔
箕	tsɿ1	粪箕
算	suɔ1	笃箕
算	sø5	算术
箜	kʰoŋ1	箜篌
管	kaŋ3	水管毛管
管	kø3	管理
篋	tɕʰi7	小箱子
籮	lo2	箩筐
簫	ɕyə1	玉箫
箬	ȵia8	粽箸
箭	tɕi5	弓箭
箱	dʑi2	夹住
箱	ɕiɛ1	暗箱
箴	tsaŋ1	箴言
箸	dʑʮ6	筷子
篆	dʑy4	篆字
篇	pʰi1	诗篇
篌	ɦau2	箜篌
簣	tsɛ7	楼板篑
簍	lau4	鱼篓
篙	kə1	竹篙
篝	kau1	篝火
篡	tsʰø5	篡权
篦	pi1	梳头用具
篪	dzɿ2	古代一种竹管乐器露出牙齿
籃	la2	篮球
篰	bu4	朗眼~
籬	li2	篱笆
篷	boŋ2	篷船帆篷
篾	mi8	竹皮
簇	tɕʰiəu7	簇拥
簟	diɛ4	软簟
簧	ɦuɔ2	双簧
簪	tsø1	碧玉簪
簸	pu3	颠簸
簿	bu4	簿册
籀	dzau6	籀园
籟	lɛ4	天籁之声
