#漢字	音標	解釋
#簡稱	/	淸末蘇州讀書音
#全稱	/	《鄉音字類》所載的淸末蘇州讀書音
#聲母	/	
#韻母	/	
#聲調	/	44 1 1a 陰平 ꜀,223 2 1b 陽平 ꜁,51 3 2a 陰上 ꜂,31 4 2b 陽上 ꜃,523 5 3a 陰去 ꜄,312 6 3b 陽去 ꜅,4 7 4a 陰入 ꜆,23 8 4b 陽入 ꜇
#版本	/	2022-03-25
#錄入人	/	樛木
#參考資料	/	《一百年前的蘇州話》《蘇州同音字匯1892》《鄉音字類》
#說明	/	符號說明：IPA後的“*”表示讀音可能存疑，如聲母z、dz，dʐ、ʐ歸屬存疑，陽上陽去歸屬存疑等。<br><br>聲調：[1]陰平44 [2]陽平223 [3]陰上51 [4]陽上31 [5]陰去523 [6]陽去312 [7]陰入4 [8]陽入23<br>關於調值：Edkins於19世紀五六十年代（早於《蘇州同音字彙》的成書時間）記載的蘇州話單字調分別爲：[1]陰平53 [2]陽平13 [3]陰上55 [4]陽上31 [5]陰去35 [6]陽去113 [7]陰入5 [8]陽入1，僅供參考。<br><br>來源：樛木整理自《蘇州同音常用字彙》（載於《一百年前的蘇州話》）、《蘇州同音字彙1892》、《鄉音字類》<br>	<br>說明1：《蘇州同音字彙1892》聲母w、y不區分清濁，半濁聲母m、n、l缺乏直接資料標明聲調陰陽者本表皆歸入陽調，故本表給出的陰陽調可能與實際有出入。並且韻母uah不區分[uɑʔ][uaʔ]，故該書中除有資料給出明確發音、區分者，其餘全記作[uɑʔ]。<br>此外，《鄉音字彙》聲調不分陰陽，則聲母爲次濁者除有資料支持者外，本人一般作歸入陽調處理。<br><br>說明2：	本表有部分漢字選自陸基《蘇州同音常用字彙》，書中只給出了讀音但是沒有標聲調，故對於沒有明確資料記載漢字的讀音採用今音。對於與各資料記載不一致的讀音，給出的是推測的讀音，並在注釋中標出今音或資料中的標音。<br><br>說明3：	本表多數漢字選自《鄉音字類》，該書主要記載了十九世紀蘇州話文讀音，成書於1877年，作者陸懋修。<br><br>說明4：	本表採用的擬音主要出自蔡佞《19世紀末的蘇州話》，但沒有採用ɒ、iɒ、uɒ，ɒʔ、iɒʔ、uɒʔ，依舊採用ɑ、iɑ、uɑ，ɑʔ、iɑʔ、uɑʔ<br>	<br>說明5：《蘇州同音字彙1892》中in韻分[iən][iɪn]，但分法存疑，一般以讀[iɪn]爲主，只有“人忍㣼認”明確記載讀[ȵiən]。其餘讀[-iən]者以論文《19世紀末的蘇州話》中的記載及韻書推導爲依據；<br>該時期的蘇州話語音特點：<br>① 仍有字分[o][uo]，但也在合併階段；<br>② 今e韻分[-e]和[-æ̃]，ie韻分[-ie]和[-iæ̃]，大部分[əu]讀作[u]，還有少數讀[uo]。<br>③ [yn]都讀[yən]， [øʏ]都讀[əʏ]；<br>④ [iø]有人擬作[yø]，[io]有人擬作[yo]，[ioŋ]有人擬作[yoŋ]，[ioʔ]有人擬作[yoʔ]，[iɑ̃]有人擬作[yɑ̃]（實際可能是[yɒ̃]），這是是因爲介音i受主元音影響而變圓唇。<br><br>說明6：發音盡量以其資料中記載爲准。記音以蔡佞《19世紀末的蘇州話》中的擬音爲基準。但擬聲字的讀音以資料記載爲準，不類推。<br><br>說明7：	部分元音從19世紀末至今的演變路徑（可能）：<br>ʯ→ʮ <br>ɔ→ɒ→o/ɑ→o/a（新派） <br>部分u→ᵊu→əu 部分u→β̩/v̩ 部分u→o <br>大部分uo→o 少部分uo→o→u→ᵊu→əu <br>i→iⱼ→ɨ̻ y→yⱼ <br>e→ᴇ ie→iᴇ→iɪ→i ue→uᴇ <br>ɐɵ→ɐə→ɐ→æ <br>iɐɵ→iɐə→iɐ→iæ <br>əʏ→øʏ→eɪ（新派） iʏ→y <br>æ̃→ɛ→ᴇ iɛ̃→iɛ→iᴇ→iɪ→i uæ̃→uɛ→uᴇ <br>œ̃→ø iœ̃→iø uœ̃→uø <br>iən→iɪn→in iɪn→in yən→yn <br>aŋ→ã iaŋ→iã uaŋ→uã <br>ɔŋ→ɒ̃→ɑ̃→ã（新派） iɔŋ→iɒ̃→iɑ̃→iã（新派） uɔŋ→uɒ̃→uɑ̃→uã（新派） iɔŋ→iɒ̃→iɑ̃→iã（新派） <br>部分iɪʔ→iəʔ yɪʔ→yəʔ uoʔ→oʔ<br>	<br>說明8：在蔡佞的論文《19世紀末的蘇州話》中將翹舌音擬作[tʃ]、[tʃʰ]、[ʃ]、[ʒ]、[dʒ]，爲本表所採用的翹舌音擬音。陸基的翹舌音記爲[tʂ]、[tʂʰ]、[ʂ]、[ʐ]，與傳統意義上的老派蘇州話資料記音相同，不分[dʐ][ʐ]。李軍的論文《蘇州方言字書<鄉音字類>簡介及同音字彙》中把翹舌音擬作[tʂ]、[tʂʰ]、[ʂ]、[ʐ]、[dʐ]。其實在《鄉音字類》時代，[dz][z]、[dʐ][ʐ]就已出現相混的現象了，且之後分別併入[z]、[ʐ]；1877年陸懋修編纂的《鄉音字類》不區分[dz][z]，但1892年傳教士編纂的《蘇州方言字音表》仍區分[dz][z]，[dʐ][ʐ]則兩者都區分，不過該書中指出在當時的口語中[dʐ]位於詞首時讀作[ʐ]，[dz]位於詞首時讀作[z]。
彴	tʃɑʔ7	
彷	fɔŋ3	
役	ɦyɪʔ8	
彼	pe3	
彿	fəʔ7	彷～
往	uɔŋ3	～來
征	tʃən1	
待	de6	
待	de4	
徇	siɪn5	
很	hən3	
徉	ɦiaŋ2	
徊	ɦue2	
律	liɪʔ8	～例
後	ɦəʏ6	
後	ɦəʏ4	
徐	dzi2	
徐	zi2	姓
徑	tɕiɪn5	一～：（時間上）一直；老是，經常
徒	du2	忘記～：沒有記性的人
徠	le6	
得	təʔ7	～意
徘	be2	
徙	si3	遷～
從	dzoŋ2	
從	zoŋ2	服～
從	tsʰoŋ1	～容
徠	le2	招～
徠	le6	慰勞
御	ɦy6	
御	ȵy6	
徧	piɛ̃5	同“遍”
徨	ɦuɔŋ2	
復	voʔ8	報～
循	dziɪn2	
循	ziɪn2	～規蹈矩
徬	bɔŋ2	
徭	ɦiɐɵ2	
微	vi2	
徯	ɦi2	
徵	tʃən1	～兵
德	təʔ7	
徹	tʃʰəʔ7	
徼	tɕiɐɵ5	
徼	tɕiɐɵ1	
徼	iɐɵ1	
徽	hue1	
心	siɪn1	存～：故意；特意
必	piɪʔ7	
忉	tɐɵ1	
忌	dʑi6	百無禁～
忍	ʒən4	
忑	tʰəʔ7	
忒	tʰəʔ7	～嫌高
忖	tsʰən3	
志	tʃʯ5	
忘	mɔŋ2	
忘	mɔŋ6	～記
忘	vɔŋ2	
忙	mɔŋ2	早起三光，遲起三～
忝	tʰiɛ̃3	①羞辱，污衊。②自稱的謙詞。有輕賤、侮辱的意思：～居
忠	tʃoŋ1	～信
忡	tʃʰoŋ1	
忤	u3	文讀
忤	ŋ̍6	～逆
忨	ɦuœ̃6	
快	kʰɑ5	白讀：～活
快	kʰuɑ5	白讀：～信
快	kʰue5	
忭	biɛ̃6	喜樂
忮	tʃʯ5	
忸	ȵiʏ4	
忻	ɕiən1	
忻	dʑi2	
忼	kʰɔŋ3	
忽	huəʔ7	
忿	vən6	
忿	vən4	
怊	tʃʰɐɵ1	
怍	zo6	
怍	zoʔ8	
怎	tsən3	～樣
怏	iaŋ5	
怏	ɦiaŋ4	
怒	nu6	～氣沖沖
怓	nɐɵ2	
怔	tʃən1	
怕	pʰo5	文讀
怕	pʰo5	白讀：恐～弗好
怖	pu5	恐～
怗	tʃœ̃1	
怙	ɦu4	①憑恃，倚靠。②父親
怙	ɦu6	
怛	tʰaʔ7	
思	sɿ1	～想
怠	de6	
怠	de4	～惰
怡	ɦi2	
急	tɕiɪʔ7	～來來抱佛脚
怦	pʰən1	
性	siɪn5	
怨	iœ̃5	～恨
怩	ȵi2	
怪	kuɑ5	倷覅～我
怪	kue5	
怫	fəʔ7	
怭	biɪʔ8	
怯	tɕʰiɪʔ7	膽～
怱	tsʰoŋ1	
怲	piɪn3	
怵	tʃʰəʔ7	
恀	tʃʰʯ3	
恂	siɪn1	①相信，信任。②恐懼，害怕。③通暢，暢達。④急猝
恃	ʒʯ4	有～無恐
恅	lɐɵ4	愺～：心亂；寂靜
恊	ɦiɪʔ8	
恌	tʰiɐɵ1	
恍	huɔŋ3	
恐	kʰoŋ3	
恆	ɦən2	有～
恓	si1	
恔	ɦiɐɵ6	
恕	ʃʯ5	
恙	ɦiaŋ6	
恚	ɦue6	
恝	tɕʰiɪʔ7	
恟	ɕioŋ1	
恠	kue5	
恢	kʰue1	
恣	tsɿ5	
恤	siɪʔ7	
恥	tʃʰʯ3	羞～
恨	ɦən6	
恩	ən1	
恪	tɕʰioʔ7	
恫	tʰoŋ1	
恬	diɛ̃2	～靜
恭	koŋ1	
息	siɪʔ7	好消～
恰	tɕʰiɑʔ7	
恰	kʰaʔ7	～巧
恰	tɕʰiaʔ7	
悁	tɕiœ̃1	
悃	kʰuən3	
悄	tsʰiɐɵ3	～悄悄
悄	tsʰiɐɵ5	
悅	ɦyɪʔ8	
悉	siɪʔ7	
悌	di6	
悍	ɦœ̃6	强～
悔	hue1	
悔	hue5	
悖	be6	
悚	soŋ3	
悛	tsʰiɛ̃1	悔改：怙惡不～
悝	kʰue1	
悞	ŋu6	同“誤”
悟	ŋu4	理論應讀陽去。醒～
悠	iʏ1	
患	ɦuæ̃6	後～
悤	tsʰoŋ1	
悰	tʃoŋ1	
悰	tsoŋ1	
悱	fi3	
悲	pe1	
悴	ze6	
悵	tʃʰaŋ5	
悶	mən6	
悶	mən1	氣～
悶	mən4	
悸	tɕi5	
悻	ɦiɪn4	
悼	dɐɵ6	
悽	tsʰi1	
悾	kʰoŋ1	
惄	ȵiɪʔ8	
情	dziɪn2	
情	ziɪn2	水火弗留～
惆	dʒəʏ2	讀書音
惇	tən1	
惌	iœ̃1	
惎	dʑi6	
惑	ɦuəʔ8	疑～
惔	dæ̃2	火燒
惕	tʰiɪʔ7	
惘	vɔŋ4	
惙	tse5	
惚	huəʔ7	恍～
惜	siɪʔ7	
惝	tʰɔŋ3	
惟	vi2	～獨
惠	ɦue6	
惡	u5	可～之至
惡	uoʔ7	～使做：惡作劇
惡	oʔ7	
惦	tiɛ̃5	～念
惰	du6	懶，懈怠
惱	nɐɵ4	煩～
惲	ɦyən4	①渾厚。②籌劃。③姓
惲	ɦyən6	
想	siaŋ3	
惴	tse5	
惶	ɦuɔŋ2	驚～
惷	tʃʰən3	
惸	dʑioŋ2	
惹	dʒɑ4	～動氣。聲母可能存疑
惹	zɑ4	肚皮～，拉肚子
惺	siɪn1	
惻	tsʰəʔ7	
惽	huən1	疑爲“惛”
愀	tsʰiɐɵ1	
愁	dzəʏ2	
愁	zəʏ2	～眉哭蹙：形容憂愁欲哭的樣子
愆	tɕʰiɛ̃1	①過失，罪過。②耽擱，錯過。③過期的
愈	ɦy4	
愉	ɦy2	
愊	piɪʔ7	
愍	miɪn4	
愎	biɪʔ8	
意	i5	
愒	ɕi5	
愔	ɕiɪn1	
愕	ŋoʔ8	
愚	ȵy2	～笨
愛	e3	
愛	e5	
愜	tɕʰiɪʔ7	
愞	ʒœ̃4	
感	kœ̃3	
愣	liɪn4	心裏一～。正字疑爲“凜”
愧	ɡue6	慚～
愨	tɕʰioʔ7	
愫	su5	真情：情～
愬	su5	同“訴”
愯	ʃɔŋ1	
愯	soŋ3	
愷	kʰe3	
愾	kʰe5	敵～
愿	ȵiœ̃6	
慁	ɦuən6	
慄	liɪʔ8	
慅	tsʰɐɵ3	
慆	tʰɐɵ1	
慇	iən1	
慈	dzɿ2	～目：近視眼。|～洋洋：（眼睛）無力、困倦欲睡的樣子
慈	zɿ2	
慉	ɕioʔ7	
慊	tɕʰiɛ̃3	不滿，怨恨
慊	tɕʰiɪʔ7	
態	tʰe5	狀～
慌	huɔŋ1	恐～。據《集韻》：呼光切
慌	huɔŋ3	又音。據《廣韻》：呼晃切
慍	yən5	
慎	ʒən6	謹～小心
慕	mo6	
慘	tsʰœ̃3	悲～
慙	zæ̃2	
慚	dzæ̃2	羞愧
慚	zæ̃2	
慝	tʰəʔ7	
慟	tʰoŋ5	該讀音疑源自《中原音韻》：東鍾切。本音應爲[doŋ³¹²]
慟	doŋ6	
慢	mæ̃6	急～
慣	kuæ̃5	習～
慥	tsʰɐɵ5	
慧	ɦue6	
慨	kʰe5	慷～非常
慫	tsoŋ3	
慫	soŋ3	
慬	dʑiən2	
慮	li6	
慰	ɦue6	安～
慱	dœ̃2	
慳	tɕiɛ̃1	
慳	tɕʰiɛ̃1	小氣，吝嗇：～吝
慴	tʃəʔ7	
慵	ɦioŋ2	
慶	tɕʰiɪn5	國～紀念
慷	kʰɔŋ3	
慼	tsʰiɪʔ7	
慾	ɦioʔ8	
憀	liɐɵ2	
憂	iʏ1	～愁
憊	pʰɑ5	
憊	be6	
憍	tɕiɐɵ1	
憎	tsən1	
憐	liɛ̃2	顧～：照顧。【例句】尋箇兩個銅鈿是只好自家～自家
憑	biɪn2	～據
憑	biɪn2	
憒	ɡue6	
憔	ziɐɵ2	～悴
憗	ȵiɪn6	
憚	dæ̃6	肆無忌～
憝	de4	本音陽去
憤	vən4	
憧	tʃʰoŋ1	
憨	hœ̃1	～～泉
憩	tɕʰi5	坐～裡
憫	miɪn4	憐～。
憬	tɕioŋ3	
憮	fu3	
憯	tsʰœ̃3	
憲	ɕiɛ̃5	～法
憴	ʒən2	
憶	i5	
憶	iɪʔ7	
憸	siɛ̃1	奸邪，諂佞
憹	noŋ2	
憺	dæ̃4	恬靜
憼	tɕiɪn3	
憾	hœ̃5	
憾	ɦœ̃6	抱～
懂	toŋ3	倷阿～
懂	toŋ1	
懃	dʑiən2	
懆	tsʰɐɵ3	
懇	kʰən3	相～
懈	ie5	讀書音
懈	ɦiɑ6	
應	iɪn1	～該
懊	ɐɵ3	
懊	ɐɵ5	～悔
懋	məʏ4	
懌	ɦiɪʔ8	
懍	liɪn4	
懜	moŋ2	
懟	de4	本音陽去
懠	zi2	
懣	mœ̃4	
懥	tʃʯ5	
懦	nu4	～弱
懮	ɦiʏ4	
懰	ləʏ4	
懲	dʒən2	
懵	moŋ4	～懂
懶	læ̃4	～惰
懷	ɦuɑ2	白讀
懷	ɦue2	文讀
懸	ɦiœ̃2	
懺	tsʰæ̃5	～悔
懼	dʑy6	
懼	dʑy4	～怕
懽	huœ̃1	
懿	i5	
戀	liɛ̃6	～愛
戁	læ̃4	敬畏、恐懼。讀音疑有誤，《廣韻》：奴板切或人善切
戄	tɕioʔ7	
戇	ʒɔŋ6	剛直
戇	ɡɔŋ6	～大
戈	ku1	姓
戊	vu6	
戌	siɪʔ7	
戍	ʃʯ5	
戍	siɪʔ7	
戎	dzoŋ2	
戎	zoŋ2	
成	dʒən2	～功
我	ŋu4	
戒	kɑ5	白讀
戒	tɕiɑ5	
戔	tsæ̃1	
戔	tsiɛ̃1	～～：少，細微
戕	ziaŋ2	
或	ɦuəʔ8	
戚	tsʰiɪʔ7	
戛	tɕiɪʔ7	
戟	tɕiɪʔ7	
戡	kʰœ̃1	
戢	tsʰiɪʔ7	
戣	ɡue2	
戤	ɡe6	～牌子
戥	tən3	～份量
戧	tsʰiaŋ5	～主意
戩	tsiɛ̃3	①消滅。②盡，至。③福祿，吉祥
截	dziɪʔ8	鋸斷，切斷：～長補短
截	ziɪʔ8	
戭	iɛ̃3	長槍
戮	loʔ8	
戱	ɕi5	
戰	tʃœ̃5	～～兢兢
戲	ɕi5	
戳	tʃʰoʔ7	打一個～子
戳	tsʰoʔ7	
戴	tɑ5	白讀：𬌶狲～帽子像煞人
戴	te5	文讀：姓
戵	dʑy2	
戶	ɦu4	门～
戹	ŋəʔ8	
戺	zɿ4	
戽	hu5	～鬥：形狀似鬥，用於汲水灌田的老式農具
戾	li6	
房	vɔŋ2	～子
所	su3	公～
扁	piɛ̃3	～豆
扃	tɕioŋ1	
扅	ɦi2	
扆	i3	
扇	ʃœ̃1	～風
扇	ʃœ̃3	一～窗
扇	ʃœ̃5	
扈	ɦu4	①隨從：～從。②披，帶。③姓
扉	fi1	
扉	fi5	
扊	iɛ̃3	～扅，指門閂。也可能讀陽上
手	ʃəʏ3	
才	dze2	～剛
才	ze2	
扎	tsɑʔ7	
扐	ləʔ8	
扑	pʰoʔ7	
扒	bo2	
打	taŋ3	
托	tʰoʔ7	
扛	kɔŋ1	
扞	ɦœ̃6	～衛
扠	tsʰo1	兩手～腰
扡	tʰu1	
扢	ŋəʔ8	
扣	kʰəʏ5	～住
扤	ŋəʔ8	
扦	tsʰiɛ̃1	～子手
扭	ȵiʏ3	用手指夾住旋動
扭	ȵiʏ4	～牢仔俚弗肯放。～牢，糾纏住
扮	pæ̃5	装～
扯	tʃʰɑ1	～篷
扯	tʃʰɑ3	
扱	tʃʰɑʔ7	～過去
扱	ɕiɪʔ7	
扱	tsʰaʔ7	
扳	pæ̃1	～價
扶	vu2	
扷	ɐɵ5	《集韻》：烏到切，音奧
批	pʰi1	
扼	ŋəʔ8	
找	tsɐɵ3	～頭
承	dʒən2	
技	dʑi4	～藝。推導音，《廣韻》記該字讀上聲。
抃	biɛ̃6	拍手，鼓掌
抄	tsʰɐɵ1	～寫
抆	vən6	
抉	tɕyɪʔ7	
把	bo4	
把	po3	
抑	iɪʔ7	
抒	ʃʯ1	
抒	ʃʯ3	
抓	tsɐɵ1	
抔	bəʏ2	
投	dəʏ2	
抖	təʏ3	
抗	kʰɔŋ5	
折	tʃəʔ7	
抛	pʰɐɵ1	
抨	pʰən1	
披	pʰi5	
披	pʰi1	
抬	de2	
抱	bɐɵ6	
抱	bɐɵ4	
抵	ti3	～抗
抹	məʔ8	～布
押	aʔ7	
押	ɑʔ7	抵～。
抽	tʃʰəʏ1	
抿	miɪn3	～緊、～縫
拂	fəʔ7	～帚
拄	tʃʯ3	～拐
担	tæ̃3	
拆	tsʰɑʔ7	～蝕
拆	tsʰəʔ7	
拈	niɛ̃1	
拈	ȵiɛ̃1	～花惹草
拉	lɑ1	白讀：～倒
拉	lɑʔ8	
拊	fu3	
拋	pʰɐɵ1	
拌	bœ̃6	
拌	pʰœ̃1	
拍	pʰɑʔ7	白讀：～蒼蠅
拍	pʰəʔ7	
拎	liɪn1	～起來
拏	no2	
拐	kuɑ3	～子
拒	dʑy6	
拒	dʑy4	～絶
拓	tʰoʔ7	開～
拔	baʔ8	～草
拕	tʰu1	
拗	ɐɵ3	～斷俚
拘	tɕy1	
拙	tʃəʔ7	
拚	fæ̃1	古同“翻”，飛的樣子
拚	pʰœ̃1	
招	tʃɐɵ1	～租
拜	pɑ5	
拜	pe5	
拫	ɦən2	
括	kuaʔ7	一塌～子
拭	ʃəʔ7	
拮	tɕiɪʔ7	
拯	tʃən3	
拱	koŋ3	～手
拲	koŋ3	
拳	dʑiœ̃2	～頭
拴	tsʰiɛ̃1	
拷	kʰɐɵ3	
拼	piən5	今一般讀滂母
拼	pʰiən1	～盆：一隻盆子裏放兩種或兩種以上涼菜，用兩種不同的菜餚組成的拼盤叫“雙拼”，用三種不同的菜餚組成的叫“三拼”
拽	ɦi6	
拾	ʒəʔ8	
拾	ŋəʔ8	～起來。可能爲誤記，今讀[ziəʔ²³]
拿	nɔ2	可能就是[no²²³]
拿	no2	倷～得去末哉
持	dʒʯ2	扶～
挂	kuo5	
挃	tʃəʔ7	
指	tʃʯ3	
挈	tɕʰiɪʔ7	
挈	tɕiɪʔ7	聲母疑記錯，應讀[tɕʰiɪʔ⁴]
按	œ̃5	
挋	tʃən5	
挐	no2	
挑	tʰiɐɵ1	
挖	uaʔ7	
掙	tsʰən1	～扎。據《集韻：初耕切，音鐺
掙	tsən5	據《字彙》：側迸切，音諍
挨	e1	
挨	ɑ1	
挪	nu2	文讀：用手來回撫摩
挪	lɑ2	
挪	nɑ1	～移。陰陽調可能存疑
挫	tsʰu5	～折
振	tʃən5	～作
挱	su1	
挲	su1	
挶	tɕioʔ7	
挹	iɪʔ7	
挺	tʰiɪn3	①硬而直：西裝著得筆～。②凸出：～胸凸肚。③勉強支撐：冬天弗著棉褲照樣～過來
挺	tʰiɪn3	～撞
挼	se1	
挽	ɦuæ̃4	～留
挾	ɦiaʔ8	
捂	ŋu4	①逆，對面。②抵觸
捄	tɕy1	
捆	kʰuən3	
捉	tʃoʔ7	
捋	ləʔ8	
捌	poʔ7	
捍	ɦœ̃6	
捎	sɐɵ1	
捏	ȵiaʔ8	～一把汗
捐	tɕiœ̃1	募～
捕	bu6	巡～
捖	ɦuœ̃4	
捘	tsən3	
捝	tʰəʔ7	
捥	ɦuœ̃4	
捧	foŋ3	
捧	pʰoŋ3	
捧	boŋ4	
捨	ʃɑ3	讀書音
捨	so3	白讀：弗～得
捩	liɪʔ8	～一把
捫	mən2	
捬	fu3	
捭	pe3	
据	tɕy1	
捱	ɑ1	聲調類推自《集韻》。但該字一般讀[ŋɑ223]
捲	tɕiœ̃3	
捶	ze4	
捷	dʑiɛ̃2	
捷	ziɪʔ8	～足先登。理論上聲母爲[dz]
捺	naʔ8	～住俚
捻	ȵiɪʔ8	
捻	ȵiaʔ8	
捼	nu2	～～痛
捼	se1	
捽	tsʰəʔ7	
掀	ɕiɛ̃1	～起來
掁	zən2	
掂	tiɛ̃1	～斤播两
掃	sɐɵ5	～帚
掃	sɐɵ3	
掄	lən2	
掇	təʔ7	攛～
授	ʒəʏ6	
掉	diɐɵ6	～換
掊	bəʏ2	
掌	tʃaŋ3	手～
掍	kuən3	～迹。聲調類推自《廣韻》，但聲母不合，理論讀[ɦuən³¹]，記載存疑
掎	i3	
掎	tɕi3	
掐	tɕʰiaʔ7	
排	be2	
排	bɑ2	
掔	tɕʰiɛ̃1	①用手握緊。②牽引。③厚實
掔	ɦuœ̃4	
掖	ɦiɪʔ8	
掘	dʑyɪʔ8	臨渴～井
掙	tsən3	
掛	kuo5	
掞	ʃœ̃5	
掠	liɑʔ8	擄～
採	tsʰe3	～桑葉
探	tʰœ̃1	
探	tʰœ̃5	偵～
掣	tʃʰəʔ7	
掤	piɪn1	
接	tsiɪʔ7	
控	kʰoŋ5	上～
推	tʰe1	
掩	iɛ̃3	遮～
掩	iɛ̃3	～摸：行動遲緩，有意拖拉
措	tsʰu5	籌～
掫	tsəʏ1	
掬	tɕioʔ7	
掭	tʰiɛ̃3	～鐙
掮	dʑiɛ̃2	～耜頭
掯	kʰən5	～勒
掽	pʰaŋ5	～着法
掽	baŋ6	
揀	kæ̃3	白讀：～好
揀	tɕiɛ̃3	選擇，挑選：～辰光
揃	tsiɛ̃1	箋識；錄記
揄	ɦy2	
揆	ɡue2	
揆	ɡue4	
揉	ʒəʏ2	
揉	dʒəʏ2	
描	miɐɵ2	
提	di2	
揑	ȵiɑʔ8	
插	tsʰɑʔ7	
插	tsʰaʔ7	
揖	iɪʔ7	作～
揚	ɦiaŋ2	
換	ɦuœ̃6	
揜	iɛ̃3	同“掩”
揞	œ̃3	
揠	uaʔ7	
握	oʔ7	
揢	kʰɑʔ7	～住頭頸。書中記爲舒聲，有誤，據實改
揣	tsʰe3	
揥	ti5	
揥	tʰi5	
揩	tɕʰiɑ1	
揩	kʰɑ1	白讀：～～油
揪	tsʰəʏ1	疑記錯，聲母應爲精母
揭	tɕiɪʔ7	～示
揮	hue1	～扇
揲	ʃəʔ7	
援	ɦiœ̃2	
揵	dʑiɛ̃2	擧起：手～起來；～木梢（受人利用，給人當槍使）
揵	dʑiɛ̃4	①難。②擧。
揶	iɑ1	
揸	tso1	
揹	pe1	～牢俚
撳	tɕʰiən5	～牢俚
搆	kəʏ5	
搉	tɕʰioʔ7	
損	sən3	折～
搏	poʔ7	
搐	tʃʰoʔ7	
搒	pɔŋ5	
搓	tsʰu1	～～手
搔	tsɐɵ3	
搔	tsɐɵ1	～着痛處
搖	ɦiɐɵ2	
搗	tɐɵ3	
搜	səʏ1	
搠	tʃʰoʔ7	橫～槍
搠	soʔ7	
搡	sɔŋ3	～一跤
搢	tsiən5	
搤	ŋəʔ8	
搥	ze2	
搥	ze4	
搦	ȵiɑʔ8	～緊仔弗放
搦	ȵiɪʔ8	
搦	ȵiaʔ8	
搧	ʃœ̃1	
搨	tʰɑʔ7	
搨	tʰaʔ7	搽
搪	dɔŋ2	～塞
搬	pœ̃1	
搭	tɑʔ7	
搭	taʔ7	～山頭
搯	kʰaʔ7	本音
搯	kʰɑʔ7	
搲	uo1	～碎葛
搳	huaʔ7	～拳
搴	tɕʰiɛ̃1	拔取
搶	tsʰiaŋ3	
搽	zo2	～粉
搿	ɡəʔ8	～牢俚
摇	ɦiɐɵ2	
摎	tɕiʏ1	
摐	tsɔŋ1	
摒	piɪn5	排除：～棄
摔	səʔ7	
摘	tiɪʔ7	
摘	tsɑʔ7	
摘	tsəʔ7	～要
摙	liɛ̃4	運
摛	tʃʰʯ1	
摜	ɡuæ̃6	～稻
摟	ləʏ2	
摠	tsoŋ3	
摣	tʃɑ1	～一把
摧	tsʰe1	～殘
摩	mo2	
摭	tʃəʔ7	
摯	tʃʯ5	
摰	ȵiɪʔ8	
摳	kʰəʏ1	～進去
摴	tʃʰʯ1	
摵	tsʰiɪʔ7	
摶	dœ̃2	
摸	moʔ8	
摹	mo2	
摺	tʃəʔ7	～子
摻	se1	
摽	piɐɵ1	
摽	pʰiɐɵ3	
撅	dʑyɪʔ8	
撅	kʰue5	
撇	pʰiɪʔ7	
撈	lɐɵ1	～起來
撊	ɕiɛ̃3	①兇猛。②遮防禁止
撋	ʒœ̃2	
撏	dziɪn2	
撏	ziɛ̃2	～～毛，剝剝皮
撐	tsʰaŋ1	～篙子
撑	tsʰaŋ1	白讀：臂膊～子，胳膊肘兒
撒	sɑʔ7	
撒	səʔ7	～種子
撓	nɐɵ4	
撕	sɿ1	～破
撕	si1	
撙	tsən3	
撚	ȵiɛ̃4	
撚	ȵiɛ̃3	紙～
撝	hue1	
撞	ʒɔŋ2	
撞	dʒɔŋ6	
撢	tæ̃3	雞毛～帚
撢	tʰœ̃1	
撣	tæ̃3	雞毛～子
撤	tʃʰəʔ7	
撥	pəʔ7	挑～
撩	liɐɵ2	
撫	fu3	
撬	dʑiɐɵ6	
撬	dʑiɐɵ4	～門
播	pu5	
撮	tsʰəʔ7	一～
撰	dzæ̃6	～述
撲	pʰoʔ7	
撳	tɕʰiən5	～牢俚
攪	tɕiɐɵ3	
撻	tʰaʔ7	
撼	ɦœ̃6	
撾	tsuo1	①鞭打，敲擊。②抓，抓住
撾	uo1	
擁	ioŋ3	～擠得極
擂	le2	
擂	le6	聲調據《廣韻》：盧對切
擄	lu3	～掠：强搶人物
擅	ʒœ̃6	～專
擇	dzəʔ8	揀～
擇	zəʔ8	
擊	tɕiɪʔ7	～彭
擋	tɔŋ3	
操	tsʰɐɵ1	體～
操	tsʰɐɵ5	
擎	dʑiɪn2	
擐	ɦuæ̃2	穿、貫：～甲執兵。理論應讀陽去
擒	dʑiən2	～拿
擔	tæ̃1	～任
擔	tæ̃3	同“撣”
擔	tæ̃5	挑～
擗	piɪʔ7	
擗	pʰiɪʔ7	
擘	pəʔ7	
據	tɕy5	
擠	tsi3	
擡	de2	
擢	dʒoʔ8	
擤	hən3	～鼻涕
擥	læ̃4	
擦	tsʰɑʔ7	
擦	tsʰaʔ7	～銅藥
擩	ʒœ̃2	
擫	iɪʔ7	～～乾
擬	ȵi4	
擭	ɦoʔ8	
擯	piɪn5	
擱	koʔ7	
擲	dʒəʔ8	拋～
擴	kʰuoʔ7	～充
擷	ɦiɪʔ8	
擺	pɑ3	
擺	pe3	
擻	səʏ3	
擾	ʒɐɵ4	～亂
擿	tsəʔ7	
攀	pʰæ̃1	～牢：用繩或膠帶等使分開或分散的東西連在一起
攉	hoʔ7	～親
攏	loŋ4	船～岸
