#漢字	音標	解釋
㐄	kʰᴀ2	跨
致	tsɿᵊ4	
臼	tɕiɘu4	
舀	ʑᴀɔ3	
舅	tɕiɘu4	
與	ʑi3	
舉	tɕi3	
舊	tɕiɘu4	
舊	tɕʰiɘu4	~年
舌	sɛ2	
舍	sɛ4	
舒	su1	
舔	tʰiɛ̃3	
舞	vu3	
舟	tsɘu1	
般	pɔ2	~若
般	pɐ̃1	
舵	tɔ4	
舶	pʰɛ2	
艊	pʰɛ2	
艦	tɕiɛ̃4	
艱	kɐ̃1	~难
艱	tɕiɛ̃1	
色	sɛ1	笑
色	sɛ2	
艷	ʑɛ̃4	
艾	ŋᶢɐɛ4	
芊	tɕʰiɛ̃1	
芋	ʑi1	魔~豆腐
芋	ʑi4	
芍	sɔ2	
芍	tɕʰiɔ2	~陂
芘	pʰi2	花草名，锦葵;化学名
芘	pʰi4	庇护
芙	fu2	
芝	tsɿᵊ1	
芥	kɐɛ4	
芫	ʑɛ̃2	
芭	pᴀ1	
芮	zuɘi4	
花	xuᴀ1	
芻	tsʰu1	
苒	zɐ̃3	
苔	tʰɐɛ2	
苕	sᴀɔ2	白读
苕	tʰiᴀɔ2	文读
苗	mᵇiᴀɔ2	
苛	kʰɔ1	
苞	pᴀɔ1	
苟	kiɘu3	
苟	kiɘu4	姓氏
苤	pʰiɛ3	
若	zɔ2	
若	zɛ3	般~
苦	kʰu3	
苴	tɕi1	
苴	tsuᴀ1	
苶	nᵈiᴀ2	~皮;~落
苶	nᵈiᴀ3	~衣裳
苾	pɘi4	
茁	tsɔ2	~壮
茁	tsuɛ2	
茁	tsuɐɛ2	~实
茂	mᵇu4	白读
茂	mᵇɘu4	文读
范	fɐ̃4	
茄	tɕiᴀ1	~克衫
茄	tɕʰiɛ2	
茅	mᵇᴀɔ2	
茆	mᵇᴀɔ2	
茉	mᵇɔ2	
茨	tsʰɿᵊ2	
茬	tsᴀ2	硬~，指厉害、强势
茬	tsʰᴀ2	
茭	tɕiᴀɔ1	
茲	tsɿᵊ1	
茴	xuɘi2	
茶	tsʰᴀ2	
草	tsʰᴀɔ3	
荔	nᵈi4	
荳	tɘu4	
荷	xɔ2	
荷	xɔ4	
荸	pʰu2	
荽	ɕi1	
莎	sᴀ1	
莒	tɕi3	
莠	ʑɘu4	
莧	xɐ̃4	
莫	mᵇɔ2	
莰	kʰɐ̃3	
菉	lu2	
菊	tɕi̹u2	
菜	tsʰɐɛ4	
菠	pɔ1	
菢	pᴀɔ4	孵育
菩	pʰu2	
華	xuᴀ2	
華	xuᴀ4	姓氏;~山
菲	fɘi1	
菲	fɘi3	
萃	tsʰuɘi4	
萄	tʰᴀɔ1	葡~
萄	tʰᴀɔ2	
萊	lɐɛ2	
萘	lɐɛ4	
落	lɔ1	~巴，指最后一名
落	lɔ2	
葆	pᴀɔ3	
葉	sɛ2	~公好龙
葉	ʑɛ1	茶~
葉	ʑɛ2	
葎	nᵈi2	
著	tsu4	
著	tsɔ2	文读
著	tsᴀɔ2	表示被动
葛	kɔ2	
葡	pʰu2	
葦	wɘi2	
葵	kʰuɘi2	
蒈	kʰɐɛ3	
蒐	sɘu1	
蒞	nᵈi4	
蒢	tsʰu2	
蒯	kʰuɐɛ3	
蒲	pʰu2	
蒿	xᴀɔ1	
蓄	ɕi̹u2	
蓋	kɐɛ4	
蓑	sɔ1	
蓓	pɘi4	
蓖	pi4	
驀	mᵇu2	
蓮	nᵈiɛ̃2	
蓽	pi2	
蔊	xɐ̃4	
蔍	lu2	
蔑	mᵇiɛ2	
蔓	mᵇɐ̃4	
蔔	pu4	
蔗	tsɛ4	
蔗	tɕiɛ4	~杆
蔚	ʑi4	姓氏
蔚	wɘi4	
蔡	tsʰɐɛ4	
蔤	mᵇi2	
蔫	ʑɛ̃1	
蔬	su1	
蔸	tɘu1	
蔻	kʰiɘu4	
蔽	pɘi4	
蕃	pɔ1	吐~
蕃	fɐ̃4	
蕉	tɕiᴀɔ1	
蕊	zuɘi4	
蕌	tɕiᴀɔ4	~头
蕎	tɕʰiᴀɔ2	
蕗	lu4	
蕨	tɕiɛ2	
蕾	luɘi2	
薄	pɔ2	
薄	pɔ4	~荷
薅	xᴀ1	白读
薅	xᴀɔ1	文读
薇	wɘi2	
薛	ɕiɛ2	
薤	ɕiɐɛ4	~白，即蕌头
薦	tɕiɛ̃4	
薩	sᴀ1	
薯	su2	蕃~，即红薯
薯	su3	
薺	tɕi1	荸~
薺	tɕi4	
藉	tɕi2	
藍	lɐ̃2	
藐	mᵇiᴀɔ3	
藕	ŋᶢiɘu3	
藝	nᵈi4	手~
藝	ʑi4	
藞	lᴀ2	
藞	lᴀ3	领子~
藥	ʑɔ2	
藩	fɐ̃2	
藹	ŋᶢɐɛ4	
藿	xɔ2	
蘆	lu2	
蘇	su1	
蘑	mᵇɔ2	
蘚	ɕiɛ̃3	
蘭	lɐ̃2	
蘸	tsɐ̃4	
蘿	lɔ2	
虂	lu4	
虎	fu1	马马~~
虎	fu3	
虎	mᵇᴀɔ1	姓氏;大~
虐	nᵈiɔ2	
虓	ɕiᴀɔ1	
虔	tɕʰiɛ̃2	
處	tsʰu3	
處	tsʰu4	
虛	ɕi1	
虜	lu3	
虞	ʑi2	
號	xᴀɔ2	
號	xᴀɔ4	
虢	kuᴀ2	
虧	kʰuɘi1	
虱	sɛ2	
虼	kɛ2	
蠆	tsʰuɐɛ4	
蚜	ʑᴀ2	
蚝	xᴀɔ2	
蚤	tsᴀɔ3	
蚧	kɐɛ4	
蚯	tɕʰiɘu1	
蚱	tsuᴀ1	蚂~
蚱	tsuᴀ2	~蜢
蛆	tɕʰi1	
蛇	sɛ2	
蛋	tɐ̃4	
蛐	tɕʰi1	灶~~，即蟋蟀
蛐	tɕʰi̹u2	~蟮，即蚯蚓
蛙	wᴀ1	
蛛	tsu1	
蛤	kɛ2	~螺，即陀螺;癞蛤宝，即癞蛤蟆
蛤	kʰɛ2	~蟆
蛾	ɣɔ2	
蜀	su2	
蜇	tsɛ2	
蜘	tsɛ2	
蜜	mᵇi1	甜~~
蜜	mᵇi2	
蜥	ɕi2	
蜴	ʑi2	
蝃	tsɛ2	
蟈	kuᴀ2	
蝎	ɕiɛ2	
蝔	kɐɛ1	
蝕	sɿᵊ2	
蝕	sɛ2	~财免灾
蝙	piɛ̃3	
蝠	fu2	
蝦	ɕiᴀ1	
蝨	sɛ2	
蝶	tiɛ2	
蝶	tʰiɛ2	蝴~;蝴~肉，将猪头去骨后压成扁平状
螃	pʰɐ̃2	
螘	ʑi2	
螞	mᵇᴀ3	
螞	mᵇɛ2	~蚱
蟎	mᵇɐ̃3	
螮	ti4	
螺	lɔ1	圆~~;~~转，指晕头转向;蛤~，即陀螺
螺	lɔ2	
螻	lɘu2	
蟀	sɔ2	
蟄	tsɿᵊ4	
蟆	mᵇᴀ1	蛤~
蟆	mᵇᴀ2	
蟋	ɕi2	
蟠	pʰɐ̃1	
蟬	sɐ̃2	
蟹	sɐɛ4	
蟹	xɐɛ3	螃~
蟻	nᵈi4	蚂~子
蟻	ʑi3	
蠔	xᴀɔ2	
蠕	zu3	
蠚	xɔ1	~人，指细小的针或毛发残留在皮肤上导致奇痒或刺痛;欺骗
蠚	xɔ2	~麻，即荨麻
蠛	mᵇɛ2	~~蚊
蠞	tɕiɛ2	
蠟	lᴀ2	
蠱	ku3	
蠶	tsʰɐ̃2	
蠹	tu4	
蠻	mᵇɐ̃2	
血	ɕiɛ2	
衊	mᵇiɛ2	
術	tsu2	白~
術	su2	
街	kɐɛ1	
衙	ʑᴀ2	
衛	wɘi4	
衢	tɕʰi2	
衣	ʑi1	
表	piᴀɔ3	
衩	tsʰᴀ3	
衩	tsʰᴀ4	開~
衫	sɐ̃1	
衰	suɐɛ1	
袁	ʑɛ̃2	
袋	tɐɛ4	
袍	pʰᴀɔ2	
袐	pɘi4	
袤	mᵇɘu4	
被	pi4	
被	pɘi4	~窝
袴	kʰuᴀ4	
袺	tɕiɛ2	
裁	tsʰɐɛ2	
裂	nᵈiᴀ2	皴~
裂	nᵈiɛ2	
裊	nᵈiᴀɔ3	
裏	nᵈi3	
裔	ʑi1	
裕	ʑi4	
補	pu3	
裡	nᵈi3	
裨	pɘi3	
裱	piᴀɔ3	
裴	pʰɘi2	
裸	lɔ3	
裹	kɔ3	
製	tsɿᵊ4	
褂	kuᴀ4	
複	fu2	
褊	piɛ̃3	
褒	pɘu1	
褚	tsʰu3	
褥	zu3	
褪	tʰuɘi4	
褲	kʰu4	
褶	tsɛ2	
褸	lɘu3	
襖	ŋᶢᴀɔ3	
襪	wᴀ2	
襲	ɕi2	
襻	pʰɐ̃4	
西	ɕi1	
要	ʑᴀɔ1	~求
要	ʑᴀɔ4	
覃	tʰɐ̃2	
覅	piᴀɔ4	“不要”的合音
覆	pʰu2	碗口朝下放置
覆	fu2	
見	tɕiɛ̃4	
規	kuɘi1	
覓	mᵇi2	
覷	tɕʰi4	
覺	kɔ2	不警不~
覺	tɕiɔ2	~得;发~;~悟
覽	lɐ̃3	
角	kɔ2	㮟㮟~~;三~形;牛~;~逆
角	tɕiɔ2	一~钱、~色
解	sɐɛ4	姓氏;浑身~数
解	kɐɛ3	
解	kɐɛ4	~元;押~
觫	ɕi̹u2	
觳	fu2	
觸	tsu2	
言	ʑɛ̃2	
訃	pʰu2	
計	tɕi4	
討	tʰᴀɔ3	
訐	tɕiɛ2	㨃
訖	tɕʰi2	
託	tʰɔ2	
記	tɕi4	
訛	ɣɔ2	
訝	ʑᴀ3	
訣	tɕiɛ2	
設	sɛ2	
許	ɕi3	
許	xɛ3	~齐、~实，即使劲
許	xɐɛ1	~多、~扯，表示非常
訴	su4	
註	tsu4	
詈	nᵈi4	
詐	tsᴀ4	
詔	tsᴀɔ4	
詛	tsu3	
詞	tsʰɿᵊ2	
詡	ɕi3	
詣	ʑi4	
試	sɿᵊ4	
詩	sɿᵊ1	
詫	tsʰᴀ4	
詭	kuɘi3	
詰	tɕiɛ2	
話	xuᴀ4	
該	kɐɛ1	
誅	tsu1	
誇	kʰuᴀ1	
誓	sɿᵊ4	
誕	tɐ̃4	
誘	ʑɘu4	
語	ʑi3	
誡	kɐɛ4	
誣	vu1	
誤	vu4	
說	sɔ2	
誰	suɘi2	
課	kʰɔ4	
誶	tɕi̹u2	
誶	suɘi4	嘴巴~，指话多藏不住事或脏话连篇
誼	nᵈi2	白读
誼	ʑi2	文读
調	tiᴀɔ4	
調	tʰiᴀɔ2	
調	tʰiᴀɔ4	~皮
談	tɐ̃4	扯~
談	tʰɐ̃2	
談	tʰɐ̃4	~话
諕	xᴀɔ2	
諜	tiɛ2	
諝	ɕi1	
諞	pʰiɛ̃2	
諧	xɐɛ2	
諮	tsɿᵊ1	
諱	xuɘi4	
諳	ŋᶢɐ̃2	估计
諳	ŋᶢɐ̃3	~恰恰，指控制得刚刚好
諳	ŋᶢɐ̃4	
諸	tsu1	
諺	nᵈiɛ̃4	
諾	lɔ2	~贝尔;~苏
諾	lɔ4	
謀	mᵇu2	文读
謂	wɘi4	
謎	mᵇi4	
謔	ɕiɔ2	
謙	tɕʰiɛ̃1	
謝	ɕiɛ4	
謠	ʑᴀɔ2	
謬	mᵇiɘu4	
謱	lɔ3	~謰，指说话啰嗦或做事裹搅
謳	ŋᶢiɘu1	
謼	fu1	
譎	tɕiɛ2	
譏	tɕi1	
識	sɿᵊ2	
譚	tʰɐ̃2	
譜	pʰu3	
譟	tsʰᴀɔ4	
譬	pʰi3	~如
譬	pʰɘi4	
譯	ʑi2	
議	nᵈi4	白读
議	ʑi4	文读
護	fu4	
譽	ʑi4	
讀	tu2	
變	piɛ̃4	
讚	tsɐ̃4	
誒	ɕi1	
誒	ɛ3	呼唤熟人
豁	xɔ2	
豆	tɘu4	
豉	sɿᵊ4	
豎	su4	
豖	tsʰu2	
豛	tu2	杵
豪	xᴀɔ2	
豫	ʑi4	
豬	tsu1	
豸	tsɿᵊ4	
豹	pᴀɔ4	
豺	tsʰɐɛ2	
貂	tiᴀɔ1	
貉	xɔ2	
貉	mᵇɛ2	
貊	mᵇɛ2	
貌	mᵇᴀɔ4	
貓	mᵇᴀ1	~~咪，指东西找不着了;蒙~~，指捉迷藏
貓	mᵇᴀɔ2	~尿，指眼泪，贬义;~~咪，“躲猫猫”游戏中计时结束的口语信号，模仿猫叫
貝	pɘi4	
負	fu2	欺~
負	fu4	
財	tsʰɐɛ2	
貨	xɔ4	
販	fɐ̃4	
貪	tʰɐ̃1	
責	tsɛ2	
貮	ɛ˞4	
貳	ɛ˞4	
貴	kuɘi4	
貶	piɛ̃3	
買	mᵇɐɛ3	
貸	tɐɛ4	
費	pɘi4	姓氏
費	fɘi4	
貼	tʰiɛ2	
貽	ʑi2	
貿	mᵇu4	白读
貿	mᵇɘu4	文读
賀	xɔ4	
賂	lu4	
賄	xuɘi4	
資	tsɿᵊ1	
賈	ku3	
賈	tɕiᴀ3	姓氏
賊	tsɛ2	文读
賊	tsuɘi2	白读
賒	sɛ1	
賜	tsʰɿᵊ4	
賠	pʰɘi2	
賢	ɕiɛ̃2	
賣	mᵇɐɛ4	
賤	tɕiɛ̃4	
賥	suɘi4	
賦	fu4	
質	tsɿᵊ2	
賭	tu3	
賴	lɐɛ4	
購	kiɘu4	
賽	sɐɛ4	
贅	tsuɘi4	
贊	tsɐ̃4	
贍	sɐ̃4	
贖	ɕi̹u2	
赤	tsʰɿᵊ2	
赦	sɛ4	
赫	xɛ2	
走	tsɘu3	
赳	tɕiɘu1	
赴	pʰu2	前~后继;~汤蹈火
赴	fu4	
起	tɕʰi3	
趄	tsʰɛ4	~姑娘
趄	kʰɛ2	趔~
超	tsʰᴀɔ1	
越	ʑɛ2	
趔	ŋᶢɛ2	
趕	kɐ̃3	
趖	sɔ1	
趙	tsᴀɔ4	
趣	tɕʰi4	
趨	tɕʰi1	
趨	tsʰuɘi1	~使
足	tɕi̹u2	
趴	pʰᴀ2	文读
趴	pʰᴀ3	白读
趴	pʰiᴀ3	软~~，指性格懦弱或生病体虚
趺	fu1	
趼	tɕiɛ̃3	即“茧”
趾	tsɿᵊ3	
趿	sᴀ2	
跌	tiɛ2	
跌	tʰiɛ2	脑筋跶~
跍	ku1	即“跔”
跑	pʰᴀɔ3	
跒	tɕʰiᴀ3	
跔	ku1	蹲
跛	pɐɛ1	
跜	nᵈi1	蠕动
距	tɕi4	
跡	tɕi2	
跤	kᴀɔ1	摔~子
跤	tɕiᴀɔ1	
跨	kʰuᴀ4	
跩	ɕiɔ3	白读
跩	tsuɐɛ3	文读
跪	kuɘi4	
跪	kʰuɘi3	手肘反过来靠在桌缘
跬	kʰuɘi3	
路	lu4	
跳	tʰiᴀɔ4	
跺	tɔ4	
踀	tsʰɔ2	
踏	tʰᴀ2	
踐	tɕiɛ̃3	实~
踐	tɕiɛ̃4	
踔	tsʰɔ2	闲逛
踝	kuɐɛ3	
踞	tɕi4	
踢	ti2	~脚扳手
踢	tʰi2	
踤	tsu2	~着脚，指磕到脚尖
踩	tsʰɐɛ3	
踹	tsʰuɐɛ3	
蹂	zɘu2	
蹄	tʰi2	
蹅	tsʰᴀ1	
蹈	tᴀɔ4	
蹉	tsʰɔ1	
蹊	tɕʰi1	
蹋	tʰᴀ2	
蹙	tsu2	
蹩	pʰiᴀ2	~脚，指脚骨折
蹩	pʰiᴀ3	~~脚，跛脚
蹩	piɛ2	
蹴	tsu2	
蹵	tsu2	
蹺	kʰᴀɔ1	~二郎腿
蹺	tɕʰiᴀɔ1	
蹺	tɕʰiᴀɔ3	蹊~
躁	tsᴀɔ4	烦~~
躁	tsʰᴀɔ4	
躂	tᴀ2	跌
躅	tsu2	
躇	tsʰu2	
躉	tuɘi3	
躊	tsʰɘu2	
躍	ʑɔ2	文读
躍	ʑᴀɔ4	白读
躧	nᵈi1	踩着物品磨擦以粉碎破坏;利用路面积水或凸起蹭掉鞋底异物
躲	tɔ3	
軀	tɕʰi1	
車	tɕi1	象棋用语
車	tsʰɛ1	
車	tɕʰiɛ1	小~~(儿语);姓
軋	tsᴀ2	
軋	ŋᶢᴀ1	着车子~
軋	kʰɛ2	~烂，故意反复碾压
軌	kuɘi3	
軒	ɕiɛ̃1	
軛	ŋᶢɛ2	
軸	tsu2	
軻	kʰɔ1	
軾	sɿᵊ2	
較	tɕiᴀɔ4	
載	tsɐɛ4	
輒	tsɛ2	
輔	pʰu3	~导
輔	fu3	
輜	tsɿᵊ1	
輝	xuɘi1	
輟	tsuɛ2	
輩	pɘi4	
輯	tɕi2	
輸	su1	
輾	nᵈiɛ̃3	
轆	lu2	
轉	tsuɐɛ3	~文
轉	suɐɛ4	敲壳~，系指将食指中指弯曲，用其关节敲打头部，是旧时长辈对晚辈常用的惩戒手段
轍	tsʰɛ2	
轎	tɕiᴀɔ4	
軲	ku1	
轄	ɕiᴀ2	
辜	ku1	
辟	pʰi2	
辣	lᴀ2	
辦	pɐ̃4	
辨	piɛ̃4	
辭	tsʰɿᵊ2	
辮	piɛ̃4	
辯	piɛ̃4	
辱	zu2	
迀	kɐ̃1	
迂	ʑi1	
迄	tɕʰi2	
返	fɐ̃3	
迢	tʰiᴀɔ2	
迦	tɕiᴀ1	
迦	tɕʰiɛ2	~叶
迪	ti2	
迫	pɛ2	~击炮
迫	pʰɛ2	
迭	ti2	~忙、~住，指赶忙、抓紧
迭	tiɛ2	
述	su2	
迲	kʰi4	文读
迲	kʰɛ2	白读
迷	mᵇi2	
迷	mᵇi4	猫猫~，童谣音;一~头，表示一饮而尽
迷	mᵇɘi2	~信;低~
追	luɘi1	白读
追	tsuɘi1	文读
退	tʰuɘi4	
逃	tʰᴀɔ2	
逅	kiɘu4	
逆	nᵈi2	
逆	nᵈiɛ2	角~，指扯皮;忤~
透	tʰɘu4	
逐	tsu2	
途	tʰu2	
逗	tɘu1	白读
逗	tɘu4	文读
這	tsɿᵊ1	白读
這	tsɔ3	“这个”合音
這	lɛ4	~么，程度副词
這	tsɛ1	“这一”合音
這	tsɛ3	“这儿”合音
這	tsɛ4	文读
逝	sɿᵊ4	
速	ɕi̹u2	
造	tsᴀɔ4	~孽
造	tsʰᴀɔ4	
連	nᵈiɛ̃2	
逫	tsu2	
逮	ti4	文读
逮	tɐɛ2	白读
逮	tɐɛ3	拉扯
週	tsɘu1	
逵	kʰuɘi2	
逸	ʑi2	
逼	pi2	
逼	piɛ1	~着，表示被逼
逾	ʑi2	
遂	suɘi4	
遇	ʑi4	
遍	piɛ̃4	一~
遍	pʰiɛ̃4	~地
過	kɔ4	
遏	ɣɔ2	
道	tᴀɔ3	知~
道	tᴀɔ4	
達	tᴀ2	
違	wɘi2	
違	wɘi3	~约
遛	nᵈiɘu1	
遞	ti4	
遠	ʑɛ̃3	
遡	su4	
遣	tɕʰiɛ̃3	
適	sɿᵊ2	
適	sɿᵊ4	合~;惯~，指溺爱小孩
遭	tsᴀɔ1	
遮	tsɛ1	
遮	tɕiɛ1	甘菩~
遲	tsʰɿᵊ2	
遷	tɕʰiɛ̃1	
選	ɕiɛ̃3	
遺	ʑi2	
遺	wɘi3	~赠
遼	nᵈiᴀɔ2	
避	pi4	
避	pɘi4	~开
邀	ʑᴀɔ1	
邁	mᵇɐɛ4	
邂	sɐɛ4	
邃	suɘi4	
還	xᴀ2	白读二
還	xɐɛ2	白读一
邇	ɛ˞3	理睬
邊	piɛ̃1	
邋	lᴀ2	
邋	lᴀ3	~糊;长~~
邑	ʑi2	
那	lᴀ1	音译
那	lᴀ4	文读
那	ᴀ4	白读
邪	ɕiɛ2	
邪	ʑɛ2	
邯	xɐ̃2	
邱	tɕʰiɘu1	
邳	pʰɘi1	
邵	sᴀɔ4	
郁	ʑu2	
郊	tɕiᴀɔ1	
郝	xɔ2	
部	pu4	
郭	kɔ2	
郵	ʑɘu2	
都	tu1	文读
都	tɘu1	白读
鄂	ɣɔ2	
鄒	tsɘu1	
鄙	pʰi3	
鄨	piɛ2	
鄱	pʰɔ2	
酉	nᵈiɘu3	~阳
酉	ʑɘu3	
酋	tɕʰiɘu2	
酌	tsɔ2	
配	pʰɘi4	
酒	tɕiɘu3	
酣	xɐɛ1	狼吞虎咽
酣	xɐ̃1	
酥	su1	
酪	lɔ2	
酬	tsʰɘu2	
酯	tsɿᵊ1	
酰	ɕiɛ̃1	毒酒
酵	kᴀɔ4	~水，水豆花的汁;稀泥烂~
酵	ɕiᴀɔ4	
酷	kʰu2	
醃	ʑɛ̃1	
醉	tsuɘi4	
醊	tsuɛ2	
醋	tsʰu4	
醍	tʰi2	
醐	fu2	
醑	ɕi3	
醚	mᵇi2	
醜	tsʰɘu3	
醪	lᴀɔ2	
醫	ʑi1	
醮	tɕiᴀɔ3	
醯	ɕi1	醋;酰
釅	nᵈiɛ̃4	
釉	ʑɘu4	
釋	sɿᵊ2	
里	nᵈi1	即“哩”
野	ʑɛ3	
釐	nᵈi2	
釗	tsᴀɔ1	
釙	pʰɔ2	
釜	fu3	
釣	tiᴀɔ4	
釵	tsʰɐɛ1	
鈀	pʰᴀ2	
鈈	pu2	
鈉	lᴀ2	
鈕	nᵈiɘu3	
鈷	ku3	
鈸	pɔ2	
鈺	ʑi2	
鈽	pu1	
鈿	tiɛ̃4	
鈿	tʰiɛ̃2	
鉈	tʰᴀ1	
鉋	pᴀɔ4	
鉍	pi2	
鉑	pɛ2	
鉗	tɕʰiɛ̃2	
鉛	tɕʰiɛ̃1	文读
鉛	ʑɛ̃2	白读
鉢	pɔ2	
鉤	kiɘu1	
鉻	kɛ2	
銜	xɐ̃2	
銩	tiɘu1	
銬	kʰᴀɔ4	
銳	zuɘi4	
銷	ɕiᴀɔ1	插~，即门闩
銻	tʰi1	
銼	tsʰɔ4	
鋁	luɘi3	
鋊	ʑi4	光滑发亮
鋤	tsʰu2	
鋨	ɣɔ2	
鋪	pʰu1	~盖
鋪	pʰu4	
鋸	tɕi4	
鋸	kɛ4	~肉
錄	lu2	
錐	tɕi1	~人，指戳、刺的动作
錐	tsuɘi1	
錘	tɕʰi2	~~捶，划拳游戏用语
錘	tsʰuɘi2	
錙	tsɿᵊ1	
錢	tɕʰiɛ̃2	
錣	tsuɛ2	
錫	ɕi2	
錯	tsʰɔ4	
錶	piᴀɔ3	
鍇	kʰɐɛ3	
鍋	kɔ1	
鍍	tu4	
鍘	tsᴀ2	
鍛	tuɐ̃4	
鍥	tɕʰi4	
鍪	mᵇu2	
鍬	tɕʰiᴀɔ1	
鍵	tɕiɛ̃4	
鎖	sɔ3	
鎧	kʰɐɛ3	
鎬	xᴀɔ1	
鎳	nᵈiɛ2	
鏈	nᵈiɛ̃2	~接
鏈	nᵈiɛ̃4	
鏢	piᴀɔ1	
鏤	lɘu4	
鏨	tsɐ̃4	
鏽	ɕiɘu4	
鐃	zᴀɔ2	
鐔	tʰɐ̃2	~成，即今黎平
鐮	nᵈiɛ̃2	
鐲	tsɔ2	
鐵	tʰiɛ2	
鐸	tɔ2	
鐾	pɘi4	
鑄	tsu4	文读
鑄	tᴀɔ4	白读
鑑	tɕiɛ̃4	
鑒	tɕiɛ̃4	
鑣	piᴀɔ1	
鑰	ʑɔ2	
鑷	nᵈiɛ2	
鑼	lɔ2	
鑽	tsɐ̃4	~石
鑿	tsʰɔ2	
鑿	tsʰɔ4	~子
閃	sɐ̃3	
閆	nᵈiɛ̃2	
閉	pi4	
閉	pɘi4	嘴巴~着
開	kʰɐɛ1	
閑	xɐ̃2	扯~谈
閒	ɕiɛ̃2	
間	kɐ̃1	房~;一~房
間	kɐ̃4	~隔
間	tɕiɛ̃1	
間	tɕiɛ̃4	
閘	tsᴀ2	
閣	kɔ2	
閥	fᴀ2	
閨	kuɘi1	
閭	lu2	
閱	ʑɛ2	
閻	nᵈiɛ̃2	
闆	pɐ̃3	
闊	kʰuɛ2	
闕	tɕʰiɛ2	
鬥	tɘu4	
闢	pʰi2	
阜	fɘu4	
阪	pɐ̃3	
阻	tsu3	
阿	ᴀ1	~姨;~哥~妹
阿	ɣɔ1	~胶;~弥陀佛;~房宫;~难
陀	tʰɔ2	
陂	pʰi2	黄~
陂	pʰɔ1	~陀
陂	pɘi1	
附	fu4	
陋	lɘu4	
陌	mᵇɛ2	
限	xɐ̃4	~定
限	ɕiɛ̃4	
陛	pɘi4	
陝	sɐ̃3	
陟	tsɿᵊ2	
陡	tɘu3	
院	ʑɛ̃4	
除	tsʰu2	
陪	pʰɘi2	
陶	tʰᴀɔ2	
陷	xɐ̃4	白读
陷	ɕiɛ̃4	文读
陸	lu2	
隅	ʑi2	
隊	tuɘi4	
隋	suɘi2	
階	kɐɛ1	
隔	kɛ2	
隘	ŋᶢɐɛ4	
隙	ɕi2	
隙	ɕiɛ2	间~
際	tɕi4	
隧	ɕi4	~洞
隧	suɘi4	
隨	suɘi2	
險	ɕiɛ̃3	
隳	xuɘi1	
隸	ti4	
隻	tsɿᵊ1	
雀	tɕʰiɔ1	~巴，指最后一名;麻~，指男性生殖器
雀	tɕʰiɔ2	
雁	ŋᶢɐ̃4	白读
雁	ʑɛ̃4	文读
雅	ʑᴀ3	
雅	ʑᴀ4	湘~村
集	tɕi2	
雉	tsɿᵊ4	
雌	tsʰɿᵊ2	
雎	tɕi1	
雕	tiᴀɔ1	
雖	ɕi1	~然
雖	suɘi1	
雛	tsʰu1	
雜	tsᴀ2	
雞	tɕi1	
雟	ɕi1	
離	nᵈi2	
離	nᵈi4	~开;~婚
難	lɔ2	阿~
難	lɐ̃2	
難	lɐ̃4	
雨	ʑi3	
雪	ɕiɛ2	
雷	luɘi2	
雹	pɔ2	~子
雹	pᴀɔ4	
電	tiɛ̃4	
需	ɕi1	文读
霄	ɕiᴀɔ1	
黴	mᵇɘi2	
霍	xɔ2	
霎	sᴀ2	
霓	nᵈi2	
霞	ɕiᴀ2	
霧	vu4	
露	lu1	白~~;黄~~;乖~~;光~~
露	lu4	
霸	pᴀ4	
霹	pʰi2	
靂	nᵈi2	
靄	ŋᶢɐɛ4	
非	fɘi1	
靠	kʰᴀɔ4	
靡	mᵇi2	
靡	mᵇɘi3	萎~;~~之音
面	mᵇiɛ̃1	里~;后~;上~
面	mᵇiɛ̃4	
靦	mᵇiɛ̃3	
革	kɛ2	
靴	ɕiɛ1	
靶	pᴀ3	
靸	sᴀ2	
靼	tᴀ2	
鞋	xɐɛ2	
鞍	ŋᶢɐ̃1	
鞠	tɕi̹u2	
鞭	piɛ̃1	
韃	tᴀ2	
韋	wɘi2	姓氏
韋	wɘi3	
韓	xɐ̃2	
韭	tɕiɘu3	
韰	ɕiɐɛ4	
韶	sᴀɔ2	
頁	ʑɛ2	
須	ɕi1	
預	ʑi4	
頒	pɐ̃1	
頡	tɕiɛ2	
頤	ʑi2	
頭	tɘu1	石~;骨~;屋~;河~
頭	tɘu3	跟~
頭	tʰɘu1	里~;后~;馒~
頭	tʰɘu2	
頹	tʰuɛ2	白读
頹	tʰuɘi2	文读
顆	kʰɔ1	白读
顆	kʰɔ3	文读
題	tʰi2	
額	kʰɛ2	
額	ŋᶢɐɛ2	~颅，即额头
顏	ŋᶢɐ̃2	姓氏
顏	ʑɛ̃2	
願	ʑɛ̃4	
顚	tiɛ̃1	
類	luɘi4	
顧	ku4	
顫	tsʰɐ̃4	文读
顫	sɐ̃2	白读
顯	ɕiɛ̃3	
顱	lu2	
顱	lɘu1	额~，即额头
顴	tɕʰiɛ̃2	
頗	pʰɔ3	
颯	sᴀ2	
颳	kuᴀ2	
颼	sɘu1	
飃	pʰiᴀɔ1	
飃	pʰiᴀɔ2	在社会上晃荡，不务正业
飄	pʰiᴀɔ1	
飄	pʰiᴀɔ2	在社会上晃荡，不务正业
飆	piᴀɔ1	
飈	piᴀɔ1	
飛	fɘi1	
食	sɿᵊ2	
飢	tɕi1	
