#漢字	音標	解釋
□	ha1b	虾腰
責	tʃɛk7b	责任
貳	i6	二心
貴	kuɐi5	贵客
貶	pen3	贬值
買	mai4	买进
貸	tʰai5	贷款
費	fɐi5	浪费
貼	tʰet7b	张贴
貿	mɐu6	外贸
賀	hɔ6	祝贺
賂	lɐu4	贿赂
賃	iɐm6	租赁
賄	kʰui5	贿赂
資	tʃi1b	资本
賈	ka3	姓，贾宝玉
賊	tʃʰɐk8	做贼
賒	tʃʰɛ1b	赊帐
賓	pɐn1b	贵宾
賜	tʃʰi5	赏赐
賞	ʃiøŋ3	欣赏
賠	pʰui2	赔钱
賢	in2	贤惠
賣	mai6	卖掉
賤	tʃin6	犯贱
賦	fu5	天赋
質	tʃɐt7a	质量
賬	tʃiøŋ5	算账
賭	tɐu3	赌博
賴	lai4	无赖
賺	tʃan6	赚钱
購	kɐu5	购买
賽	ʃoi5	比赛
贅	tʃoi6	入赘
贈	tʃɐŋ6	赠送
贊	tʃan5	赞助
贏	iə̯ŋ2	输赢
贓	tʃœŋ1b	赃款
贖	ʃok8	赎罪
赤	tʃʰiə̯k7b	赤脚
赦	ʃɛ5	赦免
赫	hɛk7b	显赫
走	tʃɐu1a	行走
赴	fu6	奔赴;赴汤蹈火
起	hi3	起床
趁	tʃʰɐn5	趁机
超	tʃʰiu1b	超过
越	yt8	越来越
趕	kon3	赶走
趙	tʃiu6	赵国;姓
趟	tʰœŋ3	一趟
趣	tʃʰoi5	兴趣
趨	tʃʰoi1b	趋势
足	tʃok7a	满足
趼	kan3	老茧(手脚掌上)
趾	tʃi3	脚趾
跌	tit7b	跌打损伤
跑	pʰau3	跑步
跛	pɐi1b	跛足
距	kʰɔy4	距离
跟	kɐn1b	跟随
跡	tʃek7a	笔迹
跣	ʃin5	跣[滑]
跨	kʰua1b	跨度
跪	kʰuɐi6	下跪
路	lɐu4	马路
跳	tʰɛu5	跳高，跳起来
踎	mɐu1b	踎[蹲]
踏	tap8	脚踏
踐	tʃʰin1a	实践
踐	ʃin1a	实践
踢	tʰiə̯k7b	踢球
踩	tʃʰai3	踩死
蹤	tʃoŋ1b	踪迹
踭	tʃɛŋ1a	脚后跟
踮	ten5	踮脚尖
踱	tœk8	踱方步
蹄	tʰɐi2	猪蹄
躁	tʃʰou5	暴躁
躍	iøk7b	跳跃
身	ʃɐn1b	身体
躬	koŋ1b	鞠躬
躱	tɔ3	躲避
躺	tʰœŋ3	躺下
車	tʃʰɛ1a	火车
車	kɔy1b	车马炮
軋	tʃat7b	被车轧;轧钢厂
軌	kuɐi3	铁轨
軍	kuɐn1b	参军
軒	hin1b	人名用字(轩辕)
軛	ɛk7b	牛轭(牛耕田时套的工具)
軟	yn4	软硬
軸	tʃok8	轴承
較	kau5	比较
載	tʃoi5	满载
載	tʃoi5	年载
載	tʃoi5	载重
輔	fu6	辅助
輕	hiə̯ŋ1b	轻重
輛	liøŋ6	车辆
輝	fɐi1b	光辉
輩	pui5	长辈
輪	lɐn2	车轮
輯	tʃʰɐp7a	编辑
輸	ʃy1b	输赢
輸	ʃy1b	运输
轄	hɐt8	管辖
轅	yn2	辕门;轩辕
轆	lok7a	辘[轮子]
轉	tʃyn3	转送，转学
轉	tʃyn3	转圆圈
轍	tʃʰit7b	南辕北辙
轎	kʰiu3	抬轿
轟	kuɐŋ1b	轰炸
辛	ʃɐn1b	辛苦
辜	ku1b	无辜，辜负
辟	pʰek7a	开辟
辣	lat8	泼辣;辣椒
辦	pan6	办法
辨	pin6	分辨
辭	tʃʰi2	告辞
辮	pin1a	辫子
辯	pin6	辩论
辰	ʃɐn2	时辰
辱	iok8	侮辱
農	loŋ2	农村
迅	ʃɐn5	迅速
迎	ieŋ2	欢迎
近	kʰɐn4	远近
迫	pek7a	迫害
述	ʃɐt8	叙述
迷	mɐi2	迷路
迸	pʰeŋ4	迸裂
追	tʃoi1b	追赶
退	tʰui5	退后
送	ʃoŋ5	送客
逃	tʰou2	逃难
逆	iek8	逆风
透	tʰɐu5	透明
逐	tʃok8	驱逐
途	tʰou2	前途
逗	tɐu6	逗号
通	tʰoŋ1b	通过
逛	kuɐŋ6	逛(~街)
逝	ʃɐi6	逝去，逝世
逞	tʃʰeŋ3	得逞
速	tʃʰok7a	速度
造	tʃou6	制造
逢	foŋ2	相逢
連	lin2	大连;连长
逩	pɐn1b	投奔，奔六十岁
進	tʃɐn5	前进
逵	kʰuɐi2	李逵
逸	iɐt8	劳逸结合
逼	pek7a	被逼
遁	tɐn6	遁[逃走]
遂	tʃoi6	未遂
遇	y6	遇见
運	uɐn6	运气
遍	pʰin5	遍地
遍	pʰin5	一遍
過	kuɔ5	过去
道	tou6	道理
達	tɐt8	达到
違	uɐi2	违背
遜	ʃyn1b	谦逊
遞	tɐi6	传递
遠	yn4	远近
遢	tʰat7b	邋遢
遣	hin3	遣责
適	ʃek7a	合适
遭	tʃou1b	遭殃
遮	tʃɛ1b	遮挡
遲	tʃʰi2	迟到
遵	tʃyn1b	遵守
遷	tʃʰin1b	迁移
選	ʃyn3	选举
遺	uɐi2	遗失
遼	liu2	辽宁
避	pɐi4	避开
邀	iu1b	邀请
邁	man6	迈步
還	uan2	还有
還	uen2	还原，还钱
邊	pin1b	旁边
邋	lat8	邋(~遢)
那	la4	那里;那霍(地名)
邦	pœŋ1b	城邦;刘邦
邪	tʃʰɛ2	邪气
邱	iɐu1b	邱[姓]
邵	ʃiu6	姓
郁	iok7a	忧郁;郁南
郊	kɛu1b	郊区
郎	lœŋ2	郎中
郡	kuɐn6	郡主
部	pu6	部队
郭	kœk7b	姓
郵	iɐu2	邮票
都	tou1b	都是
都	tou1b	首都
鄂	ŋœk8	湖北简称
鄉	hiøŋ1b	乡下
鄒	tʃau1b	姓
鄙	pʰɐi3	卑鄙
鄧	tɐŋ6	姓
鄭	tʃeŋ6	姓;郑重
鄰	lɐn2	邻居
酉	iɐu4	地支第十
酌	tʃiøk7b	酌情
配	pʰui5	分配
酒	tʃɐu3	酒精
酥	ʃou1a	酥油，酥饼
酬	tʃʰɐu2	报酬
酵	hau1b	发酵
酷	hou6	残酷
酸	ʃyn1b	酸味
醇	ʃɐn2	酒醇
醉	tʃoi5	喝醉
醋	tʃʰɐu5	吃醋
醒	ʃiə̯ŋ3	醒来，清醒
醒	ʃeŋ3	醒来，清醒
醜	tʃʰɐu3	丑陋
醫	i1b	医生
醬	tʃiøŋ5	酱油，辣椒酱
醮	tʃʰɛu1a	打醮
釀	iøŋ4	酿酒
釁	iɐn6	挑衅
釉	iɐu4	釉彩
釋	ʃek7a	解释
里	lɐi4	公里
重	tʃʰoŋ4	轻重
重	tʃoŋ6	重要
重	tʃʰoŋ2	重复
野	iɛ4	野兔
量	liøŋ2	量尺寸
量	liøŋ6	数量
金	kɐm1a	金银
釘	tiə̯ŋ5	钉书(动)
釘	tiə̯ŋ1a	铁钉(名)
針	tʃɐm1b	针对
釣	tɛu5	钓鱼
釵	tʃʰai1a	宝钗;钗子
鈀	pʰa2	农具
鈍	tɐn6	迟钝
鈔	tʃʰau1b	钞票
鈞	kuɐn1b	千钧一发
鈴	leŋ2	风铃
鉋	pʰɛu2	刨子，瓜刨
鉗	kin2	钳子
鉛	in2	铅笔
鉤	ŋɐu1a	鱼钩
鉸	kɛu5	铰剪
銀	ŋɐn2	银行
銅	tʰoŋ2	铜器
銘	meŋ4	铭刻
銜	ham2	军衔
銬	kʰau5	手铐
銷	ʃiu1b	供销社
銹	ʃɐu5	生锈
銼	tʃʰɔ5	锉刀
鋒	foŋ1b	锋利
鋤	tʃʰɔ2	锄头
鋪	pʰu1b	铺设
鋪	pʰu5	店铺
鋭	ioi6	尖锐
鋸	kɔy5	电锯
鋼	kœŋ5	钢铁，炼钢
錐	ioi1a	圆锥
錘	tʃʰoi2	铁锤
錠	teŋ6	银锭
錢	tʃʰin3	钱财
錦	kɐm3	锦绣
錨	miu2	抛锚
錫	ʃiə̯k7b	无锡;锡纸
錯	tʃʰɔ5	错误
錯	tʃʰɔ5	错杂
錄	lok8	记录
錶	piu1a	手表
鍋	uok8	砂锅;锅铲
鍍	tɐu6	电镀
鍘	tʃap8	铡刀
鍛	tyn4	锻炼
鍬	tʃʰɐu1a	铁锹
鍵	kin6	关键
鍾	tʃoŋ1b	钟爱
鎖	ʃɔ3	门锁
鎮	tʃɐn5	镇压
鏈	lin6	项链
鏟	tʃʰøn3	铲草
鏡	kiə̯ŋ5	镜子，圆镜
鐘	tʃoŋ1a	闹钟
鐮	lin2	镰刀
鐲	tʃok7a	镯子，手镯
鐵	tʰet7b	钢铁
鐸	tœk8	木铎，铃铎
鐺	tʃʰɛŋ1b	铛[平底锅]
鑄	tʃy5	铸铁
鑊	uok8	锅(炒菜用)
鑒	kam5	鉴定
鑲	ʃiøŋ1b	镶牙
鑼	lɔ2	锣鼓
鑽	tʃyn5	电钻(名)
鑽	tʃyn5	钻洞(动)
鑿	tʃœk8	用凿子凿
長	tʃʰiøŋ2	长短
長	tʃiøŋ3	生长
門	mon2	关门
閂	ʃon1b	门闩
閃	ʃin3	闪电
閉	pɐi5	关闭
開	hoi1b	开门
閏	iɐn6	闰月
閑	hen2	空闲
間	kan1a	中间
間	kan5	间断
閘	tʃap7b	闸门
閣	kœk7b	阁下;阁楼
閨	kuɐi1b	闺房
閩	mɐn4	福建简称
閲	yt8	阅读
閹	in1b	阉割
閻	yn2	阎王
闊	fut7b	开阔
闖	tʃʰœŋ3	闯祸
關	kuen1b	关门
阮	yn4	姓
防	foŋ2	防止
阻	tʃɔ3	阻力
阿	a5	阿哥
阿	ɔ1b	阿胶;阿弥陀佛
附	fu3	附近
陋	lɐu6	简陋
陌	mɐk8	陌生人
降	kœŋ5	下降
降	hœŋ2	投降
限	han6	限制
陝	ʃin3	陕西
陡	tɐu3	陡峭
院	yn6	院子
陣	tʃɐn6	阵雨
除	tʃʰy2	除法
陪	pʰui2	陪伴
陰	iɐm1b	阴天
陳	tʃʰɐn2	陈年
陵	leŋ2	陵园
陶	tʰou2	陶瓷
陷	hɐm6	陷井
陸	lok8	大陆
陽	iøŋ2	太阳
隆	loŋ2	兴隆
隊	tui6	队伍
階	kai1b	台阶
隔	kɛk7b	隔开，隔壁
際	tʃɐi5	国际
障	tʃiøŋ5	保障
隧	ʃoi6	隧道
隨	ʃoi2	随便
險	hin3	危险
隱	iɐn3	隐身，隐形
隸	tɐi6	奴隶;隶属
隻	tʃiə̯k7b	一只
雀	tʃiøk7b	麻雀
雁	ŋai6	大雁
雄	hoŋ2	英雄
雅	ŋa4	典雅
集	tʃap8	集体
雇	ku5	雇主
雌	tʃʰi1b	雌雄
雍	ioŋ1b	雍正
雕	tiu1b	雕塑;座山雕
雖	ʃoi1b	虽然
雙	ʃœŋ1b	一双
雜	tʃap8	复杂
雞	kɐi1a	公鸡
離	lɐi2	离别
離	lɐi2	离开
難	lan2	很难
難	lan2	患难
雨	y4	下雨
雪	ʃyt7b	下雪
雲	uɐn2	白云
零	leŋ2	零碎;零分;十零个
雷	loi2	雷公;姓
雹	pʰau5	冰雹
電	tin6	电灯
需	ʃoi1b	需要
霄	ʃiu1b	云霄
震	tʃɐn5	地震
黴	mui1b	发霉
霍	kʰœk7b	霍乱
霜	ʃœŋ1b	落霜，霜降
霞	ha2	朝霞
霧	mou6	大雾
露	lɐu4	露水
霸	pa5	霸王
靈	liə̯ŋ2	灵活
靈	leŋ2	灵活
青	tʃʰiə̯ŋ1b	青年;青色
靜	tʃeŋ6	安静
靚	liə̯ŋ5	靓[漂亮]
非	fɐi1b	非常
靠	kʰau5	可靠
面	min6	面子
革	kɛk7b	革命;皮革
靴	kʰœ1b	靴子
鞋	hai2	布鞋
鞍	on1a	马鞍
鞏	koŋ3	巩固
鞭	pin1b	皮鞭
韌	iɐn5	坚韧
韓	hon2	韩国
韭	kɐu3	韭菜
音	iɐm5	音乐
韶	ʃiu2	韶关
韻	uɐn4	韵味
響	hiøŋ3	音响
頁	it8	一页
頂	teŋ3	顶好;山顶
頂	tiə̯ŋ3	顶好;山顶
頃	kʰeŋ1b	公顷
頃	kʰeŋ4	公顷
項	hœŋ6	项链
順	ʃɐn6	顺利
須	ʃoi1b	必须
頌	tʃoŋ6	歌颂
預	y6	预备
頑	uan2	顽皮
頒	pan1b	颁布
頓	tɐn6	停顿
領	leŋ4	领钱;衣领
頭	tʰɐu2	头发
頸	kiə̯ŋ3	头颈
頻	pʰɐn2	频繁
顆	kʰɔ1b	颗粒
題	tʰɐi2	题目
額	ŋɛk8	名额
顔	ŋan2	颜色
願	yn6	愿望
顛	ten1b	颠倒
類	loi6	分类
顧	ku5	照顾
顫	tʃɐn5	颤抖
顯	hin3	明显
顴	kʰyn2	颧骨
風	foŋ1b	风气
飄	pʰiu1b	飘扬
飛	fɐi1a	飞机
食	ʃek8	食物
飢	ki1b	饥饿
飩	tʰɐn1a	馄饨
飯	fan6	吃饭
飲	iɐm3	米汤(名)
飲	iɐm3	饮酒(动)
飴	i2	饴糖
飼	tʃʰi6	饲养
飽	pɛu3	吃饱
飾	ʃek7a	装饰
餃	kau3	水饺
餅	piə̯ŋ3	饼干
餉	hiøŋ3	军饷
養	iøŋ4	养猪
餐	tʃʰan1a	快餐
餓	ŋɔ6	肚子饿
餘	y2	多余
餛	uɐn2	馄饨
餞	ʃin2	饯行
餡	ham6	饺子馅
館	kun3	图书馆
餸	ʃoŋ5	
餾	lɐu2	蒸馏水
餿	ʃau1b	饭馊了
饅	man6	馒头
饑	ki1b	饥荒
饒	iu2	求饶
首	ʃɐu3	首都
香	hiøŋ1b	香气
馨	heŋ1a	温馨
馬	ma4	骑马
馮	foŋ2	姓
馳	tʃʰi2	奔驰
駁	pœk8	反驳
駐	tʃy5	驻扎
駕	ka5	驾驶
駛	ʃai3	驾驶
駝	tʰɔ2	骆驼
駭	hɐi2	惊骇
駱	lœk7b	骆驼
騎	kʰi2	骑马
騙	pʰin5	欺骗
騰	tʰɐŋ2	奔腾
騷	ʃou1b	风骚
驅	kʰɔy1b	驱动;先驱
驕	kiu1b	骄傲
驗	lin6	试验
驚	kiə̯ŋ1b	吃惊，好惊
驟	tʃau6	步骤;暴风骤雨
驟	tʃoi6	步骤;暴风骤雨
驢	lou2	毛驴
骨	kuɐt7a	骨头
髀	pi3	髀[大腿]
髒	tʃœŋ6	肮脏
髓	ʃoi2	骨髓
體	tʰɐi3	身体
高	kou1b	跳高
髮	fat7b	头发
髻	kɐi5	发髻
鬃	tʃoŋ1b	马鬃
鬆	ʃoŋ1b	松紧，放松
鬍	u2	胡须
鬚	ʃɐu1b	胡须
鬢	pɐn5	鬂角
鬥	tɐu5	斗争
鬧	lau6	热闹
鬨	hoŋ5	内哄，起哄
鬼	kuɐi3	鬼神
魁	kʰuɐi4	魁悟
魂	uɐn2	鬼魂
魄	pʰɛk7b	魂魄
魅	mɐi6	魅
魏	ŋɐi6	魏国;姓
魔	mɔ1b	魔术
魚	y3	金鱼
魯	lou4	鲁迅
鮑	pau1b	鲍鱼
鮮	ʃin1b	新鲜
鮮	ʃin1a	朝鲜
鯉	lɐi4	鲤鱼
鯨	kʰeŋ2	鲸鱼
鯰	lin2	鲇(~鱼)
鯽	tʃɐk7a	鲫鱼
鰍	tʃʰɐu1a	泥鳅
鰓	ʃoi1b	鱼鳃
鰭	tʃʰi5	鳍(鱼~)
鰻	man6	鳗鱼
鰾	pʰau1b	鱼鳔(鱼泡)
鱉	pit7b	甲鱼
鱔	ʃin4	鳝鱼，黄鳝
鱖	kuɐi5	鳜鱼
鱗	lɐn2	鱼鳞
鱷	ŋœk8	鳄鱼
鳥	liu4	小鸟
鳩	kɐu1b	斑鸠
鳳	foŋ6	凤凰
鳴	meŋ2	鸣叫
鴉	a1b	乌鸦
鴨	ap7b	鸭子
鴻	hoŋ2	大展鸿图
鴿	kɐp7a	鸽子
鵝	ŋɔ3	天鹅
鵡	mu4	鹦鹉
鵲	tʃiøk7b	喜鹊
鶯	ɐŋ1b	黄莺
鶴	hœk8	仙鹤
鷂	iu3	纸鹞
鷹	ieŋ1a	老鹰
鷺	lɐu4	白鹭
鸚	ieŋ1b	鹦鹉
鸞	lyn2	鸾凤
鹹	ham2	咸淡
鹼	ken3	发酵用
鹽	in2	食盐(名)
鹽	in1b	腌制(动)
鹿	lok8	鹿茸
麗	lɐi6	美丽
麝	ʃɛ6	麝香
麥	mɛk8	大麦
麩	fu1b	麦麸
麴	kʰok7a	酒麴
麵	min6	面条
麻	ma2	麻袋
黃	uoŋ2	黄色
黎	lɐi2	黎明;姓
黏	nin1b	黏米，黏合剂
黑	hɐk7a	黑白
默	mɐk8	默写
點	ten3	点头
黨	tœŋ3	党员
鼎	teŋ3	鼎盛
鼓	ku3	鼓励
鼠	ʃy3	老鼠
鼻	pɐi6	鼻涕
鼾	hon2	鼾声
齊	tʃʰɐi2	整齐
齋	tʃai1b	吃斋
齒	tʃʰi3	牙齿
龍	loŋ2	龙头
龐	pʰœŋ2	庞大
龜	kuɐi1a	乌龟
