#漢字	音標	解釋
𧾷	tsʊʔ7	çȯ̆
軼	tʂʰɛʔ7	ʻchĕ
軼	tiɛʔ7	tiĕ
軼	ɪʔ7	iė̆
軿	pʰiŋ2	ʻpîm
輀	ɯ˞2	ûl
輂	kiʊʔ7	kiȯ̆
較	pɔʔ7	pŏ
較	kiɔʔ7	kiŏ
較	kiau5	kiáo
輅	xɛʔ7	hĕ
輅	lu5	lú
輇	tʂʰuɛn2	ʻchuên
輈	tʂəu1	chēu
載	tsai3	çài
載	tsai5	çái
載	tai5	tái
輊	tʂɨ5	chí
輐	xuan3	hoàn
輐	uan5	uán
輐	xuɔn3	huòn
輐	uɔn5	uón
輑	yn3	iùn
輒	tʂɛʔ7	chĕ
輓	ʋan3	vàn
輓	ʋan5	ván
輔	fu3	fù
輕	kʰiŋ1	ʻkīm
輕	kʰiŋ5	ʻkím
輖	tʂəu1	chēu
輗	ni2	nî
輗	i5	í
輘	ləŋ2	lêm
輘	liŋ2	lîm
輚	tʂan3	chàn
輚	tʂan5	chán
輜	tʂɨ1	chī
輜	tsɯ1	çu̇̄
輞	ʋaŋ3	vàm
輠	`xɔ3`	hò
輠	`xua3`	hoà
輠	`xuɔ3`	huò
輡	kʰan3	ʻkàn
輢	i3	ì
輢	i5	í
輤	tsʰiɛn5	ʻçién
輥	xuən3	hoèn
輦	liɛn3	lièn
輦	niɛn3	nièn
輧	pʰiɛn2	ʻpiên
輨	kuɔn3	kuòn
輩	puəi5	poéi
輪	lun2	lûn
輪	lyn2	liûn
輬	liaŋ2	leâm
輭	ɻuɛn3	juèn
輮	ɻəu5	jéu
輯	tsɪʔ7	çiė̆
輱	kʰan5	ʻkán
輲	tʂʰuɛn2	ʻchuên
輲	ɻuɛn2	juên
輳	tsʰəu5	ʻçéu
輴	tʂʰʉn1	ʻchūn
輵	iaʔ7	iă
輶	iəu2	iêu
輶	iəu3	ièu
輷	xuŋ1	hūm
輷	xuŋ5	húm
輸	ʂʉ1	xụ̄
輸	ʂʉ5	xụ́
輹	fʊʔ7	fȯ̆
輻	fʊʔ7	fȯ̆
輻	fəu5	féu
輼	yn3	iùn
輽	puən3	puèn
輾	tʂɛn3	chèn
輾	tʂɛn3	chièn
輾	niɛn3	nièn
輾	niɛn5	nién
輿	y2	iụ̂
輿	y5	iụ́
轀	yn1	iūn
轀	uən1	uēn
轀	uən3	uèn
轂	kʊʔ7	kȯ̆
轃	tsiɛn1	çiēn
轄	xiaʔ7	hiă
轅	yɛn2	iuên
轅	yɛn5	iuén
轆	lʊʔ7	lȯ̆
轇	lau2	lâo
轇	kiau1	kiāo
轈	tʂʰau2	ʻchâo
轉	tʂuɛn3	chuèn
轉	tʂuɛn5	chuén
轊	uəi5	goéi 校註：goei 轄字同 uei，音標按 uei 轉寫
轊	xuəi5	hoéi
轊	uəi5	uéi
轍	tʂʰɛʔ7	ʻchĕ
轎	kʰiau2	ʻkiâo
轎	kiau5	kiáo
轐	pʊʔ7	pȯ̆
轑	lau2	lâo
轑	liau2	leâo
轓	fan1	fān
轔	lin2	lîn
轔	lin3	lìn
轕	kɔʔ7	kŏ
轘	xuan2	hoân
轘	xuan5	hoán
轙	i2	î
轙	ni2	nî
轙	i3	ì
轚	ki5	kí
轚	kɪʔ7	kiė̆
轛	tui5	túi
轝	y5	iụ́
轞	xiɛn3	hièn
轟	xuŋ1	hūm
轟	xuŋ5	húm
轠	lui2	lûi
轡	pi5	pí
轢	lɔʔ7	lŏ
轢	lɪʔ7	liė̆
轤	lu2	lû
轥	lin5	lín
辛	sin1	sīn
辜	ku1	kū
辞	tsʰɯ2	ʻçu̇̂
辞	sɯ2	su̇̂
辟	pʰi2	ʻpî
辟	mi3	mì
辟	pɪʔ7	piė̆
辟	`pʰɪʔ7`	ʻpiė̆
辟	piŋ3	pìm
辢	laʔ7	lă
辤	tsʰɯ2	ʻçu̇̂
辤	sɯ2	su̇̂
辦	pʰan1	ʻpān
辦	pan5	pán
辨	`piɛn3`	pièn
辨	pʰiɛn5	ʻpién
辭	tsʰɯ2	ʻçu̇̂
辭	sɯ2	su̇̂
辮	pan1	pān
辮	`piɛn3`	pièn
辯	piɛʔ7	piĕ
辯	`piɛn3`	pièn
辯	piɛn5	pién
辰	ʂɨn2	xîn
辱	ɻʊʔ7	jȯ̆
農	nuŋ2	nûm
辴	tʂʰɨn3	ʻchìn
迂	y1	iụ̄
迄	xɪʔ7	hiė̆
迅	sin5	sín
迋	ʋaŋ5	vám
迋	uaŋ5	uám
迍	tʂʉn1	chūn
迎	iŋ2	îm
迎	iŋ5	ím
近	kin3	kìn
近	kin5	kín
迒	kaŋ1	kām
迓	ia5	iá
返	fan3	fàn
迡	ni5	ní
迢	tʰiau2	ʻtiâo
迣	liɛʔ7	liĕ
迤	i2	î
迤	i3	ì
迤	tʰɔ2	ʻtô
迥	xiuŋ3	hiùm
迦	kia1	kiā
迪	tɪʔ7	tiė̆
迫	pɛʔ7	pĕ
迫	pʰɛʔ7	ʻpĕ
迭	tiɛʔ7	tiĕ
迭	ɪʔ7	iė̆
迮	tsɛʔ7	çĕ
述	ʂɵʔ7	xụ̆
迴	xuəi5	hoéi
迷	mi2	mî
迸	pʰəŋ1	ʻpēm
迺	nai3	nài
追	tʂui1	chūi
迾	li5	lí
迿	syn2	siûn
迿	syn5	siún
退	tʰui5	ʻtúi
送	suŋ5	súm
适	kuɔʔ7	kuŏ
逃	tʰau2	ʻtâo
逄	pʰaŋ2	ʻpâm
逅	xəu5	héu
逆	nɪʔ7	niė̆
逋	pu1	pū
逌	iəu1	iēu
逍	siau1	siāo
逎	tsʰiəu2	ʻçiêu
逎	siəu2	siêu
透	tʰəu5	ʻtéu
逐	tʂʊʔ7	chȯ̆
逑	kʰiəu2	ʻkiêu
逓	ti5	tí
途	tʰu2	ʻtû
逖	tʰɪʔ7	ʻtiė̆
逗	təu5	téu
通	tʰuŋ1	ʻtūm
逜	u5	ú
逜	ŋu5	gú
逝	ʂɨ5	xí
逞	tʂʰɨŋ3	ʻchìm
速	sʊʔ7	sȯ̆
造	`tsau3`	çào
造	tsʰau5	ʻçáo
逡	tsʰyn1	ʻçiūn
逢	pʰaŋ2	ʻpâm
逢	pʰuŋ2	ʻpûm
逢	fuŋ2	fûm
連	lan5	lán
連	liɛn2	liên
連	liɛn3	lièn
逬	pəŋ5	pém
逬	piŋ5	pím
逭	xuɔn5	huón
逮	ti5	tí
逮	tai3	tài
逮	tai5	tái
逯	lʊʔ7	lȯ̆
逰	iəu2	iêu
進	tsin5	çín
逴	tʂɔʔ7	chŏ
逴	tʂʰɔʔ7	ʻchŏ
逵	kʰuəi2	ʻkuêi
逶	uəi1	goēi 校註：goei 轄字同 uei，音標按 uei 轉寫
逶	uəi1	uēi
逸	ɪʔ7	iė̆
逹	tʰaʔ7	ʻtă
逻	lɔ5	ló
逼	pɪʔ7	piė̆
逾	y2	iụ̂
逿	taŋ5	tám
遂	sui5	súi
遄	tʂʰuɛn2	ʻchuên
遇	y5	iụ́
遇	iuŋ2	iûm
遉	tʂʰɨŋ1	ʻchīm
遉	tʂʰɨŋ5	ʻchím
遊	iəu2	iêu
運	yn5	iún
過	kɔ1	kō
過	kɔ5	kó
過	kuɔ1	kuō
過	kuɔ5	kuó
遏	ɔʔ7	ŏ
遐	xia2	hiâ
遑	xuaŋ2	hoâm
遒	tsʰiəu2	ʻçiêu
遒	siəu2	siêu
道	`tau3`	tào
道	tau5	táo
達	taʔ7	tă
違	uəi2	goêi 校註：goei 轄字同 uei，音標按 uei 轉寫
違	uəi2	uêi
遘	kəu5	kéu
遙	iau2	iâo
遛	liəu5	liéu
遜	sun5	sún
遝	taʔ7	tă
遞	`ti3`	tì
遞	ti5	tí
遟	si1	sī
遠	yɛn3	iuèn
遠	yɛn5	iuén
遡	su5	sú
遣	kʰiɛn3	ʻkièn
遣	kʰiɛn5	ʻkién
適	ʂəʔ7	xė̆
適	tɪʔ7	tiė̆
遫	sʊʔ7	sȯ̆
遭	tsau1	çāo
遮	tʂɛ1	chē
遯	`tun3`	tùn
遯	tun5	tún
遰	ti5	tí
遲	tʂʰɨ2	ʻchî
遲	tʂɨ5	chí
遴	lin5	lín
遵	tsun1	çūn
遵	tsʰyn1	ʻçiūn
遶	ʂau5	xáo
遷	tsʰiɛn1	ʻçiēn
選	syɛn3	siuèn
選	syɛn5	siuén
遹	ʏʔ7	iụ̆
遺	i2	î
遺	i5	í
遺	sui2	sûi
遺	uəi2	goêi 校註：goei 轄字同 uei，音標按 uei 轉寫
遺	uəi5	goéi 校註：goei 轄字同 uei，音標按 uei 轉寫
遺	uəi2	uêi
遺	uəi5	uéi
遻	ŋu5	gú
遼	liau2	leâo
遽	kʰy2	ʻkiụ̂
遽	ky5	kiụ́
遾	ʂɨ5	xí
避	pi5	pí
邀	iau1	iāo
邁	mai5	mái
邂	xiai5	hiái
邃	sui5	súi
還	xuan2	hoân
還	xuan5	hoán
還	syɛn2	siuên
邅	tʂɛn1	chēn
邅	tʂɛn5	chén
邅	tʂɛn1	chiēn
邅	tʂɛn5	chién
邇	ɯ˞3	ùl
邈	mɔʔ7	mŏ
邊	piɛn1	piēn
邌	li2	lî
邏	lɔ3	lò
邐	li3	lì
邑	ɔʔ7	ŏ
邑	ɪʔ7	iė̆
邕	iuŋ1	iūm
邗	xan2	hân
邘	y2	iụ̂
邙	maŋ2	mâm
邢	xiŋ2	hîm
那	na2	nâ
那	na5	ná
那	nɔ2	nô
那	nɔ5	nó
邦	paŋ1	pām
邧	yɛn2	iuên
邪	iɛ2	iê
邯	xan2	hân
邰	tʰai1	ʻtāi
邲	pɪʔ7	piė̆
邳	pʰi2	ʻpî
邳	pʰuəi1	ʻpoēi
邴	piŋ3	pìm
邵	tʂau5	cháo
邵	ʂau5	xáo
邶	puəi5	poéi
邸	tʂʰɨ2	ʻchî
邸	ti3	tì
邽	kuəi1	kuēi
邾	tʂʉ1	chụ̄
邿	ʂɨ1	xī
郁	iʊʔ7	iȯ̆
郃	xɔʔ7	hŏ
郅	tʂəʔ7	chė̆
郇	syn1	siūn
郈	xəu3	hèu
郈	xəu5	héu
郊	kiau1	kiāo
郎	laŋ2	lâm
郔	iɛn2	iên
郕	tʂʰɨŋ2	ʻchîm
郕	ʂɨŋ2	xîm
郚	u2	û
郚	ŋu2	gû
郛	fu1	fū
郜	kau5	káo
郝	xɔʔ7	hŏ
郟	kiaʔ7	kiă
郡	kyn5	kiún
郢	iŋ3	ìm
郤	xɪʔ7	hiė̆
部	`pu3`	pù
部	pu5	pú
部	pʰəu3	ʻpèu
郪	tsʰi1	ʻçī
郫	pʰi2	ʻpî
郭	kuɛʔ7	kuĕ
郭	kuɔʔ7	kuŏ
郭	kuɛʔ7	kuȯ̆ 校註：kuȯ 轄字同 kue，音標按 kue 轉寫
郯	tʰan2	ʻtân
郰	tsəu1	çēu
郱	pʰiŋ2	ʻpîm
郴	tsʰən1	ʻçēn
郴	tʂʰɨn1	ʻchīn
郵	iəu2	iêu
都	tu1	tū
郾	iɛn5	ién
郿	muəi2	mûi
郿	muəi2	moêi
鄀	ɻɔʔ7	jŏ
鄂	ŋɔʔ7	gŏ
鄂	niɔʔ7	niŏ
鄃	ʂʉ1	xụ̄
鄄	kyɛn5	kiuén
鄅	y3	iụ̀
鄅	ky3	kiụ̀
鄆	yn5	iún
鄈	kʰuəi2	ʻkuêi
鄉	xiaŋ1	hiām
鄍	miŋ2	mîm
鄏	ɻʊʔ7	jȯ̆
鄑	tsɯ1	çu̇̄
鄒	tsəu1	çēu
鄒	tʂəu1	chēu
鄔	u3	ù
鄖	yn2	iûn
鄗	xɔʔ7	hŏ
鄗	kʰʊʔ7	ʻkȯ̆
鄗	kʰiau1	ʻkiāo
鄘	iuŋ2	iûm
鄙	pi3	pì
鄚	mɔʔ7	mŏ
鄝	fu1	fū
鄝	liau3	leào
鄞	in2	în
鄠	`xu3`	hù
鄢	iɛn1	iēn
鄢	iɛn3	ièn
鄣	tʂaŋ1	chām
鄤	muɔn2	muôn
鄧	təŋ5	tém
鄨	pi5	pí
鄩	sin2	sîn
鄫	tsʰəŋ2	ʻçêm
鄭	tʂɨŋ5	chím
鄮	məu5	méu
鄯	`ʂɛn3`	xèn
鄯	ʂɛn5	xén
鄯	`ʂɛn3`	xièn
鄯	ʂɛn5	xién
鄰	lin2	lîn
鄰	lin5	lín
鄱	pʰɔ2	ʻpô
鄲	tan1	tān
鄴	iɛʔ7	iĕ
鄴	niɛʔ7	niĕ
鄵	tsʰau5	ʻçáo
鄶	kuəi5	kuéi
鄷	fuŋ1	fūm
鄸	muŋ2	mûm
鄹	tsəu1	çēu
鄼	tsʰuɔn2	ʻçuôn
鄼	tsuɔn3	çuòn
酂	tsan5	çán
酅	xuəi2	hoêi
酈	lɪʔ7	liė̆
酉	iəu3	ièu
酊	tiŋ3	tìm
酋	tsiəu1	çiēu
酋	tsʰiəu2	ʻçiêu
酋	siəu2	siêu
酌	ʂɔʔ7	xŏ
配	pʰuəi5	ʻpoéi
酎	tʂəu5	chéu
酏	i2	î
酏	i3	ì
酏	tʂɛn1	chēn
酏	tʂɛn1	chiēn
酒	tsiəu3	çièu
酗	xy5	hiụ́
酘	təu5	téu
酟	tʰiɛn1	ʻtiēn
酡	tʰɔ2	ʻtô
酢	tsɔʔ7	çŏ
酣	`xan1`	hān
酣	xan2	hân
酤	ku1	kū
酤	ku3	kù
酤	ku5	kú
酥	su1	sū
酨	tsai5	çái
酩	miŋ3	mìm
酪	lɔʔ7	lŏ
酬	tʂʰəu2	ʻchêu
酭	iəu5	iéu
酮	tʰuŋ2	ʻtûm
酮	`tuŋ3`	tùm
酲	tʂʰɨŋ2	ʻchîm
酳	in5	ín
酶	muəi2	mûi
酶	muəi2	moêi
酷	kʰʊʔ7	ʻkȯ̆
酸	suɔn1	suōn
酹	lui5	lúi
酺	pʰu2	ʻpû
酺	pu5	pú
醁	lʊʔ7	lȯ̆
醃	iɛn1	iēn
醄	tʰau2	ʻtâo
醅	pʰuəi1	ʻpoēi
醆	tʂan3	chàn
醇	ʂʉn2	xûn
醈	tan5	tán
醉	tsui5	çúi
醊	tʂui5	chúi
醋	tsʰu5	ʻçú
醍	tʰi3	ʻtì
醐	xu2	hû
醑	sy3	siụ̀
醒	siŋ1	sīm
醒	siŋ3	sìm
醒	siŋ5	sím
醓	tʰan3	ʻtàn
醖	yn3	iùn
醙	səu3	sèu
醙	siəu3	sièu
醜	tʂʰəu3	ʻchèu
醝	tsʰɔ2	ʻçô
醞	yn5	iún
醞	uən3	uèn
醞	uən5	uén
醟	iŋ2	îm
醟	iŋ5	ím
醟	iuŋ5	iúm
醠	ŋaŋ3	gàm
醠	ŋaŋ5	gám
醡	tʂa5	chá
醢	xai3	hài
醥	pʰiau3	ʻpiào
醨	li2	lî
醪	lau2	lâo
醫	i1	ī
醫	i3	ì
醬	tsiaŋ5	çiám
醭	pʰʊʔ7	ʻpȯ̆
醮	tsiau5	çiáo
醯	xi1	hī
醰	tʰan2	ʻtân
醱	pɔʔ7	pŏ
醲	nuŋ2	nûm
醳	ɪʔ7	iė̆
醴	li3	lì
醵	kiɔʔ7	kiŏ
醵	kʰy2	ʻkiụ̂
醵	ky5	kiụ́
醷	i3	ì
醷	tʰan3	ʻtàn
醷	ɪʔ7	iė̆
醷	iai5	iái
醹	ɻʉ2	jụ̂
醹	ɻʉ3	jụ̀
醺	xyn1	hiūn
醼	iɛn5	ién
醽	liŋ2	lîm
醾	mi2	mî
醾	muəi2	moêi
醿	muəi2	mûi
釀	ɻaŋ5	jám
釀	niaŋ5	niám
釁	xin5	hín
釂	tsiau5	çiáo
釃	ʂɨ1	xī
釃	si3	sì
釃	su1	sū
釅	iɛn5	ién
釅	niɛn5	nién
采	tsʰai3	ʻçài
采	tsʰai5	ʻçái
釋	ʂəʔ7	xė̆
里	li3	lì
重	tʂʰuŋ2	ʻchûm
重	tʰuŋ2	ʻtûm
重	`tʂuŋ3`	chùm
重	tʂuŋ5	chúm
野	iɛ3	iè
量	liaŋ2	leâm
量	liaŋ5	leám
釐	xi1	hī
釐	li2	lî
金	kin1	kīn
釕	liau3	leào
釗	tʂau1	chāo
釘	tiŋ1	tīm
釘	tiŋ5	tím
針	tʂɨn5	chín
釣	tiau5	tiáo
釤	san5	sán
釤	ʂan5	xán
釦	kʰəu3	ʻkèu
釧	tʂʰuɛn5	ʻchuén
釩	fan5	fán
釪	y2	iụ̂
釬	xan5	hán
釭	kaŋ1	kām
釭	kuŋ1	kūm
釭	kiaŋ1	kiām
釱	ti5	tí
釱	tai5	tái
釳	xɪʔ7	hiė̆
釴	ɪʔ7	iė̆
釵	tʂʰai1	ʻchāi
釾	iɛ2	iê
釿	in2	în
鈀	pa1	pā
鈃	xiŋ2	hîm
鈃	kiɛn1	kiēn
鈇	fu1	fū
鈋	ŋɔ2	gô
鈍	tun5	tún
鈏	in3	ìn
鈐	kʰiɛn2	ʻkiên
鈒	saʔ7	să
鈒	sɛʔ7	sĕ
鈔	tʂʰau1	ʻchāo
鈔	tʂʰau5	ʻcháo
鈕	niəu3	nièu
鈗	yn3	iùn
鈚	pʰi2	ʻpî
鈜	xuŋ2	hûm
鈞	kyn1	kiūn
鈯	tʰʊʔ7	ʻtȯ̆
鈲	pʰɛʔ7	ʻpĕ
鈴	liŋ2	lîm
鈸	pɔʔ7	pŏ
鈹	pʰi1	ʻpī
鈹	pʰuəi1	ʻpoēi
鈿	tʰiɛn2	ʻtiên
鈿	tiɛn5	tién
鉀	kiaʔ7	kiă
鉅	`ky3`	kiụ̀
鉅	ky5	kiụ́
鉆	siɛn1	siēn
鉈	ʂɛ2	xê
鉉	`xyɛn3`	hiuèn
鉊	tʂau1	chāo
鉋	pʰau5	ʻpáo
鉌	xɔ2	hô
鉌	xuɔ2	huô
鉍	pɪʔ7	piė̆
鉎	səŋ1	sēm
鉒	tʂʉ5	chụ́
鉗	kʰiɛn2	ʻkiên
鉛	iɛn2	iên
鉛	yɛn2	iuên
鉞	yɛʔ7	iuĕ
鉟	pʰi1	ʻpī
鉠	iaŋ1	iām
鉢	pɔʔ7	pŏ
鉤	kəu1	kēu
鉦	tʂɨŋ1	chīm
鉷	xuŋ2	hûm
鉸	kiau5	kiáo
鉹	i2	î
鉹	tʂʰɨ3	ʻchì
鉺	ɯ˞5	úl
鉼	piŋ3	pìm
銀	in2	în
銅	tʰuŋ2	ʻtûm
銍	tʂəʔ7	chė̆
銎	kʰiuŋ1	ʻkiūm
銑	siɛn3	sièn
銓	tsʰyɛn1	ʻçiuēn
銔	pʰuəi1	ʻpoēi
銖	ʂʉ2	xụ̂
銘	miŋ2	mîm
銘	miŋ5	mím
銙	kʰua3	ʻkuà
銚	iau2	iâo
銚	tiau5	tiáo
銛	siɛn1	siēn
銜	xiɛn2	hiên
銳	tui5	túi
銳	ɻui5	júi
銶	kʰiəu2	ʻkiêu
銷	siau1	siāo
銻	tʰi2	ʻtî
鋀	`təu3`	tèu
鋂	muəi2	mûi
鋂	muəi2	moêi
鋃	laŋ2	lâm
鋄	`ʋan3`	vàn
鋄	`man3`	màn
鋈	ʊʔ7	uȯ̆
鋊	iʊʔ7	iȯ̆
鋋	tʂʰɛn2	ʻchên
鋋	ʂɛn2	xên
鋋	tʂʰɛn2	ʻchiên
鋋	ʂɛn2	xiên
鋌	tiŋ3	tìm
鋎	xuan3	hoàn
鋎	xuɔn3	huòn
鋏	kiɛʔ7	kiĕ
鋒	fuŋ1	fūm
鋗	kyɛn1	kiuēn
鋗	xyɛn1	hiuēn
鋘	xua2	hoâ
鋙	u2	û
鋙	ŋu2	gû
鋙	y3	iụ̀
鋜	tʂɔʔ7	chŏ
鋝	liɛʔ7	liĕ
鋝	lʏʔ7	liụ̆
鋝	lyɛʔ7	liuĕ
鋟	tsʰin1	ʻçīn
鋟	tsʰin3	ʻçìn
鋟	tsin5	çín
鋤	tsʰu2	ʻçû
鋤	tʂʰu2	ʻchû
鋥	tsʰəŋ5	ʻçém
鋩	ʋaŋ2	vâm
鋩	maŋ2	mâm
鋸	ky5	kiụ́
鋹	tʂʰaŋ3	ʻchàm
鋼	kaŋ1	kām
錄	lʊʔ7	lȯ̆
錄	ly5	liụ́
錍	pi1	pī
錍	pʰi1	ʻpī
錍	puəi1	poēi
錐	tʂui1	chūi
錔	tʰaʔ7	ʻtă
錕	kuən3	kuèn
錘	tʂui3	chùi
錘	tʂui5	chúi
錙	tʂɨ1	chī
錙	tsɯ1	çu̇̄
錚	tsʰəŋ1	ʻçēm
錚	tʂʰəŋ1	ʻchēm
錞	`tui3`	tùi
錞	tui5	túi
錞	ʂʉn2	xûn
錟	tʰan2	ʻtân
錟	iɛn3	ièn
錠	tiŋ5	tím
錢	tsʰiɛn2	ʻçiên
錢	tsiɛn3	çièn
錣	tʂui5	chúi
錤	ki1	kī
錦	kin3	kìn
錧	kuɔn3	kuòn
錫	sɪʔ7	siė̆
錮	ku5	kú
錯	tsʰɔʔ7	ʻçŏ
鍇	kʰiai3	ʻkiài
鍊	liɛn5	lién
鍋	kɔ1	kō
鍋	kuɔ1	kuō
鍍	tʰu2	ʻtû
鍍	tu5	tú
鍐	tsuŋ1	çūm
鍒	ɻəu2	jêu
鍔	ŋɔʔ7	gŏ
鍔	niɔʔ7	niŏ
鍚	iaŋ2	iâm
鍛	ʂɛʔ7	xĕ
鍛	tuɔn5	tuón
鍜	xia2	hiâ
鍝	y2	iụ̂
鍠	xuŋ2	hûm
鍢	fʊʔ7	fȯ̆
鍥	kʰi5	ʻkí
鍥	kiɛʔ7	kiĕ
鍥	kʰiɛʔ7	ʻkiĕ
鍦	ʂɨ1	xī
鍦	ʂɨ5	xí
鍧	xuŋ1	hūm
鍪	məu2	mêu
鍬	tsʰiau1	ʻçiāo
鍭	xəu2	hêu
鍭	xəu5	héu
鍮	ʂʉ1	xụ̄
鍮	tʰəu1	ʻtēu
鍰	xuan2	hoân
鍵	kʰiɛn2	ʻkiên
鍵	`kiɛn3`	kièn
鍸	xu2	hû
鍼	tʂɨn1	chīn
鍼	tʂɨn5	chín
鍼	kʰiɛn2	ʻkiên
鍾	tʂuŋ1	chūm
鎈	tʂʰa1	ʻchā
鎊	pʰaŋ1	ʻpām
鎋	xiaʔ7	hiă
鎌	liɛn2	liên
鎔	iuŋ2	iûm
鎖	sɔ3	sò
鎗	tsʰəŋ1	ʻçēm
鎗	tʂʰəŋ1	ʻchēm
鎚	tui1	tūi
鎚	tʂʰui2	ʻchûi
鎛	pɔʔ7	pŏ
鎣	iŋ5	ím
鎧	kʰai3	ʻkài
鎧	kʰai5	ʻkái
鎩	ʂaʔ7	xă
鎩	ʂai5	xái
鎪	səu1	sēu
鎪	səu5	séu
鎬	`xau3`	hào
鎭	tʂɨn1	chīn
鎭	tʂɨn3	chìn
鎭	tʂɨn5	chín
鎰	ɪʔ7	iė̆
鏃	tsʊʔ7	çȯ̆
鏃	tsʰʊʔ7	ʻçȯ̆
鏊	ŋau5	gáo
鏌	mɔʔ7	mŏ
鏐	liəu2	liêu
鏑	tɪʔ7	tiė̆
鏖	ŋau1	gāo
鏖	iau2	iâo
鏗	kʰəŋ1	ʻkēm
鏘	tsʰəŋ1	ʻçēm
鏘	tʂʰəŋ1	ʻchēm
鏘	tsʰiaŋ1	ʻçiām
鏚	tsʰɪʔ7	ʻçiė̆
鏜	tʰaŋ1	ʻtām
鏝	muɔn2	muôn
鏞	iuŋ2	iûm
鏟	tsʰan5	ʻçán
鏟	tʂʰan5	ʻchán
鏡	kiŋ5	kím
鏤	ləu5	léu
鏦	tsʰuŋ1	ʻçūm
鏦	tʂʰuaŋ1	ʻchoām
鏦	tʂʰuaŋ1	ʻchuām
鏧	kʰiŋ5	ʻkím
鏨	tsan5	çán
鏵	xua2	hoâ
鏶	tsɪʔ7	çiė̆
鏷	pʰɔʔ7	ʻpŏ
鏹	kiaŋ3	kiàm
鏺	pʰɔʔ7	ʻpŏ
鐀	kʰuəi5	ʻkuéi
鐃	nau2	nâo
鐄	xuŋ2	hûm
鐆	sui5	súi
鐋	tʰaŋ5	ʻtám
鐎	tsiau1	çiāo
鐏	tsun5	çún
鐏	tsuɔn3	çuòn
鐐	liau2	leâo
鐐	liau5	leáo
鐓	`tui3`	tùi
鐓	tui5	túi
鐔	tʰan2	ʻtân
鐔	tsʰin2	ʻçîn
鐔	sin2	sîn
鐖	ki1	kī
鐘	tʂuŋ1	chūm
鐙	təŋ5	tém
鐡	tʰiɛʔ7	ʻtiĕ
鐧	kiɛn5	kién
鐫	tsyɛn1	çiuēn
鐲	tʂɔʔ7	chŏ
鐲	ʂʊʔ7	xȯ̆
鐶	xuan2	hoân
鐸	tɔʔ7	tŏ
鐺	taŋ1	tām
鐺	tsʰəŋ1	ʻçēm
鐺	tʂʰəŋ1	ʻchēm
鐻	kʰy2	ʻkiụ̂
鐻	ky5	kiụ́
鑄	tʂʉ5	chụ́
鑈	ni3	nì
鑊	xuɔʔ7	huŏ
鑑	kiɛn1	kiēn
鑑	kiɛn5	kién
鑕	tʂəʔ7	chė̆
鑚	tsuɔn1	çuōn
鑞	laʔ7	lă
鑠	ʂɔʔ7	xŏ
鑢	ly5	liụ́
鑣	ŋau1	gāo
鑣	piau1	piāo
鑪	lu2	lû
鑮	pɔʔ7	pŏ
鑰	iɔʔ7	iŏ
鑱	tsʰan1	ʻçān
鑱	`tsʰan1`	ʻçān
鑱	tʂʰan1	ʻchān
鑱	`tʂʰan1`	ʻchān
鑱	tsʰan2	ʻçân
鑱	tʂʰan2	ʻchân
鑱	tʂan5	chán
鑴	tʂui1	chūi
鑴	xuəi1	hoēi
鑷	niɛʔ7	niĕ
鑼	lɔ2	lô
鑽	tsuɔn5	çuón
鑾	luɔn2	luôn
鑿	tsɔʔ7	çŏ
鑿	tsau5	çáo
钀	niɛʔ7	niĕ
钁	kiɔʔ7	kiŏ
铇	pau5	páo
铏	xiŋ2	hîm
镂	ly2	liụ̂
長	tʂʰaŋ2	ʻchâm
長	tʂaŋ3	chàm
長	tʂaŋ5	chám
門	muən2	muên
閃	ʂɛn3	xèn
閃	ʂɛn5	xén
閃	ʂɛn3	xièn
閃	ʂɛn5	xién
閈	xan5	hán
閉	pi5	pí
閉	piɛʔ7	piĕ
開	kʰai1	ʻkāi
閌	kʰaŋ5	ʻkám
閎	xuŋ2	hûm
閏	ɻʉn5	jún
閑	xiɛn2	hiên
閒	kiɛn1	kiēn
閒	xiɛn2	hiên
間	kiɛn5	kién
閔	ʋuən2	vên 校註：ven 拼寫疑誤，當作 vuen
閙	nau5	náo
閛	pʰəŋ1	ʻpēm
閛	pʰiŋ1	ʻpīm
閜	xia3	hià
閞	piɛn5	pién
閟	pi5	pí
閡	kai1	kāi
閡	kai3	kài
閡	ŋai5	gái
閣	kɔʔ7	kŏ
閤	tʰaʔ7	ʻtă
閤	kɔʔ7	kŏ
閥	faʔ7	fă
閧	xuŋ5	húm
閨	kuəi1	kuēi
閩	min2	mîn
閫	kʰuən3	ʻkuèn
閫	kʰuən5	ʻkuén
閬	laŋ2	lâm
閬	laŋ5	lám
閱	yɛʔ7	iuĕ
閶	tʂʰaŋ1	ʻchām
閷	ʂai5	xái
閹	iɛn1	iēn
閹	iɛn3	ièn
閼	ɔʔ7	ŏ
閼	iɛʔ7	iĕ
閽	xuən1	hoēn
閾	ʏʔ7	iụ̆
闃	kʰɪʔ7	ʻkiė̆
闃	kʰʏʔ7	ʻkiụ̆
闇	ŋan3	gàn
闇	xan5	hán
闈	uəi2	goêi 校註：goei 轄字同 uei，音標按 uei 轉寫
闈	uəi2	uêi
闉	in1	īn
闊	kʰuɔʔ7	ʻkuŏ
闋	kʰyɛʔ7	ʻkiuĕ
闌	lan2	lân
闍	ʂɛ2	xê
