#漢字	音標	解釋
㮇	tʰiẽ5	~笔
黃	xuaŋ2	
黎	li2	~明
黏	ȵiẽ2	~米
黑	xa7	
默	ma7	
鼎	tin3	
鼓	ku3	
鼠	ʂʯ3	老~
鼬	iəu6	
鼻	pi7	~子
齈	noŋ2	鼻~
齊	tɕʰi2	整~
齒	tʂʰʅ3	牙~
龍	loŋ2	
龜	kui1	
