"简体"	"繁體"	"音標"		"1：˧˧"	"2：˧˩"
"裆"	"襠"	"tɔ1"			
"党"	"黨"	"tɔ3"			
"挡"	"擋"	"tɔ3"			
"当"	"當"	"tɔ5"			
"汤"	"湯"	"tʰɔ1"			
"倘"	"倘"	"tʰɔ3"			
"躺"	"躺"	"tʰɔ3"			
"傥"	"儻"	"tʰɔ3"			
"烫"	"燙"	"tʰɔ5"			
"趟"	"趟"	"tʰɔ5"			
"堂"	"堂"	"dɔ2"			
"棠"	"棠"	"dɔ2"			
"螳"	"螳"	"dɔ2"			
"唐"	"唐"	"dɔ2"			
"糖"	"糖"	"dɔ2"			
"塘"	"塘"	"dɔ2"			
"螗"	"螗"	"dɔ2"			
"溏"	"溏"	"dɔ2"			
"宕"	"宕"	"dɔ4"			
"荡"	"蕩"	"dɔ4"			
"貌"	"貌"	"dɔ4"			
"瞠"	"瞠"	"dɔ6"			
"荡"	"蕩"	"dɔ6"			
"逭"	"逭"	"dɔ6"			
"囊"	"囊"	"nɔ2"			
"挠"	"撓"	"nɔ2"			
"郎"	"郎"	"lɔ2"			
"廊"	"廊"	"lɔ2"			
"狼"	"狼"	"lɔ2"			
"娘"	"娘"	"lɔ2"			
"㫰"	"㫰"	"lɔ2"			
"榔"	"榔"	"lɔ2"			
"锒"	"鋃"	"lɔ2"			
"稂"	"稂"	"lɔ2"			
"朗"	"朗"	"lɔ4"			
"狼"	"狼"	"lɔ6"			
"桑"	"桑"	"sɔ1"			
"梢"	"梢"	"sɔ1"			
"丧"	"喪"	"sɔ1"			
"筲"	"筲"	"sɔ1"			
"磉"	"磉"	"sɔ1"			
"爽"	"爽"	"sɔ3"			
"嗓"	"嗓"	"sɔ5"			
"啸"	"嘯"	"sɔ5"			
"哨"	"哨"	"sɔ5"			
"藏"	"藏"	"zɔ2"			
"藏"	"藏"	"zɔ6"			
"脏"	"髒"	"zɔ6"			
"脏"	"髒"	"tɕɔ1"			
"庄"	"莊"	"tɕɔ1"			
"装"	"裝"	"tɕɔ1"			
"恭"	"恭"	"tɕɔ1"			
"供"	"供"	"tɕɔ1"			
"龚"	"龔"	"tɕɔ1"			
"葬"	"葬"	"tɕɔ5"			
"壮"	"壯"	"tɕɔ5"			
"仓"	"倉"	"tɕʰɔ1"			
"苍"	"蒼"	"tɕʰɔ1"			
"疮"	"瘡"	"tɕʰɔ1"			
"匡"	"匡"	"tɕʰɔ1"			
"筐"	"筐"	"tɕʰɔ1"			
"眶"	"眶"	"tɕʰɔ1"			
"框"	"框"	"tɕʰɔ1"			
"创"	"創"	"tɕʰɔ5"			
"狂"	"狂"	"dʑɔ2"			
"逛"	"逛"	"dʑɔ2"			
"共"	"共"	"gɔ6"			
"尧"	"堯"	"ȵɔ2"			
"匈"	"匈"	"ɕɔ1"			
"汹"	"洶"	"ɕɔ1"			
"胸"	"胸"	"ɕɔ1"			
"凶"	"凶"	"ɕɔ1"			
"凶"	"凶"	"ɕɔ1"			
"痈"	"癰"	"ʔyɔ1"			
"枉"	"枉"	"ʔyɔ3"			
"往"	"往"	"ʔyɔ3"			
"甬"	"甬"	"ʔyɔ3"			
"勇"	"勇"	"ʔyɔ3"			
"涌"	"湧"	"ʔyɔ3"			
"壅"	"壅"	"ʔyɔ5"			
"王"	"王"	"jyɔ2"			
"用"	"用"	"jyɔ6"			
"光"	"光"	"kɔ1"			
"江"	"江"	"kɔ1"			
"缸"	"缸"	"kɔ1"			
"冈"	"岡"	"kɔ1"			
"岗"	"崗"	"kɔ1"			
"刚"	"剛"	"kɔ1"			
"纲"	"綱"	"kɔ1"			
"钢"	"鋼"	"kɔ1"			
"罡"	"罡"	"kɔ1"			
"广"	"廣"	"kɔ3"			
"讲"	"講"	"kɔ3"			
"港"	"港"	"kɔ3"			
"杠"	"杠"	"kɔ5"			
"扛"	"扛"	"kɔ5"			
"降"	"降"	"kɔ5"			
"康"	"康"	"kʰɔ1"			
"糠"	"糠"	"kʰɔ1"			
"慷"	"慷"	"kʰɔ3"			
"抗"	"抗"	"kʰɔ5"			
"炕"	"炕"	"kʰɔ5"			
"团"	"團"	"kʰɔ5"			
"旷"	"曠"	"kʰɔ5"			
"抗"	"抗"	"kʰɔ5"			
"荒"	"荒"	"hɔ1"			
"慌"	"慌"	"hɔ1"			
"谎"	"謊"	"hɔ3"			
"晃"	"晃"	"hɔ3"			
"行"	"行"	"ɦɔ2"			
"航"	"航"	"ɦɔ2"			
"杭"	"杭"	"ɦɔ2"			
"黄"	"黃"	"ɦɔ2"			
"簧"	"簧"	"ɦɔ2"			
"皇"	"皇"	"ɦɔ2"			
"蝗"	"蝗"	"ɦɔ2"			
"项"	"項"	"ɦɔ4"			
"旺"	"旺"	"ɦɔ6"			
