"字目"	"读音"	"注释"	"声母"	"韵母"	"声调"	"重复数"
"渗"	"tsam21"	"~水"	"ts"	"am"	"21"	"4"
"站"	"tsam213"	""	"ts"	"am"	"213"	"1"
"斬"	"tsam53"	""	"ts"	"am"	"53"	"1"
"針"	"tsam223"	""	"ts"	"am"	"223"	"1"
"滲"	"tsam21"	"~水"	"ts"	"am"	"21"	"4"
"谭"	"tʰam44"	""	"tʰ"	"am"	"44"	"1"
"潭"	"tʰam44"	""	"tʰ"	"am"	"44"	"1"
"坛"	"tʰam44"	"老~"	"tʰ"	"am"	"44"	"2"
"谈"	"tʰam44"	""	"tʰ"	"am"	"44"	"1"
"痰"	"tʰam44"	""	"tʰ"	"am"	"44"	"1"
"贪"	"tʰam223"	""	"tʰ"	"am"	"223"	"1"
"坍"	"tʰam223"	"又"	"tʰ"	"am"	"223"	"2"
"探"	"tʰam21"	""	"tʰ"	"am"	"21"	"1"
"譚"	"tʰam44"	""	"tʰ"	"am"	"44"	"1"
"罈"	"tʰam44"	"老~"	"tʰ"	"am"	"44"	"1"
"談"	"tʰam44"	""	"tʰ"	"am"	"44"	"1"
"貪"	"tʰam223"	""	"tʰ"	"am"	"223"	"1"
"胆"	"tam53"	""	"t"	"am"	"53"	"2"
"淫"	"tam44"	"湿"	"t"	"am"	"44"	"2"
"耽"	"tam223"	""	"t"	"am"	"223"	"1"
"担"	"tam223"	""	"t"	"am"	"223"	"2"
"坍"	"tam223"	""	"t"	"am"	"223"	"2"
"膽"	"tam53"	""	"t"	"am"	"53"	"2"
"擔"	"tam223"	""	"t"	"am"	"223"	"2"
"三"	"sam223"	""	"s"	"am"	"223"	"3"
"杉"	"sam223"	""	"s"	"am"	"223"	"1"
"岩"	"ŋam44"	""	"ŋ"	"am"	"44"	"2"
"勘"	"ŋam223"	"估测"	"ŋ"	"am"	"223"	"2"
"堪"	"ŋam223"	"刚"	"ŋ"	"am"	"223"	"2"
"南"	"nam44"	""	"n"	"am"	"44"	"2"
"男"	"nam44"	""	"n"	"am"	"44"	"1"
"婪"	"nam44"	""	"n"	"am"	"44"	"2"
"蓝"	"nam44"	""	"n"	"am"	"44"	"2"
"淋"	"nam44"	"~糖，普宁特产糕点"	"n"	"am"	"44"	"2"
"览"	"lam53"	""	"l"	"am"	"53"	"1"
"揽"	"lam53"	""	"l"	"am"	"53"	"1"
"缆"	"lam53"	""	"l"	"am"	"53"	"1"
"舰"	"nam53"	""	"n"	"am"	"53"	"1"
"滥"	"nam213"	""	"n"	"am"	"213"	"1"
"藍"	"nam44"	""	"n"	"am"	"44"	"2"
"覽"	"nam53"	""	"n"	"am"	"53"	"1"
"攬"	"nam53"	""	"n"	"am"	"53"	"1"
"纜"	"nam53"	""	"n"	"am"	"53"	"1"
"艦"	"nam53"	""	"n"	"am"	"53"	"1"
"濫"	"nam213"	""	"n"	"am"	"213"	"1"
"婪"	"lam44"	""	"l"	"am"	"44"	"2"
"嵐"	"lam44"	""	"l"	"am"	"44"	"1"
"岚"	"lam44"	""	"l"	"am"	"44"	"1"
"淋"	"lam44"	""	"l"	"am"	"44"	"2"
"腩"	"lam53"	""	"l"	"am"	"53"	"1"
"坎"	"kʰam53"	""	"kʰ"	"am"	"53"	"2"
"限"	"kʰam53"	"训"	"kʰ"	"am"	"53"	"2"
"堪"	"kʰam223"	""	"kʰ"	"am"	"223"	"2"
"勘"	"kʰam223"	""	"kʰ"	"am"	"223"	"2"
"坎"	"kʰam21"	""	"kʰ"	"am"	"21"	"2"
"槛"	"kʰam21"	""	"kʰ"	"am"	"21"	"1"
"檻"	"kʰam21"	""	"kʰ"	"am"	"21"	"1"
"含"	"kam44"	""	"k"	"am"	"44"	"3"
"感"	"kam53"	""	"k"	"am"	"53"	"1"
"㔶"	"kam53"	""	"k"	"am"	"53"	"1"
"尴"	"kam53"	""	"k"	"am"	"53"	"2"
"甘"	"kam223"	""	"k"	"am"	"223"	"1"
"尴"	"kam223"	""	"k"	"am"	"223"	"2"
"监"	"kam223"	""	"k"	"am"	"223"	"2"
"赣"	"kam21"	""	"k"	"am"	"21"	"1"
"监"	"kam21"	""	"k"	"am"	"21"	"2"
"鉴"	"kam21"	""	"k"	"am"	"21"	"1"
"尷"	"kam53"	""	"k"	"am"	"53"	"2"
"尷"	"kam223"	""	"k"	"am"	"223"	"2"
"監"	"kam223"	""	"k"	"am"	"223"	"2"
"贛"	"kam21"	""	"k"	"am"	"21"	"1"
"監"	"kam21"	""	"k"	"am"	"21"	"2"
"鑒"	"kam21"	""	"k"	"am"	"21"	"1"
"含"	"ham44"	""	"h"	"am"	"44"	"3"
"涵"	"ham44"	""	"h"	"am"	"44"	"1"
"函"	"ham44"	""	"h"	"am"	"44"	"1"
"咸"	"ham44"	""	"h"	"am"	"44"	"2"
"衔"	"ham44"	""	"h"	"am"	"44"	"2"
"蚶"	"ham223"	""	"h"	"am"	"223"	"1"
"憨"	"ham223"	""	"h"	"am"	"223"	"1"
"酣"	"ham223"	""	"h"	"am"	"223"	"1"
"喊"	"ham21"	""	"h"	"am"	"21"	"1"
"撼"	"ham213"	""	"h"	"am"	"213"	"1"
"憾"	"ham213"	""	"h"	"am"	"213"	"1"
"陷"	"ham311"	""	"h"	"am"	"311"	"1"
"馅"	"ham311"	""	"h"	"am"	"311"	"2"
"鹹"	"ham44"	""	"h"	"am"	"44"	"2"
"銜"	"ham44"	""	"h"	"am"	"44"	"2"
"餡"	"ham311"	""	"h"	"am"	"311"	"2"
"卵"	"lan213"	""	"l"	"an"	"213"	"4"
"红"	"aŋ44"	""	""	"aŋ"	"44"	"1"
"洪"	"aŋ44"	"洪水，姓"	""	"aŋ"	"44"	"2"
"安"	"aŋ223"	""	""	"aŋ"	"223"	"2"
"肮"	"aŋ223"	""	""	"aŋ"	"223"	"1"
"翁"	"aŋ223"	""	""	"aŋ"	"223"	"3"
"按"	"aŋ21"	""	""	"aŋ"	"21"	"1"
"宴"	"aŋ21"	""	""	"aŋ"	"21"	"1"
"紅"	"aŋ44"	""	""	"aŋ"	"44"	"1"
"残"	"tsʰaŋ44"	""	"tsʰ"	"aŋ"	"44"	"1"
"田"	"tsʰaŋ44"	"训"	"tsʰ"	"aŋ"	"44"	"1"
"藏"	"tsʰaŋ44"	""	"tsʰ"	"aŋ"	"44"	"2"
"塍"	"tsʰaŋ44"	""	"tsʰ"	"aŋ"	"44"	"1"
"铲"	"tsʰaŋ53"	""	"tsʰ"	"aŋ"	"53"	"1"
"产"	"tsʰaŋ53"	""	"tsʰ"	"aŋ"	"53"	"1"
"餐"	"tsʰaŋ223"	""	"tsʰ"	"aŋ"	"223"	"1"
"苍"	"tsʰaŋ223"	""	"tsʰ"	"aŋ"	"223"	"1"
"沧"	"tsʰaŋ223"	""	"tsʰ"	"aŋ"	"223"	"1"
"疮"	"tsʰaŋ223"	""	"tsʰ"	"aŋ"	"223"	"2"
"葱"	"tsʰaŋ223"	""	"tsʰ"	"aŋ"	"223"	"1"
"灿"	"tsʰaŋ21"	""	"tsʰ"	"aŋ"	"21"	"1"
"璨"	"tsʰaŋ21"	""	"tsʰ"	"aŋ"	"21"	"1"
"颤"	"tsʰaŋ21"	"新"	"tsʰ"	"aŋ"	"21"	"2"
"创"	"tsʰaŋ21"	""	"tsʰ"	"aŋ"	"21"	"1"
"殘"	"tsʰaŋ44"	""	"tsʰ"	"aŋ"	"44"	"1"
"鏟"	"tsʰaŋ53"	""	"tsʰ"	"aŋ"	"53"	"1"
"產"	"tsʰaŋ53"	""	"tsʰ"	"aŋ"	"53"	"1"
"蒼"	"tsʰaŋ223"	""	"tsʰ"	"aŋ"	"223"	"1"
"滄"	"tsʰaŋ223"	""	"tsʰ"	"aŋ"	"223"	"1"
"瘡"	"tsʰaŋ223"	""	"tsʰ"	"aŋ"	"223"	"2"
"蔥"	"tsʰaŋ223"	""	"tsʰ"	"aŋ"	"223"	"1"
"燦"	"tsʰaŋ21"	""	"tsʰ"	"aŋ"	"21"	"1"
"顫"	"tsʰaŋ21"	"新"	"tsʰ"	"aŋ"	"21"	"2"
"創"	"tsʰaŋ21"	""	"tsʰ"	"aŋ"	"21"	"1"
"层"	"tsaŋ44"	""	"ts"	"aŋ"	"44"	"1"
"丛"	"tsaŋ44"	""	"ts"	"aŋ"	"44"	"1"
"总"	"tsaŋ53"	"抓头发"	"ts"	"aŋ"	"53"	"2"
"脏"	"tsaŋ223"	""	"ts"	"aŋ"	"223"	"2"
"赃"	"tsaŋ223"	""	"ts"	"aŋ"	"223"	"1"
"曾"	"tsaŋ223"	""	"ts"	"aŋ"	"223"	"3"
"罾"	"tsaŋ223"	""	"ts"	"aŋ"	"223"	"1"
"棕"	"tsaŋ223"	""	"ts"	"aŋ"	"223"	"1"
"赞"	"tsaŋ21"	""	"ts"	"aŋ"	"21"	"1"
"壮"	"tsaŋ21"	""	"ts"	"aŋ"	"21"	"1"
"甑"	"tsaŋ21"	""	"ts"	"aŋ"	"21"	"1"
"粽"	"tsaŋ21"	""	"ts"	"aŋ"	"21"	"1"
"绽"	"tsaŋ213"	"又"	"ts"	"aŋ"	"213"	"2"
"藏"	"tsaŋ213"	""	"ts"	"aŋ"	"213"	"2"
"脏"	"tsaŋ213"	"臟"	"ts"	"aŋ"	"213"	"2"
"赠"	"tsaŋ311"	""	"ts"	"aŋ"	"311"	"1"
"層"	"tsaŋ44"	""	"ts"	"aŋ"	"44"	"1"
"灇"	"tsaŋ44"	"泼"	"ts"	"aŋ"	"44"	"1"
"叢"	"tsaŋ44"	""	"ts"	"aŋ"	"44"	"1"
"總"	"tsaŋ53"	"抓头发"	"ts"	"aŋ"	"53"	"2"
"髒"	"tsaŋ223"	""	"ts"	"aŋ"	"223"	"1"
"贓"	"tsaŋ223"	""	"ts"	"aŋ"	"223"	"1"
"贊"	"tsaŋ21"	""	"ts"	"aŋ"	"21"	"1"
"壯"	"tsaŋ21"	""	"ts"	"aŋ"	"21"	"1"
"綻"	"tsaŋ213"	"又"	"ts"	"aŋ"	"213"	"2"
"贈"	"tsaŋ311"	""	"ts"	"aŋ"	"311"	"1"
"檀"	"tʰaŋ44"	""	"tʰ"	"aŋ"	"44"	"1"
"弹"	"tʰaŋ44"	""	"tʰ"	"aŋ"	"44"	"2"
"堂"	"tʰaŋ44"	""	"tʰ"	"aŋ"	"44"	"2"
"棠"	"tʰaŋ44"	""	"tʰ"	"aŋ"	"44"	"1"
"螳"	"tʰaŋ44"	""	"tʰ"	"aŋ"	"44"	"1"
"唐"	"tʰaŋ44"	""	"tʰ"	"aŋ"	"44"	"2"
"桐"	"tʰaŋ44"	""	"tʰ"	"aŋ"	"44"	"2"
"虫"	"tʰaŋ44"	""	"tʰ"	"aŋ"	"44"	"1"
"毯"	"tʰaŋ53"	""	"tʰ"	"aŋ"	"53"	"1"
"坦"	"tʰaŋ53"	""	"tʰ"	"aŋ"	"53"	"1"
"倘"	"tʰaŋ53"	""	"tʰ"	"aŋ"	"53"	"1"
"躺"	"tʰaŋ53"	""	"tʰ"	"aŋ"	"53"	"1"
"汤"	"tʰaŋ223"	"浩浩~~"	"tʰ"	"aŋ"	"223"	"2"
"通"	"tʰaŋ223"	""	"tʰ"	"aŋ"	"223"	"3"
"叹"	"tʰaŋ21"	""	"tʰ"	"aŋ"	"21"	"1"
"趟"	"tʰaŋ21"	""	"tʰ"	"aŋ"	"21"	"1"
"烫"	"tʰaŋ21"	"麻辣~"	"tʰ"	"aŋ"	"21"	"2"
"通"	"tʰaŋ21"	""	"tʰ"	"aŋ"	"21"	"3"
"彈"	"tʰaŋ44"	""	"tʰ"	"aŋ"	"44"	"2"
"蟲"	"tʰaŋ44"	""	"tʰ"	"aŋ"	"44"	"1"
"湯"	"tʰaŋ223"	"浩浩~~"	"tʰ"	"aŋ"	"223"	"2"
"歎"	"tʰaŋ21"	""	"tʰ"	"aŋ"	"21"	"1"
"燙"	"tʰaŋ21"	"麻辣~"	"tʰ"	"aŋ"	"21"	"2"
"陈"	"taŋ44"	""	"t"	"aŋ"	"44"	"2"
"同"	"taŋ44"	""	"t"	"aŋ"	"44"	"2"
"铜"	"taŋ44"	""	"t"	"aŋ"	"44"	"1"
"筒"	"taŋ44"	""	"t"	"aŋ"	"44"	"1"
"童"	"taŋ44"	"~身(乩童)"	"t"	"aŋ"	"44"	"2"
"党"	"taŋ53"	""	"t"	"aŋ"	"53"	"1"
"挡"	"taŋ53"	""	"t"	"aŋ"	"53"	"2"
"董"	"taŋ53"	""	"t"	"aŋ"	"53"	"2"
"丹"	"taŋ223"	""	"t"	"aŋ"	"223"	"2"
"当"	"taŋ223"	"叮当"	"t"	"aŋ"	"223"	"4"
"裆"	"taŋ223"	""	"t"	"aŋ"	"223"	"1"
"东"	"taŋ223"	""	"t"	"aŋ"	"223"	"2"
"冬"	"taŋ223"	""	"t"	"aŋ"	"223"	"1"
"中"	"taŋ223"	"~央"	"t"	"aŋ"	"223"	"5"
"诞"	"taŋ21"	""	"t"	"aŋ"	"21"	"1"
"蛋"	"taŋ21"	""	"t"	"aŋ"	"21"	"1"
"当"	"taŋ21"	"恰~"	"t"	"aŋ"	"21"	"4"
"档"	"taŋ21"	"~次"	"t"	"aŋ"	"21"	"2"
"冻"	"taŋ21"	"结~"	"t"	"aŋ"	"21"	"2"
"荡"	"taŋ213"	""	"t"	"aŋ"	"213"	"1"
"宕"	"taŋ213"	""	"t"	"aŋ"	"213"	"1"
"动"	"taŋ213"	""	"t"	"aŋ"	"213"	"3"
"重"	"taŋ213"	""	"t"	"aŋ"	"213"	"4"
"但"	"taŋ311"	""	"t"	"aŋ"	"311"	"1"
"洞"	"taŋ311"	""	"t"	"aŋ"	"311"	"2"
"陳"	"taŋ44"	""	"t"	"aŋ"	"44"	"2"
"銅"	"taŋ44"	""	"t"	"aŋ"	"44"	"1"
"黨"	"taŋ53"	""	"t"	"aŋ"	"53"	"1"
"擋"	"taŋ53"	""	"t"	"aŋ"	"53"	"1"
"當"	"taŋ223"	"叮~"	"t"	"aŋ"	"223"	"4"
"襠"	"taŋ223"	""	"t"	"aŋ"	"223"	"1"
"東"	"taŋ223"	""	"t"	"aŋ"	"223"	"2"
"誕"	"taŋ21"	""	"t"	"aŋ"	"21"	"1"
"當"	"taŋ21"	"恰~"	"t"	"aŋ"	"21"	"4"
"檔"	"taŋ21"	"~次"	"t"	"aŋ"	"21"	"2"
"凍"	"taŋ21"	"结~"	"t"	"aŋ"	"21"	"2"
"蕩"	"taŋ213"	""	"t"	"aŋ"	"213"	"1"
"動"	"taŋ213"	""	"t"	"aŋ"	"213"	"3"
"嗓"	"saŋ53"	""	"s"	"aŋ"	"53"	"1"
"锈"	"saŋ223"	"训"	"s"	"aŋ"	"223"	"2"
"珊"	"saŋ223"	""	"s"	"aŋ"	"223"	"1"
"山"	"saŋ223"	"下~虎，民宅类型"	"s"	"aŋ"	"223"	"2"
"三"	"saŋ223"	"~华李"	"s"	"aŋ"	"223"	"3"
"删"	"saŋ223"	""	"s"	"aŋ"	"223"	"1"
"双"	"saŋ223"	""	"s"	"aŋ"	"223"	"1"
"松"	"saŋ223"	""	"s"	"aŋ"	"223"	"3"
"丧"	"saŋ21"	""	"s"	"aŋ"	"21"	"2"
"送"	"saŋ21"	""	"s"	"aŋ"	"21"	"1"
"鏽"	"saŋ223"	"训"	"s"	"aŋ"	"223"	"2"
"刪"	"saŋ223"	""	"s"	"aŋ"	"223"	"1"
"雙"	"saŋ223"	""	"s"	"aŋ"	"223"	"1"
"喪"	"saŋ21"	""	"s"	"aŋ"	"21"	"2"
"帆"	"pʰaŋ44"	""	"pʰ"	"aŋ"	"44"	"1"
"旁"	"pʰaŋ44"	""	"pʰ"	"aŋ"	"44"	"1"
"航"	"pʰaŋ44"	""	"pʰ"	"aŋ"	"44"	"1"
"庞"	"pʰaŋ44"	""	"pʰ"	"aŋ"	"44"	"1"
"篷"	"pʰaŋ44"	""	"pʰ"	"aŋ"	"44"	"1"
"纺"	"pʰaŋ53"	""	"pʰ"	"aŋ"	"53"	"1"
"攀"	"pʰaŋ223"	""	"pʰ"	"aŋ"	"223"	"1"
"潘"	"pʰaŋ223"	"文"	"pʰ"	"aŋ"	"223"	"3"
"滂"	"pʰaŋ223"	""	"pʰ"	"aŋ"	"223"	"1"
"芳"	"pʰaŋ223"	"香"	"pʰ"	"aŋ"	"223"	"2"
"蜂"	"pʰaŋ223"	""	"pʰ"	"aŋ"	"223"	"1"
"盼"	"pʰaŋ21"	""	"pʰ"	"aŋ"	"21"	"1"
"缝"	"pʰaŋ311"	"缝隙"	"pʰ"	"aŋ"	"311"	"2"
"龐"	"pʰaŋ44"	""	"pʰ"	"aŋ"	"44"	"1"
"紡"	"pʰaŋ53"	""	"pʰ"	"aŋ"	"53"	"1"
"縫"	"pʰaŋ311"	"缝隙"	"pʰ"	"aŋ"	"311"	"2"
"房"	"paŋ44"	""	"p"	"aŋ"	"44"	"1"
"瓶"	"paŋ44"	""	"p"	"aŋ"	"44"	"2"
"冯"	"paŋ44"	""	"p"	"aŋ"	"44"	"1"
"扳"	"paŋ53"	""	"p"	"aŋ"	"53"	"1"
"板"	"paŋ53"	""	"p"	"aŋ"	"53"	"2"
"版"	"paŋ53"	""	"p"	"aŋ"	"53"	"1"
"榜"	"paŋ53"	""	"p"	"aŋ"	"53"	"1"
"谤"	"paŋ53"	""	"p"	"aŋ"	"53"	"1"
"膀"	"paŋ53"	""	"p"	"aŋ"	"53"	"1"
"绑"	"paŋ53"	""	"p"	"aŋ"	"53"	"1"
"班"	"paŋ223"	""	"p"	"aŋ"	"223"	"1"
"斑"	"paŋ223"	""	"p"	"aŋ"	"223"	"1"
"颁"	"paŋ223"	""	"p"	"aŋ"	"223"	"1"
"帮"	"paŋ223"	""	"p"	"aŋ"	"223"	"1"
"方"	"paŋ223"	"~形"	"p"	"aŋ"	"223"	"4"
"邦"	"paŋ223"	""	"p"	"aŋ"	"223"	"1"
"崩"	"paŋ223"	""	"p"	"aŋ"	"223"	"1"
"扮"	"paŋ21"	""	"p"	"aŋ"	"21"	"1"
"放"	"paŋ21"	""	"p"	"aŋ"	"21"	"2"
"办"	"paŋ213"	"文"	"p"	"aŋ"	"213"	"2"
"蚌"	"paŋ213"	""	"p"	"aŋ"	"213"	"2"
"棒"	"paŋ213"	""	"p"	"aŋ"	"213"	"2"
"馮"	"paŋ44"	""	"p"	"aŋ"	"44"	"1"
"謗"	"paŋ53"	""	"p"	"aŋ"	"53"	"1"
"綁"	"paŋ53"	""	"p"	"aŋ"	"53"	"1"
"頒"	"paŋ223"	""	"p"	"aŋ"	"223"	"1"
"幫"	"paŋ223"	""	"p"	"aŋ"	"223"	"1"
"辦"	"paŋ213"	"文"	"p"	"aŋ"	"213"	"2"
"寒"	"ŋaŋ44"	"训"	"ŋ"	"aŋ"	"44"	"3"
"颜"	"ŋaŋ44"	""	"ŋ"	"aŋ"	"44"	"3"
"愚"	"ŋa21"	"口语音，傻"	"ŋ"	"a"	"21"	"2"
"言"	"ŋaŋ44"	""	"ŋ"	"aŋ"	"44"	"1"
"昂"	"ŋaŋ44"	""	"ŋ"	"aŋ"	"44"	"1"
"眼"	"ŋaŋ53"	""	"ŋ"	"aŋ"	"53"	"2"
"雁"	"ŋaŋ213"	""	"ŋ"	"aŋ"	"213"	"1"
"顏"	"ŋaŋ44"	""	"ŋ"	"aŋ"	"44"	"3"
"难"	"naŋ44"	""	"n"	"aŋ"	"44"	"2"
"人"	"naŋ44"	"训"	"n"	"aŋ"	"44"	"2"
"脓"	"naŋ44"	""	"n"	"aŋ"	"44"	"2"
"侬"	"naŋ44"	""	"n"	"aŋ"	"44"	"1"
"难"	"naŋ311"	""	"n"	"aŋ"	"311"	"2"
"難"	"naŋ44"	""	"n"	"aŋ"	"44"	"2"
"膿"	"naŋ44"	""	"n"	"aŋ"	"44"	"2"
"儂"	"naŋ44"	""	"n"	"aŋ"	"44"	"1"
"難"	"naŋ311"	""	"n"	"aŋ"	"311"	"2"
"蛮"	"maŋ44"	""	"m"	"aŋ"	"44"	"1"
"闽"	"maŋ44"	"老"	"m"	"aŋ"	"44"	"2"
"忙"	"maŋ44"	""	"m"	"aŋ"	"44"	"1"
"芒"	"maŋ44"	""	"m"	"aŋ"	"44"	"2"
"茫"	"maŋ44"	""	"m"	"aŋ"	"44"	"1"
"芒"	"maŋ44"	""	"m"	"aŋ"	"44"	"2"
"盲"	"maŋ44"	""	"m"	"aŋ"	"44"	"2"
"挽"	"maŋ53"	""	"m"	"aŋ"	"53"	"1"
"蟒"	"maŋ53"	""	"m"	"aŋ"	"53"	"1"
"莽"	"maŋ53"	""	"m"	"aŋ"	"53"	"1"
"慢"	"maŋ213"	"文"	"m"	"aŋ"	"213"	"3"
"馒"	"maŋ213"	""	"m"	"aŋ"	"213"	"1"
"网"	"maŋ213"	""	"m"	"aŋ"	"213"	"1"
"慢"	"maŋ311"	""	"m"	"aŋ"	"311"	"3"
"缓"	"maŋ311"	"训"	"m"	"aŋ"	"311"	"1"
"梦"	"maŋ311"	""	"m"	"aŋ"	"311"	"1"
"蠻"	"maŋ44"	""	"m"	"aŋ"	"44"	"1"
"閩"	"maŋ44"	"老"	"m"	"aŋ"	"44"	"2"
"饅"	"maŋ213"	""	"m"	"aŋ"	"213"	"1"
"網"	"maŋ213"	""	"m"	"aŋ"	"213"	"1"
"緩"	"maŋ311"	"训"	"m"	"aŋ"	"311"	"1"
"夢"	"maŋ311"	""	"m"	"aŋ"	"311"	"1"
"郎"	"laŋ44"	"文"	"l"	"aŋ"	"44"	"2"
"廊"	"laŋ44"	""	"l"	"aŋ"	"44"	"1"
"零"	"laŋ44"	"个别"	"l"	"aŋ"	"44"	"2"
"狼"	"laŋ44"	""	"l"	"aŋ"	"44"	"1"
"螂"	"laŋ44"	""	"l"	"aŋ"	"44"	"1"
"榔"	"laŋ44"	""	"l"	"aŋ"	"44"	"1"
"朗"	"laŋ44"	""	"l"	"aŋ"	"44"	"1"
"聋"	"laŋ44"	""	"l"	"aŋ"	"44"	"1"
"笼"	"laŋ44"	""	"l"	"aŋ"	"44"	"1"
"囊"	"laŋ53"	""	"l"	"aŋ"	"53"	"1"
"㝗"	"laŋ223"	"空旷"	"l"	"aŋ"	"223"	"1"
"阆"	"laŋ21"	"空开"	"l"	"aŋ"	"21"	"1"
"卵"	"laŋ213"	"又"	"l"	"aŋ"	"213"	"4"
"浪"	"laŋ213"	""	"l"	"aŋ"	"213"	"1"
"弄"	"laŋ311"	""	"l"	"aŋ"	"311"	"2"
"聾"	"laŋ44"	""	"l"	"aŋ"	"44"	"1"
"籠"	"laŋ44"	""	"l"	"aŋ"	"44"	"1"
"閬"	"laŋ21"	"空开"	"l"	"aŋ"	"21"	"1"
"擎"	"kʰaŋ44"	""	"kʰ"	"aŋ"	"44"	"2"
"倾"	"kʰaŋ53"	"倾斜"	"kʰ"	"aŋ"	"53"	"2"
"刊"	"kʰaŋ223"	""	"kʰ"	"aŋ"	"223"	"1"
"纤"	"kʰaŋ223"	"縴"	"kʰ"	"aŋ"	"223"	"2"
"康"	"kʰaŋ223"	""	"kʰ"	"aŋ"	"223"	"1"
"慷"	"kʰaŋ223"	""	"kʰ"	"aŋ"	"223"	"2"
"功"	"kʰaŋ223"	"~课，指职业"	"kʰ"	"aŋ"	"223"	"1"
"空"	"kʰaŋ223"	"空腹"	"kʰ"	"aŋ"	"223"	"4"
"孔"	"kʰaŋ223"	"洞"	"kʰ"	"aŋ"	"223"	"2"
"看"	"kʰaŋ21"	""	"kʰ"	"aŋ"	"21"	"4"
"抗"	"kʰaŋ21"	""	"kʰ"	"aŋ"	"21"	"1"
"空"	"kʰaŋ21"	"三位数以上代指中间的0"	"kʰ"	"aŋ"	"21"	"4"
"傾"	"kʰaŋ53"	"~斜"	"kʰ"	"aŋ"	"53"	"2"
"纖"	"kʰaŋ223"	"縴"	"kʰ"	"aŋ"	"223"	"3"
"痫"	"kaŋ53"	""	"k"	"aŋ"	"53"	"1"
"娴"	"kaŋ53"	"婢女"	"k"	"aŋ"	"53"	"2"
"简"	"kaŋ53"	""	"k"	"aŋ"	"53"	"1"
"讲"	"kaŋ53"	""	"k"	"aŋ"	"53"	"2"
"港"	"kaŋ53"	""	"k"	"aŋ"	"53"	"1"
"干"	"kaŋ223"	"~净"	"k"	"aŋ"	"223"	"3"
"艰"	"kaŋ223"	""	"k"	"aŋ"	"223"	"1"
"间"	"kaŋ223"	"中~"	"k"	"aŋ"	"223"	"3"
"奸"	"kaŋ223"	""	"k"	"aŋ"	"223"	"1"
"冈"	"kaŋ223"	""	"k"	"aŋ"	"223"	"1"
"岗"	"kaŋ223"	""	"k"	"aŋ"	"223"	"1"
"刚"	"kaŋ223"	""	"k"	"aŋ"	"223"	"1"
"纲"	"kaŋ223"	""	"k"	"aŋ"	"223"	"1"
"江"	"kaŋ223"	""	"k"	"aŋ"	"223"	"1"
"肛"	"kaŋ223"	""	"k"	"aŋ"	"223"	"1"
"蚣"	"kaŋ223"	""	"k"	"aŋ"	"223"	"1"
"工"	"kaŋ223"	""	"k"	"aŋ"	"223"	"1"
"干"	"kaŋ21"	"实~"	"k"	"aŋ"	"21"	"3"
"涧"	"kaŋ21"	""	"k"	"aŋ"	"21"	"1"
"谏"	"kaŋ21"	""	"k"	"aŋ"	"21"	"1"
"降"	"kaŋ21"	"下~"	"k"	"aŋ"	"21"	"2"
"共"	"kaŋ311"	""	"k"	"aŋ"	"311"	"1"
"癇"	"kaŋ53"	""	"k"	"aŋ"	"53"	"1"
"嫻"	"kaŋ53"	"婢女"	"k"	"aŋ"	"53"	"2"
"簡"	"kaŋ53"	""	"k"	"aŋ"	"53"	"1"
"講"	"kaŋ53"	""	"k"	"aŋ"	"53"	"2"
"乾"	"kaŋ223"	"干净"	"k"	"aŋ"	"223"	"3"
"艱"	"kaŋ223"	""	"k"	"aŋ"	"223"	"1"
"間"	"kaŋ223"	"中间"	"k"	"aŋ"	"223"	"3"
"岡"	"kaŋ223"	""	"k"	"aŋ"	"223"	"1"
"崗"	"kaŋ223"	""	"k"	"aŋ"	"223"	"1"
"剛"	"kaŋ223"	""	"k"	"aŋ"	"223"	"1"
"綱"	"kaŋ223"	""	"k"	"aŋ"	"223"	"1"
"幹"	"kaŋ21"	"实~"	"k"	"aŋ"	"21"	"1"
"澗"	"kaŋ21"	""	"k"	"aŋ"	"21"	"1"
"諫"	"kaŋ21"	""	"k"	"aŋ"	"21"	"1"
"寒"	"haŋ44"	""	"h"	"aŋ"	"44"	"3"
"韩"	"haŋ44"	""	"h"	"aŋ"	"44"	"1"
"行"	"haŋ44"	""	"h"	"aŋ"	"44"	"5"
"杭"	"haŋ44"	""	"h"	"aŋ"	"44"	"1"
"降"	"haŋ44"	"投~"	"h"	"aŋ"	"44"	"2"
"罕"	"haŋ53"	""	"h"	"aŋ"	"53"	"1"
"捍"	"haŋ53"	""	"h"	"aŋ"	"53"	"1"
"杆"	"haŋ53"	"桿"	"h"	"aŋ"	"53"	"2"
"汗"	"haŋ53"	"成吉思~"	"h"	"aŋ"	"53"	"2"
"焊"	"haŋ53"	""	"h"	"aŋ"	"53"	"1"
"烘"	"haŋ223"	""	"h"	"aŋ"	"223"	"3"
"汉"	"haŋ21"	""	"h"	"aŋ"	"21"	"1"
"限"	"haŋ213"	""	"h"	"aŋ"	"213"	"2"
"项"	"haŋ213"	""	"h"	"aŋ"	"213"	"1"
"巷"	"haŋ311"	""	"h"	"aŋ"	"311"	"1"
"韓"	"haŋ44"	""	"h"	"aŋ"	"44"	"1"
"漢"	"haŋ21"	""	"h"	"aŋ"	"21"	"1"
"項"	"haŋ213"	""	"h"	"aŋ"	"213"	"1"
"插"	"tsʰap32"	""	"tsʰ"	"ap"	"32"	"2"
