"漢字"	"拼音"	"IPA"	"注釋"	"说明"
"瘦"	"sang2"	"saŋ˥˨"	"訓"	
"瘦"	"sou2"	"sou˥˨"		
"漱"	"sok4"	"sok˨"	"又"	
"漱"	"tshiu3"	"tɕʰiu˨˩˨"		
"周"	"tsiu1"	"tɕiu˧˧"		
"舟"	"tsiu1"	"tɕiu˧˧"		
"洲"	"tsiu1"	"tɕiu˧˧"		
"州"	"tsiu1"	"tɕiu˧˧"		
"帚"	"siu2"	"ɕiu˥˨"		
"咒"	"tsiu3"	"tɕiu˨˩˨"		
"醜"	"tshiu2"	"tɕʰiu˥˨"	"又"	
"醜"	"thiu2"	"tʰiu˥˨"		
"臭"	"tshau3"	"tsʰau˨˩˨"		
"收"	"siu1"	"ɕiu˧˧"		
"手"	"tshiu2"	"tɕʰiu˥˨"		
"首"	"siu2"	"ɕiu˥˨"		
"守"	"siu2"	"ɕiu˥˨"		
"獸"	"siu7"	"ɕiu˧˩"		
"讎"	"tshiu5"	"tɕʰiu˥˥"		
"酬"	"tshiu5"	"tɕʰiu˥˥"		
"受"	"siu7"	"ɕiu˧˩"		
"壽"	"siu7"	"ɕiu˧˩"		
"授"	"siu7"	"ɕiu˧˩"		
"售"	"tshiu5"	"tɕʰiu˥˥"		
"柔"	"dziu5"	"dziu˥˥"		
"揉"	"dziu5"	"dziu˥˥"		
"鳩"	"kiu1"	"kiu˧˧"		
"鬮"	"kau1"	"kau˧˧"		
"九"	"kau2"	"kau˥˨"		
"九"	"kiu2"	"kiu˥˨"	"文"	
"久"	"ku2"	"ku˥˨"		
"韭"	"ku2"	"ku˥˨"		
"灸"	"ku3"	"ku˨˩˨"		
"究"	"kiu3"	"kiu˨˩˨"		
"救"	"kiu3"	"kiu˨˩˨"		
"丘"	"khu1"	"kʰu˧˧"		
"丘"	"khiu1"	"kʰiu˧˧"		
"求"	"khiu5"	"kʰiu˥˥"		
"球"	"kiu5"	"kiu˥˥"		
"仇"	"tshiu5"	"tɕʰiu˥˥"		
"舅"	"ku6"	"ku˧˥"		
"臼"	"khu6"	"kʰu˧˥"		
"咎"	"kiu6"	"kiu˧˥"		
"舊"	"ku7"	"ku˧˩"		
"柩"	"kiu6"	"kiu˧˥"		
"牛"	"gu5"	"gu˥˥"		
"休"	"hiunn1"	"hiu ̃˧˧"		
"朽"	"hiunn2"	"hiu ̃˥˨"		
"嗅"	"hiunn3"	"hiu ̃˨˩˨"		
"憂"	"iu1"	"iu˧˧"		
"優"	"iu1"	"iu˧˧"		
"尤"	"iu5"	"iu˥˥"		
"郵"	"iu5"	"iu˥˥"		
"有"	"u6"	"u˧˥"		
"有"	"iu2"	"iu˥˨"		
"友"	"iu2"	"iu˥˨"		
"又"	"iu6"	"iu˧˥"		
"右"	"iu6"	"iu˧˥"		
"宥"	"iu6"	"iu˧˥"		
"祐"	"iu6"	"iu˧˥"		
"油"	"iu5"	"iu˥˥"		
"遊"	"iu5"	"iu˥˥"		
"悠"	"hiunn1"	"hiu ̃˧˧"		
"悠"	"iu1"	"iu˧˧"	"又"	
"猶"	"iu5"	"iu˥˥"		
"由"	"iu5"	"iu˥˥"		
"酉"	"iu2"	"iu˥˨"		
"莠"	"iu2"	"iu˥˨"		
"誘"	"iu2"	"iu˥˨"		
"釉"	"iu5"	"iu˥˥"		
"柚"	"iu7"	"iu˧˩"		
"彪"	"piu1"	"piu˧˧"		
"謬"	"miu6"	"miu˧˥"		
"丟"	"tiu1"	"tiu˧˧"		
"糾"	"kiu6"	"kiu˧˥"		
"幽"	"hiunn1"	"hiu ̃˧˧"		
"幼"	"iunn3"	"iu ̃˨˩˨"		
"耽"	"tam1"	"tam˧˧"		
"貪"	"tham1"	"tʰam˧˧"		
"探"	"tham3"	"tʰam˨˩˨"		
"潭"	"tham5"	"tʰam˥˥"		
"譚"	"tham5"	"tʰam˥˥"		
"南"	"nam5"	"nam˥˥"		
"男"	"nam5"	"nam˥˥"		
"婪"	"nam5"	"nam˥˥"		
"簪"	"tsam1"	"tsam˧˧"		
"參"	"tsham1"	"tsʰam˧˧"		
"慘"	"tsham2"	"tsʰam˥˨"		
"蠶"	"tshoinn5"	"tsʰoi ̃˥˥"		
"感"	"kam1"	"kam˧˧"		
"堪"	"kham1"	"kʰam˧˧"		
"龕"	"kham1"	"kʰam˧˧"		
"坎"	"kham2"	"kʰam˥˨"		
"砍"	"kham2"	"kʰam˥˨"		
"勘"	"kham3"	"kʰam˨˩˨"		
"勘"	"kham1"	"kʰam˧˧"	"又"	
"含"	"kam5"	"kam˥˥"		
"含"	"ham5"	"ham˥˥"	"文"	
"函"	"ham5"	"ham˥˥"		
"撼"	"ham2"	"ham˥˨"		
"撼"	"ham6"	"ham˧˥"	"又"	
"憾"	"ham6"	"ham˧˥"		
"庵"	"am1"	"am˧˧"		
"諳"	"am1"	"am˧˧"	"又"	
"諳"	"am3"	"am˨˩˨"		
"暗"	"am3"	"am˨˩˨"		
"擔"	"tann1"	"ta ̃˧˧"		
"膽"	"tann2"	"ta ̃˥˨"		
"擔"	"tann3"	"ta ̃˨˩˨"		
"坍"	"thang1"	"tʰaŋ˧˧"		
"毯"	"thang2"	"tʰaŋ˥˨"		
"痰"	"tham5"	"tʰam˥˥"		
"談"	"tham5"	"tʰam˥˥"		
"淡"	"tann6"	"ta ̃˧˥"		
"淡"	"tam6"	"tam˧˥"		
"藍"	"nam5"	"nam˥˥"		
"籃"	"nann5"	"na ̃˥˥"		
"欖"	"nann2"	"na ̃˥˨"		
"攬"	"nam2"	"nam˥˨"		
"覽"	"nam2"	"nam˥˨"		
"纜"	"nam2"	"nam˥˨"		
"濫"	"nam6"	"nam˧˥"		
"慚"	"tsham5"	"tsʰam˥˥"		
"暫"	"tsiam6"	"tɕiam˧˥"		
"三"	"sann1"	"sa ̃˧˧"		
"三"	"sam1"	"sam˧˧"	"文"	
"柑"	"kann1"	"ka ̃˧˧"		
"泔"	"kam1"	"kam˧˧"		
"甘"	"kam1"	"kam˧˧"		
"敢"	"kann2"	"ka ̃˥˨"		
"橄"	"kann1"	"ka ̃˧˧"		
"橄"	"kann2"	"ka ̃˥˨"		
"瞰"	"kham2"	"kʰam˥˨"		
"蚶"	"ham1"	"ham˧˧"		
"喊"	"ham3"	"ham˨˩˨"		
"邯"	"ham1"	"ham˧˧"		
"酣"	"ham1"	"ham˧˧"		
"站"	"tsam6"	"tsam˧˥"		
"賺"	"thang3"	"tʰaŋ˨˩˨"	"訓“趁”"	
"賺"	"tsuang3"	"tsuaŋ˨˩˨"	"文"	
"斬"	"tsam2"	"tsam˥˨"		
"蘸"	"tsam3"	"tsam˨˩˨"		
"讒"	"tsham5"	"tsʰam˥˥"		
"饞"	"tsham5"	"tsʰam˥˥"		
"杉"	"sam1"	"sam˧˧"		
"尷"	"kam1"	"kam˧˧"		
"減"	"kiam2"	"kiam˥˨"		
"鹻"	"kiam2"	"kiam˥˨"		
"鹹"	"kiam5"	"kiam˥˥"		
"咸"	"ham5"	"ham˥˥"		
"陷"	"ham7"	"ham˧˩"		
"攙"	"tsham1"	"tsʰam˧˧"		
"攙"	"tsham5"	"tsʰam˥˥"	"又"	
"懺"	"tshiam1"	"tɕʰiam˧˧"	"俗"	
"懺"	"tsham3"	"tsʰam˨˩˨"		
"監"	"kam1"	"kam˧˧"		
"監"	"kam3"	"kam˨˩˨"		
"鑒"	"kam3"	"kam˨˩˨"		
"嵌"	"kham2"	"kʰam˥˨"		
"巖"	"ngam5"	"ŋam˥˥"		
"銜"	"kann5"	"ka ̃˥˥"	"白"	
"銜"	"ham5"	"ham˥˥"		
"艦"	"nam2"	"nam˥˨"		
"貶"	"piang2"	"piaŋ˥˨"		
"黏"	"niam1"	"niam˧˧"		
"黏"	"niam5"	"niam˥˥"	"又"	
"廉"	"niam5"	"niam˥˥"		
"鐮"	"niam5"	"niam˥˥"		
"簾"	"niam5"	"niam˥˥"		
"奩"	"niam5"	"niam˥˥"		
"斂"	"niam2"	"niam˥˨"		
"殮"	"niam2"	"niam˥˨"		
"尖"	"tsiam1"	"tɕiam˧˧"		
"殲"	"tshiam1"	"tɕʰiam˧˧"		
"殲"	"tshiam5"	"tɕʰiam˥˥"	"又"	
"簽"	"tshiam1"	"tɕʰiam˧˧"		
"籤"	"tshiam1"	"tɕʰiam˧˧"		
"僉"	"tshiam1"	"tɕʰiam˧˧"		
"潛"	"tshiam5"	"tɕʰiam˥˥"		
"漸"	"tsiam6"	"tɕiam˧˥"		
"暹"	"siam5"	"ɕiam˥˥"		
"纖"	"tshiam5"	"tɕʰiam˥˥"		
"沾"	"tiam1"	"tiam˧˧"		
"粘"	"niam1"	"niam˧˧"		
"瞻"	"tsiam1"	"tɕiam˧˧"		
"占"	"tsiam1"	"tɕiam˧˧"		
"占"	"tsiam3"	"tɕiam˨˩˨"		
"陝"	"siam2"	"ɕiam˥˨"		
"閃"	"siam2"	"ɕiam˥˨"		
"贍"	"tsiam1"	"tɕiam˧˧"		
"染"	"ni2"	"ni˥˨"	"白"	
"染"	"dziam2"	"dziam˥˨"		
"冉"	"dziam2"	"dziam˥˨"		
"檢"	"kiam2"	"kiam˥˨"		
"臉"	"liang2"	"liaŋ˥˨"		
"鉗"	"khiam5"	"kʰiam˥˥"		
"儉"	"khiam6"	"kʰiam˧˥"		
"驗"	"ngiam7"	"ŋiam˧˩"		
"險"	"hiam2"	"hiam˥˨"		
"淹"	"im1"	"im˧˧"		
"閹"	"iam1"	"iam˧˧"		
"掩"	"iam2"	"iam˥˨"		
"厭"	"iam3"	"iam˨˩˨"		
"炎"	"iam5"	"iam˥˥"		
"鹽"	"iam5"	"iam˥˥"		
"閻"	"ngiam5"	"ŋiam˥˥"		
"簷"	"tsinn5"	"tɕi ̃˥˥"	"白"	
"簷"	"siam5"	"ɕiam˥˥"		
"艷"	"iam7"	"iam˧˩"		
"焰"	"iam7"	"iam˧˩"		
"劍"	"kiam3"	"kiam˨˩˨"		
"欠"	"khiam3"	"kʰiam˨˩˨"		
"嚴"	"ngiam5"	"ŋiam˥˥"		
"儼"	"ngiam2"	"ŋiam˥˨"		
"釅"	"ngiam5"	"ŋiam˥˥"		
"鍁"	"hurng1"	"hɯŋ˧˧"		
"鍁"	"hiang1"	"hiaŋ˧˧"	"又"	
"崦"	"iam1"	"iam˧˧"		
"掂"	"tiam1"	"tiam˧˧"		
"點"	"tiam2"	"tiam˥˨"		
"墊"	"tiang6"	"tiaŋ˧˥"		
"店"	"tiam3"	"tiam˨˩˨"		
"添"	"thinn1"	"tʰi ̃˧˧"	"白"	
"添"	"thiam1"	"tʰiam˧˧"		
"忝"	"thiam2"	"tʰiam˥˨"		
"舔"	"thiam2"	"tʰiam˥˨"		
"甜"	"tiam5"	"tiam˥˥"		
"拈"	"ninn1"	"ni ̃˧˧"		
"拈"	"niam1"	"niam˧˧"		
"鮎"	"niam5"	"niam˥˥"		
"念"	"niam6"	"niam˧˥"	"又"	
"念"	"niam7"	"niam˧˩"		
"僭"	"tshiam3"	"tɕʰiam˨˩˨"		
"蒹"	"kiam1"	"kiam˧˧"		
"謙"	"khiam1"	"kʰiam˧˧"		
"歉"	"khiam2"	"kʰiam˥˨"		
"嫌"	"hiam5"	"hiam˥˥"		
"泛"	"huang3"	"huaŋ˨˩˨"		
"凡"	"huang5"	"huaŋ˥˥"		
"帆"	"phang5"	"pʰaŋ˥˥"		
"範"	"huang6"	"huaŋ˧˥"		
"犯"	"huang6"	"huaŋ˧˥"		
"梵"	"huang6"	"huaŋ˧˥"		
"答"	"tap4"	"tap˨"		
"搭"	"tah4"	"taʔ˨"		
"踏"	"tah8"	"taʔ˥˦"		
"納"	"nap8"	"nap˥˦"		
"拉"	"la1"	"la˧˧"		
"雜"	"tsap8"	"tsap˥˦"		
"蛤"	"kap4"	"kap˨"		
"鴿"	"kap4"	"kap˨"		
"喝"	"huah4"	"huaʔ˨"		
"喝"	"uah4"	"uaʔ˨"	"又"	
"喝"	"tuah4"	"tuaʔ˨"	"俗"	
"喝"	"hak4"	"hak˨"	"文"	
"合"	"hah8"	"haʔ˥˦"		
"合"	"hap8"	"hap˥˦"	"文"	
"盒"	"ap8"	"ap˥˦"		
"榻"	"thap4"	"tʰap˨"		
"塔"	"thah4"	"tʰaʔ˨"		
"塌"	"thap8"	"tʰap˥˦"		
"臘"	"lah8"	"laʔ˥˦"		
"蠟"	"lah8"	"laʔ˥˦"		
"鑞"	"lah8"	"laʔ˥˦"		
"卅"	"sap4"	"sap˨"		
"磕"	"khap4"	"kʰap˨"		
"盍"	"khap4"	"kʰap˨"		
"盍"	"hap4"	"hap˨"		
"劄"	"tsap4"	"tsap˨"		
"眨"	"tsap4"	"tsap˨"		
"插"	"tshah4"	"tsʰaʔ˨"		
"插"	"tshap4"	"tsʰap˨"	"又"	
"閘"	"tsah8"	"tsaʔ˥˦"		
"煠"	"sah8"	"saʔ˥˦"		
"霎"	"siap4"	"ɕiap˨"		
"夾"	"koih4"	"koiʔ˨"		
"夾"	"kiap8"	"kiap˥˦"	"文"	
"袷"	"koih4"	"koiʔ˨"		
"恰"	"khap4"	"kʰap˨"		
"掐"	"khap4"	"kʰap˨"		
"狹"	"oih8"	"oiʔ˥˦"		
"狹"	"hiap8"	"hiap˥˦"	"文"	
"峽"	"hap8"	"hap˥˦"	"又，潮南~山"	
"峽"	"kiap8"	"kiap˥˦"		
"洽"	"tsiap8"	"tɕiap˥˦"		
"甲"	"kah4"	"kaʔ˨"		
"匣"	"ap8"	"ap˥˦"		
"狎"	"ap4"	"ap˨"		
"鴨"	"ah4"	"aʔ˨"		
"押"	"ah4"	"aʔ˨"		
"壓"	"iap4"	"iap˨"		
"聶"	"niap4"	"niap˨"		
"鑷"	"niap4"	"niap˨"		
"獵"	"lah8"	"laʔ˥˦"		
"接"	"tsih4"	"tɕiʔ˨"		
"接"	"tsiap4"	"tɕiap˨"	"文"	
"妾"	"tshiap4"	"tɕʰiap˨"		
"捷"	"tsiap8"	"tɕiap˥˦"		
"輒"	"tiak4"	"tiak˨"		
"摺"	"tsih4"	"tɕiʔ˨"		
"摺"	"dzih4"	"dziʔ˨"	"又"	
"攝"	"niap4"	"niap˨"		
"涉"	"siap8"	"ɕiap˥˦"		
"靨"	"iap4"	"iap˨"		
"葉"	"hioh8"	"hioʔ˥˦"		
"葉"	"iap8"	"iap˥˦"	"又，姓氏"	
"葉"	"hiap8"	"hiap˥˦"	"文"	
"劫"	"kiap8"	"kiap˥˦"		
"怯"	"khiap4"	"kʰiap˨"		
"業"	"ngiap8"	"ŋiap˥˦"		
"脅"	"hiap8"	"hiap˥˦"		
"貼"	"thiap4"	"tʰiap˨"		
"帖"	"thiap4"	"tʰiap˨"		
"疊"	"thah8"	"tʰaʔ˥˦"		
"疊"	"thiap8"	"tʰiap˥˦"	"文"	
"牒"	"tiap8"	"tiap˥˦"		
"蝶"	"tiap8"	"tiap˥˦"		
"諜"	"tiap8"	"tiap˥˦"		
"協"	"hiap8"	"hiap˥˦"		
"俠"	"hiap8"	"hiap˥˦"		
"挾"	"hiap8"	"hiap˥˦"		
"法"	"huak4"	"huak˨"		
"乏"	"huak8"	"huak˥˦"		
"稟"	"ping2"	"piŋ˥˨"		
"品"	"ping2"	"piŋ˥˨"		
"賃"	"dzim2"	"dzim˥˨"		
"賃"	"dzim6"	"dzim˧˥"	"又"	
"林"	"lim5"	"lim˥˥"		
"淋"	"nam5"	"nam˥˥"	"白"	
"淋"	"lim5"	"lim˥˥"		
"臨"	"lim5"	"lim˥˥"		
"凜"	"lim2"	"lim˥˨"		
"廩"	"lim2"	"lim˥˨"		
"浸"	"tsim3"	"tɕim˨˩˨"		
"侵"	"tshim5"	"tɕʰim˥˥"		
"寢"	"tshim2"	"tɕʰim˥˨"		
"寢"	"tsim2"	"tɕim˥˨"	"又"	
"蕈"	"tshim5"	"tɕʰim˥˥"		
"蕈"	"tshim6"	"tɕʰim˧˥"	"又"	
"心"	"sim1"	"ɕim˧˧"		
"尋"	"tshim5"	"tɕʰim˥˥"		
"琛"	"tim1"	"tim˧˧"		
"沉"	"tim5"	"tim˥˥"		
"朕"	"tim6"	"tim˧˥"		
"簪"	"tsam1"	"tsam˧˧"		
"岑"	"ngim5"	"ŋim˥˥"		
"岑"	"tsham5"	"tsʰam˥˥"		
"森"	"siam1"	"ɕiam˧˧"		
"森"	"sim1"	"ɕim˧˧"	"又"	
"參"	"siam1"	"ɕiam˧˧"		
"參"	"sim1"	"ɕim˧˧"	"又"	
"滲"	"tsham1"	"tsʰam˧˧"		
"針"	"tsam1"	"tsam˧˧"		
"斟"	"tsim1"	"tɕim˧˧"		
"枕"	"tsim2"	"tɕim˥˨"		
"葚"	"sim6"	"ɕim˧˥"		
"深"	"tshim1"	"tɕʰim˧˧"		
"瀋"	"sim2"	"ɕim˥˨"		
"審"	"sim2"	"ɕim˥˨"		
"嬸"	"sim2"	"ɕim˥˨"		
"甚"	"sim2"	"ɕim˥˨"		
"壬"	"dzim6"	"dzim˧˥"		
"任"	"dzim6"	"dzim˧˥"		
"妊"	"dzim6"	"dzim˧˥"		
"今"	"kim1"	"kim˧˧"		
"金"	"kim1"	"kim˧˧"		
"襟"	"kim1"	"kim˧˧"		
"禁"	"kim1"	"kim˧˧"		
"錦"	"kim2"	"kim˥˨"		
"禁"	"kim3"	"kim˨˩˨"		
"欽"	"khim1"	"kʰim˧˧"		
"琴"	"khim5"	"kʰim˥˥"		
"禽"	"khim5"	"kʰim˥˥"		
"擒"	"khim5"	"kʰim˥˥"		
"吟"	"ngim5"	"ŋim˥˥"		
"音"	"im1"	"im˧˧"		
"陰"	"im1"	"im˧˧"		
"飲"	"am2"	"am˥˨"	"白，糜~"	
"飲"	"im2"	"im˥˨"		
"蔭"	"im1"	"im˧˧"		
"窨"	"im3"	"im˨˩˨"		
"淫"	"im5"	"im˥˥"		
"立"	"lip8"	"lip˥˦"		
"粒"	"liap8"	"liap˥˦"		
"緝"	"tsip4"	"tɕip˨"		
"集"	"tsip8"	"tɕip˥˦"		
"輯"	"tsip4"	"tɕip˨"		
"習"	"sip8"	"ɕip˥˦"		
"襲"	"sip8"	"ɕip˥˦"		
"蟄"	"tek8"	"tek˥˦"		
"澀"	"siap4"	"ɕiap˨"		
"汁"	"tsap4"	"tsap˨"		
"執"	"tsip4"	"tɕip˨"		
"濕"	"sip4"	"ɕip˨"		
"十"	"tsap8"	"tsap˥˦"		
"什"	"sip8"	"ɕip˥˦"		
"什"	"sim5"	"ɕim˥˥"	"又"	
"拾"	"sip8"	"ɕip˥˦"		
"入"	"dzip8"	"dzip˥˦"		
"急"	"kip4"	"kip˨"		
"級"	"khip4"	"kʰip˨"		
"汲"	"khip4"	"kʰip˨"		
"給"	"kip4"	"kip˨"		
"泣"	"khip4"	"kʰip˨"		
"及"	"kip8"	"kip˥˦"		
"吸"	"khip4"	"kʰip˨"		
"邑"	"ip4"	"ip˨"		
"揖"	"ip4"	"ip˨"		
"丹"	"tuann1"	"tua ̃˧˧"	"白，牡~"	
"丹"	"tang1"	"taŋ˧˧"		
"單"	"tuann1"	"tua ̃˧˧"		
"單"	"siang5"	"ɕiaŋ˥˥"	"又"	
"單"	"siang6"	"ɕiaŋ˧˥"	"又"	
"旦"	"tuann3"	"tua ̃˨˩˨"	"白，花~"	
"旦"	"tang3"	"taŋ˨˩˨"		
"灘"	"thuann1"	"tʰua ̃˧˧"		
"攤"	"thuann1"	"tʰua ̃˧˧"		
"坦"	"thang2"	"tʰaŋ˥˨"		
"歎"	"thang3"	"tʰaŋ˨˩˨"		
"炭"	"thuann3"	"tʰua ̃˨˩˨"		
"檀"	"thang5"	"tʰaŋ˥˥"		
"壇"	"tuann5"	"tua ̃˥˥"		
"壇"	"tham5"	"tʰam˥˥"	"文"	
"彈"	"thang5"	"tʰaŋ˥˥"		
"誕"	"tang3"	"taŋ˨˩˨"		
"但"	"tang6"	"taŋ˧˥"		
"彈"	"tuann7"	"tua ̃˧˩"	"白，~掉"	
"蛋"	"tuann1"	"tua ̃˧˧"	"白"	
"蛋"	"nng6"	"nŋ˧˥"	"俗，訓“卵”"	
"蛋"	"tang3"	"taŋ˨˩˨"		
"憚"	"tang6"	"taŋ˧˥"		
"難"	"lang5"	"laŋ˥˥"		
"難"	"nang5"	"naŋ˥˥"	"又"	
"難"	"lang7"	"laŋ˧˩"	"又"	
"難"	"nang7"	"naŋ˧˩"	"又"	
"蘭"	"lang5"	"laŋ˥˥"		
"攔"	"lang5"	"laŋ˥˥"		
"欄"	"lang5"	"laŋ˥˥"		
"懶"	"lang2"	"laŋ˥˨"		
"爛"	"nua7"	"nua˧˩"		
"爛"	"nua3"	"nua˨˩˨"	"又"	
"爛"	"lang6"	"laŋ˧˥"	"文"	
"贊"	"tsang3"	"tsaŋ˨˩˨"		
"餐"	"tshang1"	"tsʰaŋ˧˧"		
"燦"	"tshang3"	"tsʰaŋ˨˩˨"		
"殘"	"tshagn5"	"tsʰagn˥˥"		
"珊"	"sang1"	"saŋ˧˧"		
"散"	"suann2"	"sua ̃˥˨"		
"傘"	"suann3"	"sua ̃˨˩˨"		
"散"	"suann3"	"sua ̃˨˩˨"		
"肝"	"kuann1"	"kua ̃˧˧"		
"竿"	"ko1"	"ko˧˧"	"訓"	
"竿"	"kuann1"	"kua ̃˧˧"		
"竿"	"kang1"	"kaŋ˧˧"	"文"	
"乾"	"kuann1"	"kua ̃˧˧"		
"乾"	"kang1"	"kaŋ˧˧"	"文"	
"杆"	"kuann1"	"kua ̃˧˧"		
"杆"	"kang1"	"kaŋ˧˧"	"文"	
"稈"	"kuann1"	"kua ̃˧˧"		
"稈"	"kang2"	"kaŋ˥˨"	"文"	
"擀"	"kang2"	"kaŋ˥˨"		
"趕"	"kuann2"	"kua ̃˥˨"		
"幹"	"kang3"	"kaŋ˨˩˨"		
"看"	"khuann3"	"kʰua ̃˨˩˨"		
"看"	"thoinn2"	"tʰoi ̃˥˨"	"又，訓“睇”"	
"刊"	"khang1"	"kʰaŋ˧˧"		
"侃"	"khang2"	"kʰaŋ˥˨"		
"看"	"khang1"	"kʰaŋ˧˧"		
"岸"	"ngai6"	"ŋai˧˥"		
"岸"	"huann7"	"hua ̃˧˩"	"又"	
"鼾"	"huann5"	"hua ̃˥˥"		
"鼾"	"hang1"	"haŋ˧˧"	"文"	
"罕"	"hang2"	"haŋ˥˨"		
"漢"	"hang3"	"haŋ˨˩˨"		
"寒"	"kuann5"	"kua ̃˥˥"		
"寒"	"hang5"	"haŋ˥˥"	"文"	
"韓"	"hang5"	"haŋ˥˥"		
"旱"	"uann6"	"ua ̃˧˥"		
"汗"	"kuann7"	"kua ̃˧˩"		
"汗"	"hang2"	"haŋ˥˨"	"文"	
"汗"	"hang5"	"haŋ˥˥"	"又"	
"翰"	"hang5"	"haŋ˥˥"		
"安"	"uann1"	"ua ̃˧˧"		
"安"	"ang1"	"aŋ˧˧"	"文"	
"鞍"	"uann1"	"ua ̃˧˧"		
"按"	"ang3"	"aŋ˨˩˨"		
"案"	"uann3"	"ua ̃˨˩˨"		
"案"	"ang3"	"aŋ˨˩˨"		
"扮"	"puang3"	"puaŋ˨˩˨"		
"扮"	"pang3"	"paŋ˨˩˨"	"又"	
"盼"	"phang3"	"pʰaŋ˨˩˨"		
"瓣"	"phiang3"	"pʰiaŋ˨˩˨"		
"瓣"	"hah4"	"haʔ˨"	"俗"	
"辦"	"phoinn7"	"pʰoi ̃˧˩"		
"辦"	"pang7"	"paŋ˧˩"	"文"	
"綻"	"teng6"	"teŋ˧˥"		
"盞"	"tsuann2"	"tsua ̃˥˨"		
"鏟"	"tshang2"	"tsʰaŋ˥˨"		
"潺"	"tshang5"	"tsʰaŋ˥˥"		
"山"	"suann1"	"sua ̃˧˧"		
"產"	"suann2"	"sua ̃˥˨"		
"艱"	"kang1"	"kaŋ˧˧"		
"間"	"koinn1"	"koi ̃˧˧"		
"間"	"kang1"	"kaŋ˧˧"	"文"	
"簡"	"kang2"	"kaŋ˥˨"		
"揀"	"koinn2"	"koi ̃˥˨"		
"柬"	"kang2"	"kaŋ˥˨"		
"間"	"koinn3"	"koi ̃˨˩˨"		
"眼"	"ngang2"	"ŋaŋ˥˨"		
"閑"	"oinn5"	"oi ̃˥˥"		
"限"	"hang6"	"haŋ˧˥"		
"莧"	"hoinn7"	"hoi ̃˧˩"		
"班"	"pang1"	"paŋ˧˧"		
"頒"	"pang1"	"paŋ˧˧"		
"板"	"poinn2"	"poi ̃˥˨"	"白"	
"板"	"pang2"	"paŋ˥˨"		
"版"	"pang2"	"paŋ˥˨"		
"攀"	"phang1"	"pʰaŋ˧˧"		
"扳"	"pang2"	"paŋ˥˨"		
"襻"	"phang3"	"pʰaŋ˨˩˨"		
"蠻"	"mang5"	"maŋ˥˥"		
"慢"	"mang7"	"maŋ˧˩"		
"棧"	"tsang3"	"tsaŋ˨˩˨"		
"刪"	"sang1"	"saŋ˧˧"		
"訕"	"sang3"	"saŋ˨˩˨"		
"疝"	"sang3"	"saŋ˨˩˨"		
"奸"	"kang1"	"kaŋ˧˧"		
"姦"	"kang2"	"kaŋ˥˨"		
"諫"	"kang3"	"kaŋ˨˩˨"		
"顏"	"nguang5"	"ŋuaŋ˥˥"		
"顏"	"ngang5"	"ŋaŋ˥˥"	"又"	
"顏"	"hiann5"	"hia ̃˥˥"	"又"	
"雁"	"ngang6"	"ŋaŋ˧˥"		
"晏"	"uann3"	"ua ̃˨˩˨"	"白"	
"晏"	"ang3"	"aŋ˨˩˨"		
"編"	"phiang1"	"pʰiaŋ˧˧"		
"鞭"	"piang1"	"piaŋ˧˧"		
"變"	"pinn3"	"pi ̃˨˩˨"	"白"	
"變"	"piang3"	"piaŋ˨˩˨"		
"篇"	"phiang1"	"pʰiaŋ˧˧"		
"偏"	"phiang1"	"pʰiaŋ˧˧"		
"騙"	"phiang3"	"pʰiaŋ˨˩˨"		
"便"	"phinn1"	"pʰi ̃˧˧"		
"便"	"phiang1"	"pʰiaŋ˧˧"	"又"	
"辨"	"piang6"	"piaŋ˧˥"		
"辯"	"piang6"	"piaŋ˧˥"		
"便"	"piang6"	"piaŋ˧˥"		
"汴"	"piang6"	"piaŋ˧˥"		
"綿"	"miang5"	"miaŋ˥˥"		
"免"	"miang2"	"miaŋ˥˨"		
"勉"	"miang3"	"miaŋ˨˩˨"		
"娩"	"miang4"	"miaŋ˨"		
"緬"	"miang5"	"miaŋ˥˥"		
"面"	"ming7"	"miŋ˧˩"		
"麵"	"minn7"	"mi ̃˧˩"		
"碾"	"tiang2"	"tiaŋ˥˨"		
"連"	"liang5"	"liaŋ˥˥"		
"聯"	"liang5"	"liaŋ˥˥"		
"輦"	"ling2"	"liŋ˥˨"		
"煎"	"tsiang1"	"tɕiaŋ˧˧"		
"剪"	"tsiang2"	"tɕiaŋ˥˨"		
"箭"	"tsinn3"	"tɕi ̃˨˩˨"		
"濺"	"tsiang1"	"tɕiaŋ˧˧"		
"濺"	"tsiang2"	"tɕiaŋ˥˨"		
"遷"	"tshiang1"	"tɕʰiaŋ˧˧"		
"遷"	"tshiam1"	"tɕʰiam˧˧"	"又"	
"淺"	"tshiang2"	"tɕʰiaŋ˥˨"		
"錢"	"tsinn5"	"tɕi ̃˥˥"		
"踐"	"tsiang2"	"tɕiaŋ˥˨"		
"賤"	"tsuann7"	"tsua ̃˧˩"		
"仙"	"siang1"	"ɕiaŋ˧˧"		
"鮮"	"tshinn1"	"tɕʰi ̃˧˧"		
"鮮"	"siang2"	"ɕiaŋ˥˨"		
"癬"	"siang2"	"ɕiaŋ˥˨"		
"線"	"suann3"	"sua ̃˨˩˨"		
"涎"	"nuann6"	"nua ̃˧˥"	"俗"	
"涎"	"iang6"	"iaŋ˧˥"		
