#符号说明：-白=文/书*俗?待考	
#调值	［1］⁵²［2］²⁵［3］²¹¹［5］³³⁴［7］⁴
#z̩	
x	[1]顸鼾憨酣蚶[2]寒邗邯韩含函涵晗汗1咸-衔-闲-[3]喊罕撼憾[5]汗2旱悍焊捍汉翰瀚颔馅陷嵌?
	
#uɛ	
ts	[1]□{弯腰}[5]赚馔撰
tsʰ	[5]创?1
s	[1]珊栅删姗疝闩栓拴□{抽打}[3]选?{整理，挑选}[5]涮
k	[1]关莞2[5]掼盥惯
kʰ	[1]□{身体或四肢收缩起来或无法伸直，用阳平}[2]环寰□{身体或四肢收缩起来无法伸直，同阴平}
x	[1]□{动作迅速叫}□{一种大型渔具}[2]还2[5]浣宦豢患幻
Ø	[1]弯湾塆[2]玩顽[3]绾挽晚□{小~子：一种比笆斗略小的装谷容器}[5]万
	
#ɑŋ	
p	[1]浜邦梆帮磅1傍[3]榜绑膀1[5]谤棒泵
pʰ	[1]滂膀3乓[2]旁磅2螃膀3彷庞逄[3]耪滂-□{在潮湿地方或浅水里走动}[5]胖
m	[2]忙芒茫盲氓□{味咸}[3]莽漭蟒
f	[1]方芳坊枋[2]房肪防妨[3]访昉仿舫纺[5]放
t	[1]当1裆铛哨1[3]党谠挡档[5]宕当2荡凼□{将刀口在磨刀石或其他硬物上刮几下使之变得锋利}
tʰ	[1]汤铴耥□{用手去抵挡}[2]唐溏塘糖堂棠螳樘膛搪[3]淌倘躺傥帑[5]烫趟
n	[1]齉1囔囊1[2]囊[3]攮馕曩[5]齉2□{皮肤、衣服或纸张等出现皱褶}
l	[1]啷狼{黄鼠狼}[2]郎廊螂琅锒狼禳穰1瓤榔[3]朗壤攘嚷穰2{麦~：打碎了的麦秸}[5]浪让晾*
ts	[1]章樟蟑彰张赃脏1臧獐[3]长1掌涨2[5]瘴嶂幛障丈杖涨2帐胀葬藏1脏2
tsʰ	[1]昌菖猖鲳阊娼伥仓沧苍舱[2]尝偿常嫦徜长2场-肠藏2[3]昶场=厂敞[5]唱倡怅畅蹭*
s	[1]丧桑商墒伤殇觞[3]磉搡嗓赏上1垧晌裳[5]尚绱上2
k	[1]豇缸肛罡刚冈钢1纲[3]港岗□{用脑袋使劲顶物}[5]虹1杠戆钢2□{快跑}扛1{用土石垫高平地：~屋基}
kʰ	[1]康慷糠槺闶项{颈~}[2]扛2[5]亢炕抗伉
ŋ	[1]肮盎*□{~刺鱼，~刺：喻人厉害刁蛮}[2]昂[3]□{将物体放入火中慢慢燃烧}[5]肮{~脏}盎
x	[1]夯吭[2]杭航行1绗珩[3]□{推呀～的：用车子推，用手拉，表示用各种方式搞般运}[5]巷沆项-{~圈}
	
#iɑŋ	
n	[2]娘[3]仰-
l	[2]梁粱凉1良粮量1[3]两{量词}俩魉[5]酿凉2谅晾亮踉量2
tɕ	[1]艰间=奸将1浆江僵疆缰姜[3]謇蹇简减趼蒋桨奖讲柬[5]监鉴舰酱将2匠降1犟谏涧
tɕʰ	[1]羌蜣腔锵枪戗1呛戕炝[2]庠详祥翔墙蔷樯嫱强1[3]抢襁强2[5]跄戗2像-□{面团子等物太干太硬}
ɕ	[1]襄镶相1湘厢缃箱香乡[2]闲痫娴咸=衔=降2[3]享想响饷飨[5]馅陷限项=相向象橡像=
Ø	[1]央泱鞅殃秧鸯[2]羊洋佯徉阳疡炀杨扬[3]痒养氧仰=[5]漾恙样怏
	
#uɑŋ	
ts	[1]妆装庄桩[3]奘[5]撞幢壮状
tsʰ	[1]窗疮[2]童撞床[3]闯[5]创2怆□{散步、随便走走}
s	[1]霜双1孀[2]□{物体下垂：把瓶口倒过来，把水~干净}[3]爽[5]双2{~子：双胞胎}
k	[1]光胱桄1[3]广犷[5]逛□{用剃刀刮脸、胡子}
kʰ	[1]匡诓筐劻眶框1[2]狂诳[3]夼[5]桄2圹矿旷邝框2况贶
x	[1]肓荒慌[2]黄潢璜磺蟥簧惶煌遑徨凰皇[3]谎恍幌□{物体因过高或过长而显得不稳重}[5]晃
Ø	[1]汪[2]亡王1[3]往1枉罔惘魍网[5]往2忘妄望旺王2□{～蛋：散了黄子的禽蛋}
	
#ɔŋ	
p	[1]崩嘣绷1[2]甭[3]绷2[5]蚌=迸蹦
pʰ	[1]烹怦砰澎1蚌-[2]彭澎2蟛膨蓬篷朋棚鹏[3]捧[5]碰
m	[1]蒙1懵[2]蒙2檬蠓萌盟=[3]虻蠓蜢锰猛[5]梦孟
f	[1]丰风封烽蜂峰锋疯枫[2]冯逢缝1[3]讽[5]奉俸缝2凤
t	[1]东冬咚[3]董懂[5]动冻栋洞恫1侗
tʰ	[1]恫2通[2]童潼曈瞳同茼桐铜仝彤酮[3]统筒桶□{挪动、搬迁、移位置}[5]捅恸痛
n	[2]农浓侬哝脓□{穷对付：~日子}[5]弄=□{呈腐烂状的物体}
l	[2]龙珑聋昽笼1隆戎绒茸[3]垄拢笼2陇冗[5]砻弄
