"ID"	"繁体"	"简体"	"拼音"	"注释"	""	"调值"	""
"407"	"措"	"措"	"tsʰo去声"	"白"	""	""	""
"408"	"措"	"措"	"tsʰu去声"	"文"	""	""	""
"409"	"蘇"	"苏"	"sou阴平"	""	""	""	""
"410"	"酥"	"酥"	"sou阴平"	""	""	""	""
"411"	"素"	"素"	"so去声"	"白"	""	""	""
"412"	"素"	"素"	"su去声"	"文"	""	""	""
"413"	"塑"	"塑"	"sok阴入"	"俗"	""	""	""
"414"	"塑"	"塑"	"suak阴入"	"俗"	""	""	""
"415"	"塑"	"塑"	"su去声"	"文"	""	""	""
"416"	"訴"	"诉"	"su去声"	""	""	""	""
"417"	"嗉"	"嗉"	"su去声"	""	""	""	""
"418"	"辜"	"辜"	"kou阴平"	"白"	""	""	""
"419"	"辜"	"辜"	"ku阴平"	"文"	""	""	""
"420"	"孤"	"孤"	"kou阴平"	""	""	""	""
"421"	"箍"	"箍"	"kʰou阴平"	""	""	""	""
"422"	"姑"	"姑"	"kou阴平"	""	""	""	""
"423"	"估"	"估"	"kou阴上"	""	""	""	""
"424"	"古"	"古"	"kou阴上"	"白"	""	""	""
"425"	"古"	"古"	"ku阴上"	"文"	""	""	""
"426"	"股"	"股"	"kou阴上"	"白"	""	""	""
"427"	"股"	"股"	"ku阴上"	"文"	""	""	""
"428"	"鼓"	"鼓"	"kou阴上"	"白"	""	""	""
"429"	"鼓"	"鼓"	"ku阴上"	"文"	""	""	""
"430"	"蠱"	"蛊"	"kou阴上"	"白"	""	""	""
"431"	"蠱"	"蛊"	"ku阴上"	"文"	""	""	""
"432"	"故"	"故"	"ku去声"	""	""	""	""
"433"	"顧"	"顾"	"kou去声"	"白"	""	""	""
"434"	"顧"	"顾"	"ku去声"	"文"	""	""	""
"435"	"固"	"固"	"ku去声"	""	""	""	""
"436"	"雇"	"雇"	"kou去声"	""	""	""	""
"437"	"枯"	"枯"	"kʰou阴平"	"白"	""	""	""
"438"	"枯"	"枯"	"kou阴平"	"又"	""	""	""
"439"	"枯"	"枯"	"kʰu阴平"	"文"	""	""	""
"440"	"苦"	"苦"	"kʰou阴上"	""	""	""	""
"441"	"庫"	"库"	"kʰou去声"	""	""	""	""
"442"	"褲"	"裤"	"kʰou去声"	""	""	""	""
