"流水序"	"常用字"	"简体"	"声母"	"韵母"	"声调"	"例词"	"备注"
"00489"	"司"		"s"	"y"	1		
"00490"	"叵"		"ph"	"ou"	2		
"00491"	"叫"		"k"	"iau"	3		
"00492"	"另"		"l"	"ieon"	3		
"00493"	"只"		"ts"	"y"	2		
"00494"	"史"		"s"	"y"	2		
"00495"	"叱"		"ch"	"ih"			
"00496"	"台"		"th"	"ai"	1	"台州，天台"	
"00497"	"句"		"k"	"iu"	3		
"00498"	"叭"		"p"	"a"	1	"喇叭"	
"00499"	"吉"		"k"	"ih"			
"00500"	"吏"		"l"	"i"	3		
"00501"	"同"		"d"	"on"	1		
"00502"	"吊"		"t"	"iau"	3		
"00503"	"吐"		"th"	"u"	2		
	"吐"		"th"	"u"	3	"嘔吐"	
"00504"	"吁"		"h"	"iu"	1	"氣喘吁吁"	
"00505"	"吋"		"tsh"	"en"	3		
"00506"	"各"		"k"	"aoh"			
"00507"	"向"		"h"	"ian"	3		
"00508"	"名"		"m"	"ieon"	1		
"00509"	"合"		"gh"	"eeh"			
"00510"	"吃"		"k"	"ih"		"口吃"	
	"喫"	"吃"	"kh"	"ieoh"		"喫飯，喫驚"	
"00511"	"后"		"gh"	"eu"	2	"皇后，太后"	
"00512"	"吆"			"iau"	1		
"00513"	"吒"		"ts"	"o"	3	"哪吒"	
	"吒"	"咤"	"ts"	"o"	3	"叱吒"	
"00514"	"吝"		"l"	"in"	3		
"00515"	"吭"		"gh"	"aon"	1	"引吭高歌"	
"00516"	"吞"		"th"	"en"	1		
"00517"	"吾"		"ng"	"u"	1		
"00518"	"否"		"f"	"eu"	2		
"00519"	"呎"		"ch"	"ieoh"			
"00520"	"吧"		"p"	"o"	1		
"00521"	"呆"		"t"	"ai"	1	"癡呆"	
	"呆"		"ng"	"ai"	1	"呆板"	
"00522"	"呃"			"ah"			
"00523"	"吳"	"吴"	"ng"	"u"	1		
"00524"	"呈"		"j"	"ieon"	1		
"00525"	"呂"	"吕"	"l"	"i"	2		
"00526"	"君"		"k"	"iuin"	1		
"00527"	"吩"		"f"	"en"	1		
"00528"	"告"		"k"	"au"	3		
"00529"	"吹"		"ch"	"iu"	1		
"00530"	"吻"		"v"	"en"	2		
"00531"	"吸"		"h"	"ih"			
"00532"	"吮"		"zh"	"iuin"	2		
