"简体"	"繁體"	"拼音"	"音標"
"袱"	"袱"	"vɤ8"	"vɤ˨˩˨"
"復"	"復"	"vɤ8"	"vɤ˨˩˨"
"刀"	"刀"	"tɤ1"	"tɤ˦˦"
"島"	"島"	"tɤ3"	"tɤ˦˥"
"倒"	"倒"	"tɤ3"	"tɤ˦˥"
"禱"	"禱"	"tɤ3"	"tɤ˦˥"
"到"	"到"	"tɤ5"	"tɤ˥˨"
"倒"	"倒"	"tɤ5"	"tɤ˥˨"
"得"	"得"	"tɤ7"	"tɤ˧˨˧"
"德"	"德"	"tɤ7"	"tɤ˧˨˧"
"叨"	"叨"	"thɤ1"	"tʰɤ˦˦"
"滔"	"滔"	"thɤ1"	"tʰɤ˦˦"
"討"	"討"	"thɤ3"	"tʰɤ˦˥"
"討"	"討"	"thɤ5"	"tʰɤ˥˨"
"套"	"套"	"thɤ5"	"tʰɤ˥˨"
"忒"	"忒"	"thɤ7"	"tʰɤ˧˨˧"
"桃"	"桃"	"dɤ2"	"dɤ˧˩"
"逃"	"逃"	"dɤ2"	"dɤ˧˩"
"淘"	"淘"	"dɤ2"	"dɤ˧˩"
"陶"	"陶"	"dɤ2"	"dɤ˧˩"
"萄"	"萄"	"dɤ2"	"dɤ˧˩"
"濤"	"濤"	"dɤ2"	"dɤ˧˩"
"道"	"道"	"dɤ4"	"dɤ˧˦"
"稻"	"稻"	"dɤ4"	"dɤ˧˦"
"盜"	"盜"	"dɤ6"	"dɤ˨˨"
"導"	"導"	"dɤ6"	"dɤ˨˨"
"特"	"特"	"dɤ8"	"dɤ˨˩˨"
"奪"	"奪"	"dɤ8"	"dɤ˨˩˨"
"腦"	"腦"	"nɤ4"	"nɤ˧˦"
"惱"	"惱"	"nɤ4"	"nɤ˧˦"
"嘮"	"嘮"	"lɤ1"	"lɤ˦˦"
"勞"	"勞"	"lɤ2"	"lɤ˧˩"
"撈"	"撈"	"lɤ2"	"lɤ˧˩"
"牢"	"牢"	"lɤ2"	"lɤ˧˩"
"澇"	"澇"	"lɤ2"	"lɤ˧˩"
"嘮"	"嘮"	"lɤ2"	"lɤ˧˩"
"老"	"老"	"lɤ4"	"lɤ˧˦"
"箬"	"箬"	"lɤ4"	"lɤ˧˦"
"澇"	"澇"	"lɤ6"	"lɤ˨˨"
"捋"	"捋"	"lɤ8"	"lɤ˨˩˨"
"騷"	"騷"	"sɤ1"	"sɤ˦˦"
"臊"	"臊"	"sɤ1"	"sɤ˦˦"
"梢"	"梢"	"sɤ1"	"sɤ˦˦"
"稍"	"稍"	"sɤ1"	"sɤ˦˦"
"消"	"消"	"sɤ1"	"sɤ˦˦"
"宵"	"宵"	"sɤ1"	"sɤ˦˦"
"霄"	"霄"	"sɤ1"	"sɤ˦˦"
"硝"	"硝"	"sɤ1"	"sɤ˦˦"
"捎"	"捎"	"sɤ1"	"sɤ˦˦"
"燒"	"燒"	"sɤ1"	"sɤ˦˦"
"嫂"	"嫂"	"sɤ3"	"sɤ˦˥"
"小"	"小"	"sɤ3"	"sɤ˦˥"
"掃"	"掃"	"sɤ5"	"sɤ˥˨"
"笑"	"笑"	"sɤ5"	"sɤ˥˨"
"硝"	"硝"	"sɤ5"	"sɤ˥˨"
"燥"	"燥"	"sɤ5"	"sɤ˥˨"
"濕"	"濕"	"sɤ7"	"sɤ˧˨˧"
"澀"	"澀"	"sɤ7"	"sɤ˧˨˧"
"膝"	"膝"	"sɤ7"	"sɤ˧˨˧"
"失"	"失"	"sɤ7"	"sɤ˧˨˧"
"室"	"室"	"sɤ7"	"sɤ˧˨˧"
"塞"	"塞"	"sɤ7"	"sɤ˧˨˧"
"蟀"	"蟀"	"sɤ7"	"sɤ˧˨˧"
"曹"	"曹"	"zɤ2"	"zɤ˧˩"
"槽"	"槽"	"zɤ2"	"zɤ˧˩"
"樵"	"樵"	"zɤ2"	"zɤ˧˩"
"韶"	"韶"	"zɤ2"	"zɤ˧˩"
"紹"	"紹"	"zɤ2"	"zɤ˧˩"
"邵"	"邵"	"zɤ2"	"zɤ˧˩"
"饒"	"饒"	"zɤ2"	"zɤ˧˩"
"繞"	"繞"	"zɤ2"	"zɤ˧˩"
"造"	"造"	"zɤ4"	"zɤ˧˦"
"韶"	"韶"	"zɤ6"	"zɤ˨˨"
"紹"	"紹"	"zɤ6"	"zɤ˨˨"
"邵"	"邵"	"zɤ6"	"zɤ˨˨"
"僥"	"僥"	"zɤ6"	"zɤ˨˨"
"擾"	"擾"	"zɤ6"	"zɤ˨˨"
"集"	"集"	"zɤ8"	"zɤ˨˩˨"
"習"	"習"	"zɤ8"	"zɤ˨˩˨"
"十"	"十"	"zɤ8"	"zɤ˨˩˨"
"什"	"什"	"zɤ8"	"zɤ˨˩˨"
"拾"	"拾"	"zɤ8"	"zɤ˨˩˨"
"入"	"入"	"zɤ8"	"zɤ˨˩˨"
"實"	"實"	"zɤ8"	"zɤ˨˩˨"
"疾"	"疾"	"zɤ8"	"zɤ˨˩˨"
"日"	"日"	"zɤ8"	"zɤ˨˩˨"
"遭"	"遭"	"ciɤ1"	"tɕiɤ˦˦"
"糟"	"糟"	"ciɤ1"	"tɕiɤ˦˦"
"焦"	"焦"	"ciɤ1"	"tɕiɤ˦˦"
"蕉"	"蕉"	"ciɤ1"	"tɕiɤ˦˦"
"椒"	"椒"	"ciɤ1"	"tɕiɤ˦˦"
"朝"	"朝"	"ciɤ1"	"tɕiɤ˦˦"
"昭"	"昭"	"ciɤ1"	"tɕiɤ˦˦"
"招"	"招"	"ciɤ1"	"tɕiɤ˦˦"
"驕"	"驕"	"ciɤ1"	"tɕiɤ˦˦"
"嬌"	"嬌"	"ciɤ1"	"tɕiɤ˦˦"
"澆"	"澆"	"ciɤ1"	"tɕiɤ˦˦"
"早"	"早"	"ciɤ3"	"tɕiɤ˦˥"
"棗"	"棗"	"ciɤ3"	"tɕiɤ˦˥"
"蚤"	"蚤"	"ciɤ3"	"tɕiɤ˦˥"
"澡"	"澡"	"ciɤ3"	"tɕiɤ˦˥"
"繳"	"繳"	"ciɤ3"	"tɕiɤ˦˥"
"儻"	"儻"	"ciɤ3"	"tɕiɤ˦˥"
"餃"	"餃"	"ciɤ3"	"tɕiɤ˦˥"
"憔"	"憔"	"ciɤ3"	"tɕiɤ˦˥"
"灶"	"灶"	"ciɤ5"	"tɕiɤ˥˨"
"躁"	"躁"	"ciɤ5"	"tɕiɤ˥˨"
"叫"	"叫"	"ciɤ5"	"tɕiɤ˥˨"
"蛩"	"蛩"	"ciɤ7"	"tɕiɤ˧˨˧"
"執"	"執"	"ciɤ7"	"tɕiɤ˧˨˧"
"汁"	"汁"	"ciɤ7"	"tɕiɤ˧˨˧"
"急"	"急"	"ciɤ7"	"tɕiɤ˧˨˧"
"級"	"級"	"ciɤ7"	"tɕiɤ˧˨˧"
"給"	"給"	"ciɤ7"	"tɕiɤ˧˨˧"
"質"	"質"	"ciɤ7"	"tɕiɤ˧˨˧"
"吉"	"吉"	"ciɤ7"	"tɕiɤ˧˨˧"
"卒"	"卒"	"ciɤ7"	"tɕiɤ˧˨˧"
"袺"	"袺"	"ciɤ7"	"tɕiɤ˧˨˧"
"則"	"則"	"ciɤ7"	"tɕiɤ˧˨˧"
"擊"	"擊"	"ciɤ7"	"tɕiɤ˧˨˧"
"激"	"激"	"ciɤ7"	"tɕiɤ˧˨˧"
"髻"	"髻"	"ciɤ7"	"tɕiɤ˧˨˧"
"仄"	"仄"	"ciɤ7"	"tɕiɤ˧˨˧"
"戟"	"戟"	"ciɤ7"	"tɕiɤ˧˨˧"
"超"	"超"	"chiɤ1"	"tɕʰiɤ˦˦"
"悄"	"悄"	"chiɤ1"	"tɕʰiɤ˦˦"
"操"	"操"	"chiɤ1"	"tɕʰiɤ˦˦"
"糙"	"糙"	"chiɤ1"	"tɕʰiɤ˦˦"
"草"	"草"	"chiɤ3"	"tɕʰiɤ˦˥"
"騲"	"騲"	"chiɤ3"	"tɕʰiɤ˦˥"
"糙"	"糙"	"chiɤ5"	"tɕʰiɤ˥˨"
"操"	"操"	"chiɤ5"	"tɕʰiɤ˥˨"
"俏"	"俏"	"chiɤ5"	"tɕʰiɤ˥˨"
"竅"	"竅"	"chiɤ5"	"tɕʰiɤ˥˨"
"吃"	"吃"	"chiɤ7"	"tɕʰiɤ˧˨˧"
"扯"	"扯"	"chiɤ7"	"tɕʰiɤ˧˨˧"
"緝"	"緝"	"chiɤ7"	"tɕʰiɤ˧˨˧"
"輯"	"輯"	"chiɤ7"	"tɕʰiɤ˧˨˧"
"泣"	"泣"	"chiɤ7"	"tɕʰiɤ˧˨˧"
"撮"	"撮"	"chiɤ7"	"tɕʰiɤ˧˨˧"
"屈"	"屈"	"chiɤ7"	"tɕʰiɤ˧˨˧"
"七"	"七"	"chiɤ7"	"tɕʰiɤ˧˨˧"
"漆"	"漆"	"chiɤ7"	"tɕʰiɤ˧˨˧"
"訖"	"訖"	"chiɤ7"	"tɕʰiɤ˧˨˧"
"乞"	"乞"	"chiɤ7"	"tɕʰiɤ˧˨˧"
"猝"	"猝"	"chiɤ7"	"tɕʰiɤ˧˨˧"
"倔"	"倔"	"chiɤ7"	"tɕʰiɤ˧˨˧"
"側"	"側"	"chiɤ7"	"tɕʰiɤ˧˨˧"
"測"	"測"	"chiɤ7"	"tɕʰiɤ˧˨˧"
"朝"	"朝"	"jiɤ2"	"dʑiɤ˧˩"
"潮"	"潮"	"jiɤ2"	"dʑiɤ˧˩"
"喬"	"喬"	"jiɤ2"	"dʑiɤ˧˩"
"僑"	"僑"	"jiɤ2"	"dʑiɤ˧˩"
"橋"	"橋"	"jiɤ2"	"dʑiɤ˧˩"
"蕎"	"蕎"	"jiɤ2"	"dʑiɤ˧˩"
"趙"	"趙"	"jiɤ4"	"dʑiɤ˧˦"
"兆"	"兆"	"jiɤ4"	"dʑiɤ˧˦"
"召"	"召"	"jiɤ6"	"dʑiɤ˨˨"
"轎"	"轎"	"jiɤ6"	"dʑiɤ˨˨"
"及"	"及"	"jiø8"	"dʑyø˨˩˨"
"櫥"	"櫥"	"jiø8"	"dʑyø˨˩˨"
"娃"	"娃"	"jiø8"	"dʑyø˨˩˨"
"秩"	"秩"	"jiø8"	"dʑyø˨˩˨"
"極"	"極"	"jiø8"	"dʑyø˨˩˨"
"劇"	"劇"	"jiø8"	"dʑyø˨˩˨"
"屐"	"屐"	"jiø8"	"dʑyø˨˩˨"
"蟄"	"蟄"	"jiø8"	"dʑyø˨˩˨"
"襲"	"襲"	"jiø8"	"dʑyø˨˩˨"
"橛"	"橛"	"jiø8"	"dʑyø˨˩˨"
"逆"	"逆"	"gniɤ8"	"ȵiɤ˨˩˨"
"枵"	"枵"	"shiɤ1"	"ɕiɤ˦˦"
"囂"	"囂"	"shiɤ1"	"ɕiɤ˦˦"
"吸"	"吸"	"shiɤ7"	"ɕiɤ˧˨˧"
"妖"	"妖"	"iɤ1"	"iɤ˦˦"
"腰"	"腰"	"iɤ1"	"iɤ˦˦"
"嬰"	"嬰"	"iɤ1"	"iɤ˦˦"
"麼"	"麼"	"iɤ1"	"iɤ˦˦"
"吆"	"吆"	"iɤ1"	"iɤ˦˦"
"邀"	"邀"	"iɤ1"	"iɤ˦˦"
"舀"	"舀"	"iɤ3"	"iɤ˦˥"
"杳"	"杳"	"iɤ3"	"iɤ˦˥"
"要"	"要"	"iɤ5"	"iɤ˥˨"
"乙"	"乙"	"iɤ7"	"iɤ˧˨˧"
"一"	"一"	"iɤ7"	"iɤ˧˨˧"
"抑"	"抑"	"iɤ7"	"iɤ˧˨˧"
"益"	"益"	"iɤ7"	"iɤ˧˨˧"
"揖"	"揖"	"iɤ7"	"iɤ˧˨˧"
"搖"	"搖"	"yɤ2"	"jɤ˧˩"
"謠"	"謠"	"yɤ2"	"jɤ˧˩"
"窯"	"窯"	"yɤ2"	"jɤ˧˩"
"姚"	"姚"	"yɤ2"	"jɤ˧˩"
"耀"	"耀"	"yɤ6"	"jɤ˨˨"
"逸"	"逸"	"yɤ8"	"jɤ˨˩˨"
"翼"	"翼"	"yɤ8"	"jɤ˨˩˨"
"亦"	"亦"	"yɤ8"	"jɤ˨˩˨"
"譯"	"譯"	"yɤ8"	"jɤ˨˩˨"
"易"	"易"	"yɤ8"	"jɤ˨˩˨"
"液"	"液"	"yɤ8"	"jɤ˨˩˨"
"腋"	"腋"	"yɤ8"	"jɤ˨˩˨"
"高"	"高"	"kɤ1"	"kɤ˦˦"
"膏"	"膏"	"kɤ1"	"kɤ˦˦"
"篙"	"篙"	"kɤ1"	"kɤ˦˦"
"羔"	"羔"	"kɤ1"	"kɤ˦˦"
"稿"	"稿"	"kɤ3"	"kɤ˦˥"
"搞"	"搞"	"kɤ3"	"kɤ˦˥"
"告"	"告"	"kɤ5"	"kɤ˥˨"
"烤"	"烤"	"khɤ1"	"kʰɤ˦˦"
"考"	"考"	"khɤ3"	"kʰɤ˦˥"
"烤"	"烤"	"khɤ3"	"kʰɤ˦˥"
"靠"	"靠"	"khɤ5"	"kʰɤ˥˨"
"犒"	"犒"	"khɤ5"	"kʰɤ˥˨"
"克"	"克"	"khɤ7"	"kʰɤ˧˨˧"
"刻"	"刻"	"khɤ7"	"kʰɤ˧˨˧"
"磕"	"磕"	"khɤ7"	"kʰɤ˧˨˧"
"熬"	"熬"	"ngɤ2"	"ŋɤ˧˩"
"傲"	"傲"	"mgɤ6"	"mgɤ˨˨"
"鼇"	"鼇"	"mgɤ6"	"mgɤ˨˨"
"鼇"	"鼇"	"mgɤ6"	"mgɤ˨˨"
"蒿"	"蒿"	"hɤ1"	"hɤ˦˦"
"好"	"好"	"hɤ3"	"hɤ˦˥"
"耗"	"耗"	"hɤ5"	"hɤ˥˨"
"黑"	"黑"	"hɤ7"	"hɤ˧˨˧"
"豪"	"豪"	"ghɤ2"	"ɦɤ˧˩"
"壕"	"壕"	"ghɤ2"	"ɦɤ˧˩"
"毫"	"毫"	"ghɤ2"	"ɦɤ˧˩"
"號"	"號"	"ghɤ6"	"ɦɤ˨˨"
"爊"	"爊"	"ɤ1"	"ɤ˦˦"
"襖"	"襖"	"ɤ3"	"ɤ˦˥"
"懊"	"懊"	"ɤ3"	"ɤ˦˥"
"奧"	"奧"	"ɤ5"	"ɤ˥˨"
"懊"	"懊"	"ɤ5"	"ɤ˥˨"
"半"	"半"	"puɤ5"	"puɤ˥˨"
"缽"	"缽"	"puɤ7"	"puɤ˧˨˧"
"撥"	"撥"	"puɤ7"	"puɤ˧˨˧"
"潑"	"潑"	"puɤ7"	"puɤ˧˨˧"
"潘"	"潘"	"phuɤ1"	"pʰuɤ˦˦"
"判"	"判"	"phuɤ5"	"pʰuɤ˥˨"
"般"	"般"	"buɤ2"	"buɤ˧˩"
"搬"	"搬"	"buɤ2"	"buɤ˧˩"
"盤"	"盤"	"buɤ2"	"buɤ˧˩"
"盆"	"盆"	"buɤ2"	"buɤ˧˩"
"伴"	"伴"	"buɤ4"	"buɤ˧˦"
"拌"	"拌"	"buɤ4"	"buɤ˧˦"
"叛"	"叛"	"buɤ4"	"buɤ˧˦"
"餑"	"餑"	"buɤ4"	"buɤ˧˦"
"餑"	"餑"	"buɤ4"	"buɤ˧˦"
"胖"	"胖"	"buɤ4"	"buɤ˧˦"
"鈸"	"鈸"	"buɤ8"	"buɤ˨˩˨"
"瞞"	"瞞"	"muɤ2"	"muɤ˧˩"
"饅"	"饅"	"muɤ2"	"muɤ˧˩"
"鰻"	"鰻"	"muɤ2"	"muɤ˧˩"
"滿"	"滿"	"muɤ4"	"muɤ˧˦"
"末"	"末"	"muɤ8"	"muɤ˨˩˨"
"洙"	"洙"	"muɤ8"	"muɤ˨˩˨"
"抹"	"抹"	"muɤ8"	"muɤ˨˩˨"
"設"	"設"	"muɤ8"	"muɤ˨˩˨"
"歡"	"歡"	"fuɤ1"	"fuɤ˦˦"
"昏"	"昏"	"fuɤ1"	"fuɤ˦˦"
"婚"	"婚"	"fuɤ1"	"fuɤ˦˦"
"葷"	"葷"	"fuɤ1"	"fuɤ˦˦"
"喚"	"喚"	"fuɤ5"	"fuɤ˥˨"
"煥"	"煥"	"fuɤ5"	"fuɤ˥˨"
"幹"	"幹"	"kuɤ1"	"kuɤ˦˦"
"肝"	"肝"	"kuɤ1"	"kuɤ˦˦"
"棺"	"棺"	"kuɤ1"	"kuɤ˦˦"
"觀"	"觀"	"kuɤ1"	"kuɤ˦˦"
"冠"	"冠"	"kuɤ1"	"kuɤ˦˦"
"杆"	"杆"	"kuɤ3"	"kuɤ˦˥"
"稈"	"稈"	"kuɤ3"	"kuɤ˦˥"
"趕"	"趕"	"kuɤ3"	"kuɤ˦˥"
"管"	"管"	"kuɤ3"	"kuɤ˦˥"
"館"	"館"	"kuɤ3"	"kuɤ˦˥"
"琯"	"琯"	"kuɤ3"	"kuɤ˦˥"
"幹"	"幹"	"kuø5"	"kuø˥˨"
"貫"	"貫"	"kuø5"	"kuø˥˨"
"灌"	"灌"	"kuø5"	"kuø˥˨"
"罐"	"罐"	"kuø5"	"kuø˥˨"
"獾"	"獾"	"kuø5"	"kuø˥˨"
"割"	"割"	"kuɤ7"	"kuɤ˧˨˧"
"骨"	"骨"	"kuɤ7"	"kuɤ˧˨˧"
"渴"	"渴"	"khuɤ7"	"kʰuɤ˧˨˧"
"窟"	"窟"	"khuɤ7"	"kʰuɤ˧˨˧"
"溫"	"溫"	"uɤ1"	"ʔuɤ˦˦"
"瘟"	"瘟"	"uɤ1"	"ʔuɤ˦˦"
"淵"	"淵"	"uɤ1"	"ʔuɤ˦˦"
"碗"	"碗"	"uɤ3"	"ʔuɤ˦˥"
"豌"	"豌"	"uɤ3"	"ʔuɤ˦˥"
"腕"	"腕"	"uɤ3"	"ʔuɤ˦˥"
"穩"	"穩"	"uɤ3"	"ʔuɤ˦˥"
"宛"	"宛"	"uɤ3"	"ʔuɤ˦˥"
"知"	"知"	"tsy1"	"tsɿ˦˦"
"蜘"	"蜘"	"tsy1"	"tsɿ˦˦"
"姿"	"姿"	"tsy1"	"tsɿ˦˦"
"資"	"資"	"tsy1"	"tsɿ˦˦"
"咨"	"咨"	"tsy1"	"tsɿ˦˦"
"脂"	"脂"	"tsy1"	"tsɿ˦˦"
"梓"	"梓"	"tsy1"	"tsɿ˦˦"
"錙"	"錙"	"tsy1"	"tsɿ˦˦"
"之"	"之"	"tsy1"	"tsɿ˦˦"
"芝"	"芝"	"tsy1"	"tsɿ˦˦"
"茲"	"茲"	"tsy1"	"tsɿ˦˦"
"滋"	"滋"	"tsy1"	"tsɿ˦˦"
"滓"	"滓"	"tsy1"	"tsɿ˦˦"
"紫"	"紫"	"tsy3"	"tsɿ˦˥"
"只"	"只"	"tsy3"	"tsɿ˦˥"
"旨"	"旨"	"tsy3"	"tsɿ˦˥"
"指"	"指"	"tsy3"	"tsɿ˦˥"
"子"	"子"	"tsy3"	"tsɿ˦˥"
"止"	"止"	"tsy3"	"tsɿ˦˥"
"趾"	"趾"	"tsy3"	"tsɿ˦˥"
"姊"	"姊"	"tsy3"	"tsɿ˦˥"
"智"	"智"	"tsy5"	"tsɿ˥˨"
"致"	"致"	"tsy5"	"tsɿ˥˨"
"至"	"至"	"tsy5"	"tsɿ˥˨"
"置"	"置"	"tsy5"	"tsɿ˥˨"
"志"	"志"	"tsy5"	"tsɿ˥˨"
"詰"	"詰"	"tsy5"	"tsɿ˥˨"
"痣"	"痣"	"tsy5"	"tsɿ˥˨"
"雌"	"雌"	"tshy1"	"tsʰɿ˦˦"
"疵"	"疵"	"tshy1"	"tsʰɿ˦˦"
"癡"	"癡"	"tshy1"	"tsʰɿ˦˦"
"噦"	"噦"	"tshy1"	"tsʰɿ˦˦"
"此"	"此"	"tshy3"	"tsʰɿ˦˥"
"眵"	"眵"	"tshy3"	"tsʰɿ˦˥"
"翅"	"翅"	"tshy3"	"tsʰɿ˦˥"
"恥"	"恥"	"tshy3"	"tsʰɿ˦˥"
"齒"	"齒"	"tshy3"	"tsʰɿ˦˥"
"礎"	"礎"	"tshy3"	"tsʰɿ˦˥"
"刺"	"刺"	"tshy5"	"tsʰɿ˥˨"
"終"	"終"	"tshy5"	"tsʰɿ˥˨"
"次"	"次"	"tshy5"	"tsʰɿ˥˨"
"眙"	"眙"	"tshy5"	"tsʰɿ˥˨"
"馳"	"馳"	"dzy2"	"dzɿ˧˩"
"遲"	"遲"	"dzy2"	"dzɿ˧˩"
"持"	"持"	"dzy2"	"dzɿ˧˩"
"舐"	"舐"	"dzy4"	"dzɿ˧˦"
"痔"	"痔"	"dzy4"	"dzɿ˧˦"
"峙"	"峙"	"dzy4"	"dzɿ˧˦"
"稚"	"稚"	"dzy4"	"dzɿ˧˦"
"治"	"治"	"dzy6"	"dzɿ˨˨"
"斯"	"斯"	"sy1"	"sɿ˦˦"
"廝"	"廝"	"sy1"	"sɿ˦˦"
"撕"	"撕"	"sy1"	"sɿ˦˦"
"篩"	"篩"	"sy1"	"sɿ˦˦"
"施"	"施"	"sy1"	"sɿ˦˦"
"師"	"師"	"sy1"	"sɿ˦˦"
"獅"	"獅"	"sy1"	"sɿ˦˦"
"屍"	"屍"	"sy1"	"sɿ˦˦"
"矢"	"矢"	"sy1"	"sɿ˦˦"
"司"	"司"	"sy1"	"sɿ˦˦"
"絲"	"絲"	"sy1"	"sɿ˦˦"
"思"	"思"	"sy1"	"sɿ˦˦"
"詩"	"詩"	"sy1"	"sɿ˦˦"
"梳"	"梳"	"sy1"	"sɿ˦˦"
"腮"	"腮"	"sy1"	"sɿ˦˦"
"鰓"	"鰓"	"sy1"	"sɿ˦˦"
"璽"	"璽"	"sy3"	"sɿ˦˥"
"徙"	"徙"	"sy3"	"sɿ˦˥"
"死"	"死"	"sy3"	"sɿ˦˥"
"史"	"史"	"sy3"	"sɿ˦˥"
"始"	"始"	"sy3"	"sɿ˦˥"
"使"	"使"	"sy3"	"sɿ˦˥"
"矢"	"矢"	"sy3"	"sɿ˦˥"
"四"	"四"	"sy5"	"sɿ˥˨"
"肆"	"肆"	"sy5"	"sɿ˥˨"
"賜"	"賜"	"sy5"	"sɿ˥˨"
"試"	"試"	"sy5"	"sɿ˥˨"
"時"	"時"	"zy2"	"zɿ˧˩"
"而"	"而"	"zy2"	"zɿ˧˩"
"鰣"	"鰣"	"zy2"	"zɿ˧˩"
"辭"	"辭"	"zy2"	"zɿ˧˩"
"詞"	"詞"	"zy2"	"zɿ˧˩"
"祠"	"祠"	"zy2"	"zɿ˧˩"
"瓷"	"瓷"	"zy2"	"zɿ˧˩"
"餈"	"餈"	"zy2"	"zɿ˧˩"
"是"	"是"	"zy4"	"zɿ˧˦"
"似"	"似"	"zy4"	"zɿ˧˦"
"已"	"已"	"zy4"	"zɿ˧˦"
"祀"	"祀"	"zy4"	"zɿ˧˦"
"士"	"士"	"zy4"	"zɿ˧˦"
"仕"	"仕"	"zy4"	"zɿ˧˦"
"柿"	"柿"	"zy4"	"zɿ˧˦"
"市"	"市"	"zy4"	"zɿ˧˦"
"恃"	"恃"	"zy4"	"zɿ˧˦"
"耳"	"耳"	"zy4"	"zɿ˧˦"
"爾"	"爾"	"zy4"	"zɿ˧˦"
"豉"	"豉"	"zy6"	"zɿ˨˨"
"自"	"自"	"zy6"	"zɿ˨˨"
"示"	"示"	"zy6"	"zɿ˨˨"
"視"	"視"	"zy6"	"zɿ˨˨"
"字"	"字"	"zy6"	"zɿ˨˨"
"寺"	"寺"	"zy6"	"zɿ˨˨"
"飼"	"飼"	"zy6"	"zɿ˨˨"
"嗣"	"嗣"	"zy6"	"zɿ˨˨"
"事"	"事"	"zy6"	"zɿ˨˨"
"侍"	"侍"	"zy6"	"zɿ˨˨"
"氏"	"氏"	"zy6"	"zɿ˨˨"
"嗜"	"嗜"	"zy6"	"zɿ˨˨"
"蓖"	"蓖"	"pi1"	"pi˦˦"
"屄"	"屄"	"pi1"	"pi˦˦"
"比"	"比"	"pi3"	"pi˦˥"
"彼"	"彼"	"pi3"	"pi˦˥"
"敝"	"敝"	"pi5"	"pi˥˨"
"蔽"	"蔽"	"pi5"	"pi˥˨"
"弊"	"弊"	"pi5"	"pi˥˨"
"斃"	"斃"	"pi5"	"pi˥˨"
"閉"	"閉"	"pi5"	"pi˥˨"
"箅"	"箅"	"pi5"	"pi˥˨"
"鄙"	"鄙"	"pi5"	"pi˥˨"
"庇"	"庇"	"pi5"	"pi˥˨"
"痹"	"痹"	"pi5"	"pi˥˨"
"筆"	"筆"	"pi7"	"pi˧˨˧"
"畢"	"畢"	"pi7"	"pi˧˨˧"
"必"	"必"	"pi7"	"pi˧˨˧"
"潷"	"潷"	"pi7"	"pi˧˨˧"
"逼"	"逼"	"pi7"	"pi˧˨˧"
"碧"	"碧"	"pi7"	"pi˧˨˧"
"壁"	"壁"	"pi7"	"pi˧˨˧"
"璧"	"璧"	"pi7"	"pi˧˨˧"
"臂"	"臂"	"pi7"	"pi˧˨˧"
"秘"	"秘"	"pi7"	"pi˧˨˧"
"必"	"必"	"pi7"	"pi˧˨˧"
"批"	"批"	"phi1"	"pʰi˦˦"
"丕"	"丕"	"phi1"	"pʰi˦˦"
"胚"	"胚"	"phi1"	"pʰi˦˦"
"披"	"披"	"phi1"	"pʰi˦˦"
"瞥"	"瞥"	"phi3"	"pʰi˦˥"
"屁"	"屁"	"phi5"	"pʰi˥˨"
"匹"	"匹"	"phi7"	"pʰi˧˨˧"
"僻"	"僻"	"phi7"	"pʰi˧˨˧"
"闞"	"闞"	"phi7"	"pʰi˧˨˧"
"劈"	"劈"	"phi7"	"pʰi˧˨˧"
"皮"	"皮"	"bi2"	"bi˧˩"
"疲"	"疲"	"bi2"	"bi˧˩"
"脾"	"脾"	"bi2"	"bi˧˩"
"枇"	"枇"	"bi2"	"bi˧˩"
"琵"	"琵"	"bi2"	"bi˧˩"
"肥"	"肥"	"bi2"	"bi˧˩"
"被"	"被"	"bi4"	"bi˧˦"
"婢"	"婢"	"bi4"	"bi˧˦"
"俾"	"俾"	"bi4"	"bi˧˦"
"避"	"避"	"bi6"	"bi˨˨"
"備"	"備"	"bi6"	"bi˨˨"
"篦"	"篦"	"bi6"	"bi˨˨"
"俾"	"俾"	"bi6"	"bi˨˨"
"又"	"又"	"bi6"	"bi˨˨"
"被"	"被"	"bi6"	"bi˨˨"
"吠"	"吠"	"bi6"	"bi˨˨"
"鼻"	"鼻"	"bi8"	"bi˨˩˨"
"弼"	"弼"	"bi8"	"bi˨˩˨"
"迷"	"迷"	"mi2"	"mi˧˩"
"謎"	"謎"	"mi2"	"mi˧˩"
"糜"	"糜"	"mi2"	"mi˧˩"
"眉"	"眉"	"mi2"	"mi˧˩"
"媚"	"媚"	"mi2"	"mi˧˩"
"楣"	"楣"	"mi2"	"mi˧˩"
"彌"	"彌"	"mi2"	"mi˧˩"
"米"	"米"	"mi4"	"mi˧˦"
"美"	"美"	"mi4"	"mi˧˦"
"尾"	"尾"	"mi4"	"mi˧˦"
"靡"	"靡"	"mi4"	"mi˧˦"
"覓"	"覓"	"mi4"	"mi˧˦"
"未"	"未"	"mi6"	"mi˨˨"
"味"	"味"	"mi6"	"mi˨˨"
"蜜"	"蜜"	"mi8"	"mi˨˩˨"
"密"	"密"	"mi8"	"mi˨˩˨"
"飛"	"飛"	"fi1"	"fi˦˦"
"非"	"非"	"fi1"	"fi˦˦"
"妃"	"妃"	"fi1"	"fi˦˦"
"翡"	"翡"	"fi1"	"fi˦˦"
"匪"	"匪"	"fi3"	"fi˦˥"
"榧"	"榧"	"fi3"	"fi˦˥"
"廢"	"廢"	"fi5"	"fi˥˨"
"肺"	"肺"	"fi5"	"fi˥˨"
"痱"	"痱"	"fi5"	"fi˥˨"
"費"	"費"	"fi5"	"fi˥˨"
"肥"	"肥"	"vi2"	"vi˧˩"
