"繁體"	"简体"	"音標"	"注釋"	"声"	"韵"	"调"
"雇"	"雇"	"kʋ˥˨"		"k"	"ʋ"	"˥˨"
"枯"	"枯"	"kʰʋ˦˦"		"kʰ"	"ʋ"	"˦˦"
"苦"	"苦"	"kʰʋ˧˥"		"kʰ"	"ʋ"	"˧˥"
"庫"	"库"	"kʰʋ˥˨"		"kʰ"	"ʋ"	"˥˨"
"褲"	"裤"	"kʰʋ˥˨"		"kʰ"	"ʋ"	"˥˨"
"梧"	"梧"	"ŋ˧˩"		"Ø"	"ŋ"	"˧˩"
"吾"	"吾"	"ŋ˩˧"		"Ø"	"ŋ"	"˩˧"
"吳"	"吴"	"ŋ˧˩"		"Ø"	"ŋ"	"˧˩"
"五"	"五"	"ŋ˩˧"		"Ø"	"ŋ"	"˩˧"
"午"	"午"	"ŋ˩˧"		"Ø"	"ŋ"	"˩˧"
"伍"	"伍"	"ŋ˩˧"		"Ø"	"ŋ"	"˩˧"
"悟"	"悟"	"ŋ˨˨"		"Ø"	"ŋ"	"˨˨"
"誤"	"误"	"ŋ˨˨"		"Ø"	"ŋ"	"˨˨"
"呼"	"呼"	"fʋ˦˦"		"f"	"ʋ"	"˦˦"
"虎"	"虎"	"fʋ˧˥"		"f"	"ʋ"	"˧˥"
"滸"	"浒"	"fʋ˧˥"		"f"	"ʋ"	"˧˥"
"戽"	"戽"	"fʋ˥˨"		"f"	"ʋ"	"˥˨"
"乎"	"乎"	"vʋ˧˩"		"v"	"ʋ"	"˧˩"
"壺"	"壶"	"vʋ˧˩"		"v"	"ʋ"	"˧˩"
"瓠"	"瓠"	"vʋ˧˩"		"v"	"ʋ"	"˧˩"
"胡"	"胡"	"vʋ˧˩"		"v"	"ʋ"	"˧˩"
"狐"	"狐"	"vʋ˧˩"		"v"	"ʋ"	"˧˩"
"湖"	"湖"	"vʋ˧˩"		"v"	"ʋ"	"˧˩"
"鈑"	"钣"	"pɔ˧˥"		"p"	"ɔ"	"˧˥"
"戶"	"户"	"vʋ˩˧"		"v"	"ʋ"	"˩˧"
"滬"	"沪"	"vʋ˩˧"		"v"	"ʋ"	"˩˧"
"互"	"互"	"vʋ˨˨"		"v"	"ʋ"	"˨˨"
"護"	"护"	"vʋ˨˨"		"v"	"ʋ"	"˨˨"
"瓠"	"瓠"	"vʋ˨˨"		"v"	"ʋ"	"˨˨"
